sequence,v115@MhB8BeA8EeB8BeA8AeA8CeE8JeZEJvhFUgBFhB6nBO?oBfqBzqB,v115@MhB8BeA8EeB8BeA8AeA8CeE8JeZEJvhFzfBFhB6nBO?oBfrBUqB,v115@MhB8BeA8EeB8BeA8AeA8CeE8JeZEJvhFzfBChB0iBe?rBXoBFqB,v115@MhB8BeA8EeB8BeA8AeA8CeE8JeZEJvhFzfBChBXjBe?rB0nBFqB,v115@MhB8BeA8EeB8BeA8AeA8CeE8JeZEJvhFqkBTgBOmB0?iBXoB1vB
LTSIOZJ,X,X,X,X,X
LTSJIZO,O,O,X,X,X
LTSJIOZ,X,X,X,X,X
LTSJZIO,O,X,X,X,X
LTSJZOI,X,X,X,X,X
LTSJOIZ,X,X,X,X,X
LTSJOZI,X,X,X,X,X
LTSZIJO,O,X,X,X,X
LTSZIOJ,X,X,X,X,X
LTSZJIO,O,X,X,X,X
LTSZJOI,X,X,X,X,X
LTSZOIJ,X,X,X,X,X
LTSZOJI,X,X,X,X,X
LTSOIJZ,X,X,X,X,X
LTSOIZJ,X,X,X,X,X
LTSOJIZ,X,X,X,X,X
LTSOJZI,X,X,X,X,X
LTSOZIJ,X,X,X,X,X
LTSOZJI,X,X,X,X,X
LTZIJSO,X,X,X,X,X
LTZIJOS,X,X,X,X,O
LTZISJO,X,X,X,X,X
LTZISOJ,X,X,X,X,X
LTZIOJS,X,X,X,X,O
LTZIOSJ,X,X,X,X,X
LTZJISO,X,X,X,X,X
LTZJIOS,X,X,X,X,O
LTZJSIO,X,X,X,X,X
LTZJSOI,X,X,X,X,X
LTZJOIS,X,X,X,X,O
LTZJOSI,X,X,X,X,X
LTZSIJO,X,X,X,X,X
LTZSIOJ,X,X,X,X,X
LTZSJIO,X,X,X,X,X
LTZSJOI,X,X,X,X,X
LTZSOIJ,X,X,X,X,X
LTZSOJI,X,X,X,X,X
LTZOIJS,X,X,X,X,O
LTZOISJ,X,X,X,X,X
LTZOJIS,X,X,X,X,O
LTZOJSI,X,X,X,X,X
LTZOSIJ,X,X,X,X,X
LTZOSJI,X,X,X,X,X
LTOIJSZ,O,X,X,X,X
LTOIJZS,X,X,X,X,O
LTOISJZ,O,X,X,X,X
LTOISZJ,O,X,X,X,X
LTOIZJS,X,X,X,X,O
LTOIZSJ,X,X,X,X,X
LTOJISZ,O,X,X,X,X
LTOJIZS,X,X,X,X,O
LTOJSIZ,O,X,X,X,X
LTOJSZI,O,X,X,X,X
LTOJZIS,X,X,X,X,O
LTOJZSI,X,X,X,X,X
LTOSIJZ,O,X,X,X,X
LTOSIZJ,O,X,X,X,X
LTOSJIZ,O,X,X,X,X
LTOSJZI,O,X,X,X,X
LTOSZIJ,O,X,X,X,X
LTOSZJI,O,X,X,X,X
LTOZIJS,X,X,X,X,O
LTOZISJ,X,X,X,X,X
LTOZJIS,X,X,X,X,O
LTOZJSI,X,X,X,X,X
LTOZSIJ,X,X,X,X,X
LTOZSJI,X,X,X,X,X
LITJSZO,O,O,X,X,X
LITJSOZ,X,X,X,X,X
LITJZSO,X,X,X,X,X
LITJZOS,X,X,X,X,O
LITJOSZ,O,X,X,X,X
LITJOZS,X,X,X,X,O
LITSJZO,O,O,X,X,X
LITSJOZ,X,X,X,X,X
LITSZJO,O,O,X,X,X
LITSZOJ,X,O,X,X,X
LITSOJZ,X,X,X,X,X
LITSOZJ,X,X,X,X,X
LITZJSO,X,X,X,X,X
LITZJOS,X,X,X,X,O
LITZSJO,X,X,X,X,X
LITZSOJ,X,X,X,X,X
LITZOJS,X,X,X,X,O
LITZOSJ,X,X,X,X,X
LITOJSZ,O,X,X,X,X
LITOJZS,X,X,X,X,O
LITOSJZ,O,X,X,X,X
LITOSZJ,O,X,X,X,X
LITOZJS,X,X,X,X,O
LITOZSJ,X,X,X,X,X
LIJTSZO,O,O,X,X,X
LIJTSOZ,X,X,X,O,X
LIJTZSO,X,X,X,X,X
LIJTZOS,X,X,O,X,X
LIJTOSZ,O,X,X,O,X
LIJTOZS,X,X,O,X,X
LIJSTZO,O,O,X,X,X
LIJSTOZ,X,X,X,O,X
LIJSZTO,O,O,X,X,X
LIJSZOT,X,O,X,X,X
LIJSOTZ,O,X,X,X,X
LIJSOZT,O,X,X,X,X
LIJZTSO,X,X,X,X,X
LIJZTOS,X,X,O,X,X
LIJZSTO,X,O,X,X,X
LIJZSOT,X,O,X,X,X
LIJZOTS,X,X,X,X,X
LIJZOST,X,O,X,X,X
LIJOTSZ,O,X,X,X,X
LIJOTZS,X,X,X,X,X
LIJOSTZ,O,X,X,X,X
LIJOSZT,O,X,X,X,X
LIJOZTS,X,X,X,X,X
LIJOZST,X,X,X,X,X
LISTJZO,O,O,X,X,X
LISTJOZ,X,X,X,X,X
LISTZJO,O,O,X,X,X
LISTZOJ,X,O,X,X,X
LISTOJZ,X,X,X,X,X
LISTOZJ,X,X,X,X,X
LISJTZO,O,O,X,X,X
LISJTOZ,X,X,X,O,X
LISJZTO,O,O,X,X,X
LISJZOT,X,O,X,X,X
LISJOTZ,O,X,X,X,X
LISJOZT,O,X,X,X,X
LISZTJO,O,O,X,X,X
LISZTOJ,X,O,X,X,X
LISZJTO,O,O,X,X,X
LISZJOT,X,O,X,X,X
LISZOTJ,X,O,X,X,X
LISZOJT,X,O,X,X,X
LISOTJZ,O,X,X,X,X
LISOTZJ,O,X,X,X,X
LISOJTZ,O,X,X,X,X
LISOJZT,O,X,X,X,X
LISOZTJ,O,X,X,X,X
LISOZJT,O,X,X,X,X
LIZTJSO,X,X,X,X,X
LIZTJOS,X,X,X,X,O
LIZTSJO,X,X,X,X,X
LIZTSOJ,X,X,X,X,X
LIZTOJS,X,X,X,X,O
LIZTOSJ,X,X,X,X,X
LIZJTSO,X,X,X,X,X
LIZJTOS,X,X,O,X,X
LIZJSTO,X,O,X,X,X
LIZJSOT,X,O,X,X,X
LIZJOTS,X,X,X,X,X
LIZJOST,X,O,X,X,X
LIZSTJO,X,O,X,X,X
LIZSTOJ,X,O,X,X,X
LIZSJTO,X,O,X,X,X
LIZSJOT,X,O,X,X,X
LIZSOTJ,X,O,X,X,X
LIZSOJT,X,O,X,X,X
LIZOTJS,X,X,X,X,X
LIZOTSJ,X,X,X,X,X
LIZOJTS,X,X,X,X,X
LIZOJST,X,O,X,X,X
LIZOSTJ,X,O,X,X,X
LIZOSJT,X,O,X,X,X
LIOTJSZ,O,X,X,X,X
LIOTJZS,X,X,X,X,X
LIOTSJZ,O,X,X,X,X
LIOTSZJ,O,X,X,X,X
LIOTZJS,X,X,X,X,X
LIOTZSJ,X,X,X,X,X
LIOJTSZ,O,X,X,X,X
LIOJTZS,X,X,X,X,X
LIOJSTZ,O,X,X,X,X
LIOJSZT,O,X,X,X,X
LIOJZTS,X,X,X,X,X
LIOJZST,X,X,X,X,X
LIOSTJZ,O,X,X,X,X
LIOSTZJ,O,X,X,X,X
LIOSJTZ,O,X,X,X,X
LIOSJZT,O,X,X,X,X
LIOSZTJ,O,X,X,X,X
LIOSZJT,O,X,X,X,X
LIOZTJS,X,X,X,X,X
LIOZTSJ,X,X,X,X,X
LIOZJTS,X,X,X,X,X
LIOZJST,X,X,X,X,X
LIOZSTJ,X,X,X,X,X
LIOZSJT,X,X,X,X,X
LJTISZO,O,O,X,X,X
LJTISOZ,X,X,X,O,X
LJTIZSO,X,X,X,X,X
LJTIZOS,X,X,O,X,X
LJTIOSZ,O,X,X,O,X
LJTIOZS,X,X,O,X,X
LJTSIZO,O,O,X,X,X
LJTSIOZ,X,X,X,O,X
LJTSZIO,O,X,X,X,X
LJTSZOI,X,X,X,X,X
LJTSOIZ,X,X,X,O,X
LJTSOZI,X,X,X,X,X
LJTZISO,X,X,X,X,X
LJTZIOS,X,X,O,X,X
LJTZSIO,X,X,X,X,X
LJTZSOI,X,X,X,X,X
LJTZOIS,X,X,O,X,X
LJTZOSI,X,X,X,X,X
LJTOISZ,O,X,X,O,X
LJTOIZS,X,X,O,X,X
LJTOSIZ,O,X,X,O,X
LJTOSZI,O,X,X,X,X
LJTOZIS,X,X,O,X,X
LJTOZSI,X,X,X,X,X
LJITSZO,O,O,X,X,X
LJITSOZ,X,X,X,O,X
LJITZSO,X,X,X,X,X
LJITZOS,X,X,O,X,X
LJITOSZ,O,X,X,O,X
LJITOZS,X,X,O,X,X
LJISTZO,O,O,X,X,X
LJISTOZ,X,X,X,O,X
LJISZTO,O,O,X,X,X
LJISZOT,X,O,X,X,X
LJISOTZ,O,X,X,X,X
LJISOZT,O,X,X,X,X
LJIZTSO,X,X,X,X,X
LJIZTOS,X,X,O,X,X
LJIZSTO,X,O,X,X,X
LJIZSOT,X,O,X,X,X
LJIZOTS,X,X,X,X,X
LJIZOST,X,O,X,X,X
LJIOTSZ,O,X,X,X,X
LJIOTZS,X,X,X,X,X
LJIOSTZ,O,X,X,X,X
LJIOSZT,O,X,X,X,X
LJIOZTS,X,X,X,X,X
LJIOZST,X,X,X,X,X
LJSTIZO,O,O,X,X,X
LJSTIOZ,X,X,X,O,X
LJSTZIO,O,X,X,X,X
LJSTZOI,X,X,X,X,X
LJSTOIZ,X,X,X,O,X
LJSTOZI,X,X,X,X,X
LJSITZO,O,O,X,X,X
LJSITOZ,X,X,X,O,X
LJSIZTO,O,O,X,X,X
LJSIZOT,X,O,X,X,X
LJSIOTZ,O,X,X,X,X
LJSIOZT,O,X,X,X,X
LJSZTIO,O,X,X,X,X
LJSZTOI,X,X,X,X,X
LJSZITO,O,X,X,X,X
LJSZIOT,X,X,X,X,X
LJSZOTI,X,X,X,X,X
LJSZOIT,X,X,X,X,X
LJSOTIZ,O,X,X,X,X
LJSOTZI,O,X,X,X,X
LJSOITZ,O,X,X,X,X
LJSOIZT,O,X,X,X,X
LJSOZTI,O,X,X,X,X
LJSOZIT,O,X,X,X,X
LJZTISO,X,X,X,X,X
LJZTIOS,X,X,O,X,X
LJZTSIO,X,X,X,X,X
LJZTSOI,X,X,X,X,X
LJZTOIS,X,X,O,X,X
LJZTOSI,X,X,X,X,X
LJZITSO,X,X,X,X,X
LJZITOS,X,X,O,X,X
LJZISTO,X,O,X,X,X
LJZISOT,X,O,X,X,X
LJZIOTS,X,X,X,X,X
LJZIOST,X,O,X,X,X
LJZSTIO,X,O,X,X,X
LJZSTOI,X,O,X,X,X
LJZSITO,X,O,X,X,X
LJZSIOT,X,O,X,X,X
LJZSOTI,X,O,X,X,X
LJZSOIT,X,O,X,X,X
LJZOTIS,X,X,X,X,X
LJZOTSI,X,X,X,X,X
LJZOITS,X,X,X,X,X
LJZOIST,X,O,X,X,X
LJZOSTI,X,O,X,X,X
LJZOSIT,X,O,X,X,X
LJOTISZ,O,X,X,X,X
LJOTIZS,X,X,X,X,X
LJOTSIZ,O,X,X,X,X
LJOTSZI,O,X,X,X,X
LJOTZIS,X,X,X,X,X
LJOTZSI,X,X,X,X,X
LJOITSZ,O,X,X,X,X
LJOITZS,X,X,X,X,X
LJOISTZ,O,X,X,X,X
LJOISZT,O,X,X,X,X
LJOIZTS,X,X,X,X,X
LJOIZST,X,X,X,X,X
LJOSTIZ,O,X,X,X,X
LJOSTZI,O,X,X,X,X
LJOSITZ,O,X,X,X,X
LJOSIZT,O,X,X,X,X
LJOSZTI,O,X,X,X,X
LJOSZIT,O,X,X,X,X
LJOZTIS,X,X,X,X,X
LJOZTSI,X,X,X,X,X
LJOZITS,X,X,X,X,X
LJOZIST,X,X,X,X,X
LJOZSTI,X,X,X,X,X
LJOZSIT,X,X,X,X,X
LSTIJZO,O,O,X,X,X
LSTIJOZ,X,X,X,X,X
LSTIZJO,O,O,X,X,X
LSTIZOJ,X,O,X,X,X
LSTIOJZ,X,X,X,X,X
LSTIOZJ,X,X,X,X,X
LSTJIZO,O,O,X,X,X
LSTJIOZ,X,X,X,X,X
LSTJZIO,O,X,X,X,X
LSTJZOI,X,X,X,X,X
LSTJOIZ,X,X,X,X,X
LSTJOZI,X,X,X,X,X
LSTZIJO,O,X,X,X,X
LSTZIOJ,X,X,X,X,X
LSTZJIO,O,X,X,X,X
LSTZJOI,X,X,X,X,X
LSTZOIJ,X,X,X,X,X
LSTZOJI,X,X,X,X,X
LSTOIJZ,X,X,X,X,X
LSTOIZJ,X,X,X,X,X
LSTOJIZ,X,X,X,X,X
LSTOJZI,X,X,X,X,X
LSTOZIJ,X,X,X,X,X
LSTOZJI,X,X,X,X,X
LSITJZO,O,O,X,X,X
LSITJOZ,X,X,X,X,X
LSITZJO,O,O,X,X,X
LSITZOJ,X,O,X,X,X
LSITOJZ,X,X,X,X,X
LSITOZJ,X,X,X,X,X
LSIJTZO,O,O,X,X,X
LSIJTOZ,X,X,X,O,X
LSIJZTO,O,O,X,X,X
LSIJZOT,X,O,X,X,X
LSIJOTZ,O,X,X,X,X
LSIJOZT,O,X,X,X,X
LSIZTJO,O,O,X,X,X
LSIZTOJ,X,O,X,X,X
LSIZJTO,O,O,X,X,X
LSIZJOT,X,O,X,X,X
LSIZOTJ,X,O,X,X,X
LSIZOJT,X,O,X,X,X
LSIOTJZ,O,X,X,X,X
LSIOTZJ,O,X,X,X,X
LSIOJTZ,O,X,X,X,X
LSIOJZT,O,X,X,X,X
LSIOZTJ,O,X,X,X,X
LSIOZJT,O,X,X,X,X
LSJTIZO,O,O,X,X,X
LSJTIOZ,X,X,X,O,X
LSJTZIO,O,X,X,X,X
LSJTZOI,X,X,X,X,X
LSJTOIZ,X,X,X,O,X
LSJTOZI,X,X,X,X,X
LSJITZO,O,O,X,X,X
LSJITOZ,X,X,X,O,X
LSJIZTO,O,O,X,X,X
LSJIZOT,X,O,X,X,X
LSJIOTZ,O,X,X,X,X
LSJIOZT,O,X,X,X,X
LSJZTIO,O,X,X,X,X
LSJZTOI,X,X,X,X,X
LSJZITO,O,X,X,X,X
LSJZIOT,X,X,X,X,X
LSJZOTI,X,X,X,X,X
LSJZOIT,X,X,X,X,X
LSJOTIZ,O,X,X,X,X
LSJOTZI,O,X,X,X,X
LSJOITZ,O,X,X,X,X
LSJOIZT,O,X,X,X,X
LSJOZTI,O,X,X,X,X
LSJOZIT,O,X,X,X,X
LSZTIJO,O,X,X,X,X
LSZTIOJ,X,X,X,X,X
LSZTJIO,O,X,X,X,X
LSZTJOI,X,X,X,X,X
LSZTOIJ,X,X,X,X,X
LSZTOJI,X,X,X,X,X
LSZITJO,O,X,X,X,X
LSZITOJ,X,X,X,X,X
LSZIJTO,O,X,X,X,X
LSZIJOT,X,X,X,X,X
LSZIOTJ,X,X,X,X,X
LSZIOJT,X,X,X,X,X
LSZJTIO,O,X,X,X,X
LSZJTOI,X,X,X,X,X
LSZJITO,O,X,X,X,X
LSZJIOT,X,X,X,X,X
LSZJOTI,X,X,X,X,X
LSZJOIT,X,X,X,X,X
LSZOTIJ,X,X,X,X,X
LSZOTJI,X,X,X,X,X
LSZOITJ,X,X,X,X,X
LSZOIJT,X,X,X,X,X
LSZOJTI,X,X,X,X,X
LSZOJIT,X,X,X,X,X
LSOTIJZ,O,X,X,X,X
LSOTIZJ,O,X,X,X,X
LSOTJIZ,O,X,X,X,X
LSOTJZI,O,X,X,X,X
LSOTZIJ,O,X,X,X,X
LSOTZJI,O,X,X,X,X
LSOITJZ,O,X,X,X,X
LSOITZJ,O,X,X,X,X
LSOIJTZ,O,X,X,X,X
LSOIJZT,O,X,X,X,X
LSOIZTJ,O,X,X,X,X
LSOIZJT,O,X,X,X,X
LSOJTIZ,O,X,X,X,X
LSOJTZI,O,X,X,X,X
LSOJITZ,O,X,X,X,X
LSOJIZT,O,X,X,X,X
LSOJZTI,O,X,X,X,X
LSOJZIT,O,X,X,X,X
LSOZTIJ,O,X,X,X,X
LSOZTJI,O,X,X,X,X
LSOZITJ,O,X,X,X,X
LSOZIJT,O,X,X,X,X
LSOZJTI,O,X,X,X,X
LSOZJIT,O,X,X,X,X
LZTIJSO,X,X,X,X,X
LZTIJOS,X,X,X,X,O
LZTISJO,X,X,X,X,X
LZTISOJ,X,X,X,X,X
LZTIOJS,X,X,X,X,O
LZTIOSJ,X,X,X,X,X
LZTJISO,X,X,X,X,X
LZTJIOS,X,X,X,X,O
LZTJSIO,X,X,X,X,X
LZTJSOI,X,X,X,X,X
LZTJOIS,X,X,X,X,O
LZTJOSI,X,X,X,X,X
LZTSIJO,X,X,X,X,X
LZTSIOJ,X,X,X,X,X
LZTSJIO,X,X,X,X,X
LZTSJOI,X,X,X,X,X
LZTSOIJ,X,X,X,X,X
LZTSOJI,X,X,X,X,X
LZTOIJS,X,X,X,X,O
LZTOISJ,X,X,X,X,X
LZTOJIS,X,X,X,X,O
LZTOJSI,X,X,X,X,X
LZTOSIJ,X,X,X,X,X
LZTOSJI,X,X,X,X,X
LZITJSO,X,X,X,X,X
LZITJOS,X,X,X,X,O
LZITSJO,X,X,X,X,X
LZITSOJ,X,X,X,X,X
LZITOJS,X,X,X,X,O
LZITOSJ,X,X,X,X,X
LZIJTSO,X,X,X,X,X
LZIJTOS,X,X,O,X,X
LZIJSTO,X,O,X,X,X
LZIJSOT,X,O,X,X,X
LZIJOTS,X,X,X,X,X
LZIJOST,X,O,X,X,X
LZISTJO,X,O,X,X,X
LZISTOJ,X,O,X,X,X
LZISJTO,X,O,X,X,X
LZISJOT,X,O,X,X,X
LZISOTJ,X,O,X,X,X
LZISOJT,X,O,X,X,X
LZIOTJS,X,X,X,X,X
LZIOTSJ,X,X,X,X,X
LZIOJTS,X,X,X,X,X
LZIOJST,X,O,X,X,X
LZIOSTJ,X,O,X,X,X
LZIOSJT,X,O,X,X,X
LZJTISO,X,X,X,X,X
LZJTIOS,X,X,O,X,X
LZJTSIO,X,X,X,X,X
LZJTSOI,X,X,X,X,X
LZJTOIS,X,X,O,X,X
LZJTOSI,X,X,X,X,X
LZJITSO,X,X,X,X,X
LZJITOS,X,X,O,X,X
LZJISTO,X,O,X,X,X
LZJISOT,X,O,X,X,X
LZJIOTS,X,X,X,X,X
LZJIOST,X,O,X,X,X
LZJSTIO,X,O,X,X,X
LZJSTOI,X,O,X,X,X
LZJSITO,X,O,X,X,X
LZJSIOT,X,O,X,X,X
LZJSOTI,X,O,X,X,X
LZJSOIT,X,O,X,X,X
LZJOTIS,X,X,X,X,X
LZJOTSI,X,X,X,X,X
LZJOITS,X,X,X,X,X
LZJOIST,X,O,X,X,X
LZJOSTI,X,O,X,X,X
LZJOSIT,X,O,X,X,X
LZSTIJO,X,O,X,X,X
LZSTIOJ,X,O,X,X,X
LZSTJIO,X,O,X,X,X
LZSTJOI,X,O,X,X,X
LZSTOIJ,X,O,X,X,X
LZSTOJI,X,O,X,X,X
LZSITJO,X,O,X,X,X
LZSITOJ,X,O,X,X,X
LZSIJTO,X,O,X,X,X
LZSIJOT,X,O,X,X,X
LZSIOTJ,X,O,X,X,X
LZSIOJT,X,O,X,X,X
LZSJTIO,X,O,X,X,X
LZSJTOI,X,O,X,X,X
LZSJITO,X,O,X,X,X
LZSJIOT,X,O,X,X,X
LZSJOTI,X,O,X,X,X
LZSJOIT,X,O,X,X,X
LZSOTIJ,X,O,X,X,X
LZSOTJI,X,O,X,X,X
LZSOITJ,X,O,X,X,X
LZSOIJT,X,O,X,X,X
LZSOJTI,X,O,X,X,X
LZSOJIT,X,O,X,X,X
LZOTIJS,X,X,X,X,X
LZOTISJ,X,X,X,X,X
LZOTJIS,X,X,X,X,X
LZOTJSI,X,X,X,X,X
LZOTSIJ,X,X,X,X,X
LZOTSJI,X,X,X,X,X
LZOITJS,X,X,X,X,X
LZOITSJ,X,X,X,X,X
LZOIJTS,X,X,X,X,X
LZOIJST,X,O,X,X,X
LZOISTJ,X,O,X,X,X
LZOISJT,X,O,X,X,X
LZOJTIS,X,X,X,X,X
LZOJTSI,X,X,X,X,X
LZOJITS,X,X,X,X,X
LZOJIST,X,O,X,X,X
LZOJSTI,X,O,X,X,X
LZOJSIT,X,O,X,X,X
LZOSTIJ,X,O,X,X,X
LZOSTJI,X,O,X,X,X
LZOSITJ,X,O,X,X,X
LZOSIJT,X,O,X,X,X
LZOSJTI,X,O,X,X,X
LZOSJIT,X,O,X,X,X
LOTIJSZ,O,X,X,X,X
LOTIJZS,X,X,X,X,X
LOTISJZ,O,X,X,X,X
LOTISZJ,O,X,X,X,X
LOTIZJS,X,X,X,X,X
LOTIZSJ,X,X,X,X,X
LOTJISZ,O,X,X,X,X
LOTJIZS,X,X,X,X,X
LOTJSIZ,O,X,X,X,X
LOTJSZI,O,X,X,X,X
LOTJZIS,X,X,X,X,X
LOTJZSI,X,X,X,X,X
LOTSIJZ,O,X,X,X,X
LOTSIZJ,O,X,X,X,X
LOTSJIZ,O,X,X,X,X
LOTSJZI,O,X,X,X,X
LOTSZIJ,O,X,X,X,X
LOTSZJI,O,X,X,X,X
LOTZIJS,X,X,X,X,X
LOTZISJ,X,X,X,X,X
LOTZJIS,X,X,X,X,X
LOTZJSI,X,X,X,X,X
LOTZSIJ,X,X,X,X,X
LOTZSJI,X,X,X,X,X
LOITJSZ,O,X,X,X,X
LOITJZS,X,X,X,X,X
LOITSJZ,O,X,X,X,X
LOITSZJ,O,X,X,X,X
LOITZJS,X,X,X,X,X
LOITZSJ,X,X,X,X,X
LOIJTSZ,O,X,X,X,X
LOIJTZS,X,X,X,X,X
LOIJSTZ,O,X,X,X,X
LOIJSZT,O,X,X,X,X
LOIJZTS,X,X,X,X,X
LOIJZST,X,X,X,X,X
LOISTJZ,O,X,X,X,X
LOISTZJ,O,X,X,X,X
LOISJTZ,O,X,X,X,X
LOISJZT,O,X,X,X,X
LOISZTJ,O,X,X,X,X
LOISZJT,O,X,X,X,X
LOIZTJS,X,X,X,X,X
LOIZTSJ,X,X,X,X,X
LOIZJTS,X,X,X,X,X
LOIZJST,X,X,X,X,X
LOIZSTJ,X,X,X,X,X
LOIZSJT,X,X,X,X,X
LOJTISZ,O,X,X,X,X
LOJTIZS,X,X,X,X,X
LOJTSIZ,O,X,X,X,X
LOJTSZI,O,X,X,X,X
LOJTZIS,X,X,X,X,X
LOJTZSI,X,X,X,X,X
LOJITSZ,O,X,X,X,X
LOJITZS,X,X,X,X,X
LOJISTZ,O,X,X,X,X
LOJISZT,O,X,X,X,X
LOJIZTS,X,X,X,X,X
LOJIZST,X,X,X,X,X
LOJSTIZ,O,X,X,X,X
LOJSTZI,O,X,X,X,X
LOJSITZ,O,X,X,X,X
LOJSIZT,O,X,X,X,X
LOJSZTI,O,X,X,X,X
LOJSZIT,O,X,X,X,X
LOJZTIS,X,X,X,X,X
LOJZTSI,X,X,X,X,X
LOJZITS,X,X,X,X,X
LOJZIST,X,X,X,X,X
LOJZSTI,X,X,X,X,X
LOJZSIT,X,X,X,X,X
LOSTIJZ,O,X,X,X,X
LOSTIZJ,O,X,X,X,X
LOSTJIZ,O,X,X,X,X
LOSTJZI,O,X,X,X,X
LOSTZIJ,O,X,X,X,X
LOSTZJI,O,X,X,X,X
LOSITJZ,O,X,X,X,X
LOSITZJ,O,X,X,X,X
LOSIJTZ,O,X,X,X,X
LOSIJZT,O,X,X,X,X
LOSIZTJ,O,X,X,X,X
LOSIZJT,O,X,X,X,X
LOSJTIZ,O,X,X,X,X
LOSJTZI,O,X,X,X,X
LOSJITZ,O,X,X,X,X
LOSJIZT,O,X,X,X,X
LOSJZTI,O,X,X,X,X
LOSJZIT,O,X,X,X,X
LOSZTIJ,O,X,X,X,X
LOSZTJI,O,X,X,X,X
LOSZITJ,O,X,X,X,X
LOSZIJT,O,X,X,X,X
LOSZJTI,O,X,X,X,X
LOSZJIT,O,X,X,X,X
LOZTIJS,X,X,X,X,X
LOZTISJ,X,X,X,X,X
LOZTJIS,X,X,X,X,X
LOZTJSI,X,X,X,X,X
LOZTSIJ,X,X,X,X,X
LOZTSJI,X,X,X,X,X
LOZITJS,X,X,X,X,X
LOZITSJ,X,X,X,X,X
LOZIJTS,X,X,X,X,X
LOZIJST,X,X,X,X,X
LOZISTJ,X,X,X,X,X
LOZISJT,X,X,X,X,X
LOZJTIS,X,X,X,X,X
LOZJTSI,X,X,X,X,X
LOZJITS,X,X,X,X,X
LOZJIST,X,X,X,X,X
LOZJSTI,X,X,X,X,X
LOZJSIT,X,X,X,X,X
LOZSTIJ,X,X,X,X,X
LOZSTJI,X,X,X,X,X
LOZSITJ,X,X,X,X,X
LOZSIJT,X,X,X,X,X
LOZSJTI,X,X,X,X,X
LOZSJIT,X,X,X,X,X
JTILSZO,O,O,X,X,X
JTILSOZ,X,X,X,O,X
JTILZSO,X,X,X,X,X
JTILZOS,X,X,O,X,X
JTILOSZ,O,X,X,O,X
JTILOZS,X,X,O,X,X
JTISLZO,O,O,X,X,X
JTISLOZ,X,X,X,O,X
JTISZLO,O,O,X,X,X
JTISZOL,X,O,X,X,X
JTISOLZ,X,X,X,O,X
JTISOZL,X,X,X,X,X
JTIZLSO,X,X,X,X,X
JTIZLOS,X,X,O,X,X
JTIZSLO,X,X,X,X,X
JTIZSOL,X,X,X,X,X
JTIZOLS,X,X,O,X,X
JTIZOSL,X,X,X,X,X
JTIOLSZ,O,X,X,O,X
JTIOLZS,X,X,O,X,X
JTIOSLZ,O,X,X,O,X
JTIOSZL,O,X,X,X,X
JTIOZLS,X,X,O,X,X
JTIOZSL,X,X,X,X,X
JTLISZO,O,O,X,X,X
JTLISOZ,X,X,X,O,X
JTLIZSO,X,X,X,X,X
JTLIZOS,X,X,O,X,X
JTLIOSZ,O,X,X,O,X
JTLIOZS,X,X,O,X,X
JTLSIZO,O,O,X,X,X
JTLSIOZ,X,X,X,O,X
JTLSZIO,O,X,X,X,X
JTLSZOI,X,X,X,X,X
JTLSOIZ,X,X,X,O,X
JTLSOZI,X,X,X,X,X
JTLZISO,X,X,X,X,X
JTLZIOS,X,X,O,X,X
JTLZSIO,X,X,X,X,X
JTLZSOI,X,X,X,X,X
JTLZOIS,X,X,O,X,X
JTLZOSI,X,X,X,X,X
JTLOISZ,O,X,X,O,X
JTLOIZS,X,X,O,X,X
JTLOSIZ,O,X,X,O,X
JTLOSZI,O,X,X,X,X
JTLOZIS,X,X,O,X,X
JTLOZSI,X,X,X,X,X
JTSILZO,O,O,X,X,X
JTSILOZ,X,X,X,O,X
JTSIZLO,O,O,X,X,X
JTSIZOL,X,O,X,X,X
JTSIOLZ,X,X,X,O,X
JTSIOZL,X,X,X,X,X
JTSLIZO,O,O,X,X,X
JTSLIOZ,X,X,X,O,X
JTSLZIO,O,X,X,X,X
JTSLZOI,X,X,X,X,X
JTSLOIZ,X,X,X,O,X
JTSLOZI,X,X,X,X,X
JTSZILO,O,X,X,X,X
JTSZIOL,X,X,X,X,X
JTSZLIO,O,X,X,X,X
JTSZLOI,X,X,X,X,X
JTSZOIL,X,X,X,X,X
JTSZOLI,X,X,X,X,X
JTSOILZ,X,X,X,O,X
JTSOIZL,X,X,X,X,X
JTSOLIZ,X,X,X,O,X
JTSOLZI,X,X,X,X,X
JTSOZIL,X,X,X,X,X
JTSOZLI,X,X,X,X,X
JTZILSO,X,X,X,X,X
JTZILOS,X,X,O,X,X
JTZISLO,X,X,X,X,X
JTZISOL,X,X,X,X,X
JTZIOLS,X,X,O,X,X
JTZIOSL,X,X,X,X,X
JTZLISO,X,X,X,X,X
JTZLIOS,X,X,O,X,X
JTZLSIO,X,X,X,X,X
JTZLSOI,X,X,X,X,X
JTZLOIS,X,X,O,X,X
JTZLOSI,X,X,X,X,X
JTZSILO,X,X,X,X,X
JTZSIOL,X,X,X,X,X
JTZSLIO,X,X,X,X,X
JTZSLOI,X,X,X,X,X
JTZSOIL,X,X,X,X,X
JTZSOLI,X,X,X,X,X
JTZOILS,X,X,O,X,X
JTZOISL,X,X,X,X,X
JTZOLIS,X,X,O,X,X
JTZOLSI,X,X,X,X,X
