sequence,v115@MhB8GeC8CeB8AeD8BeA8JeOEJvhFxgB0iB6oBfqBll?BzsB,v115@MhB8GeC8CeB8AeD8BeA8Jem/IvhFFhBxiBTkBcqBCo?BXtB,v115@MhB8GeC8CeB8AeD8BeA8Jei/IvhFFhBxiB3kBcqBGo?BzsB,v115@MhB8GeC8CeB8AeD8BeA8JeT/IvhFxgB0iBllBStBmp?BXtB,v115@MhB8GeC8CeB8AeD8BeA8Je2EJvhFXhB0iB6oBxpBzs?BFqB,v115@MhB8GeC8CeB8AeD8BeA8Jex/IvhFXhBTjBikBWtBFq?B0sB,v115@MhB8GeC8CeB8AeD8BeA8JeT/IvhFXhBliBxpBCtBOq?BctB,v115@MhB8GeC8CeB8AeD8BeA8Je2EJvhFFhBxiBcqBqsBTt?B3pB
TILJSZO,X,X,X,O,X,O,O,X
TILJSOZ,X,X,X,O,X,O,O,X
TILJZSO,O,X,X,O,X,O,O,X
TILJZOS,X,X,X,O,X,O,O,X
TILJOSZ,X,X,X,O,X,O,O,X
TILJOZS,X,X,X,O,X,O,O,X
TILSJZO,O,X,X,O,X,O,O,X
TILSJOZ,X,X,X,O,X,O,O,X
TILSZJO,O,X,X,O,X,O,O,X
TILSZOJ,X,X,X,X,X,X,O,X
TILSOJZ,X,X,X,X,X,O,O,X
TILSOZJ,X,X,X,X,X,X,O,X
TILZJSO,O,O,X,O,X,O,O,X
TILZJOS,X,O,X,O,X,O,O,O
TILZSJO,O,X,O,O,X,O,O,X
TILZSOJ,X,X,O,X,X,X,O,X
TILZOJS,X,O,X,O,X,X,O,O
TILZOSJ,X,X,X,X,X,X,O,O
TILOJSZ,X,X,X,O,X,O,O,X
TILOJZS,X,X,X,O,X,O,O,O
TILOSJZ,X,X,X,X,X,O,O,X
TILOSZJ,X,X,X,X,X,X,O,O
TILOZJS,X,X,X,O,X,X,O,O
TILOZSJ,X,X,X,X,X,X,O,O
TIJLSZO,X,X,X,O,X,O,X,X
TIJLSOZ,X,X,X,O,X,O,X,X
TIJLZSO,O,X,O,O,X,O,X,X
TIJLZOS,X,X,X,O,X,O,X,X
TIJLOSZ,X,X,X,O,X,O,X,X
TIJLOZS,X,X,X,O,X,O,X,X
TIJSLZO,X,X,X,O,X,O,X,X
TIJSLOZ,X,X,X,O,X,O,X,X
TIJSZLO,X,X,O,O,X,X,X,X
TIJSZOL,X,X,O,O,X,X,X,X
TIJSOLZ,X,X,X,O,O,O,X,X
TIJSOZL,X,X,X,O,O,X,X,X
TIJZLSO,O,O,O,O,X,X,X,X
TIJZLOS,X,O,X,O,X,X,X,X
TIJZSLO,X,O,O,O,X,X,X,X
TIJZSOL,X,O,O,O,X,X,X,X
TIJZOLS,X,O,X,O,X,X,X,X
TIJZOSL,X,O,O,O,X,X,X,X
TIJOLSZ,X,X,X,O,O,O,X,X
TIJOLZS,O,X,X,O,O,O,X,X
TIJOSLZ,X,X,X,O,O,O,X,X
TIJOSZL,X,X,X,O,O,X,X,X
TIJOZLS,O,X,X,O,O,X,X,X
TIJOZSL,X,X,O,O,O,X,X,X
TISLJZO,O,O,X,O,X,O,O,X
TISLJOZ,X,X,X,O,X,O,O,X
TISLZJO,O,O,X,O,X,O,O,X
TISLZOJ,X,O,X,X,X,X,O,X
TISLOJZ,X,X,X,X,X,O,O,X
TISLOZJ,X,O,X,X,X,X,O,X
TISJLZO,O,X,X,O,X,O,X,X
TISJLOZ,X,X,X,O,X,O,X,X
TISJZLO,O,O,X,O,X,X,X,X
TISJZOL,X,O,X,O,X,X,X,X
TISJOLZ,O,X,X,O,O,O,X,X
TISJOZL,O,X,X,O,O,X,X,X
TISZLJO,O,O,O,O,X,X,X,X
TISZLOJ,X,O,O,X,X,X,X,X
TISZJLO,O,O,O,O,X,X,X,X
TISZJOL,X,O,X,O,X,X,X,X
TISZOLJ,X,O,O,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,X
TISOLJZ,O,X,X,X,O,X,O,X
TISOLZJ,O,X,X,X,O,X,O,X
TISOJLZ,O,X,X,X,O,X,X,X
TISOJZL,O,X,X,X,O,X,X,X
TISOZLJ,O,O,X,X,O,X,X,X
TISOZJL,O,O,X,X,O,X,X,X
TIZLJSO,O,O,X,O,X,X,X,X
TIZLJOS,X,O,X,O,X,X,X,O
TIZLSJO,O,X,O,O,X,X,X,X
TIZLSOJ,X,X,O,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,O
TIZLOSJ,X,X,X,X,X,X,X,O
TIZJLSO,O,O,O,O,X,X,X,X
TIZJLOS,X,O,X,O,X,X,X,O
TIZJSLO,X,O,O,O,X,X,X,X
TIZJSOL,X,O,O,O,X,X,X,X
TIZJOLS,X,O,X,O,X,X,X,X
TIZJOSL,X,O,O,O,X,X,X,X
TIZSLJO,O,O,O,O,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X,X
TIZSJLO,O,O,O,O,X,X,X,X
TIZSJOL,X,O,O,O,X,X,X,X
TIZSOLJ,X,O,O,X,X,X,X,X
TIZSOJL,X,O,O,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,X
TIZOJLS,X,O,O,O,X,X,X,X
TIZOJSL,X,O,O,O,X,X,X,X
TIZOSLJ,X,O,O,X,X,X,X,X
TIZOSJL,X,O,O,X,X,X,X,X
TIOLJSZ,X,X,X,O,O,X,O,X
TIOLJZS,O,X,X,O,O,X,O,X
TIOLSJZ,O,X,X,X,O,X,O,X
TIOLSZJ,O,X,X,X,O,X,O,X
TIOLZJS,O,X,X,O,O,X,O,X
TIOLZSJ,O,X,O,X,O,X,O,X
TIOJLSZ,X,X,X,O,O,X,X,X
TIOJLZS,O,X,O,O,O,X,X,X
TIOJSLZ,X,X,X,O,O,X,X,X
TIOJSZL,X,X,O,O,O,X,X,X
TIOJZLS,O,X,O,O,O,X,X,X
TIOJZSL,X,X,O,O,O,X,X,X
TIOSLJZ,O,X,X,X,O,X,O,X
TIOSLZJ,O,X,X,X,O,X,O,X
TIOSJLZ,O,X,X,X,O,X,X,X
TIOSJZL,O,X,X,X,O,X,X,X
TIOSZLJ,O,X,O,X,O,X,X,X
TIOSZJL,O,X,O,X,O,X,X,X
TIOZLJS,O,O,X,O,O,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X
TIOZJLS,O,O,O,O,O,X,X,X
TIOZJSL,X,O,O,O,O,X,X,X
TIOZSLJ,O,X,O,X,O,X,X,X
TIOZSJL,O,O,O,X,O,X,X,X
TLIJSZO,X,X,X,O,X,O,O,X
TLIJSOZ,X,X,X,O,X,O,O,X
TLIJZSO,O,X,X,O,X,O,O,X
TLIJZOS,X,X,X,O,X,O,O,X
TLIJOSZ,X,X,X,O,X,O,O,X
TLIJOZS,X,X,X,O,X,O,O,X
TLISJZO,O,X,X,O,X,O,O,X
TLISJOZ,X,X,X,O,X,O,O,X
TLISZJO,O,X,X,O,X,O,O,X
TLISZOJ,X,X,X,X,X,X,O,X
TLISOJZ,X,X,X,X,X,O,O,X
TLISOZJ,X,X,X,X,X,X,O,X
TLIZJSO,O,O,X,O,X,O,O,X
TLIZJOS,X,O,X,O,X,O,O,O
TLIZSJO,O,X,O,O,X,O,O,X
TLIZSOJ,X,X,O,X,X,X,O,X
TLIZOJS,X,O,X,O,X,X,O,O
TLIZOSJ,X,X,X,X,X,X,O,O
TLIOJSZ,X,X,X,O,X,O,O,X
TLIOJZS,X,X,X,O,X,O,O,O
TLIOSJZ,X,X,X,X,X,O,O,X
TLIOSZJ,X,X,X,X,X,X,O,O
TLIOZJS,X,X,X,O,X,X,O,O
TLIOZSJ,X,X,X,X,X,X,O,O
TLJISZO,X,X,X,O,X,O,X,X
TLJISOZ,X,X,X,O,X,O,X,X
TLJIZSO,O,X,O,O,X,O,X,X
TLJIZOS,X,X,X,O,X,O,X,X
TLJIOSZ,X,X,X,O,X,O,X,X
TLJIOZS,X,X,X,O,X,O,X,X
TLJSIZO,O,X,X,O,X,O,X,X
TLJSIOZ,O,X,X,O,X,O,X,X
TLJSZIO,O,X,X,O,X,O,X,X
TLJSZOI,O,X,X,O,X,O,X,X
TLJSOIZ,O,X,X,O,X,O,X,X
TLJSOZI,O,X,X,O,X,O,X,X
TLJZISO,O,X,O,O,X,O,X,X
TLJZIOS,X,X,X,O,X,O,X,O
TLJZSIO,O,X,O,O,X,O,X,X
TLJZSOI,O,X,O,O,X,O,X,O
TLJZOIS,X,X,X,O,X,O,X,O
TLJZOSI,X,X,X,O,X,O,X,O
TLJOISZ,X,X,X,O,X,O,X,X
TLJOIZS,X,X,X,O,X,O,X,O
TLJOSIZ,X,X,X,O,X,O,X,X
TLJOSZI,X,X,X,O,X,O,X,X
TLJOZIS,X,X,X,O,X,O,X,O
TLJOZSI,X,X,X,O,X,O,X,O
TLSIJZO,O,O,X,O,X,O,O,X
TLSIJOZ,O,X,X,O,X,O,O,X
TLSIZJO,O,O,X,O,X,O,O,X
TLSIZOJ,O,O,X,X,X,X,O,X
TLSIOJZ,O,X,X,X,X,O,O,X
TLSIOZJ,O,O,X,X,X,X,O,X
TLSJIZO,O,O,X,O,X,O,X,X
TLSJIOZ,O,X,X,O,X,O,X,X
TLSJZIO,O,O,X,O,X,O,X,X
TLSJZOI,O,O,X,O,X,O,X,X
TLSJOIZ,O,X,X,O,X,O,X,X
TLSJOZI,O,X,X,O,X,O,X,X
TLSZIJO,O,O,X,O,X,O,X,X
TLSZIOJ,O,O,X,X,X,X,X,X
TLSZJIO,O,O,X,O,X,O,X,X
TLSZJOI,O,O,X,O,X,O,X,O
TLSZOIJ,O,O,X,X,X,X,X,O
TLSZOJI,O,O,X,X,X,X,X,O
TLSOIJZ,O,X,X,X,X,O,X,X
TLSOIZJ,O,O,X,X,X,X,X,O
TLSOJIZ,O,X,X,X,X,O,X,X
TLSOJZI,O,X,X,X,X,O,X,X
TLSOZIJ,O,O,X,X,X,X,X,O
TLSOZJI,O,O,X,X,X,X,X,O
TLZIJSO,O,O,X,O,X,O,X,X
TLZIJOS,X,O,X,O,X,O,X,O
TLZISJO,O,X,O,O,X,O,X,X
TLZISOJ,X,X,O,X,X,X,X,X
TLZIOJS,X,O,X,O,X,X,X,O
TLZIOSJ,X,X,X,X,X,X,X,O
TLZJISO,O,O,O,O,X,O,X,X
TLZJIOS,X,O,X,O,X,O,X,O
TLZJSIO,O,O,O,O,X,O,X,X
TLZJSOI,O,O,O,O,X,O,X,O
TLZJOIS,X,X,X,O,X,O,X,O
TLZJOSI,X,X,X,O,X,O,X,O
TLZSIJO,O,O,O,O,X,O,X,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,O,X,O,X,X
TLZSJOI,O,O,O,O,X,O,X,O
TLZSOIJ,O,O,O,X,X,X,X,O
TLZSOJI,O,O,O,X,X,X,X,O
TLZOIJS,X,O,X,O,X,X,X,O
TLZOISJ,X,X,O,X,X,X,X,O
TLZOJIS,X,O,O,O,X,X,X,O
TLZOJSI,X,O,O,O,X,X,X,O
TLZOSIJ,X,O,O,X,X,X,X,O
TLZOSJI,X,O,O,X,X,X,X,O
TLOIJSZ,X,X,X,O,X,O,X,X
TLOIJZS,X,X,X,O,X,O,X,O
TLOISJZ,X,X,X,X,X,O,X,X
TLOISZJ,X,X,X,X,X,X,X,O
TLOIZJS,X,X,X,O,X,X,X,O
TLOIZSJ,X,X,O,X,X,X,X,O
TLOJISZ,X,X,X,O,X,O,X,X
TLOJIZS,X,X,O,O,X,O,X,O
TLOJSIZ,X,X,X,O,X,O,X,X
TLOJSZI,X,X,X,O,X,O,X,X
TLOJZIS,X,X,O,O,X,O,X,O
TLOJZSI,X,X,O,O,X,O,X,O
TLOSIJZ,X,X,X,X,X,O,X,X
TLOSIZJ,X,X,X,X,X,X,X,O
TLOSJIZ,X,X,X,X,X,O,X,X
TLOSJZI,X,X,X,X,X,O,X,X
TLOSZIJ,X,X,X,X,X,X,X,O
TLOSZJI,X,X,X,X,X,X,X,O
TLOZIJS,X,X,X,O,X,X,X,O
TLOZISJ,X,X,O,X,X,X,X,O
TLOZJIS,X,X,O,O,X,X,X,O
TLOZJSI,X,X,O,O,X,X,X,O
TLOZSIJ,X,X,O,X,X,X,X,O
TLOZSJI,X,X,O,X,X,X,X,O
TJILSZO,X,X,X,O,X,O,X,X
TJILSOZ,X,X,X,O,X,O,X,X
TJILZSO,O,X,O,O,X,O,X,X
TJILZOS,X,X,X,O,X,O,X,X
TJILOSZ,X,X,X,O,X,O,X,X
TJILOZS,X,X,X,O,X,O,X,X
TJISLZO,X,X,X,O,X,O,X,X
TJISLOZ,X,X,X,O,X,O,X,X
TJISZLO,X,X,O,O,X,X,X,X
TJISZOL,X,X,O,O,X,X,X,X
TJISOLZ,X,X,X,O,X,O,X,X
TJISOZL,X,X,X,O,X,X,X,X
TJIZLSO,O,O,O,O,X,X,X,X
TJIZLOS,X,O,X,O,X,X,X,X
TJIZSLO,X,O,O,O,X,X,X,X
TJIZSOL,X,O,O,O,X,X,X,X
