sequence,v115@HhA8IeC8BeA8CeB8DeE8Je0/IvhFlgBanBGjBXmBzn?BRvB,v115@HhA8IeC8BeA8CeB8DeE8Jel/IvhF3gBRiBcoBOrBTn?BSvB,v115@HhA8IeC8BeA8CeB8DeE8Jel/IvhFUhBRiBSoB2sBzq?BXqB,v115@HhA8IeC8BeA8CeB8DeE8JeRBJvhFqnBTjBfrBmmBUq?BlpB,v115@HhA8IeC8BeA8CeB8DeE8JeVFJvhFRiBSoBXmB2sB0p?BzqB,v115@HhA8IeC8BeA8CeB8DeE8Je0/IvhFRmBFoBmmBCoBzq?BXqB,v115@HhA8IeC8BeA8CeB8DeE8JexCJvhF0lBFnBXoB6pBOr?BTqB,v115@HhA8IeC8BeA8CeB8DeE8JeXCJvhFTjBRlB1sB6qBOr?B0pB
TISLJZO,X,X,X,X,O,X,X,X
TISLJOZ,X,X,X,X,O,X,X,X
TISLZJO,X,X,X,X,X,X,O,X
TISLZOJ,X,X,X,X,X,X,O,X
TISLOJZ,X,X,X,X,X,X,X,O
TISLOZJ,X,X,X,X,X,X,X,O
TISJLZO,X,X,X,X,O,X,X,X
TISJLOZ,X,X,X,X,O,X,X,X
TISJZLO,X,X,X,X,O,X,O,X
TISJZOL,X,X,X,X,X,X,O,X
TISJOLZ,X,X,X,X,O,X,X,O
TISJOZL,X,X,X,X,X,X,X,O
TISZLJO,X,O,X,X,X,X,O,X
TISZLOJ,X,O,X,X,X,O,O,X
TISZJLO,X,O,X,X,X,X,O,X
TISZJOL,X,O,X,X,X,X,O,X
TISZOLJ,X,O,X,X,X,O,O,O
TISZOJL,X,O,X,X,X,O,O,O
TISOLJZ,X,X,X,X,X,X,X,O
TISOLZJ,X,X,X,X,X,X,X,O
TISOJLZ,X,X,X,X,X,X,X,O
TISOJZL,X,X,X,X,X,X,X,O
TISOZLJ,X,O,X,X,X,X,O,O
TISOZJL,X,O,X,X,X,X,O,O
TIZLJSO,X,O,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,O,X,X
TIZLSJO,X,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,O,X,X
TIZLOJS,X,O,X,X,X,O,X,X
TIZLOSJ,X,O,X,X,X,O,X,X
TIZJLSO,X,O,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,O,X,X
TIZJSLO,X,O,X,X,X,X,X,X
TIZJSOL,X,O,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,O,X,X
TIZJOSL,X,O,X,X,X,O,X,X
TIZSLJO,X,O,X,X,X,X,O,X
TIZSLOJ,X,O,X,X,X,O,O,X
TIZSJLO,X,O,X,X,X,X,O,X
TIZSJOL,X,O,X,X,X,X,O,X
TIZSOLJ,X,O,X,X,X,O,O,O
TIZSOJL,X,O,X,X,X,O,O,O
TIZOLJS,X,O,X,X,X,O,X,X
TIZOLSJ,X,O,X,X,X,O,X,X
TIZOJLS,X,O,X,X,X,O,X,X
TIZOJSL,X,O,X,X,X,O,X,X
TIZOSLJ,X,O,X,X,X,O,X,O
TIZOSJL,X,O,X,X,X,O,X,O
TIOLJSZ,X,O,O,X,X,X,X,X
TIOLJZS,X,O,O,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,O
TIOLSZJ,X,O,O,X,X,X,X,O
TIOLZJS,X,O,O,X,X,O,X,X
TIOLZSJ,X,O,O,X,X,O,X,X
TIOJLSZ,X,X,O,X,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,O
TIOJSZL,X,O,O,X,X,X,X,O
TIOJZLS,X,O,O,X,X,O,X,X
TIOJZSL,X,O,O,X,X,O,X,X
TIOSLJZ,X,X,X,X,X,X,X,O
TIOSLZJ,X,X,X,X,X,X,X,O
TIOSJLZ,X,X,X,X,X,X,X,O
TIOSJZL,X,X,X,X,X,X,X,O
TIOSZLJ,X,O,X,X,X,O,X,O
TIOSZJL,X,O,X,X,X,O,X,O
TIOZLJS,X,O,O,X,X,O,X,X
TIOZLSJ,X,O,O,X,X,O,X,X
TIOZJLS,X,O,O,X,X,O,X,X
TIOZJSL,X,O,O,X,X,O,X,X
TIOZSLJ,X,O,O,X,X,O,X,O
TIOZSJL,X,O,X,X,X,O,X,O
TLIJSZO,O,O,X,X,O,X,X,X
TLIJSOZ,O,O,O,X,O,X,X,X
TLIJZSO,O,O,X,X,O,X,X,X
TLIJZOS,O,O,O,X,X,X,X,X
TLIJOSZ,X,O,O,X,O,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X
TLISJZO,O,X,X,X,O,X,X,X
TLISJOZ,O,X,X,X,O,X,X,X
TLISZJO,O,O,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X,O
TLISOZJ,O,O,O,X,X,X,X,O
TLIZJSO,O,O,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,O,X,X
TLIZSJO,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,O,X,X
TLIZOJS,O,O,O,X,X,O,X,X
TLIZOSJ,O,O,O,X,X,O,X,X
TLIOJSZ,O,O,O,X,X,X,X,X
TLIOJZS,O,O,O,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,O
TLIOSZJ,O,O,O,X,X,X,X,O
TLIOZJS,O,O,O,X,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X,X
TLJISZO,O,O,X,X,O,X,X,X
TLJISOZ,O,O,O,X,O,X,X,X
TLJIZSO,O,O,X,X,O,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X
TLJIOSZ,X,O,O,X,O,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X
TLJSIZO,O,O,X,O,O,X,X,X
TLJSIOZ,X,O,O,O,O,X,X,X
TLJSZIO,O,O,X,O,O,X,X,X
TLJSZOI,O,O,X,O,O,X,X,X
TLJSOIZ,X,O,O,O,O,X,X,X
TLJSOZI,O,O,O,O,O,X,X,X
TLJZISO,O,O,X,X,O,X,X,X
TLJZIOS,O,O,O,X,X,X,X,X
TLJZSIO,O,O,X,X,O,X,X,X
TLJZSOI,O,O,X,X,O,X,X,X
TLJZOIS,O,O,O,X,X,X,X,X
TLJZOSI,O,O,O,X,X,X,X,X
TLJOISZ,X,O,O,X,O,X,X,X
TLJOIZS,X,O,O,X,X,X,X,X
TLJOSIZ,X,O,O,O,O,X,X,X
TLJOSZI,X,O,O,O,O,X,X,X
TLJOZIS,X,O,O,X,X,X,X,X
TLJOZSI,X,O,O,X,X,X,X,X
TLSIJZO,O,X,X,X,O,X,X,X
TLSIJOZ,X,X,X,X,O,X,X,X
TLSIZJO,O,O,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,X,X,O,X
TLSIOJZ,O,X,X,X,X,X,X,O
TLSIOZJ,O,O,O,X,X,X,X,O
TLSJIZO,O,O,X,O,O,X,X,X
TLSJIOZ,X,O,O,O,O,X,X,X
TLSJZIO,O,O,X,O,O,X,X,X
TLSJZOI,O,O,X,O,O,X,X,X
TLSJOIZ,O,O,O,O,O,X,X,X
TLSJOZI,O,O,O,O,O,X,X,X
TLSZIJO,O,O,X,X,X,X,O,X
TLSZIOJ,O,O,X,X,X,X,O,X
TLSZJIO,O,O,X,X,O,X,O,X
TLSZJOI,O,O,X,X,O,X,O,X
TLSZOIJ,O,O,X,X,X,X,O,X
TLSZOJI,O,O,X,X,X,X,O,X
TLSOIJZ,O,X,X,X,X,X,X,O
TLSOIZJ,O,O,O,X,X,X,X,O
TLSOJIZ,O,O,O,O,O,X,X,X
TLSOJZI,O,O,O,O,O,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,X
TLSOZJI,O,O,O,X,X,X,X,X
TLZIJSO,O,O,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,O,X,X
TLZISJO,O,O,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,O,X,X
TLZIOJS,O,O,O,X,X,O,X,X
TLZIOSJ,O,O,O,X,X,O,X,X
TLZJISO,O,O,X,X,O,X,X,X
TLZJIOS,O,O,O,X,X,X,X,X
TLZJSIO,O,O,X,X,O,X,X,X
TLZJSOI,O,O,X,X,O,X,X,X
TLZJOIS,O,O,O,X,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X,X
TLZSIJO,O,O,X,X,X,X,O,X
TLZSIOJ,O,O,X,X,X,X,O,X
TLZSJIO,O,O,X,X,O,X,O,X
TLZSJOI,O,O,X,X,O,X,O,X
TLZSOIJ,O,O,X,X,X,X,O,X
TLZSOJI,O,O,X,X,X,X,O,X
TLZOIJS,O,O,O,X,X,O,X,X
TLZOISJ,O,O,O,X,X,O,X,X
TLZOJIS,O,O,O,X,X,X,X,X
TLZOJSI,O,O,O,X,X,X,X,X
TLZOSIJ,O,O,O,X,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,X,O
TLOISZJ,O,O,O,X,X,X,X,O
TLOIZJS,O,O,O,X,X,O,X,X
TLOIZSJ,O,O,O,X,X,O,X,X
TLOJISZ,O,O,O,X,O,X,X,X
TLOJIZS,O,O,O,X,X,X,X,X
TLOJSIZ,O,O,O,O,O,X,X,X
TLOJSZI,O,O,O,O,O,X,X,X
TLOJZIS,O,O,O,X,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,O
TLOSIZJ,O,O,O,X,X,X,X,O
TLOSJIZ,O,O,O,O,O,X,X,X
TLOSJZI,O,O,O,O,O,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X
TLOZIJS,O,O,O,X,X,O,X,X
TLOZISJ,O,O,O,X,X,O,X,X
TLOZJIS,O,O,O,X,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X,X
TJILSZO,O,X,X,X,O,X,X,X
TJILSOZ,O,X,O,X,O,X,X,X
TJILZSO,O,X,X,X,O,X,X,X
TJILZOS,O,X,O,X,X,X,X,X
TJILOSZ,X,X,O,X,O,X,X,X
TJILOZS,X,X,O,X,X,X,X,X
TJISLZO,O,X,X,X,O,X,X,X
TJISLOZ,O,X,O,X,O,X,X,X
TJISZLO,O,O,X,X,O,X,X,X
TJISZOL,O,O,X,X,X,X,X,X
TJISOLZ,O,X,O,X,O,X,X,O
TJISOZL,O,O,O,X,X,X,X,O
TJIZLSO,O,O,X,X,O,X,X,X
TJIZLOS,O,X,O,X,X,O,X,X
TJIZSLO,O,O,X,X,O,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X
TJIZOLS,O,O,O,X,X,O,X,X
TJIZOSL,X,O,O,X,X,O,X,X
TJIOLSZ,X,X,O,X,O,X,X,X
TJIOLZS,X,X,O,X,X,X,X,X
TJIOSLZ,X,X,O,X,O,X,X,O
TJIOSZL,X,O,O,X,X,X,X,O
TJIOZLS,X,O,O,X,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X,X
TJLISZO,O,O,X,X,O,X,X,X
TJLISOZ,O,O,O,X,O,X,X,X
TJLIZSO,O,O,X,X,O,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X
TJLIOSZ,X,O,O,X,O,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X
TJLSIZO,O,O,X,O,O,X,X,X
TJLSIOZ,X,O,O,O,O,X,X,X
TJLSZIO,O,O,X,O,O,X,X,X
TJLSZOI,O,O,X,O,O,X,X,X
TJLSOIZ,X,O,O,O,O,X,X,X
TJLSOZI,O,O,O,O,O,X,X,X
TJLZISO,O,O,X,X,O,X,X,X
TJLZIOS,O,O,O,X,X,X,X,X
TJLZSIO,O,O,X,X,O,X,X,X
TJLZSOI,O,O,X,X,O,X,X,X
TJLZOIS,O,O,O,X,X,X,X,X
TJLZOSI,O,O,O,X,X,X,X,X
TJLOISZ,X,O,O,X,O,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X
TJLOSIZ,X,O,O,O,O,X,X,X
TJLOSZI,X,O,O,O,O,X,X,X
TJLOZIS,X,O,O,X,X,X,X,X
TJLOZSI,X,O,O,X,X,X,X,X
TJSILZO,O,X,X,O,O,X,X,X
TJSILOZ,X,X,O,O,O,X,X,X
TJSIZLO,O,O,X,X,O,X,O,X
TJSIZOL,X,O,X,X,X,X,O,X
TJSIOLZ,X,X,O,X,O,X,X,O
TJSIOZL,X,O,O,X,X,X,X,O
TJSLIZO,O,X,X,O,O,X,X,X
TJSLIOZ,X,X,O,O,O,X,X,X
TJSLZIO,O,O,X,O,O,X,X,X
TJSLZOI,O,O,X,O,O,X,X,X
TJSLOIZ,X,X,O,O,O,X,X,X
TJSLOZI,O,O,O,O,O,X,X,X
TJSZILO,O,O,X,X,O,X,O,X
TJSZIOL,X,O,X,X,X,X,O,X
TJSZLIO,O,O,X,X,O,X,O,X
TJSZLOI,O,O,X,X,O,X,O,X
TJSZOIL,X,O,X,X,X,X,O,X
TJSZOLI,O,O,X,X,X,X,O,X
TJSOILZ,X,X,O,X,O,X,X,O
TJSOIZL,X,O,O,X,X,X,X,O
TJSOLIZ,X,X,O,O,O,X,X,X
TJSOLZI,O,O,O,O,O,X,X,X
TJSOZIL,X,O,O,X,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X,X
TJZILSO,O,O,X,X,O,X,X,X
TJZILOS,O,O,O,X,X,O,X,X
TJZISLO,O,O,X,X,O,X,X,X
TJZISOL,O,O,X,X,X,X,X,X
TJZIOLS,O,O,O,X,X,O,X,X
TJZIOSL,X,O,O,X,X,O,X,X
TJZLISO,O,O,X,X,O,X,X,X
TJZLIOS,O,O,O,X,X,X,X,X
TJZLSIO,O,O,X,X,O,X,X,X
TJZLSOI,O,O,X,X,O,X,X,X
TJZLOIS,O,O,O,X,X,X,X,X
TJZLOSI,O,O,O,X,X,X,X,X
TJZSILO,O,O,X,X,O,X,O,X
TJZSIOL,X,O,X,X,X,X,O,X
TJZSLIO,O,O,X,X,O,X,O,X
TJZSLOI,O,O,X,X,O,X,O,X
TJZSOIL,X,O,X,X,X,X,O,X
TJZSOLI,O,O,X,X,X,X,O,X
TJZOILS,X,O,O,X,X,O,X,X
TJZOISL,X,O,O,X,X,O,X,X
TJZOLIS,O,O,O,X,X,X,X,X
TJZOLSI,O,O,O,X,X,X,X,X
TJZOSIL,X,O,O,X,X,X,X,X
TJZOSLI,X,O,O,X,X,X,X,X
TJOILSZ,X,X,O,X,O,X,X,X
TJOILZS,X,X,O,X,X,X,X,X
TJOISLZ,X,X,O,X,O,X,X,O
TJOISZL,X,O,O,X,X,X,X,O
TJOIZLS,X,O,O,X,X,O,X,X
TJOIZSL,X,O,O,X,X,O,X,X
TJOLISZ,X,O,O,X,O,X,X,X
TJOLIZS,X,O,O,X,X,X,X,X
TJOLSIZ,X,O,O,O,O,X,X,X
TJOLSZI,X,O,O,O,O,X,X,X
TJOLZIS,X,O,O,X,X,X,X,X
TJOLZSI,X,O,O,X,X,X,X,X
TJOSILZ,X,X,O,X,O,X,X,O
TJOSIZL,X,O,O,X,X,X,X,O
TJOSLIZ,X,X,O,O,O,X,X,X
TJOSLZI,X,O,O,O,O,X,X,X
TJOSZIL,X,O,O,X,X,X,X,X
TJOSZLI,X,O,O,X,X,X,X,X
TJOZILS,X,O,O,X,X,O,X,X
TJOZISL,X,O,O,X,X,O,X,X
TJOZLIS,X,O,O,X,X,X,X,X
TJOZLSI,X,O,O,X,X,X,X,X
TJOZSIL,X,O,O,X,X,X,X,X
TJOZSLI,X,O,O,X,X,X,X,X
TSILJZO,O,X,X,X,O,X,X,X
TSILJOZ,X,X,X,X,O,X,X,X
TSILZJO,O,X,X,X,X,X,O,X
TSILZOJ,O,X,X,X,X,X,O,X
TSILOJZ,O,X,X,X,X,X,X,O
TSILOZJ,O,X,X,X,X,X,X,O
TSIJLZO,O,X,X,O,O,X,X,X
TSIJLOZ,X,X,X,O,O,X,X,X
TSIJZLO,O,X,X,X,O,X,O,X
TSIJZOL,X,X,X,X,X,X,O,X
TSIJOLZ,X,X,X,X,O,X,X,O
TSIJOZL,X,X,X,X,X,X,X,O
TSIZLJO,O,O,X,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,O,O,X
TSIZJLO,O,O,X,X,X,X,O,X
TSIZJOL,X,O,X,X,X,X,O,X
TSIZOLJ,O,O,X,X,X,O,O,O
TSIZOJL,O,O,X,X,X,O,O,O
TSIOLJZ,O,X,X,X,X,X,X,O
TSIOLZJ,O,X,X,X,X,X,X,O
TSIOJLZ,O,X,X,X,X,X,X,O
TSIOJZL,O,X,X,X,X,X,X,O
TSIOZLJ,O,O,X,X,X,X,O,O
TSIOZJL,O,O,X,X,X,X,O,O
TSLIJZO,O,X,X,X,O,X,X,X
TSLIJOZ,X,X,X,X,O,X,X,X
TSLIZJO,O,O,X,X,X,X,O,X
TSLIZOJ,O,O,X,X,X,X,O,X
TSLIOJZ,O,X,X,X,X,X,X,O
TSLIOZJ,O,O,O,X,X,X,X,O
TSLJIZO,O,O,X,O,O,X,X,X
TSLJIOZ,X,O,O,O,O,X,X,X
TSLJZIO,O,O,X,O,O,X,X,X
TSLJZOI,O,O,X,O,O,X,X,X
TSLJOIZ,O,O,O,O,O,X,X,X
TSLJOZI,O,O,O,O,O,X,X,X
TSLZIJO,O,O,X,X,X,X,O,X
TSLZIOJ,O,O,X,X,X,X,O,X
TSLZJIO,O,O,X,X,O,X,O,X
TSLZJOI,O,O,X,X,O,X,O,X
TSLZOIJ,O,O,X,X,X,X,O,X
TSLZOJI,O,O,X,X,X,X,O,X
TSLOIJZ,O,X,X,X,X,X,X,O
TSLOIZJ,O,O,O,X,X,X,X,O
TSLOJIZ,O,O,O,O,O,X,X,X
TSLOJZI,O,O,O,O,O,X,X,X
TSLOZIJ,O,O,O,X,X,X,X,X
TSLOZJI,O,O,O,X,X,X,X,X
TSJILZO,O,X,X,O,O,X,X,X
TSJILOZ,X,X,O,O,O,X,X,X
TSJIZLO,O,O,X,X,O,X,O,X
TSJIZOL,X,O,X,X,X,X,O,X
TSJIOLZ,X,X,O,X,O,X,X,O
TSJIOZL,X,O,O,X,X,X,X,O
TSJLIZO,O,X,X,O,O,X,X,X
TSJLIOZ,X,X,O,O,O,X,X,X
TSJLZIO,O,O,X,O,O,X,X,X
TSJLZOI,O,O,X,O,O,X,X,X
TSJLOIZ,O,X,O,O,O,X,X,X
TSJLOZI,O,O,O,O,O,X,X,X
TSJZILO,O,O,X,X,O,X,O,X
TSJZIOL,X,O,X,X,X,X,O,X
TSJZLIO,O,O,X,X,O,X,O,X
TSJZLOI,O,O,X,X,O,X,O,X
TSJZOIL,O,O,X,X,X,X,O,X
TSJZOLI,O,O,X,X,X,X,O,X
TSJOILZ,O,X,O,X,O,X,X,O
TSJOIZL,O,O,O,X,X,X,X,O
TSJOLIZ,O,X,O,O,O,X,X,X
TSJOLZI,O,O,O,O,O,X,X,X
TSJOZIL,O,O,O,X,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,O,X
TSZILOJ,O,O,X,X,X,O,O,X
TSZIJLO,O,O,X,X,X,X,O,X
TSZIJOL,X,O,X,X,X,X,O,X
TSZIOLJ,O,O,X,X,X,O,O,O
TSZIOJL,O,O,X,X,X,O,O,O
TSZLIJO,O,O,X,X,X,X,O,X
TSZLIOJ,O,O,X,X,X,X,O,X
TSZLJIO,O,O,X,X,O,X,O,X
TSZLJOI,O,O,X,X,O,X,O,X
TSZLOIJ,O,O,X,X,X,X,O,X
TSZLOJI,O,O,X,X,X,X,O,X
TSZJILO,O,O,X,X,O,X,O,X
TSZJIOL,X,O,X,X,X,X,O,X
TSZJLIO,O,O,X,X,O,X,O,X
TSZJLOI,O,O,X,X,O,X,O,X
TSZJOIL,O,O,X,X,X,X,O,X
TSZJOLI,O,O,X,X,X,X,O,X
TSZOILJ,O,O,X,X,X,O,O,O
TSZOIJL,O,O,X,X,X,O,O,O
TSZOLIJ,O,O,X,X,X,X,O,X
TSZOLJI,O,O,X,X,X,X,O,X
TSZOJIL,O,O,X,X,X,X,O,X
TSZOJLI,O,O,X,X,X,X,O,X
TSOILJZ,O,X,X,X,X,X,X,O
TSOILZJ,O,X,X,X,X,X,X,O
TSOIJLZ,O,X,X,X,X,X,X,O
TSOIJZL,O,X,X,X,X,X,X,O
TSOIZLJ,O,O,X,X,X,O,O,O
TSOIZJL,O,O,X,X,X,O,O,O
TSOLIJZ,O,X,X,X,X,X,X,O
TSOLIZJ,O,O,O,X,X,X,X,O
TSOLJIZ,O,O,O,O,O,X,X,X
TSOLJZI,O,O,O,O,O,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X
TSOJILZ,O,X,O,X,O,X,X,O
TSOJIZL,O,O,O,X,X,X,X,O
TSOJLIZ,O,X,O,O,O,X,X,X
TSOJLZI,O,O,O,O,O,X,X,X
TSOJZIL,O,O,O,X,X,X,X,X
TSOJZLI,O,O,O,X,X,X,X,X
TSOZILJ,O,O,O,X,X,O,O,O
TSOZIJL,O,O,X,X,X,O,O,O
TSOZLIJ,O,O,O,X,X,X,O,X
TSOZLJI,O,O,O,X,X,X,O,X
TSOZJIL,O,O,O,X,X,X,O,X
TSOZJLI,O,O,O,X,X,X,O,X
TZILJSO,O,O,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,O,X,X
TZILSJO,X,O,X,X,X,X,X,X
TZILSOJ,X,O,X,X,X,O,X,X
TZILOJS,O,O,X,X,X,O,X,X
TZILOSJ,X,O,X,X,X,O,X,X
TZIJLSO,O,O,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,O,X,X
TZIJSLO,X,O,X,X,X,X,X,X
TZIJSOL,X,O,X,X,X,X,X,X
TZIJOLS,X,O,X,X,X,O,X,X
TZIJOSL,X,O,X,X,X,O,X,X
TZISLJO,X,O,X,X,X,X,O,X
TZISLOJ,X,O,X,X,X,O,O,X
TZISJLO,X,O,X,X,X,X,O,X
TZISJOL,X,O,X,X,X,X,O,X
TZISOLJ,X,O,X,X,X,O,O,O
TZISOJL,X,O,X,X,X,O,O,O
TZIOLJS,O,O,X,X,X,O,X,X
TZIOLSJ,X,O,X,X,X,O,X,X
TZIOJLS,O,O,X,X,X,O,X,X
TZIOJSL,X,O,X,X,X,O,X,X
TZIOSLJ,X,O,X,X,X,O,X,O
TZIOSJL,X,O,X,X,X,O,X,O
TZLIJSO,O,O,X,X,X,X,X,X
TZLIJOS,O,O,X,X,X,O,X,X
TZLISJO,O,O,X,X,X,X,X,X
TZLISOJ,O,O,X,X,X,O,X,X
TZLIOJS,O,O,O,X,X,O,X,X
TZLIOSJ,O,O,O,X,X,O,X,X
TZLJISO,O,O,X,X,O,X,X,X
TZLJIOS,O,O,O,X,X,X,X,X
TZLJSIO,O,O,X,X,O,X,X,X
TZLJSOI,O,O,X,X,O,X,X,X
TZLJOIS,O,O,O,X,X,X,X,X
TZLJOSI,O,O,O,X,X,X,X,X
TZLSIJO,O,O,X,X,X,X,O,X
TZLSIOJ,O,O,X,X,X,X,O,X
TZLSJIO,O,O,X,X,O,X,O,X
TZLSJOI,O,O,X,X,O,X,O,X
TZLSOIJ,O,O,X,X,X,X,O,X
TZLSOJI,O,O,X,X,X,X,O,X
TZLOIJS,O,O,O,X,X,O,X,X
TZLOISJ,O,O,O,X,X,O,X,X
TZLOJIS,O,O,O,X,X,X,X,X
TZLOJSI,O,O,O,X,X,X,X,X
TZLOSIJ,O,O,O,X,X,X,X,X
TZLOSJI,O,O,O,X,X,X,X,X
TZJILSO,O,O,X,X,O,X,X,X
TZJILOS,O,O,O,X,X,O,X,X
TZJISLO,O,O,X,X,O,X,X,X
TZJISOL,O,O,X,X,X,X,X,X
TZJIOLS,O,O,O,X,X,O,X,X
TZJIOSL,X,O,O,X,X,O,X,X
TZJLISO,O,O,X,X,O,X,X,X
TZJLIOS,O,O,O,X,X,X,X,X
TZJLSIO,O,O,X,X,O,X,X,X
TZJLSOI,O,O,X,X,O,X,X,X
TZJLOIS,O,O,O,X,X,X,X,X
TZJLOSI,O,O,O,X,X,X,X,X
TZJSILO,O,O,X,X,O,X,O,X
TZJSIOL,X,O,X,X,X,X,O,X
TZJSLIO,O,O,X,X,O,X,O,X
TZJSLOI,O,O,X,X,O,X,O,X
TZJSOIL,X,O,X,X,X,X,O,X
TZJSOLI,O,O,X,X,X,X,O,X
TZJOILS,O,O,O,X,X,O,X,X
