sequence,v115@9gB8HeC8GeA8IeC8CeC8Ke0AJvhFlhB3iB5oBysBGq?BTrB,v115@9gB8HeC8GeA8IeC8CeC8KelAJvhFcmBiiB5oBznBGq?B3rB,v115@9gB8HeC8GeA8IeC8CeC8Ke8FJvhFumBaoB5oBTnBXl?BVwB,v115@9gB8HeC8GeA8IeC8CeC8Ke0AJvhF/nBaoB5oB1rBGq?BTrB,v115@9gB8HeC8GeA8IeC8CeC8KeTBJvhFmiB5oBqqB0nBXl?BlrB
ITJLSOZ,O,X,X,O,X
ITJLZSO,O,X,X,O,X
ITJLZOS,O,X,O,X,X
ITJLOSZ,O,X,O,X,X
ITJLOZS,O,X,O,X,X
ITJSLZO,X,O,X,O,X
ITJSLOZ,X,X,X,O,X
ITJSZLO,X,O,X,O,X
ITJSZOL,X,O,O,O,X
ITJSOLZ,X,O,O,O,X
ITJSOZL,X,O,O,O,X
ITJZLSO,O,X,X,O,X
ITJZLOS,O,X,O,X,X
ITJZSLO,O,X,X,O,X
ITJZSOL,X,X,O,O,X
ITJZOLS,O,X,O,X,X
ITJZOSL,X,X,O,O,X
ITJOLSZ,O,O,O,X,X
ITJOLZS,O,X,O,X,X
ITJOSLZ,O,O,O,O,X
ITJOSZL,O,O,O,O,X
ITJOZLS,O,X,O,X,X
ITJOZSL,O,X,O,O,X
ITSLJZO,X,O,X,O,X
ITSLJOZ,X,X,X,O,X
ITSLZJO,X,O,X,O,X
ITSLZOJ,X,O,O,X,X
ITSLOJZ,X,X,O,O,X
ITSLOZJ,X,X,O,X,X
ITSJLZO,X,O,X,O,X
ITSJLOZ,X,X,X,O,X
ITSJZLO,X,O,X,O,X
ITSJZOL,X,O,O,O,X
ITSJOLZ,X,O,O,O,X
ITSJOZL,X,O,O,O,X
ITSZLJO,X,O,X,O,X
ITSZLOJ,X,O,O,X,X
ITSZJLO,X,O,X,O,X
ITSZJOL,X,O,O,O,X
ITSZOLJ,X,O,O,X,X
ITSZOJL,X,O,O,X,X
ITSOLJZ,X,O,O,O,X
ITSOLZJ,X,O,O,X,X
ITSOJLZ,X,O,O,O,X
ITSOJZL,X,O,O,O,X
ITSOZLJ,X,O,O,X,X
ITSOZJL,X,O,O,X,X
ITZLJSO,O,X,X,X,O
ITZLJOS,O,X,O,X,O
ITZLSJO,O,X,X,X,O
ITZLSOJ,O,X,O,X,O
ITZLOJS,X,X,O,X,O
ITZLOSJ,O,X,O,X,O
ITZJLSO,O,X,X,O,O
ITZJLOS,O,X,O,X,O
ITZJSLO,O,X,X,O,X
ITZJSOL,X,X,O,O,X
ITZJOLS,O,X,O,X,X
ITZJOSL,X,X,O,O,X
ITZSLJO,O,X,X,O,X
ITZSLOJ,O,X,O,X,X
ITZSJLO,X,X,X,O,X
ITZSJOL,X,X,O,O,X
ITZSOLJ,X,X,O,X,X
ITZSOJL,X,X,O,X,X
ITZOLJS,X,X,O,X,X
ITZOLSJ,O,X,O,X,X
ITZOJLS,X,X,O,X,X
ITZOJSL,X,X,O,X,X
ITZOSLJ,X,X,O,X,X
ITZOSJL,X,X,O,X,X
ITOLJSZ,O,O,O,X,X
ITOLJZS,O,X,O,X,X
ITOLSJZ,O,O,O,X,X
ITOLSZJ,O,O,O,X,X
ITOLZJS,O,X,O,X,X
ITOLZSJ,O,X,O,X,X
ITOJLSZ,O,O,O,X,X
ITOJLZS,O,X,O,X,X
ITOJSLZ,O,O,O,O,X
ITOJSZL,O,O,O,O,X
ITOJZLS,O,X,O,X,X
ITOJZSL,O,X,O,O,X
ITOSLJZ,O,O,O,O,X
ITOSLZJ,O,O,O,X,X
ITOSJLZ,X,O,O,O,X
ITOSJZL,X,O,O,O,X
ITOSZLJ,O,O,O,X,X
ITOSZJL,X,O,O,X,X
ITOZLJS,O,X,O,X,X
ITOZLSJ,O,X,O,X,X
ITOZJLS,O,X,O,X,X
ITOZJSL,X,X,O,X,X
ITOZSLJ,O,X,O,X,X
ITOZSJL,X,X,O,X,X
ILTJSZO,O,X,X,O,X
ILTJSOZ,O,X,X,O,X
ILTJZSO,O,X,X,O,O
ILTJZOS,O,X,O,X,O
ILTJOSZ,O,X,O,X,X
ILTJOZS,O,X,O,X,O
ILTSJZO,O,X,X,O,X
ILTSJOZ,O,X,X,O,X
ILTSZJO,O,X,X,O,O
ILTSZOJ,O,X,O,X,O
ILTSOJZ,O,X,O,O,X
ILTSOZJ,O,X,O,X,O
ILTZJSO,O,X,X,X,O
ILTZJOS,O,X,O,X,O
ILTZSJO,O,X,X,X,O
ILTZSOJ,O,X,O,X,O
ILTZOJS,X,X,O,X,O
ILTZOSJ,O,X,O,X,O
ILTOJSZ,O,X,O,X,X
ILTOJZS,O,X,O,X,O
ILTOSJZ,O,X,O,X,X
ILTOSZJ,O,X,O,X,O
ILTOZJS,O,X,O,X,O
ILTOZSJ,O,X,O,X,O
ILJTSZO,O,X,X,O,X
ILJTSOZ,O,X,X,O,X
ILJTZSO,O,X,X,O,O
ILJTZOS,O,X,O,X,O
ILJTOSZ,O,X,O,X,X
ILJTOZS,O,X,O,X,O
ILJSTZO,O,O,X,O,X
ILJSTOZ,O,X,X,O,X
ILJSZTO,O,O,X,O,X
ILJSZOT,O,O,X,X,X
ILJSOTZ,O,O,X,O,X
ILJSOZT,O,O,X,X,X
ILJZTSO,O,X,X,O,O
ILJZTOS,O,X,X,X,O
ILJZSTO,O,X,X,O,O
ILJZSOT,O,X,X,X,X
ILJZOTS,O,X,X,X,O
ILJZOST,O,X,X,X,X
ILJOTSZ,O,O,O,X,X
ILJOTZS,O,X,O,X,X
ILJOSTZ,O,O,X,O,X
ILJOSZT,O,O,X,X,X
ILJOZTS,O,X,X,X,X
ILJOZST,O,O,X,X,X
ILSTJZO,O,O,X,O,X
ILSTJOZ,O,X,X,O,X
ILSTZJO,O,O,X,O,O
ILSTZOJ,O,O,O,X,O
ILSTOJZ,O,X,O,O,X
ILSTOZJ,O,X,O,X,O
ILSJTZO,O,O,X,O,X
ILSJTOZ,O,X,X,O,X
ILSJZTO,O,O,X,O,X
ILSJZOT,O,O,X,X,X
ILSJOTZ,O,O,X,O,X
ILSJOZT,O,O,X,X,X
ILSZTJO,O,O,X,O,O
ILSZTOJ,O,O,X,X,O
ILSZJTO,O,O,X,O,O
ILSZJOT,O,O,X,X,X
ILSZOTJ,O,O,X,X,X
ILSZOJT,O,O,X,X,X
ILSOTJZ,O,O,O,O,X
ILSOTZJ,O,O,O,X,X
ILSOJTZ,O,O,X,O,X
ILSOJZT,O,O,X,X,X
ILSOZTJ,O,O,X,X,X
ILSOZJT,O,O,X,X,X
ILZTJSO,O,X,X,X,O
ILZTJOS,O,X,O,X,O
ILZTSJO,O,X,X,X,O
ILZTSOJ,O,X,O,X,O
ILZTOJS,X,X,O,X,O
ILZTOSJ,O,X,O,X,O
ILZJTSO,O,X,X,O,O
ILZJTOS,O,X,X,X,O
ILZJSTO,O,X,X,O,O
ILZJSOT,O,X,X,X,X
ILZJOTS,O,X,X,X,O
ILZJOST,O,X,X,X,X
ILZSTJO,O,X,X,O,O
ILZSTOJ,O,X,X,X,O
ILZSJTO,O,X,X,O,O
ILZSJOT,O,X,X,X,X
ILZSOTJ,O,X,X,X,X
ILZSOJT,O,X,X,X,X
ILZOTJS,O,X,O,X,O
ILZOTSJ,O,X,O,X,O
ILZOJTS,O,X,X,X,O
ILZOJST,O,X,X,X,X
ILZOSTJ,O,X,X,X,X
ILZOSJT,O,X,X,X,X
ILOTJSZ,O,O,O,X,X
ILOTJZS,O,X,O,X,O
ILOTSJZ,O,O,O,X,X
ILOTSZJ,O,O,O,X,O
ILOTZJS,O,X,O,X,O
ILOTZSJ,O,X,O,X,O
ILOJTSZ,O,O,O,X,X
ILOJTZS,O,X,O,X,X
ILOJSTZ,O,O,X,O,X
ILOJSZT,O,O,X,X,X
ILOJZTS,O,X,X,X,X
ILOJZST,O,O,X,X,X
ILOSTJZ,O,O,O,O,X
ILOSTZJ,O,O,O,X,X
ILOSJTZ,O,O,X,O,X
ILOSJZT,O,O,X,X,X
ILOSZTJ,O,O,X,X,X
ILOSZJT,O,O,X,X,X
ILOZTJS,O,X,O,X,O
ILOZTSJ,O,X,O,X,O
ILOZJTS,O,X,X,X,O
ILOZJST,O,O,X,X,X
ILOZSTJ,O,O,X,X,X
ILOZSJT,O,O,X,X,X
IJTLSZO,O,X,X,O,X
IJTLSOZ,O,X,X,O,X
IJTLZSO,O,X,X,O,X
IJTLZOS,O,X,O,X,X
IJTLOSZ,O,X,O,X,X
IJTLOZS,O,X,O,X,X
IJTSLZO,X,O,X,O,X
IJTSLOZ,X,X,X,O,X
IJTSZLO,X,O,X,O,X
IJTSZOL,X,O,O,O,X
IJTSOLZ,X,O,O,O,X
IJTSOZL,X,O,O,O,X
IJTZLSO,O,X,X,O,X
IJTZLOS,O,X,O,X,X
IJTZSLO,O,X,X,O,X
IJTZSOL,X,X,O,O,X
IJTZOLS,O,X,O,X,X
IJTZOSL,X,X,O,O,X
IJTOLSZ,O,O,O,X,X
IJTOLZS,O,X,O,X,X
IJTOSLZ,O,O,O,O,X
IJTOSZL,O,O,O,O,X
IJTOZLS,O,X,O,X,X
IJTOZSL,O,X,O,O,X
IJLTSZO,O,X,X,O,X
IJLTSOZ,O,X,X,O,X
IJLTZSO,O,X,X,O,O
IJLTZOS,O,X,O,X,O
IJLTOSZ,O,X,O,X,X
IJLTOZS,O,X,O,X,O
IJLSTZO,O,O,X,O,X
IJLSTOZ,O,X,X,O,X
IJLSZTO,O,O,X,O,X
IJLSZOT,O,O,X,X,X
IJLSOTZ,O,O,X,O,X
IJLSOZT,O,O,X,X,X
IJLZTSO,O,X,X,O,O
IJLZTOS,O,X,X,X,O
IJLZSTO,O,X,X,O,O
IJLZSOT,O,X,X,X,X
IJLZOTS,O,X,X,X,O
IJLZOST,O,X,X,X,X
IJLOTSZ,O,O,O,X,X
IJLOTZS,O,X,O,X,X
IJLOSTZ,O,O,X,O,X
IJLOSZT,O,O,X,X,X
IJLOZTS,O,X,X,X,X
IJLOZST,O,O,X,X,X
IJSTLZO,X,O,X,O,X
IJSTLOZ,X,X,X,O,X
IJSTZLO,X,O,X,O,X
IJSTZOL,X,O,X,O,X
IJSTOLZ,X,O,X,O,X
IJSTOZL,X,O,X,O,X
IJSLTZO,O,O,X,O,X
IJSLTOZ,O,X,X,O,X
IJSLZTO,O,O,X,O,X
IJSLZOT,O,O,X,X,X
IJSLOTZ,O,O,X,O,X
IJSLOZT,O,O,X,X,X
IJSZTLO,O,O,X,O,X
IJSZTOL,X,O,X,O,X
IJSZLTO,O,O,X,O,X
IJSZLOT,O,O,X,X,X
IJSZOTL,X,O,X,X,X
IJSZOLT,X,O,X,X,X
IJSOTLZ,O,O,X,O,X
IJSOTZL,O,O,X,O,X
IJSOLTZ,O,O,X,O,X
IJSOLZT,O,O,X,X,X
IJSOZTL,O,O,X,X,X
IJSOZLT,O,O,X,X,X
IJZTLSO,O,X,X,O,O
IJZTLOS,O,X,X,X,O
IJZTSLO,O,X,X,O,X
IJZTSOL,X,X,X,O,X
IJZTOLS,O,X,X,X,X
IJZTOSL,X,X,X,O,X
IJZLTSO,O,X,X,O,O
IJZLTOS,O,X,X,X,O
IJZLSTO,O,X,X,O,O
IJZLSOT,O,X,X,X,X
IJZLOTS,O,X,X,X,O
IJZLOST,O,X,X,X,X
IJZSTLO,O,O,X,O,X
IJZSTOL,X,O,X,O,X
IJZSLTO,O,O,X,O,O
IJZSLOT,O,O,X,X,X
IJZSOTL,X,O,X,X,X
IJZSOLT,X,O,X,X,X
IJZOTLS,O,X,X,X,X
IJZOTSL,O,X,X,O,X
IJZOLTS,O,X,X,X,O
IJZOLST,O,O,X,X,X
IJZOSTL,O,O,X,X,X
IJZOSLT,O,O,X,X,X
IJOTLSZ,O,O,O,X,X
IJOTLZS,O,X,O,X,X
IJOTSLZ,O,O,O,O,X
IJOTSZL,O,O,O,O,X
IJOTZLS,O,X,O,X,X
IJOTZSL,O,X,O,O,X
IJOLTSZ,O,O,O,X,X
IJOLTZS,O,X,O,X,X
IJOLSTZ,O,O,X,O,X
IJOLSZT,O,O,X,X,X
IJOLZTS,O,X,X,X,X
IJOLZST,O,O,X,X,X
IJOSTLZ,O,O,X,O,X
IJOSTZL,O,O,X,O,X
IJOSLTZ,O,O,X,O,X
IJOSLZT,O,O,X,X,X
IJOSZTL,O,O,X,X,X
IJOSZLT,O,O,X,X,X
IJOZTLS,O,X,X,X,X
IJOZTSL,O,X,X,O,X
IJOZLTS,O,X,X,X,X
IJOZLST,O,O,X,X,X
IJOZSTL,O,O,X,X,X
IJOZSLT,O,O,X,X,X
ISTLJZO,X,O,X,O,X
ISTLJOZ,X,X,X,O,X
ISTLZJO,X,O,X,O,X
ISTLZOJ,X,O,O,X,X
ISTLOJZ,X,X,O,O,X
ISTLOZJ,X,X,O,X,X
ISTJLZO,X,O,X,O,X
ISTJLOZ,X,X,X,O,X
ISTJZLO,X,O,X,O,X
ISTJZOL,X,O,O,O,X
ISTJOLZ,X,O,O,O,X
ISTJOZL,X,O,O,O,X
ISTZLJO,X,O,X,O,X
ISTZLOJ,X,O,O,X,X
ISTZJLO,X,O,X,O,X
ISTZJOL,X,O,O,O,X
ISTZOLJ,X,O,O,X,X
ISTZOJL,X,O,O,X,X
ISTOLJZ,X,O,O,O,X
ISTOLZJ,X,O,O,X,X
ISTOJLZ,X,O,O,O,X
ISTOJZL,X,O,O,O,X
ISTOZLJ,X,O,O,X,X
ISTOZJL,X,O,O,X,X
ISLTJZO,O,O,X,O,X
ISLTJOZ,O,X,X,O,X
ISLTZJO,O,O,X,O,O
ISLTZOJ,O,O,O,X,O
ISLTOJZ,O,X,O,O,X
ISLTOZJ,O,X,O,X,O
ISLJTZO,O,O,X,O,X
ISLJTOZ,O,X,X,O,X
ISLJZTO,O,O,X,O,X
ISLJZOT,O,O,X,X,X
ISLJOTZ,O,O,X,O,X
ISLJOZT,O,O,X,X,X
ISLZTJO,O,O,X,O,O
ISLZTOJ,O,O,X,X,O
ISLZJTO,O,O,X,O,O
ISLZJOT,O,O,X,X,X
ISLZOTJ,O,O,X,X,X
ISLZOJT,O,O,X,X,X
ISLOTJZ,O,O,O,O,X
ISLOTZJ,O,O,O,X,X
ISLOJTZ,O,O,X,O,X
ISLOJZT,O,O,X,X,X
ISLOZTJ,O,O,X,X,X
ISLOZJT,O,O,X,X,X
ISJTLZO,X,O,X,O,X
ISJTLOZ,X,X,X,O,X
ISJTZLO,X,O,X,O,X
ISJTZOL,X,O,X,O,X
ISJTOLZ,X,O,X,O,X
ISJTOZL,X,O,X,O,X
ISJLTZO,O,O,X,O,X
ISJLTOZ,O,X,X,O,X
ISJLZTO,O,O,X,O,X
ISJLZOT,O,O,X,X,X
ISJLOTZ,O,O,X,O,X
ISJLOZT,O,O,X,X,X
ISJZTLO,O,O,X,O,X
ISJZTOL,X,O,X,O,X
ISJZLTO,O,O,X,O,X
ISJZLOT,O,O,X,X,X
ISJZOTL,X,O,X,X,X
ISJZOLT,X,O,X,X,X
ISJOTLZ,O,O,X,O,X
ISJOTZL,O,O,X,O,X
ISJOLTZ,O,O,X,O,X
ISJOLZT,O,O,X,X,X
ISJOZTL,O,O,X,X,X
ISJOZLT,O,O,X,X,X
ISZTLJO,O,O,X,O,X
ISZTLOJ,O,O,X,X,X
ISZTJLO,X,O,X,O,X
ISZTJOL,X,O,X,O,X
ISZTOLJ,X,O,X,X,X
ISZTOJL,X,O,X,X,X
ISZLTJO,O,O,X,O,O
ISZLTOJ,O,O,X,X,O
ISZLJTO,O,O,X,O,O
ISZLJOT,O,O,X,X,X
ISZLOTJ,O,O,X,X,X
ISZLOJT,O,O,X,X,X
ISZJTLO,O,O,X,O,X
ISZJTOL,X,O,X,O,X
ISZJLTO,O,O,X,O,O
ISZJLOT,O,O,X,X,X
ISZJOTL,X,O,X,X,X
ISZJOLT,X,O,X,X,X
ISZOTLJ,X,O,X,X,X
ISZOTJL,X,O,X,X,X
ISZOLTJ,X,O,X,X,X
ISZOLJT,X,O,X,X,X
ISZOJTL,X,O,X,X,X
ISZOJLT,X,O,X,X,X
ISOTLJZ,O,O,O,O,X
ISOTLZJ,O,O,O,X,X
ISOTJLZ,X,O,O,O,X
ISOTJZL,X,O,O,O,X
ISOTZLJ,O,O,O,X,X
ISOTZJL,X,O,O,X,X
ISOLTJZ,O,O,O,O,X
ISOLTZJ,O,O,O,X,X
ISOLJTZ,O,O,X,O,X
ISOLJZT,O,O,X,X,X
ISOLZTJ,O,O,X,X,X
ISOLZJT,O,O,X,X,X
ISOJTLZ,O,O,X,O,X
ISOJTZL,O,O,X,O,X
ISOJLTZ,O,O,X,O,X
ISOJLZT,O,O,X,X,X
ISOJZTL,O,O,X,X,X
ISOJZLT,O,O,X,X,X
ISOZTLJ,O,O,X,X,X
ISOZTJL,X,O,X,X,X
ISOZLTJ,O,O,X,X,X
ISOZLJT,O,O,X,X,X
ISOZJTL,X,O,X,X,X
ISOZJLT,X,O,X,X,X
IZTLJSO,O,X,X,X,O
IZTLJOS,O,X,O,X,O
IZTLSJO,O,X,X,X,O
IZTLSOJ,O,X,O,X,O
IZTLOJS,X,X,O,X,O
IZTLOSJ,O,X,O,X,O
IZTJLSO,O,X,X,O,O
IZTJLOS,O,X,O,X,O
IZTJSLO,O,X,X,O,X
IZTJSOL,X,X,O,O,X
IZTJOLS,O,X,O,X,X
IZTJOSL,X,X,O,O,X
IZTSLJO,O,X,X,O,X
IZTSLOJ,O,X,O,X,X
IZTSJLO,X,X,X,O,X
IZTSJOL,X,X,O,O,X
IZTSOLJ,X,X,O,X,X
IZTSOJL,X,X,O,X,X
IZTOLJS,X,X,O,X,X
IZTOLSJ,O,X,O,X,X
IZTOJLS,X,X,O,X,X
IZTOJSL,X,X,O,X,X
IZTOSLJ,X,X,O,X,X
IZTOSJL,X,X,O,X,X
IZLTJSO,O,X,X,X,O
IZLTJOS,O,X,O,X,O
IZLTSJO,O,X,X,X,O
IZLTSOJ,O,X,O,X,O
IZLTOJS,X,X,O,X,O
IZLTOSJ,O,X,O,X,O
IZLJTSO,O,X,X,O,O
IZLJTOS,O,X,X,X,O
IZLJSTO,O,X,X,O,O
IZLJSOT,O,X,X,X,X
IZLJOTS,O,X,X,X,O
IZLJOST,O,X,X,X,X
IZLSTJO,O,X,X,O,O
IZLSTOJ,O,X,X,X,O
IZLSJTO,O,X,X,O,O
IZLSJOT,O,X,X,X,X
IZLSOTJ,O,X,X,X,X
IZLSOJT,O,X,X,X,X
IZLOTJS,O,X,O,X,O
IZLOTSJ,O,X,O,X,O
IZLOJTS,O,X,X,X,O
IZLOJST,O,X,X,X,X
IZLOSTJ,O,X,X,X,X
IZLOSJT,O,X,X,X,X
IZJTLSO,O,X,X,O,O
IZJTLOS,O,X,X,X,O
IZJTSLO,O,X,X,O,X
IZJTSOL,X,X,X,O,X
IZJTOLS,O,X,X,X,X
IZJTOSL,X,X,X,O,X
IZJLTSO,O,X,X,O,O
IZJLTOS,O,X,X,X,O
IZJLSTO,O,X,X,O,O
IZJLSOT,O,X,X,X,X
IZJLOTS,O,X,X,X,O
IZJLOST,O,X,X,X,X
IZJSTLO,O,O,X,O,X
IZJSTOL,X,O,X,O,X
IZJSLTO,O,O,X,O,O
IZJSLOT,O,O,X,X,X
IZJSOTL,X,O,X,X,X
IZJSOLT,X,O,X,X,X
IZJOTLS,O,X,X,X,X
IZJOTSL,O,X,X,O,X
IZJOLTS,O,X,X,X,O
IZJOLST,O,O,X,X,X
IZJOSTL,O,O,X,X,X
IZJOSLT,O,O,X,X,X
IZSTLJO,O,O,X,O,X
IZSTLOJ,O,O,X,X,X
IZSTJLO,X,O,X,O,X
IZSTJOL,X,O,X,O,X
IZSTOLJ,X,O,X,X,X
IZSTOJL,X,O,X,X,X
IZSLTJO,O,O,X,O,O
IZSLTOJ,O,O,X,X,O
IZSLJTO,O,O,X,O,O
IZSLJOT,O,O,X,X,X
IZSLOTJ,O,O,X,X,X
IZSLOJT,O,O,X,X,X
IZSJTLO,O,O,X,O,X
IZSJTOL,X,O,X,O,X
IZSJLTO,O,O,X,O,O
IZSJLOT,O,O,X,X,X
IZSJOTL,X,O,X,X,X
IZSJOLT,X,O,X,X,X
IZSOTLJ,X,O,X,X,X
IZSOTJL,X,O,X,X,X
IZSOLTJ,X,O,X,X,X
IZSOLJT,X,O,X,X,X
IZSOJTL,X,O,X,X,X
IZSOJLT,X,O,X,X,X
IZOTLJS,O,X,O,X,X
IZOTLSJ,O,X,O,X,X
IZOTJLS,O,X,O,X,X
IZOTJSL,X,X,O,X,X
IZOTSLJ,O,X,O,X,X
IZOTSJL,X,X,O,X,X
IZOLTJS,O,X,O,X,O
IZOLTSJ,O,X,O,X,O
IZOLJTS,O,X,X,X,O
IZOLJST,O,O,X,X,X
IZOLSTJ,O,O,X,X,X
IZOLSJT,O,O,X,X,X
IZOJTLS,O,X,X,X,X
IZOJTSL,O,X,X,O,X
IZOJLTS,O,X,X,X,O
IZOJLST,O,O,X,X,X
IZOJSTL,O,O,X,X,X
IZOJSLT,O,O,X,X,X
IZOSTLJ,O,O,X,X,X
IZOSTJL,X,O,X,X,X
IZOSLTJ,O,O,X,X,X
IZOSLJT,O,O,X,X,X
IZOSJTL,X,O,X,X,X
IZOSJLT,X,O,X,X,X
IOTLJSZ,O,O,O,X,X
IOTLJZS,O,X,O,X,X
IOTLSJZ,O,O,O,X,X
IOTLSZJ,O,O,O,X,X
IOTLZJS,O,X,O,X,X
IOTLZSJ,O,X,O,X,X
IOTJLSZ,O,O,O,X,X
IOTJLZS,O,X,O,X,X
IOTJSLZ,O,O,O,O,X
IOTJSZL,O,O,O,O,X
IOTJZLS,O,X,O,X,X
IOTJZSL,O,X,O,O,X
IOTSLJZ,O,O,O,O,X
IOTSLZJ,O,O,O,X,X
IOTSJLZ,X,O,O,O,X
IOTSJZL,X,O,O,O,X
IOTSZLJ,O,O,O,X,X
IOTSZJL,X,O,O,X,X
IOTZLJS,O,X,O,X,X
IOTZLSJ,O,X,O,X,X
IOTZJLS,O,X,O,X,X
IOTZJSL,X,X,O,X,X
IOTZSLJ,O,X,O,X,X
IOTZSJL,X,X,O,X,X
IOLTJSZ,O,O,O,X,X
IOLTJZS,O,X,O,X,O
IOLTSJZ,O,O,O,X,X
IOLTSZJ,O,O,O,X,O
IOLTZJS,O,X,O,X,O
IOLTZSJ,O,X,O,X,O
IOLJTSZ,O,O,O,X,X
IOLJTZS,O,X,O,X,X
IOLJSTZ,O,O,X,O,X
IOLJSZT,O,O,X,X,X
IOLJZTS,O,X,X,X,X
IOLJZST,O,O,X,X,X
IOLSTJZ,O,O,O,O,X
IOLSTZJ,O,O,O,X,X
IOLSJTZ,O,O,X,O,X
IOLSJZT,O,O,X,X,X
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,O,X,X,X
IOLZTJS,O,X,O,X,O
IOLZTSJ,O,X,O,X,O
IOLZJTS,O,X,X,X,O
IOLZJST,O,O,X,X,X
IOLZSTJ,O,O,X,X,X
IOLZSJT,O,O,X,X,X
IOJTLSZ,O,O,O,X,X
IOJTLZS,O,X,O,X,X
IOJTSLZ,O,O,O,O,X
IOJTSZL,O,O,O,O,X
IOJTZLS,O,X,O,X,X
IOJTZSL,O,X,O,O,X
IOJLTSZ,O,O,O,X,X
IOJLTZS,O,X,O,X,X
IOJLSTZ,O,O,X,O,X
IOJLSZT,O,O,X,X,X
IOJLZTS,O,X,X,X,X
IOJLZST,O,O,X,X,X
IOJSTLZ,O,O,X,O,X
IOJSTZL,O,O,X,O,X
IOJSLTZ,O,O,X,O,X
IOJSLZT,O,O,X,X,X
IOJSZTL,O,O,X,X,X
IOJSZLT,O,O,X,X,X
IOJZTLS,O,X,X,X,X
IOJZTSL,O,X,X,O,X
IOJZLTS,O,X,X,X,X
IOJZLST,O,O,X,X,X
IOJZSTL,O,O,X,X,X
IOJZSLT,O,O,X,X,X
IOSTLJZ,O,O,O,O,X
IOSTLZJ,O,O,O,X,X
IOSTJLZ,X,O,O,O,X
IOSTJZL,X,O,O,O,X
IOSTZLJ,O,O,O,X,X
IOSTZJL,X,O,O,X,X
IOSLTJZ,O,O,O,O,X
IOSLTZJ,O,O,O,X,X
IOSLJTZ,O,O,X,O,X
IOSLJZT,O,O,X,X,X
IOSLZTJ,O,O,X,X,X
IOSLZJT,O,O,X,X,X
IOSJTLZ,O,O,X,O,X
IOSJTZL,O,O,X,O,X
IOSJLTZ,O,O,X,O,X
IOSJLZT,O,O,X,X,X
IOSJZTL,O,O,X,X,X
IOSJZLT,O,O,X,X,X
IOSZTLJ,O,O,X,X,X
IOSZTJL,X,O,X,X,X
IOSZLTJ,O,O,X,X,X
IOSZLJT,O,O,X,X,X
IOSZJTL,X,O,X,X,X
IOSZJLT,X,O,X,X,X
IOZTLJS,O,X,O,X,X
IOZTLSJ,O,X,O,X,X
IOZTJLS,O,X,O,X,X
IOZTJSL,X,X,O,X,X
IOZTSLJ,O,X,O,X,X
IOZTSJL,X,X,O,X,X
IOZLTJS,O,X,O,X,O
IOZLTSJ,O,X,O,X,O
IOZLJTS,O,X,X,X,O
IOZLJST,O,O,X,X,X
IOZLSTJ,O,O,X,X,X
IOZLSJT,O,O,X,X,X
IOZJTLS,O,X,X,X,X
IOZJTSL,O,X,X,O,X
IOZJLTS,O,X,X,X,O
IOZJLST,O,O,X,X,X
IOZJSTL,O,O,X,X,X
IOZJSLT,O,O,X,X,X
IOZSTLJ,O,O,X,X,X
IOZSTJL,X,O,X,X,X
IOZSLTJ,O,O,X,X,X
IOZSLJT,O,O,X,X,X
IOZSJTL,X,O,X,X,X
IOZSJLT,X,O,X,X,X
LTIJSZO,O,X,X,O,X
LTIJSOZ,O,X,X,O,X
LTIJZSO,O,X,X,O,O
LTIJZOS,O,X,O,X,O
LTIJOSZ,O,X,O,X,X
LTIJOZS,O,X,O,X,O
LTISJZO,O,X,X,O,X
LTISJOZ,O,X,X,O,X
LTISZJO,O,X,X,O,O
LTISZOJ,O,X,O,X,O
LTISOJZ,O,X,O,O,X
LTISOZJ,O,X,O,X,O
LTIZJSO,O,X,X,X,O
LTIZJOS,O,X,O,X,O
LTIZSJO,O,X,X,X,O
LTIZSOJ,O,X,O,X,O
LTIZOJS,X,X,O,X,O
LTIZOSJ,O,X,O,X,O
LTIOJSZ,O,X,O,X,X
LTIOJZS,O,X,O,X,O
LTIOSJZ,O,X,O,X,X
LTIOSZJ,O,X,O,X,O
LTIOZJS,O,X,O,X,O
LTIOZSJ,O,X,O,X,O
LTJISZO,O,X,X,O,X
LTJISOZ,O,X,X,O,X
LTJIZSO,O,X,X,O,O
LTJIZOS,O,X,O,X,O
LTJIOSZ,O,X,O,X,X
LTJIOZS,O,X,O,X,O
LTJSIZO,O,X,X,O,X
LTJSIOZ,O,X,X,O,X
LTJSZIO,O,X,X,O,X
LTJSZOI,O,X,X,O,X
LTJSOIZ,O,X,X,O,X
LTJSOZI,O,X,X,O,X
LTJZISO,O,X,X,O,O
LTJZIOS,O,X,O,X,O
LTJZSIO,O,X,X,O,O
LTJZSOI,O,X,X,O,O
LTJZOIS,O,X,O,X,O
LTJZOSI,O,X,O,X,O
LTJOISZ,O,X,O,X,X
LTJOIZS,O,X,O,X,O
LTJOSIZ,O,X,O,X,X
LTJOSZI,O,X,O,X,X
LTJOZIS,O,X,O,X,O
LTJOZSI,O,X,O,X,O
LTSIJZO,O,X,X,O,X
LTSIJOZ,O,X,X,O,X
LTSIZJO,O,X,X,O,O
LTSIZOJ,O,X,O,X,O
LTSIOJZ,O,X,O,O,X
LTSIOZJ,O,X,O,X,O
LTSJIZO,O,X,X,O,X
LTSJIOZ,O,X,X,O,X
