sequence,v115@9gB8HeB8HeB8EeA8BeC8DeB8KemAJvhFUiBaoB5oBT?lBfsBVwB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeTAJvhFlhBaoB5oB/?rBOsB0qB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeUCJvhFaoB5oB/qBF?mBzrBmqB,v115@9gB8HeB8HeB8EeA8BeC8DeB8Ke0AJvhFlhBaoB5oB/?qBOsBTrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeTAJvhFaoB5oB/rBF?nB0qBmrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeaIJvhF5oBTlB/rBF?nB0qBmrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeOFJvhF8lBaoB5oBF?nBXrBzrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeKFJvhFRhBGjBFnB/?tB0rBzqB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeyFJvhFGjBFnB/tBx?qB0qBzrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KexAJvhF/qBUmBFnBT?oBywBGtB
TILJSZO,O,O,X,O,O,X,O,X,O,X
TILJSOZ,O,O,X,O,X,O,X,X,O,X
TILJZSO,O,O,X,O,X,X,X,X,X,X
TILJZOS,X,O,X,O,X,X,X,X,X,X
TILJOSZ,O,O,X,O,X,X,X,X,X,X
TILJOZS,O,X,X,O,X,X,X,X,X,X
TILSJZO,O,O,X,O,O,X,O,X,O,X
TILSJOZ,O,X,X,O,X,O,X,X,O,X
TILSZJO,O,O,X,O,O,X,O,X,O,X
TILSZOJ,O,O,X,O,O,O,O,X,X,X
TILSOJZ,O,X,O,O,X,O,X,X,O,X
TILSOZJ,O,O,O,O,O,O,O,X,X,X
TILZJSO,O,O,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,O,X,O,X,O,X
TILZSOJ,O,O,X,X,O,O,O,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,X
TILZOSJ,O,O,O,X,O,X,X,X,X,X
TILOJSZ,O,X,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X
