sequence,v115@HhA8IeC8FeF8CeB8Je0/IvhFxgBdnBCjBzlBXoBWxB,v115@HhA8IeC8FeF8CeB8Je0/IvhF6lBOmBxiBtrBXoBTsB,v115@HhA8IeC8FeF8CeB8Jex/IvhFihB3iBcoBGlB9rBTsB,v115@HhA8IeC8FeF8CeB8Jex/IvhFihBcnBTjBGlB9rB3sB,v115@HhA8IeC8FeF8CeB8Je0/IvhF6lBNmBTjBRsBXsBGsB
TILJSZO,X,O,O,X,O
TILJSOZ,X,O,O,X,O
TILJZSO,X,O,O,X,O
TILJZOS,X,X,O,X,O
TILJOSZ,X,X,O,X,O
TILJOZS,X,X,O,X,O
TILSJZO,X,O,X,X,O
TILSJOZ,X,O,X,X,O
TILSZJO,X,O,O,O,O
TILSZOJ,X,O,O,O,O
TILSOJZ,X,O,X,X,O
TILSOZJ,X,O,O,O,O
TILZJSO,X,O,O,X,O
TILZJOS,X,X,O,X,O
TILZSJO,X,O,O,X,O
TILZSOJ,X,O,O,X,O
TILZOJS,X,X,O,X,O
TILZOSJ,X,X,O,X,O
TILOJSZ,X,X,O,X,O
TILOJZS,X,X,O,X,O
TILOSJZ,X,X,X,X,O
TILOSZJ,X,X,O,O,O
TILOZJS,X,X,O,X,O
TILOZSJ,X,X,O,X,O
TIJLSZO,X,O,O,O,O
TIJLSOZ,X,O,O,O,O
TIJLZSO,X,O,O,X,O
TIJLZOS,X,X,O,X,O
TIJLOSZ,X,X,O,O,O
TIJLOZS,X,X,O,X,O
TIJSLZO,X,O,O,O,X
TIJSLOZ,X,O,O,O,X
TIJSZLO,X,O,O,O,X
TIJSZOL,X,O,O,O,X
TIJSOLZ,X,O,O,O,X
TIJSOZL,X,O,O,O,X
TIJZLSO,X,O,O,X,O
TIJZLOS,X,X,O,X,O
TIJZSLO,X,O,O,O,X
TIJZSOL,X,O,O,O,X
TIJZOLS,X,X,O,X,O
TIJZOSL,X,X,O,O,X
TIJOLSZ,X,X,O,O,O
TIJOLZS,X,X,O,X,O
TIJOSLZ,X,X,O,O,X
TIJOSZL,X,X,O,O,X
TIJOZLS,X,X,O,X,O
TIJOZSL,X,X,O,O,X
TISLJZO,X,O,X,X,O
TISLJOZ,X,O,X,X,O
TISLZJO,X,O,O,O,O
TISLZOJ,X,O,O,O,O
TISLOJZ,X,O,X,X,O
TISLOZJ,X,O,O,O,O
TISJLZO,X,O,X,O,X
TISJLOZ,X,O,X,O,X
TISJZLO,X,O,X,O,X
TISJZOL,X,O,X,O,X
TISJOLZ,X,O,X,O,X
TISJOZL,X,O,X,O,X
TISZLJO,X,O,O,O,O
TISZLOJ,X,O,O,O,O
TISZJLO,X,O,O,O,X
TISZJOL,X,O,X,O,X
TISZOLJ,X,O,O,O,O
TISZOJL,X,O,O,O,X
TISOLJZ,X,O,X,X,O
TISOLZJ,X,O,O,O,O
TISOJLZ,X,O,X,O,X
TISOJZL,X,O,X,O,X
TISOZLJ,X,O,O,O,O
TISOZJL,X,O,O,O,X
TIZLJSO,X,O,O,X,O
TIZLJOS,X,X,O,X,O
TIZLSJO,X,O,O,X,O
TIZLSOJ,X,O,O,X,O
TIZLOJS,X,X,O,X,O
TIZLOSJ,X,X,O,X,O
TIZJLSO,X,O,O,X,O
TIZJLOS,X,X,O,X,O
TIZJSLO,X,O,O,X,X
TIZJSOL,X,O,O,X,X
TIZJOLS,X,X,O,X,O
TIZJOSL,X,X,O,X,X
TIZSLJO,X,O,O,O,O
TIZSLOJ,X,O,O,O,O
TIZSJLO,X,O,O,O,X
TIZSJOL,X,O,O,O,X
TIZSOLJ,X,O,O,O,O
TIZSOJL,X,O,O,O,X
TIZOLJS,X,X,O,X,O
TIZOLSJ,X,X,O,X,O
TIZOJLS,X,X,O,X,O
TIZOJSL,X,X,O,X,X
TIZOSLJ,X,X,O,O,O
TIZOSJL,X,X,O,O,X
TIOLJSZ,X,X,O,X,O
TIOLJZS,X,X,O,X,O
TIOLSJZ,X,X,X,X,O
TIOLSZJ,X,X,O,O,O
TIOLZJS,X,X,O,X,O
TIOLZSJ,X,X,O,X,O
