sequence,v115@PhE8EeF8EeA8Je2EJvhFRgBCjBfrBlmB0sBzrB,v115@PhE8EeF8EeA8JeT/IvhF/lBamBWnBxnB1wB0sB,v115@PhE8EeF8EeA8JeT/IvhFmgBfnBxiB0lBqsB1wB,v115@PhE8EeF8EeA8JeT/IvhF/lB1mBxiBqsBmrBUrB,v115@PhE8EeF8EeA8JeT/IvhFxgBymB+nB0lB1wBXtB,v115@PhE8EeF8EeA8JeT/IvhFxgB6nBllBcrBesBXtB,v115@PhE8EeF8EeA8JeT/IvhF2lBCjBUnBfrBlmBRxB
TILJSZO,X,O,X,O,X,X,X
TILJSOZ,X,O,X,O,X,X,X
TILJZSO,X,X,X,O,O,X,X
TILJZOS,X,X,X,O,O,X,O
TILJOSZ,X,O,X,O,X,X,X
TILJOZS,X,X,X,O,O,X,O
TILSJZO,X,O,O,O,X,X,X
TILSJOZ,X,O,O,O,X,X,X
TILSZJO,X,O,O,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X
TILSOJZ,X,O,O,O,X,X,X
TILSOZJ,X,O,O,X,X,X,X
TILZJSO,X,X,O,X,O,O,X
TILZJOS,X,X,O,X,O,O,O
TILZSJO,X,X,O,X,O,X,X
TILZSOJ,X,X,O,X,O,X,X
TILZOJS,X,X,O,X,O,O,O
TILZOSJ,X,X,O,X,O,X,X
TILOJSZ,X,O,X,O,X,X,X
TILOJZS,X,X,X,O,O,X,O
TILOSJZ,X,O,O,O,X,X,X
TILOSZJ,X,O,O,X,X,X,X
TILOZJS,X,X,O,X,O,O,O
TILOZSJ,X,X,O,X,O,X,X
TIJLSZO,X,O,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X
TIJLZSO,X,X,X,X,O,X,X
TIJLZOS,X,X,X,X,O,X,O
TIJLOSZ,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,O,X,O
TIJSLZO,X,O,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,X,X
TIJSZLO,X,O,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X
TIJSOLZ,X,O,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X
TIJZLSO,X,X,X,X,O,O,X
TIJZLOS,X,X,X,X,O,O,O
TIJZSLO,X,O,X,X,O,O,X
TIJZSOL,X,O,X,X,O,O,X
TIJZOLS,X,X,X,X,O,O,O
TIJZOSL,X,O,X,X,O,O,X
TIJOLSZ,X,O,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,O
TIJOSLZ,X,O,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,O,O,O
TIJOZSL,X,O,X,X,O,O,X
TISLJZO,X,O,X,O,X,X,X
TISLJOZ,X,O,X,O,X,X,X
TISLZJO,X,O,X,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X
TISLOJZ,X,O,X,O,X,X,X
TISLOZJ,X,O,X,X,X,X,X
TISJLZO,X,O,X,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X
TISJZLO,X,O,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,X
TISZLOJ,X,O,X,X,X,X,X
TISZJLO,X,O,X,X,X,O,X
TISZJOL,X,O,X,X,X,O,X
TISZOLJ,X,O,X,X,X,X,X
TISZOJL,X,O,X,X,X,O,X
TISOLJZ,X,O,X,O,X,X,X
TISOLZJ,X,O,X,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,X
