sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB
TJIZLOS,X,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,X,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,X,O
TJIOLZS,X,X,X
TJIOSLZ,X,X,O
TJIOSZL,X,X,O
TJIOZLS,X,X,X
TJIOZSL,X,X,X
TJLISZO,X,X,O
TJLISOZ,X,X,O
TJLIZSO,X,X,X
TJLIZOS,X,X,X
TJLIOSZ,X,X,O
TJLIOZS,X,X,X
TJLSIZO,X,X,O
TJLSIOZ,X,X,O
TJLSZIO,X,X,O
TJLSZOI,X,X,O
TJLSOIZ,X,X,O
TJLSOZI,X,X,O
TJLZISO,X,X,X
TJLZIOS,X,X,X
TJLZSIO,X,X,X
TJLZSOI,X,X,X
TJLZOIS,X,X,X
TJLZOSI,X,X,X
TJLOISZ,X,X,O
TJLOIZS,X,X,X
TJLOSIZ,X,X,O
TJLOSZI,X,X,O
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,X,X,O
TJSILOZ,X,X,O
TJSIZLO,X,X,O
TJSIZOL,X,X,O
TJSIOLZ,X,X,O
TJSIOZL,X,X,O
TJSLIZO,X,X,O
TJSLIOZ,X,X,O
TJSLZIO,X,X,O
TJSLZOI,X,X,O
TJSLOIZ,X,X,O
TJSLOZI,X,X,O
TJSZILO,X,X,O
TJSZIOL,X,X,O
TJSZLIO,X,X,O
TJSZLOI,X,X,O
TJSZOIL,X,X,O
TJSZOLI,X,X,O
TJSOILZ,X,X,O
TJSOIZL,X,X,O
TJSOLIZ,X,X,O
TJSOLZI,X,X,O
TJSOZIL,X,X,O
TJSOZLI,X,X,O
TJZILSO,X,X,X
TJZILOS,X,X,X
TJZISLO,X,X,X
TJZISOL,X,X,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,X,X,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,X,X,X
TJZLOSI,X,X,X
TJZSILO,X,X,X
TJZSIOL,X,X,X
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,X,X,X
TJZSOLI,X,X,X
TJZOILS,X,X,X
TJZOISL,X,X,X
TJZOLIS,X,X,X
TJZOLSI,X,X,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,X,X,O
TJOILZS,X,X,X
TJOISLZ,X,X,O
TJOISZL,X,X,O
TJOIZLS,X,X,X
TJOIZSL,X,X,X
TJOLISZ,X,X,O
TJOLIZS,X,X,X
TJOLSIZ,X,X,O
TJOLSZI,X,X,O
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,X,X,O
TJOSIZL,X,X,O
TJOSLIZ,X,X,O
TJOSLZI,X,X,O
TJOSZIL,X,X,O
TJOSZLI,X,X,O
TJOZILS,X,X,X
