sequence,v115@HhA8AeA8GeC8EeA8AeD8CeB8Kel/IvhFqlB8mBziB5?oBXsBOrB,v115@HhA8AeA8GeC8EeA8AeD8CeB8Kel/IvhFXiB8nB5oBz?lBGmBywB,v115@HhA8AeA8GeC8EeA8AeD8CeB8Kel/IvhFqlBXiB8nB5?oBzrBOrB,v115@HhA8AeA8GeC8EeA8AeD8CeB8Kel/IvhFzgBynB5oBf?sBGnBUrB
TILJSZO,O,X,X,O
TILJSOZ,O,X,X,X
TILJZSO,X,O,X,X
TILJZOS,X,O,O,X
TILJOSZ,O,X,X,X
TILJOZS,X,O,O,X
TILSJZO,O,X,X,O
TILSJOZ,O,X,X,X
TILSZJO,O,O,X,O
TILSZOJ,O,O,O,O
TILSOJZ,O,X,X,X
TILSOZJ,O,O,O,O
TILZJSO,X,O,X,X
TILZJOS,X,O,O,X
TILZSJO,O,O,X,O
TILZSOJ,O,O,O,O
TILZOJS,X,O,O,X
TILZOSJ,O,O,O,O
TILOJSZ,O,X,X,X
TILOJZS,X,O,O,X
TILOSJZ,O,X,X,X
TILOSZJ,O,O,O,O
TILOZJS,X,O,O,X
TILOZSJ,O,O,O,X
TIJLSZO,O,X,X,O
TIJLSOZ,O,X,X,X
TIJLZSO,X,O,X,X
TIJLZOS,X,O,O,X
TIJLOSZ,O,X,X,X
TIJLOZS,X,O,O,X
TIJSLZO,O,X,X,O
TIJSLOZ,O,X,X,X
TIJSZLO,O,X,X,O
TIJSZOL,O,X,X,O
TIJSOLZ,O,X,X,X
TIJSOZL,O,X,X,X
TIJZLSO,X,O,X,X
TIJZLOS,X,O,O,X
TIJZSLO,X,O,X,O
TIJZSOL,X,O,X,O
TIJZOLS,X,O,O,X
TIJZOSL,X,O,O,O
TIJOLSZ,O,X,X,X
TIJOLZS,X,X,O,X
TIJOSLZ,O,X,X,X
TIJOSZL,O,X,X,X
TIJOZLS,X,O,O,X
TIJOZSL,X,O,O,X
TISLJZO,O,X,X,O
TISLJOZ,O,X,X,X
TISLZJO,O,O,X,O
TISLZOJ,O,O,O,O
TISLOJZ,O,X,X,X
TISLOZJ,O,O,O,O
TISJLZO,O,X,X,O
TISJLOZ,O,X,X,X
TISJZLO,O,X,X,O
TISJZOL,O,X,X,O
TISJOLZ,O,X,X,X
TISJOZL,O,X,X,X
TISZLJO,O,O,X,O
TISZLOJ,O,O,O,O
TISZJLO,O,O,X,O
TISZJOL,O,O,X,O
TISZOLJ,O,O,O,O
TISZOJL,O,O,O,O
TISOLJZ,O,X,X,X
TISOLZJ,O,X,O,O
TISOJLZ,O,X,X,X
TISOJZL,O,X,X,X
TISOZLJ,O,O,O,O
TISOZJL,O,O,O,O
TIZLJSO,X,O,X,X
TIZLJOS,X,O,O,X
TIZLSJO,O,O,X,O
TIZLSOJ,O,O,O,O
TIZLOJS,X,O,O,X
TIZLOSJ,O,O,O,O
TIZJLSO,X,O,X,X
TIZJLOS,X,O,O,X
TIZJSLO,X,O,X,O
TIZJSOL,X,O,X,O
TIZJOLS,X,O,O,X
TIZJOSL,X,O,O,O
TIZSLJO,O,O,X,O
TIZSLOJ,O,O,O,O
TIZSJLO,O,O,X,O
TIZSJOL,O,O,X,O
TIZSOLJ,O,O,O,O
TIZSOJL,O,O,O,O
TIZOLJS,X,O,O,X
TIZOLSJ,O,O,O,O
TIZOJLS,X,O,O,X
TIZOJSL,X,O,O,O
TIZOSLJ,O,O,O,O
TIZOSJL,O,O,O,O
TIOLJSZ,O,X,X,X
TIOLJZS,X,O,O,X
TIOLSJZ,O,X,X,X
TIOLSZJ,O,O,O,O
TIOLZJS,X,O,O,X
TIOLZSJ,O,O,O,X
TIOJLSZ,O,X,X,X
TIOJLZS,X,X,O,X
TIOJSLZ,O,X,X,X
TIOJSZL,O,X,X,X
TIOJZLS,X,O,O,X
TIOJZSL,X,O,O,X
TIOSLJZ,O,X,X,X
TIOSLZJ,O,X,O,O
TIOSJLZ,O,X,X,X
TIOSJZL,O,X,X,X
TIOSZLJ,O,O,O,O
TIOSZJL,O,O,O,O
TIOZLJS,X,O,O,X
TIOZLSJ,O,O,O,O
TIOZJLS,X,O,O,X
TIOZJSL,X,O,O,O
TIOZSLJ,O,O,O,O
TIOZSJL,O,O,O,O
TLIJSZO,O,X,X,O
TLIJSOZ,O,X,X,X
TLIJZSO,X,O,X,X
TLIJZOS,X,O,O,X
TLIJOSZ,O,X,X,X
TLIJOZS,X,O,O,X
TLISJZO,O,X,X,O
TLISJOZ,O,X,X,X
TLISZJO,O,O,X,O
TLISZOJ,O,O,O,O
TLISOJZ,O,X,X,X
TLISOZJ,O,O,O,O
TLIZJSO,X,O,X,X
TLIZJOS,X,O,O,X
TLIZSJO,O,O,X,O
TLIZSOJ,O,O,O,O
TLIZOJS,X,O,O,X
TLIZOSJ,O,O,O,O
TLIOJSZ,O,X,X,X
TLIOJZS,X,O,O,X
TLIOSJZ,O,X,X,X
TLIOSZJ,O,O,O,O
TLIOZJS,X,O,O,X
TLIOZSJ,O,O,O,X
TLJISZO,O,X,X,O
TLJISOZ,O,X,X,X
TLJIZSO,X,O,X,X
TLJIZOS,X,O,O,X
TLJIOSZ,O,X,X,X
TLJIOZS,X,O,O,X
TLJSIZO,O,X,X,O
TLJSIOZ,O,X,X,X
TLJSZIO,O,X,X,O
TLJSZOI,O,X,X,O
TLJSOIZ,O,X,X,X
TLJSOZI,O,X,X,X
TLJZISO,X,O,X,X
TLJZIOS,X,O,O,X
TLJZSIO,X,O,X,X
TLJZSOI,X,O,X,X
TLJZOIS,X,O,O,X
TLJZOSI,X,O,O,X
TLJOISZ,O,X,X,X
TLJOIZS,X,O,O,X
TLJOSIZ,O,X,X,X
TLJOSZI,O,X,X,X
TLJOZIS,X,O,O,X
TLJOZSI,X,O,O,X
TLSIJZO,O,X,X,O
TLSIJOZ,O,X,X,X
TLSIZJO,O,O,X,O
TLSIZOJ,O,O,O,O
TLSIOJZ,O,X,X,X
TLSIOZJ,O,O,O,O
TLSJIZO,O,X,X,O
TLSJIOZ,O,X,X,X
TLSJZIO,O,X,X,O
TLSJZOI,O,X,X,O
TLSJOIZ,O,X,X,X
TLSJOZI,O,X,X,X
TLSZIJO,O,O,X,O
TLSZIOJ,O,O,O,O
TLSZJIO,O,O,X,O
TLSZJOI,O,O,X,O
TLSZOIJ,O,O,O,O
TLSZOJI,O,O,O,O
TLSOIJZ,O,X,X,X
TLSOIZJ,O,O,O,O
TLSOJIZ,O,X,X,X
TLSOJZI,O,X,X,X
TLSOZIJ,O,O,O,O
TLSOZJI,O,O,O,O
TLZIJSO,X,O,X,X
TLZIJOS,X,O,O,X
TLZISJO,O,O,X,O
TLZISOJ,O,O,O,O
TLZIOJS,X,O,O,X
TLZIOSJ,O,O,O,O
TLZJISO,X,O,X,X
TLZJIOS,X,O,O,X
TLZJSIO,X,O,X,X
TLZJSOI,X,O,X,X
TLZJOIS,X,O,O,X
TLZJOSI,X,O,O,X
TLZSIJO,O,O,X,O
TLZSIOJ,O,O,O,O
TLZSJIO,O,O,X,O
TLZSJOI,O,O,X,O
TLZSOIJ,O,O,O,O
TLZSOJI,O,O,O,O
TLZOIJS,X,O,O,X
TLZOISJ,O,O,O,O
TLZOJIS,X,O,O,X
TLZOJSI,X,O,O,X
TLZOSIJ,O,O,O,O
TLZOSJI,O,O,O,O
TLOIJSZ,O,X,X,X
TLOIJZS,X,O,O,X
TLOISJZ,O,X,X,X
TLOISZJ,O,O,O,O
TLOIZJS,X,O,O,X
TLOIZSJ,O,O,O,X
TLOJISZ,O,X,X,X
TLOJIZS,X,O,O,X
TLOJSIZ,O,X,X,X
TLOJSZI,O,X,X,X
TLOJZIS,X,O,O,X
TLOJZSI,X,O,O,X
TLOSIJZ,O,X,X,X
TLOSIZJ,O,O,O,O
TLOSJIZ,O,X,X,X
TLOSJZI,O,X,X,X
TLOSZIJ,O,O,O,O
TLOSZJI,O,O,O,O
TLOZIJS,X,O,O,X
TLOZISJ,O,O,O,X
TLOZJIS,X,O,O,X
TLOZJSI,X,O,O,X
TLOZSIJ,O,O,O,X
TLOZSJI,O,O,O,X
TJILSZO,O,X,X,O
TJILSOZ,O,X,X,X
TJILZSO,X,O,X,X
TJILZOS,X,O,O,X
TJILOSZ,O,X,X,X
TJILOZS,X,O,O,X
TJISLZO,O,X,X,O
TJISLOZ,O,X,X,X
TJISZLO,O,X,X,O
TJISZOL,O,X,X,O
TJISOLZ,O,X,X,X
TJISOZL,O,X,X,X
TJIZLSO,X,O,X,X
TJIZLOS,X,O,O,X
TJIZSLO,X,O,X,O
TJIZSOL,X,O,X,O
TJIZOLS,X,O,O,X
TJIZOSL,X,O,O,O
TJIOLSZ,O,X,X,X
TJIOLZS,X,X,O,X
TJIOSLZ,O,X,X,X
TJIOSZL,O,X,X,X
TJIOZLS,X,O,O,X
TJIOZSL,X,O,O,X
TJLISZO,O,X,X,O
TJLISOZ,O,X,X,X
TJLIZSO,X,O,X,X
TJLIZOS,X,O,O,X
TJLIOSZ,O,X,X,X
TJLIOZS,X,O,O,X
TJLSIZO,O,X,X,O
TJLSIOZ,O,X,X,X
TJLSZIO,O,X,X,O
TJLSZOI,O,X,X,O
TJLSOIZ,O,X,X,X
TJLSOZI,O,X,X,X
TJLZISO,X,O,X,X
TJLZIOS,X,O,O,X
TJLZSIO,X,O,X,X
TJLZSOI,X,O,X,X
TJLZOIS,X,O,O,X
TJLZOSI,X,O,O,X
TJLOISZ,O,X,X,X
TJLOIZS,X,O,O,X
TJLOSIZ,O,X,X,X
TJLOSZI,O,X,X,X
TJLOZIS,X,O,O,X
TJLOZSI,X,O,O,X
TJSILZO,O,X,X,O
TJSILOZ,O,X,X,X
TJSIZLO,O,X,X,O
TJSIZOL,O,X,X,O
TJSIOLZ,O,X,X,X
TJSIOZL,O,X,X,X
TJSLIZO,O,X,X,O
TJSLIOZ,O,X,X,X
TJSLZIO,O,X,X,O
TJSLZOI,O,X,X,O
TJSLOIZ,O,X,X,X
TJSLOZI,O,X,X,X
TJSZILO,O,X,X,O
TJSZIOL,O,X,X,O
TJSZLIO,O,X,X,O
TJSZLOI,O,X,X,O
TJSZOIL,O,X,X,O
TJSZOLI,O,X,X,O
TJSOILZ,O,X,X,X
TJSOIZL,O,X,X,X
TJSOLIZ,O,X,X,X
TJSOLZI,O,X,X,X
TJSOZIL,O,X,X,X
TJSOZLI,O,X,X,X
TJZILSO,X,O,X,X
TJZILOS,X,O,O,X
TJZISLO,X,O,X,O
TJZISOL,X,O,X,O
TJZIOLS,X,O,O,X
TJZIOSL,X,O,O,O
TJZLISO,X,O,X,X
TJZLIOS,X,O,O,X
TJZLSIO,X,O,X,X
TJZLSOI,X,O,X,X
TJZLOIS,X,O,O,X
TJZLOSI,X,O,O,X
TJZSILO,X,O,X,O
TJZSIOL,X,O,X,O
TJZSLIO,X,O,X,O
TJZSLOI,X,O,X,O
TJZSOIL,X,O,X,O
TJZSOLI,X,X,X,O
TJZOILS,X,O,O,X
TJZOISL,X,O,O,O
TJZOLIS,X,O,O,X
TJZOLSI,X,O,O,X
TJZOSIL,X,O,O,O
TJZOSLI,X,X,O,O
TJOILSZ,O,X,X,X
TJOILZS,X,X,O,X
TJOISLZ,O,X,X,X
TJOISZL,O,X,X,X
TJOIZLS,X,O,O,X
TJOIZSL,X,O,O,X
TJOLISZ,O,X,X,X
TJOLIZS,X,X,O,X
TJOLSIZ,O,X,X,X
TJOLSZI,O,X,X,X
TJOLZIS,X,X,O,X
TJOLZSI,X,X,O,X
TJOSILZ,O,X,X,X
TJOSIZL,O,X,X,X
TJOSLIZ,O,X,X,X
TJOSLZI,O,X,X,X
TJOSZIL,O,X,X,X
TJOSZLI,O,X,X,X
TJOZILS,X,O,O,X
TJOZISL,X,O,O,X
TJOZLIS,X,O,O,X
TJOZLSI,X,O,O,X
TJOZSIL,X,O,O,X
TJOZSLI,X,X,O,X
TSILJZO,O,X,X,O
TSILJOZ,O,X,X,X
TSILZJO,O,O,X,O
TSILZOJ,O,O,O,O
TSILOJZ,O,X,X,X
TSILOZJ,O,O,O,O
TSIJLZO,O,X,X,O
TSIJLOZ,O,X,X,X
TSIJZLO,O,X,X,O
TSIJZOL,O,X,X,O
TSIJOLZ,O,X,X,X
TSIJOZL,O,X,X,X
TSIZLJO,O,O,X,O
TSIZLOJ,O,O,O,O
TSIZJLO,O,O,X,O
TSIZJOL,O,O,X,O
TSIZOLJ,O,O,O,O
TSIZOJL,O,O,O,O
TSIOLJZ,O,X,X,X
TSIOLZJ,O,X,O,O
TSIOJLZ,O,X,X,X
TSIOJZL,O,X,X,X
TSIOZLJ,O,O,O,O
TSIOZJL,O,O,O,O
TSLIJZO,O,X,X,O
TSLIJOZ,O,X,X,X
TSLIZJO,O,O,X,O
TSLIZOJ,O,O,O,O
TSLIOJZ,O,X,X,X
