sequence,v115@9gA8IeA8IeB8FeA8AeC8CeD8JefFJvhFxgB0iB6oBV?sBzqBGrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFUhBFiB6oB3?nBxqBWwB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF+lB0iB6oBx?rBlrBXrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFfmBxiBVsBG?oB0qB6rB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF0hBxiBGoBl?qBCsBfrB
TOJLSZI,O,X,X,X,O
TOJLZIS,X,X,O,O,O
TOJLZSI,O,X,X,O,O
TOJSILZ,O,X,X,X,O
TOJSIZL,O,X,X,O,X
TOJSLIZ,O,X,X,X,O
TOJSLZI,O,X,X,X,O
TOJSZIL,O,X,X,O,X
TOJSZLI,O,X,X,O,X
TOJZILS,X,X,O,O,O
TOJZISL,X,X,X,O,X
TOJZLIS,X,X,O,O,O
TOJZLSI,O,X,X,O,O
TOJZSIL,O,X,X,O,X
TOJZSLI,O,X,X,O,X
TOSILJZ,O,O,X,X,X
TOSILZJ,O,O,X,X,X
TOSIJLZ,O,O,X,X,X
TOSIJZL,O,O,X,X,X
TOSIZLJ,O,O,X,X,X
TOSIZJL,O,O,X,X,X
TOSLIJZ,O,O,X,X,X
TOSLIZJ,O,O,X,X,X
TOSLJIZ,O,O,X,X,O
TOSLJZI,O,X,X,X,O
TOSLZIJ,O,O,X,X,X
TOSLZJI,O,X,X,X,X
TOSJILZ,O,O,X,X,O
TOSJIZL,O,O,X,O,X
TOSJLIZ,O,O,X,X,O
TOSJLZI,O,X,X,X,O
TOSJZIL,O,X,X,O,X
TOSJZLI,O,X,X,O,X
TOSZILJ,O,O,X,X,X
TOSZIJL,O,O,X,O,X
TOSZLIJ,O,O,X,X,X
TOSZLJI,O,X,X,O,X
TOSZJIL,O,X,X,O,X
TOSZJLI,O,X,X,O,X
TOZILJS,X,X,O,X,X
TOZILSJ,O,X,X,X,X
TOZIJLS,X,X,O,O,X
TOZIJSL,X,X,X,O,X
TOZISLJ,O,X,X,X,X
TOZISJL,O,X,X,O,X
TOZLIJS,X,X,O,X,X
TOZLISJ,O,X,X,X,X
TOZLJIS,X,X,O,O,O
TOZLJSI,O,X,X,O,O
TOZLSIJ,O,X,X,X,X
TOZLSJI,O,X,X,O,X
TOZJILS,X,X,O,O,O
TOZJISL,X,X,X,O,X
TOZJLIS,X,X,O,O,O
TOZJLSI,O,X,X,O,O
TOZJSIL,O,X,X,O,X
TOZJSLI,O,X,X,O,X
TOZSILJ,O,X,X,X,X
TOZSIJL,O,X,X,O,X
TOZSLIJ,O,X,X,X,X
TOZSLJI,O,X,X,O,X
TOZSJIL,O,X,X,O,X
TOZSJLI,O,X,X,O,X
ITLJSZO,X,X,O,X,O
ITLJSOZ,X,X,O,X,O
ITLJZSO,X,X,O,X,O
ITLJZOS,X,X,O,X,O
ITLJOSZ,X,X,O,X,O
ITLJOZS,X,X,O,X,O
ITLSJZO,O,O,X,X,X
ITLSJOZ,X,O,X,X,X
ITLSZJO,O,O,X,X,X
ITLSZOJ,O,O,X,X,X
ITLSOJZ,O,O,X,X,X
ITLSOZJ,O,O,X,X,X
ITLZJSO,X,X,O,X,X
ITLZJOS,X,O,O,X,X
ITLZSJO,O,O,X,X,X
ITLZSOJ,O,O,X,X,X
ITLZOJS,X,O,O,X,X
ITLZOSJ,O,O,X,X,X
ITLOJSZ,X,X,O,X,O
ITLOJZS,X,X,O,X,O
ITLOSJZ,O,O,X,X,X
ITLOSZJ,O,O,X,X,X
ITLOZJS,X,O,O,X,X
ITLOZSJ,O,O,X,X,X
ITJLSZO,X,X,O,X,O
ITJLSOZ,X,X,O,X,O
ITJLZSO,X,X,O,O,O
ITJLZOS,X,X,O,O,O
ITJLOSZ,X,X,O,X,O
ITJLOZS,X,X,O,O,O
ITJSLZO,X,X,X,X,O
ITJSLOZ,X,X,X,X,O
ITJSZLO,X,X,X,O,X
ITJSZOL,X,X,X,O,X
ITJSOLZ,X,X,X,X,O
ITJSOZL,X,X,X,O,X
ITJZLSO,X,X,O,O,O
ITJZLOS,X,X,O,O,O
ITJZSLO,X,X,X,O,X
ITJZSOL,X,X,X,O,X
ITJZOLS,X,X,O,O,O
ITJZOSL,X,X,X,O,X
ITJOLSZ,X,X,O,X,O
ITJOLZS,X,X,O,O,O
ITJOSLZ,X,X,X,X,O
ITJOSZL,X,X,X,O,X
ITJOZLS,X,X,O,O,O
ITJOZSL,X,X,X,O,X
ITSLJZO,O,O,X,X,X
ITSLJOZ,X,O,X,X,X
ITSLZJO,O,O,X,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,O,O,X,X,X
ITSLOZJ,O,O,X,X,X
ITSJLZO,O,O,X,X,X
ITSJLOZ,X,O,X,X,X
ITSJZLO,O,O,X,X,X
ITSJZOL,X,O,X,X,X
ITSJOLZ,X,O,X,X,X
ITSJOZL,X,O,X,X,X
ITSZLJO,O,O,X,X,X
ITSZLOJ,O,O,X,X,X
ITSZJLO,O,O,X,X,X
ITSZJOL,X,O,X,X,X
ITSZOLJ,O,O,X,X,X
ITSZOJL,O,O,X,X,X
ITSOLJZ,O,O,X,X,X
ITSOLZJ,O,O,X,X,X
ITSOJLZ,O,O,X,X,X
ITSOJZL,O,O,X,X,X
ITSOZLJ,O,O,X,X,X
ITSOZJL,O,O,X,X,X
ITZLJSO,X,X,O,X,X
ITZLJOS,X,O,O,X,X
ITZLSJO,O,O,X,X,X
ITZLSOJ,O,O,X,X,X
ITZLOJS,X,O,O,X,X
ITZLOSJ,O,O,X,X,X
ITZJLSO,X,X,O,O,X
ITZJLOS,X,O,O,O,X
ITZJSLO,X,X,X,O,X
ITZJSOL,X,X,X,O,X
ITZJOLS,X,O,O,O,X
ITZJOSL,X,X,X,O,X
ITZSLJO,O,O,X,X,X
ITZSLOJ,O,O,X,X,X
ITZSJLO,O,O,X,O,X
ITZSJOL,X,O,X,O,X
ITZSOLJ,O,O,X,X,X
ITZSOJL,O,O,X,O,X
ITZOLJS,X,O,O,X,X
ITZOLSJ,O,O,X,X,X
ITZOJLS,X,O,O,O,X
ITZOJSL,X,X,X,O,X
ITZOSLJ,O,O,X,X,X
ITZOSJL,O,O,X,O,X
ITOLJSZ,X,X,O,X,O
ITOLJZS,X,X,O,X,O
ITOLSJZ,O,O,X,X,X
ITOLSZJ,O,O,X,X,X
ITOLZJS,X,O,O,X,X
ITOLZSJ,O,O,X,X,X
ITOJLSZ,X,X,O,X,O
ITOJLZS,X,X,O,O,O
ITOJSLZ,X,X,X,X,O
ITOJSZL,X,X,X,O,X
ITOJZLS,X,X,O,O,O
ITOJZSL,X,X,X,O,X
ITOSLJZ,O,O,X,X,X
ITOSLZJ,O,O,X,X,X
ITOSJLZ,O,O,X,X,X
ITOSJZL,O,O,X,X,X
ITOSZLJ,O,O,X,X,X
ITOSZJL,O,O,X,X,X
ITOZLJS,X,O,O,X,X
ITOZLSJ,O,O,X,X,X
ITOZJLS,X,O,O,O,X
ITOZJSL,X,X,X,O,X
ITOZSLJ,O,O,X,X,X
ITOZSJL,O,O,X,O,X
ILTJSZO,X,X,O,X,O
ILTJSOZ,X,X,O,X,O
ILTJZSO,X,X,O,X,O
ILTJZOS,X,X,O,X,O
ILTJOSZ,X,X,O,X,O
ILTJOZS,X,X,O,X,O
ILTSJZO,O,O,X,X,X
ILTSJOZ,X,O,X,X,X
ILTSZJO,O,O,X,X,X
ILTSZOJ,O,O,X,X,X
ILTSOJZ,O,O,X,X,X
ILTSOZJ,O,O,X,X,X
ILTZJSO,X,X,O,X,X
ILTZJOS,X,O,O,X,X
ILTZSJO,O,O,X,X,X
ILTZSOJ,O,O,X,X,X
ILTZOJS,X,O,O,X,X
ILTZOSJ,O,O,X,X,X
ILTOJSZ,X,X,O,X,O
ILTOJZS,X,X,O,X,O
ILTOSJZ,O,O,X,X,X
ILTOSZJ,O,O,X,X,X
ILTOZJS,X,O,O,X,X
ILTOZSJ,O,O,X,X,X
ILJTSZO,X,X,O,X,O
ILJTSOZ,X,X,O,X,O
ILJTZSO,X,X,O,X,O
ILJTZOS,X,X,O,X,O
ILJTOSZ,X,X,O,X,O
ILJTOZS,X,X,O,X,O
ILJSTZO,X,O,O,X,O
ILJSTOZ,X,O,O,X,O
ILJSZTO,X,O,O,X,X
ILJSZOT,X,O,O,X,X
ILJSOTZ,X,O,O,X,O
ILJSOZT,X,O,O,X,X
ILJZTSO,X,X,O,X,O
ILJZTOS,X,O,O,X,O
ILJZSTO,X,O,O,X,X
ILJZSOT,X,O,O,X,X
ILJZOTS,X,O,O,X,O
ILJZOST,X,O,O,X,X
ILJOTSZ,X,X,O,X,O
ILJOTZS,X,X,O,X,O
ILJOSTZ,X,O,O,X,O
ILJOSZT,X,O,O,X,X
ILJOZTS,X,O,O,X,O
ILJOZST,X,O,O,X,X
ILSTJZO,O,O,X,X,X
ILSTJOZ,X,O,X,X,X
ILSTZJO,O,O,X,X,X
ILSTZOJ,O,O,X,X,X
ILSTOJZ,O,O,X,X,X
ILSTOZJ,O,O,X,X,X
ILSJTZO,O,O,O,X,X
ILSJTOZ,X,O,O,X,X
ILSJZTO,O,O,O,X,X
ILSJZOT,O,O,O,X,X
ILSJOTZ,O,O,O,X,X
ILSJOZT,O,O,O,X,X
ILSZTJO,O,O,X,X,X
ILSZTOJ,O,O,X,X,X
ILSZJTO,O,O,O,X,X
ILSZJOT,O,O,O,X,X
ILSZOTJ,O,O,X,X,X
ILSZOJT,O,O,O,X,X
ILSOTJZ,O,O,X,X,X
ILSOTZJ,O,O,X,X,X
ILSOJTZ,O,O,O,X,X
ILSOJZT,O,O,O,X,X
ILSOZTJ,O,O,X,X,X
ILSOZJT,O,O,O,X,X
ILZTJSO,X,X,O,X,X
ILZTJOS,X,O,O,X,X
ILZTSJO,O,O,X,X,X
ILZTSOJ,O,O,X,X,X
ILZTOJS,X,O,O,X,X
ILZTOSJ,O,O,X,X,X
ILZJTSO,X,X,O,X,X
ILZJTOS,X,O,O,X,X
ILZJSTO,X,O,O,X,X
ILZJSOT,X,O,O,X,X
ILZJOTS,X,O,O,X,X
ILZJOST,X,O,O,X,X
ILZSTJO,O,O,X,X,X
ILZSTOJ,O,O,X,X,X
ILZSJTO,O,O,O,X,X
ILZSJOT,O,O,O,X,X
ILZSOTJ,O,O,X,X,X
ILZSOJT,O,O,O,X,X
ILZOTJS,X,O,O,X,X
ILZOTSJ,O,O,X,X,X
ILZOJTS,X,O,O,X,X
ILZOJST,X,O,O,X,X
ILZOSTJ,O,O,X,X,X
ILZOSJT,O,O,O,X,X
ILOTJSZ,X,X,O,X,O
ILOTJZS,X,X,O,X,O
ILOTSJZ,O,O,X,X,X
ILOTSZJ,O,O,X,X,X
ILOTZJS,X,O,O,X,X
ILOTZSJ,O,O,X,X,X
ILOJTSZ,X,X,O,X,O
ILOJTZS,X,X,O,X,O
ILOJSTZ,X,O,O,X,O
ILOJSZT,X,O,O,X,X
ILOJZTS,X,O,O,X,O
ILOJZST,X,O,O,X,X
ILOSTJZ,O,O,X,X,X
ILOSTZJ,O,O,X,X,X
ILOSJTZ,O,O,O,X,X
ILOSJZT,O,O,O,X,X
ILOSZTJ,O,O,X,X,X
ILOSZJT,O,O,O,X,X
ILOZTJS,X,O,O,X,X
ILOZTSJ,O,O,X,X,X
ILOZJTS,X,O,O,X,X
ILOZJST,X,O,O,X,X
ILOZSTJ,O,O,X,X,X
ILOZSJT,O,O,O,X,X
IJTLSZO,X,X,O,X,O
IJTLSOZ,X,X,O,X,O
IJTLZSO,X,X,O,O,O
IJTLZOS,X,X,O,O,O
IJTLOSZ,X,X,O,X,O
IJTLOZS,X,X,O,O,O
IJTSLZO,X,X,X,X,O
IJTSLOZ,X,X,X,X,O
IJTSZLO,X,X,X,O,X
IJTSZOL,X,X,X,O,X
IJTSOLZ,X,X,X,X,O
IJTSOZL,X,X,X,O,X
IJTZLSO,X,X,O,O,O
IJTZLOS,X,X,O,O,O
IJTZSLO,X,X,X,O,X
IJTZSOL,X,X,X,O,X
IJTZOLS,X,X,O,O,O
IJTZOSL,X,X,X,O,X
IJTOLSZ,X,X,O,X,O
IJTOLZS,X,X,O,O,O
IJTOSLZ,X,X,X,X,O
IJTOSZL,X,X,X,O,X
IJTOZLS,X,X,O,O,O
IJTOZSL,X,X,X,O,X
IJLTSZO,X,X,O,X,O
IJLTSOZ,X,X,O,X,O
IJLTZSO,X,X,O,O,O
IJLTZOS,X,X,O,O,O
IJLTOSZ,X,X,O,X,O
IJLTOZS,X,X,O,O,O
IJLSTZO,X,O,O,X,O
IJLSTOZ,X,O,O,X,O
IJLSZTO,X,O,O,X,X
IJLSZOT,X,O,O,X,X
IJLSOTZ,X,O,O,X,O
IJLSOZT,X,O,O,X,X
IJLZTSO,X,X,O,O,O
IJLZTOS,X,O,O,O,O
IJLZSTO,X,O,O,X,X
IJLZSOT,X,O,O,X,X
IJLZOTS,X,O,O,O,O
IJLZOST,X,O,O,X,X
IJLOTSZ,X,X,O,X,O
IJLOTZS,X,X,O,O,O
IJLOSTZ,X,O,O,X,O
IJLOSZT,X,O,O,X,X
IJLOZTS,X,O,O,O,O
IJLOZST,X,O,O,X,X
IJSTLZO,X,O,X,X,O
IJSTLOZ,X,O,X,X,O
IJSTZLO,X,O,X,O,X
IJSTZOL,X,O,X,O,X
IJSTOLZ,X,O,X,X,O
IJSTOZL,X,O,X,O,X
IJSLTZO,X,O,O,X,O
IJSLTOZ,X,O,O,X,O
IJSLZTO,X,O,O,X,X
IJSLZOT,X,O,O,X,X
IJSLOTZ,X,O,O,X,O
IJSLOZT,X,O,O,X,X
IJSZTLO,X,O,X,O,X
IJSZTOL,X,O,X,O,X
IJSZLTO,X,O,O,X,X
IJSZLOT,X,O,O,X,X
IJSZOTL,X,O,X,O,X
IJSZOLT,X,O,O,X,X
IJSOTLZ,X,O,X,X,O
IJSOTZL,X,O,X,O,X
IJSOLTZ,X,O,O,X,O
IJSOLZT,X,O,O,X,X
IJSOZTL,X,O,X,O,X
IJSOZLT,X,O,O,X,X
IJZTLSO,X,X,O,O,O
IJZTLOS,X,O,O,O,O
IJZTSLO,X,X,X,O,X
IJZTSOL,X,X,X,O,X
IJZTOLS,X,O,O,O,O
IJZTOSL,X,X,X,O,X
IJZLTSO,X,X,O,O,O
IJZLTOS,X,O,O,O,O
IJZLSTO,X,O,O,X,X
IJZLSOT,X,O,O,X,X
IJZLOTS,X,O,O,O,O
IJZLOST,X,O,O,X,X
IJZSTLO,X,O,X,O,X
IJZSTOL,X,O,X,O,X
IJZSLTO,X,O,O,X,X
IJZSLOT,X,O,O,X,X
IJZSOTL,X,O,X,O,X
IJZSOLT,X,O,O,X,X
IJZOTLS,X,O,O,O,O
IJZOTSL,X,X,X,O,X
IJZOLTS,X,O,O,O,O
IJZOLST,X,O,O,X,X
IJZOSTL,X,O,X,O,X
IJZOSLT,X,O,O,X,X
IJOTLSZ,X,X,O,X,O
IJOTLZS,X,X,O,O,O
IJOTSLZ,X,X,X,X,O
IJOTSZL,X,X,X,O,X
IJOTZLS,X,X,O,O,O
IJOTZSL,X,X,X,O,X
IJOLTSZ,X,X,O,X,O
IJOLTZS,X,X,O,O,O
IJOLSTZ,X,O,O,X,O
IJOLSZT,X,O,O,X,X
IJOLZTS,X,O,O,O,O
IJOLZST,X,O,O,X,X
IJOSTLZ,X,O,X,X,O
IJOSTZL,X,O,X,O,X
IJOSLTZ,X,O,O,X,O
IJOSLZT,X,O,O,X,X
IJOSZTL,X,O,X,O,X
IJOSZLT,X,O,O,X,X
IJOZTLS,X,O,O,O,O
IJOZTSL,X,X,X,O,X
IJOZLTS,X,O,O,O,O
IJOZLST,X,O,O,X,X
IJOZSTL,X,O,X,O,X
IJOZSLT,X,O,O,X,X
ISTLJZO,O,O,X,X,X
ISTLJOZ,X,O,X,X,X
ISTLZJO,O,O,X,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,O,O,X,X,X
ISTLOZJ,O,O,X,X,X
ISTJLZO,O,O,X,X,X
ISTJLOZ,X,O,X,X,X
ISTJZLO,O,O,X,X,X
ISTJZOL,X,O,X,X,X
ISTJOLZ,X,O,X,X,X
ISTJOZL,X,O,X,X,X
ISTZLJO,O,O,X,X,X
ISTZLOJ,O,O,X,X,X
ISTZJLO,O,O,X,X,X
ISTZJOL,X,O,X,X,X
ISTZOLJ,O,O,X,X,X
ISTZOJL,O,O,X,X,X
ISTOLJZ,O,O,X,X,X
ISTOLZJ,O,O,X,X,X
ISTOJLZ,O,O,X,X,X
ISTOJZL,O,O,X,X,X
ISTOZLJ,O,O,X,X,X
ISTOZJL,O,O,X,X,X
ISLTJZO,O,O,X,X,X
ISLTJOZ,X,O,X,X,X
ISLTZJO,O,O,X,X,X
ISLTZOJ,O,O,X,X,X
ISLTOJZ,O,O,X,X,X
ISLTOZJ,O,O,X,X,X
ISLJTZO,O,O,O,X,X
ISLJTOZ,X,O,O,X,X
ISLJZTO,O,O,O,X,X
ISLJZOT,O,O,O,X,X
ISLJOTZ,O,O,O,X,X
ISLJOZT,O,O,O,X,X
ISLZTJO,O,O,X,X,X
ISLZTOJ,O,O,X,X,X
ISLZJTO,O,O,O,X,X
ISLZJOT,O,O,O,X,X
ISLZOTJ,O,O,X,X,X
ISLZOJT,O,O,O,X,X
ISLOTJZ,O,O,X,X,X
ISLOTZJ,O,O,X,X,X
ISLOJTZ,O,O,O,X,X
ISLOJZT,O,O,O,X,X
ISLOZTJ,O,O,X,X,X
ISLOZJT,O,O,O,X,X
ISJTLZO,O,O,X,X,X
ISJTLOZ,X,O,X,X,X
ISJTZLO,O,O,X,X,X
ISJTZOL,X,O,X,X,X
ISJTOLZ,X,O,X,X,X
ISJTOZL,X,O,X,X,X
ISJLTZO,O,O,O,X,X
ISJLTOZ,X,O,O,X,X
ISJLZTO,O,O,O,X,X
ISJLZOT,O,O,O,X,X
ISJLOTZ,O,O,O,X,X
ISJLOZT,O,O,O,X,X
ISJZTLO,X,O,X,X,X
ISJZTOL,X,O,X,X,X
ISJZLTO,O,O,O,X,X
ISJZLOT,O,O,O,X,X
ISJZOTL,X,O,X,X,X
ISJZOLT,X,O,O,X,X
ISJOTLZ,O,O,X,X,X
ISJOTZL,O,O,X,X,X
ISJOLTZ,O,O,O,X,X
ISJOLZT,O,O,O,X,X
ISJOZTL,X,O,X,X,X
ISJOZLT,O,O,O,X,X
ISZTLJO,O,O,X,X,X
ISZTLOJ,O,O,X,X,X
ISZTJLO,O,O,X,X,X
ISZTJOL,X,O,X,X,X
ISZTOLJ,O,O,X,X,X
ISZTOJL,O,O,X,X,X
ISZLTJO,O,O,X,X,X
ISZLTOJ,O,O,X,X,X
ISZLJTO,O,O,O,X,X
ISZLJOT,O,O,O,X,X
ISZLOTJ,O,O,X,X,X
ISZLOJT,O,O,O,X,X
ISZJTLO,X,O,X,X,X
ISZJTOL,X,O,X,X,X
ISZJLTO,O,O,O,X,X
ISZJLOT,O,O,O,X,X
ISZJOTL,X,O,X,X,X
ISZJOLT,X,O,O,X,X
ISZOTLJ,O,O,X,X,X
ISZOTJL,O,O,X,X,X
ISZOLTJ,O,O,X,X,X
ISZOLJT,O,O,O,X,X
ISZOJTL,X,O,X,X,X
ISZOJLT,O,O,O,X,X
ISOTLJZ,O,O,X,X,X
ISOTLZJ,O,O,X,X,X
ISOTJLZ,O,O,X,X,X
ISOTJZL,O,O,X,X,X
ISOTZLJ,O,O,X,X,X
ISOTZJL,O,O,X,X,X
ISOLTJZ,O,O,X,X,X
ISOLTZJ,O,O,X,X,X
ISOLJTZ,O,O,O,X,X
ISOLJZT,O,O,O,X,X
ISOLZTJ,O,O,X,X,X
ISOLZJT,O,O,O,X,X
ISOJTLZ,O,O,X,X,X
ISOJTZL,O,O,X,X,X
ISOJLTZ,O,O,O,X,X
ISOJLZT,O,O,O,X,X
ISOJZTL,X,O,X,X,X
ISOJZLT,O,O,O,X,X
ISOZTLJ,O,O,X,X,X
ISOZTJL,O,O,X,X,X
ISOZLTJ,O,O,X,X,X
ISOZLJT,O,O,O,X,X
ISOZJTL,X,O,X,X,X
ISOZJLT,O,O,O,X,X
IZTLJSO,X,X,O,X,X
IZTLJOS,X,O,O,X,X
IZTLSJO,O,O,X,X,X
IZTLSOJ,O,O,X,X,X
IZTLOJS,X,O,O,X,X
IZTLOSJ,O,O,X,X,X
IZTJLSO,X,X,O,O,X
IZTJLOS,X,O,O,O,X
IZTJSLO,X,X,X,O,X
IZTJSOL,X,X,X,O,X
IZTJOLS,X,O,O,O,X
IZTJOSL,X,X,X,O,X
IZTSLJO,O,O,X,X,X
IZTSLOJ,O,O,X,X,X
IZTSJLO,O,O,X,O,X
IZTSJOL,X,O,X,O,X
IZTSOLJ,O,O,X,X,X
IZTSOJL,O,O,X,O,X
IZTOLJS,X,O,O,X,X
IZTOLSJ,O,O,X,X,X
IZTOJLS,X,O,O,O,X
IZTOJSL,X,X,X,O,X
IZTOSLJ,O,O,X,X,X
IZTOSJL,O,O,X,O,X
IZLTJSO,X,X,O,X,X
IZLTJOS,X,O,O,X,X
IZLTSJO,O,O,X,X,X
IZLTSOJ,O,O,X,X,X
IZLTOJS,X,O,O,X,X
IZLTOSJ,O,O,X,X,X
IZLJTSO,X,X,O,X,X
IZLJTOS,X,O,O,X,X
IZLJSTO,X,O,O,X,X
IZLJSOT,X,O,O,X,X
IZLJOTS,X,O,O,X,X
IZLJOST,X,O,O,X,X
IZLSTJO,O,O,X,X,X
IZLSTOJ,O,O,X,X,X
IZLSJTO,O,O,O,X,X
IZLSJOT,O,O,O,X,X
IZLSOTJ,O,O,X,X,X
IZLSOJT,O,O,O,X,X
IZLOTJS,X,O,O,X,X
IZLOTSJ,O,O,X,X,X
IZLOJTS,X,O,O,X,X
IZLOJST,X,O,O,X,X
IZLOSTJ,O,O,X,X,X
IZLOSJT,O,O,O,X,X
IZJTLSO,X,X,O,O,X
IZJTLOS,X,O,O,O,X
IZJTSLO,X,X,X,O,X
IZJTSOL,X,X,X,O,X
IZJTOLS,X,O,O,O,X
IZJTOSL,X,X,X,O,X
IZJLTSO,X,X,O,O,X
IZJLTOS,X,O,O,O,X
IZJLSTO,X,O,O,X,X
IZJLSOT,X,O,O,X,X
IZJLOTS,X,O,O,O,X
IZJLOST,X,O,O,X,X
IZJSTLO,X,O,X,O,X
IZJSTOL,X,O,X,O,X
IZJSLTO,X,O,O,X,X
IZJSLOT,X,O,O,X,X
IZJSOTL,X,O,X,O,X
IZJSOLT,X,O,O,X,X
IZJOTLS,X,O,O,O,X
IZJOTSL,X,X,X,O,X
IZJOLTS,X,O,O,O,X
IZJOLST,X,O,O,X,X
IZJOSTL,X,O,X,O,X
IZJOSLT,X,O,O,X,X
IZSTLJO,O,O,X,X,X
IZSTLOJ,O,O,X,X,X
IZSTJLO,O,O,X,O,X
IZSTJOL,X,O,X,O,X
IZSTOLJ,O,O,X,X,X
IZSTOJL,O,O,X,O,X
IZSLTJO,O,O,X,X,X
IZSLTOJ,O,O,X,X,X
IZSLJTO,O,O,O,X,X
IZSLJOT,O,O,O,X,X
IZSLOTJ,O,O,X,X,X
IZSLOJT,O,O,O,X,X
IZSJTLO,X,O,X,O,X
IZSJTOL,X,O,X,O,X
IZSJLTO,O,O,O,X,X
IZSJLOT,O,O,O,X,X
IZSJOTL,X,O,X,O,X
IZSJOLT,X,O,O,X,X
IZSOTLJ,O,O,X,X,X
IZSOTJL,O,O,X,O,X
IZSOLTJ,O,O,X,X,X
IZSOLJT,O,O,O,X,X
IZSOJTL,X,O,X,O,X
IZSOJLT,O,O,O,X,X
IZOTLJS,X,O,O,X,X
IZOTLSJ,O,O,X,X,X
IZOTJLS,X,O,O,O,X
IZOTJSL,X,X,X,O,X
IZOTSLJ,O,O,X,X,X
IZOTSJL,O,O,X,O,X
IZOLTJS,X,O,O,X,X
IZOLTSJ,O,O,X,X,X
IZOLJTS,X,O,O,X,X
IZOLJST,X,O,O,X,X
IZOLSTJ,O,O,X,X,X
IZOLSJT,O,O,O,X,X
IZOJTLS,X,O,O,O,X
IZOJTSL,X,X,X,O,X
IZOJLTS,X,O,O,O,X
IZOJLST,X,O,O,X,X
IZOJSTL,X,O,X,O,X
IZOJSLT,X,O,O,X,X
IZOSTLJ,O,O,X,X,X
IZOSTJL,O,O,X,O,X
IZOSLTJ,O,O,X,X,X
IZOSLJT,O,O,O,X,X
IZOSJTL,X,O,X,O,X
IZOSJLT,O,O,O,X,X
IOTLJSZ,X,X,O,X,O
IOTLJZS,X,X,O,X,O
IOTLSJZ,O,O,X,X,X
IOTLSZJ,O,O,X,X,X
IOTLZJS,X,O,O,X,X
IOTLZSJ,O,O,X,X,X
IOTJLSZ,X,X,O,X,O
IOTJLZS,X,X,O,O,O
IOTJSLZ,X,X,X,X,O
IOTJSZL,X,X,X,O,X
IOTJZLS,X,X,O,O,O
IOTJZSL,X,X,X,O,X
IOTSLJZ,O,O,X,X,X
IOTSLZJ,O,O,X,X,X
IOTSJLZ,O,O,X,X,X
IOTSJZL,O,O,X,X,X
IOTSZLJ,O,O,X,X,X
IOTSZJL,O,O,X,X,X
IOTZLJS,X,O,O,X,X
IOTZLSJ,O,O,X,X,X
IOTZJLS,X,O,O,O,X
IOTZJSL,X,X,X,O,X
IOTZSLJ,O,O,X,X,X
IOTZSJL,O,O,X,O,X
IOLTJSZ,X,X,O,X,O
IOLTJZS,X,X,O,X,O
IOLTSJZ,O,O,X,X,X
IOLTSZJ,O,O,X,X,X
IOLTZJS,X,O,O,X,X
IOLTZSJ,O,O,X,X,X
IOLJTSZ,X,X,O,X,O
IOLJTZS,X,X,O,X,O
IOLJSTZ,X,O,O,X,O
IOLJSZT,X,O,O,X,X
IOLJZTS,X,O,O,X,O
IOLJZST,X,O,O,X,X
IOLSTJZ,O,O,X,X,X
IOLSTZJ,O,O,X,X,X
IOLSJTZ,O,O,O,X,X
IOLSJZT,O,O,O,X,X
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,O,O,X,X
IOLZTJS,X,O,O,X,X
IOLZTSJ,O,O,X,X,X
IOLZJTS,X,O,O,X,X
IOLZJST,X,O,O,X,X
IOLZSTJ,O,O,X,X,X
IOLZSJT,O,O,O,X,X
IOJTLSZ,X,X,O,X,O
IOJTLZS,X,X,O,O,O
IOJTSLZ,X,X,X,X,O
IOJTSZL,X,X,X,O,X
IOJTZLS,X,X,O,O,O
IOJTZSL,X,X,X,O,X
IOJLTSZ,X,X,O,X,O
IOJLTZS,X,X,O,O,O
IOJLSTZ,X,O,O,X,O
IOJLSZT,X,O,O,X,X
IOJLZTS,X,O,O,O,O
IOJLZST,X,O,O,X,X
IOJSTLZ,X,O,X,X,O
IOJSTZL,X,O,X,O,X
IOJSLTZ,X,O,O,X,O
IOJSLZT,X,O,O,X,X
IOJSZTL,X,O,X,O,X
IOJSZLT,X,O,O,X,X
IOJZTLS,X,O,O,O,O
IOJZTSL,X,X,X,O,X
IOJZLTS,X,O,O,O,O
IOJZLST,X,O,O,X,X
IOJZSTL,X,O,X,O,X
IOJZSLT,X,O,O,X,X
IOSTLJZ,O,O,X,X,X
IOSTLZJ,O,O,X,X,X
IOSTJLZ,O,O,X,X,X
IOSTJZL,O,O,X,X,X
IOSTZLJ,O,O,X,X,X
IOSTZJL,O,O,X,X,X
IOSLTJZ,O,O,X,X,X
IOSLTZJ,O,O,X,X,X
IOSLJTZ,O,O,O,X,X
IOSLJZT,O,O,O,X,X
IOSLZTJ,O,O,X,X,X
IOSLZJT,O,O,O,X,X
IOSJTLZ,O,O,X,X,X
IOSJTZL,O,O,X,X,X
IOSJLTZ,O,O,O,X,X
