sequence,v115@9gA8IeA8IeB8FeA8AeC8CeD8JefFJvhFxgB0iB6oBV?sBzqBGrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFUhBFiB6oB3?nBxqBWwB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF+lB0iB6oBx?rBlrBXrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFfmBxiBVsBG?oB0qB6rB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF0hBxiBGoBl?qBCsBfrB
TISOZLJ,O,O,X,X,X
TISOZJL,O,O,X,X,X
TIZLJSO,X,X,O,X,X
TIZLJOS,X,O,O,X,X
TIZLSJO,O,O,X,X,X
TIZLSOJ,O,O,X,X,X
TIZLOJS,X,O,O,X,X
TIZLOSJ,O,O,X,X,X
TIZJLSO,X,X,O,O,X
TIZJLOS,X,O,O,O,X
TIZJSLO,X,X,X,O,X
TIZJSOL,X,X,X,O,X
TIZJOLS,X,O,O,O,X
TIZJOSL,X,X,X,O,X
TIZSLJO,O,O,X,X,X
TIZSLOJ,O,O,X,X,X
TIZSJLO,O,O,X,O,X
TIZSJOL,X,O,X,O,X
TIZSOLJ,O,O,X,X,X
TIZSOJL,O,O,X,O,X
TIZOLJS,X,O,O,X,X
TIZOLSJ,O,O,X,X,X
TIZOJLS,X,O,O,O,X
TIZOJSL,X,X,X,O,X
TIZOSLJ,O,O,X,X,X
TIZOSJL,O,O,X,O,X
TIOLJSZ,X,X,O,X,O
TIOLJZS,X,X,O,X,O
TIOLSJZ,O,O,X,X,X
TIOLSZJ,O,O,X,X,X
TIOLZJS,X,O,O,X,X
TIOLZSJ,O,O,X,X,X
TIOJLSZ,X,X,O,X,O
TIOJLZS,X,X,O,O,O
TIOJSLZ,X,X,X,X,O
TIOJSZL,X,X,X,O,X
TIOJZLS,X,X,O,O,O
TIOJZSL,X,X,X,O,X
TIOSLJZ,O,O,X,X,X
TIOSLZJ,O,O,X,X,X
TIOSJLZ,O,O,X,X,X
TIOSJZL,O,O,X,X,X
TIOSZLJ,O,O,X,X,X
TIOSZJL,O,O,X,X,X
TIOZLJS,X,O,O,X,X
TIOZLSJ,O,O,X,X,X
