sequence,v115@RhC8FeF8BeC8JeT/IvhF/lBZnBunBcoB6rBFrB,v115@RhC8FeF8BeC8JeT/IvhF/lBamB5mBcoBOsBlsB,v115@RhC8FeF8BeC8JeT/IvhFxgBCjBllBXoBmrB8rB,v115@RhC8FeF8BeC8JeT/IvhFmgBxiB0lBFoBCsBfsB,v115@RhC8FeF8BeC8Jei/IvhFXiBTjBRlB1sBWrB0rB,v115@RhC8FeF8BeC8Jei/IvhF0hBTjBRlB1sBWrBXsB
TIOSLJZ,X,O,O,X,O,X
TIOSLZJ,O,O,X,X,O,O
TIOSJLZ,X,O,O,X,O,X
TIOSJZL,X,O,O,X,X,X
TIOSZLJ,O,O,X,X,O,O
TIOSZJL,O,O,X,X,X,X
TIOZLJS,O,X,X,O,X,O
TIOZLSJ,O,X,X,O,O,O
TIOZJLS,O,X,X,O,X,O
TIOZJSL,O,O,X,X,X,X
TIOZSLJ,O,O,X,X,O,O
TIOZSJL,O,O,X,X,X,X
TLIJSZO,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X
TLIJZSO,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,O
TLIJOSZ,X,X,X,X,O,X
TLIJOZS,X,X,X,X,X,O
TLISJZO,X,X,X,X,X,X
TLISJOZ,X,X,X,X,O,X
TLISZJO,O,X,X,X,X,X
TLISZOJ,O,X,X,X,O,O
TLISOJZ,X,X,X,X,O,X
TLISOZJ,O,X,X,X,O,O
TLIZJSO,O,X,X,O,X,X
TLIZJOS,O,X,X,O,X,O
TLIZSJO,O,X,X,O,X,X
TLIZSOJ,O,X,X,O,O,O
TLIZOJS,O,X,X,O,X,O
TLIZOSJ,O,X,X,O,O,O
TLIOJSZ,X,X,X,X,O,X
TLIOJZS,X,X,X,X,X,O
TLIOSJZ,X,X,X,X,O,X
TLIOSZJ,O,X,X,X,O,O
TLIOZJS,O,X,X,O,X,O
TLIOZSJ,O,X,X,O,O,O
TLJISZO,X,X,X,X,X,X
TLJISOZ,X,X,X,X,O,X
TLJIZSO,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,O
TLJIOSZ,X,X,X,X,O,X
TLJIOZS,X,X,X,X,X,O
TLJSIZO,X,X,O,X,X,X
TLJSIOZ,X,X,O,X,O,X
TLJSZIO,X,X,O,X,X,X
TLJSZOI,X,X,O,X,X,X
TLJSOIZ,X,X,O,X,O,X
TLJSOZI,X,X,O,X,X,X
TLJZISO,X,X,X,O,X,X
TLJZIOS,X,X,X,O,X,O
TLJZSIO,X,X,X,O,X,X
TLJZSOI,X,X,X,O,X,X
TLJZOIS,X,X,X,O,X,O
TLJZOSI,X,X,X,O,X,X
TLJOISZ,X,X,X,X,O,X
TLJOIZS,X,X,X,X,X,O
TLJOSIZ,X,X,O,X,O,X
TLJOSZI,X,X,O,X,X,X
TLJOZIS,X,X,X,O,X,O
TLJOZSI,X,X,X,O,X,X
TLSIJZO,X,X,O,X,X,X
TLSIJOZ,X,X,O,X,O,X
TLSIZJO,O,X,X,X,X,X
TLSIZOJ,O,X,X,X,O,O
TLSIOJZ,X,X,O,X,O,X
TLSIOZJ,O,X,X,X,O,O
TLSJIZO,X,X,O,X,X,X
TLSJIOZ,X,X,O,X,O,X
TLSJZIO,X,X,O,X,X,X
TLSJZOI,X,X,O,X,X,X
TLSJOIZ,X,X,O,X,O,X
TLSJOZI,X,X,O,X,X,X
TLSZIJO,O,X,X,O,X,X
TLSZIOJ,O,X,X,O,O,O
TLSZJIO,O,X,O,O,X,X
TLSZJOI,O,X,O,O,X,X
TLSZOIJ,O,X,X,O,O,O
TLSZOJI,O,X,O,O,X,X
TLSOIJZ,X,X,O,X,O,X
TLSOIZJ,O,X,X,X,O,O
TLSOJIZ,X,X,O,X,O,X
TLSOJZI,X,X,O,X,X,X
TLSOZIJ,O,X,X,O,O,O
TLSOZJI,O,X,O,O,X,X
TLZIJSO,O,X,X,O,X,X
TLZIJOS,O,X,X,O,X,O
TLZISJO,O,X,X,O,X,X
TLZISOJ,O,X,X,O,O,O
TLZIOJS,O,X,X,O,X,O
TLZIOSJ,O,X,X,O,O,O
TLZJISO,O,X,X,O,X,X
TLZJIOS,O,X,X,O,X,O
TLZJSIO,O,X,X,O,X,X
TLZJSOI,O,X,X,O,X,X
TLZJOIS,O,X,X,O,X,O
TLZJOSI,O,X,X,O,X,X
TLZSIJO,O,X,X,O,X,X
TLZSIOJ,O,X,X,O,O,O
TLZSJIO,O,X,X,O,X,X
TLZSJOI,O,X,X,O,X,X
TLZSOIJ,O,X,X,O,O,O
TLZSOJI,O,X,X,O,X,X
TLZOIJS,O,X,X,O,X,O
TLZOISJ,O,X,X,O,O,O
TLZOJIS,O,X,X,O,X,O
TLZOJSI,O,X,X,O,X,X
TLZOSIJ,O,X,X,O,O,O
TLZOSJI,O,X,X,O,X,X
TLOIJSZ,X,X,X,X,O,X
TLOIJZS,X,X,X,X,X,O
TLOISJZ,X,X,X,X,O,X
TLOISZJ,O,X,X,X,O,O
TLOIZJS,O,X,X,O,X,O
TLOIZSJ,O,X,X,O,O,O
TLOJISZ,X,X,X,X,O,X
TLOJIZS,X,X,X,X,X,O
TLOJSIZ,X,X,O,X,O,X
TLOJSZI,X,X,O,X,X,X
TLOJZIS,X,X,X,O,X,O
TLOJZSI,X,X,X,O,X,X
TLOSIJZ,X,X,O,X,O,X
TLOSIZJ,O,X,X,X,O,O
TLOSJIZ,X,X,O,X,O,X
TLOSJZI,X,X,O,X,X,X
TLOSZIJ,O,X,X,O,O,O
TLOSZJI,O,X,O,O,X,X
TLOZIJS,O,X,X,O,X,O
TLOZISJ,O,X,X,O,O,O
TLOZJIS,O,X,X,O,X,O
TLOZJSI,O,X,X,O,X,X
TLOZSIJ,O,X,X,O,O,O
TLOZSJI,O,X,X,O,X,X
TJILSZO,X,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X
TJILZSO,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,O
TJILOSZ,X,X,X,X,O,X
TJILOZS,X,X,X,X,X,O
TJISLZO,X,O,O,X,X,X
TJISLOZ,X,O,O,X,O,X
TJISZLO,X,O,O,X,X,X
TJISZOL,X,O,O,X,X,X
TJISOLZ,X,O,O,X,O,X
TJISOZL,X,O,O,X,X,X
TJIZLSO,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,O
TJIZSLO,X,O,X,X,X,X
TJIZSOL,X,O,X,X,X,X
TJIZOLS,X,X,X,X,X,O
TJIZOSL,X,O,X,X,X,X
TJIOLSZ,X,X,X,X,O,X
TJIOLZS,X,X,X,X,X,O
TJIOSLZ,X,O,O,X,O,X
TJIOSZL,X,O,O,X,X,X
TJIOZLS,X,X,X,X,X,O
TJIOZSL,X,O,X,X,X,X
TJLISZO,X,X,X,X,X,X
TJLISOZ,X,X,X,X,O,X
TJLIZSO,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,O
TJLIOSZ,X,X,X,X,O,X
TJLIOZS,X,X,X,X,X,O
TJLSIZO,X,X,O,X,X,X
TJLSIOZ,X,X,O,X,O,X
TJLSZIO,X,X,O,X,X,X
TJLSZOI,X,X,O,X,X,X
TJLSOIZ,X,X,O,X,O,X
TJLSOZI,X,X,O,X,X,X
TJLZISO,X,X,X,O,X,X
TJLZIOS,X,X,X,O,X,O
TJLZSIO,X,X,X,O,X,X
TJLZSOI,X,X,X,O,X,X
TJLZOIS,X,X,X,O,X,O
TJLZOSI,X,X,X,O,X,X
TJLOISZ,X,X,X,X,O,X
TJLOIZS,X,X,X,X,X,O
TJLOSIZ,X,X,O,X,O,X
TJLOSZI,X,X,O,X,X,X
TJLOZIS,X,X,X,O,X,O
TJLOZSI,X,X,X,O,X,X
TJSILZO,X,O,O,X,X,X
TJSILOZ,X,O,O,X,O,X
TJSIZLO,X,O,O,X,X,X
TJSIZOL,X,O,O,X,X,X
TJSIOLZ,X,O,O,X,O,X
TJSIOZL,X,O,O,X,X,X
TJSLIZO,X,O,O,X,X,X
TJSLIOZ,X,O,O,X,O,X
TJSLZIO,X,O,O,X,X,X
TJSLZOI,X,O,O,X,X,X
TJSLOIZ,X,O,O,X,O,X
TJSLOZI,X,O,O,X,X,X
TJSZILO,X,O,O,X,X,X
TJSZIOL,X,O,O,X,X,X
TJSZLIO,X,O,O,X,X,X
TJSZLOI,X,O,O,X,X,X
TJSZOIL,X,O,O,X,X,X
TJSZOLI,X,O,O,X,X,X
TJSOILZ,X,O,O,X,O,X
TJSOIZL,X,O,O,X,X,X
TJSOLIZ,X,O,O,X,O,X
TJSOLZI,X,O,O,X,X,X
TJSOZIL,X,O,O,X,X,X
TJSOZLI,X,O,O,X,X,X
TJZILSO,X,X,X,O,X,X
TJZILOS,X,X,X,O,X,O
TJZISLO,X,O,X,X,X,X
TJZISOL,X,O,X,X,X,X
TJZIOLS,X,X,X,O,X,O
TJZIOSL,X,O,X,X,X,X
TJZLISO,X,X,X,O,X,X
TJZLIOS,X,X,X,O,X,O
TJZLSIO,X,X,X,O,X,X
TJZLSOI,X,X,X,O,X,X
TJZLOIS,X,X,X,O,X,O
TJZLOSI,X,X,X,O,X,X
TJZSILO,X,O,O,X,X,X
TJZSIOL,X,O,O,X,X,X
TJZSLIO,X,O,O,O,X,X
TJZSLOI,X,O,O,O,X,X
TJZSOIL,X,O,O,X,X,X
TJZSOLI,X,O,O,O,X,X
TJZOILS,X,X,X,O,X,O
TJZOISL,X,O,X,X,X,X
TJZOLIS,X,X,X,O,X,O
TJZOLSI,X,X,X,O,X,X
TJZOSIL,X,O,O,X,X,X
TJZOSLI,X,O,O,O,X,X
TJOILSZ,X,X,X,X,O,X
TJOILZS,X,X,X,X,X,O
TJOISLZ,X,O,O,X,O,X
TJOISZL,X,O,O,X,X,X
TJOIZLS,X,X,X,X,X,O
TJOIZSL,X,O,X,X,X,X
TJOLISZ,X,X,X,X,O,X
TJOLIZS,X,X,X,X,X,O
TJOLSIZ,X,X,O,X,O,X
TJOLSZI,X,X,O,X,X,X
TJOLZIS,X,X,X,O,X,O
TJOLZSI,X,X,X,O,X,X
TJOSILZ,X,O,O,X,O,X
TJOSIZL,X,O,O,X,X,X
TJOSLIZ,X,O,O,X,O,X
TJOSLZI,X,O,O,X,X,X
TJOSZIL,X,O,O,X,X,X
TJOSZLI,X,O,O,X,X,X
TJOZILS,X,X,X,O,X,O
TJOZISL,X,O,X,X,X,X
TJOZLIS,X,X,X,O,X,O
TJOZLSI,X,X,X,O,X,X
TJOZSIL,X,O,O,X,X,X
TJOZSLI,X,O,O,O,X,X
TSILJZO,X,O,O,X,X,X
TSILJOZ,X,O,O,X,O,X
TSILZJO,O,O,X,X,X,X
TSILZOJ,O,O,X,X,O,O
TSILOJZ,X,O,O,X,O,X
TSILOZJ,O,O,X,X,O,O
TSIJLZO,X,O,O,X,X,X
TSIJLOZ,X,O,O,X,O,X
TSIJZLO,X,O,O,X,X,X
TSIJZOL,X,O,O,X,X,X
TSIJOLZ,X,O,O,X,O,X
TSIJOZL,X,O,O,X,X,X
TSIZLJO,O,O,X,X,X,X
TSIZLOJ,O,O,X,X,O,O
TSIZJLO,O,O,X,X,X,X
TSIZJOL,O,O,X,X,X,X
TSIZOLJ,O,O,X,X,O,O
TSIZOJL,O,O,X,X,X,X
TSIOLJZ,X,O,O,X,O,X
TSIOLZJ,O,O,X,X,O,O
TSIOJLZ,X,O,O,X,O,X
TSIOJZL,X,O,O,X,X,X
TSIOZLJ,O,O,X,X,O,O
TSIOZJL,O,O,X,X,X,X
TSLIJZO,X,O,O,X,X,X
TSLIJOZ,X,O,O,X,O,X
TSLIZJO,O,O,X,X,X,X
TSLIZOJ,O,O,X,X,O,O
TSLIOJZ,X,O,O,X,O,X
TSLIOZJ,O,O,X,X,O,O
TSLJIZO,X,O,O,X,X,X
TSLJIOZ,X,O,O,X,O,X
TSLJZIO,X,O,O,X,X,X
TSLJZOI,X,O,O,X,X,X
TSLJOIZ,X,O,O,X,O,X
TSLJOZI,X,O,O,X,X,X
TSLZIJO,O,O,X,O,X,X
TSLZIOJ,O,O,X,O,O,O
TSLZJIO,O,O,O,O,X,X
TSLZJOI,O,O,O,O,X,X
TSLZOIJ,O,O,X,O,O,O
TSLZOJI,O,O,O,O,X,X
TSLOIJZ,X,O,O,X,O,X
TSLOIZJ,O,O,X,X,O,O
TSLOJIZ,X,O,O,X,O,X
TSLOJZI,X,O,O,X,X,X
TSLOZIJ,O,O,X,O,O,O
TSLOZJI,O,O,O,O,X,X
TSJILZO,X,O,O,X,X,X
TSJILOZ,X,O,O,X,O,X
TSJIZLO,X,O,O,X,X,X
TSJIZOL,X,O,O,X,X,X
TSJIOLZ,X,O,O,X,O,X
TSJIOZL,X,O,O,X,X,X
TSJLIZO,X,O,O,X,X,X
TSJLIOZ,X,O,O,X,O,X
TSJLZIO,X,O,O,X,X,X
TSJLZOI,X,O,O,X,X,X
TSJLOIZ,X,O,O,X,O,X
TSJLOZI,X,O,O,X,X,X
TSJZILO,X,O,O,X,X,X
TSJZIOL,X,O,O,X,X,X
TSJZLIO,X,O,O,X,X,X
TSJZLOI,X,O,O,X,X,X
TSJZOIL,X,O,O,X,X,X
TSJZOLI,X,O,O,X,X,X
TSJOILZ,X,O,O,X,O,X
TSJOIZL,X,O,O,X,X,X
TSJOLIZ,X,O,O,X,O,X
TSJOLZI,X,O,O,X,X,X
TSJOZIL,X,O,O,X,X,X
TSJOZLI,X,O,O,X,X,X
TSZILJO,O,O,X,X,X,X
TSZILOJ,O,O,X,X,O,O
TSZIJLO,O,O,X,X,X,X
TSZIJOL,O,O,X,X,X,X
TSZIOLJ,O,O,X,X,O,O
TSZIOJL,O,O,X,X,X,X
TSZLIJO,O,O,X,O,X,X
TSZLIOJ,O,O,X,O,O,O
TSZLJIO,O,O,O,O,X,X
TSZLJOI,O,O,O,O,X,X
TSZLOIJ,O,O,X,O,O,O
TSZLOJI,O,O,O,O,X,X
TSZJILO,O,O,O,X,X,X
TSZJIOL,O,O,O,X,X,X
TSZJLIO,O,O,O,O,X,X
TSZJLOI,O,O,O,O,X,X
TSZJOIL,O,O,O,X,X,X
TSZJOLI,O,O,O,O,X,X
TSZOILJ,O,O,X,X,O,O
TSZOIJL,O,O,X,X,X,X
TSZOLIJ,O,O,X,O,O,O
TSZOLJI,O,O,O,O,X,X
TSZOJIL,O,O,O,X,X,X
TSZOJLI,O,O,O,O,X,X
TSOILJZ,X,O,O,X,O,X
TSOILZJ,O,O,X,X,O,O
TSOIJLZ,X,O,O,X,O,X
TSOIJZL,X,O,O,X,X,X
TSOIZLJ,O,O,X,X,O,O
TSOIZJL,O,O,X,X,X,X
TSOLIJZ,X,O,O,X,O,X
TSOLIZJ,O,O,X,X,O,O
TSOLJIZ,X,O,O,X,O,X
TSOLJZI,X,O,O,X,X,X
TSOLZIJ,O,O,X,O,O,O
TSOLZJI,O,O,O,O,X,X
TSOJILZ,X,O,O,X,O,X
TSOJIZL,X,O,O,X,X,X
TSOJLIZ,X,O,O,X,O,X
TSOJLZI,X,O,O,X,X,X
TSOJZIL,X,O,O,X,X,X
TSOJZLI,X,O,O,X,X,X
TSOZILJ,O,O,X,X,O,O
TSOZIJL,O,O,X,X,X,X
TSOZLIJ,O,O,X,O,O,O
TSOZLJI,O,O,O,O,X,X
TSOZJIL,O,O,O,X,X,X
TSOZJLI,O,O,O,O,X,X
TZILJSO,O,X,X,O,X,X
TZILJOS,O,X,X,O,X,O
TZILSJO,O,X,X,O,X,X
TZILSOJ,O,X,X,O,O,O
TZILOJS,O,X,X,O,X,O
TZILOSJ,O,X,X,O,O,O
TZIJLSO,O,X,X,O,X,X
TZIJLOS,O,X,X,O,X,O
TZIJSLO,O,O,X,X,X,X
TZIJSOL,O,O,X,X,X,X
TZIJOLS,O,X,X,O,X,O
TZIJOSL,O,O,X,X,X,X
TZISLJO,O,O,X,X,X,X
TZISLOJ,O,O,X,X,O,O
TZISJLO,O,O,X,X,X,X
TZISJOL,O,O,X,X,X,X
TZISOLJ,O,O,X,X,O,O
TZISOJL,O,O,X,X,X,X
TZIOLJS,O,X,X,O,X,O
TZIOLSJ,O,X,X,O,O,O
TZIOJLS,O,X,X,O,X,O
TZIOJSL,O,O,X,X,X,X
TZIOSLJ,O,O,X,X,O,O
TZIOSJL,O,O,X,X,X,X
TZLIJSO,O,X,X,O,X,X
TZLIJOS,O,X,X,O,X,O
TZLISJO,O,X,X,O,X,X
TZLISOJ,O,X,X,O,O,O
TZLIOJS,O,X,X,O,X,O
TZLIOSJ,O,X,X,O,O,O
TZLJISO,O,X,X,O,X,X
TZLJIOS,O,X,X,O,X,O
TZLJSIO,O,X,X,O,X,X
TZLJSOI,O,X,X,O,X,X
TZLJOIS,O,X,X,O,X,O
TZLJOSI,O,X,X,O,X,X
TZLSIJO,O,X,X,O,X,X
TZLSIOJ,O,X,X,O,O,O
TZLSJIO,O,X,X,O,X,X
TZLSJOI,O,X,X,O,X,X
TZLSOIJ,O,X,X,O,O,O
TZLSOJI,O,X,X,O,X,X
TZLOIJS,O,X,X,O,X,O
TZLOISJ,O,X,X,O,O,O
TZLOJIS,O,X,X,O,X,O
TZLOJSI,O,X,X,O,X,X
TZLOSIJ,O,X,X,O,O,O
TZLOSJI,O,X,X,O,X,X
TZJILSO,O,X,X,O,X,X
TZJILOS,O,X,X,O,X,O
TZJISLO,O,O,X,X,X,X
TZJISOL,O,O,X,X,X,X
TZJIOLS,O,X,X,O,X,O
TZJIOSL,O,O,X,X,X,X
TZJLISO,O,X,X,O,X,X
TZJLIOS,O,X,X,O,X,O
TZJLSIO,O,X,X,O,X,X
TZJLSOI,O,X,X,O,X,X
TZJLOIS,O,X,X,O,X,O
TZJLOSI,O,X,X,O,X,X
TZJSILO,O,O,O,X,X,X
TZJSIOL,O,O,O,X,X,X
TZJSLIO,O,O,O,O,X,X
TZJSLOI,O,O,O,O,X,X
TZJSOIL,O,O,O,X,X,X
TZJSOLI,O,O,O,O,X,X
TZJOILS,O,X,X,O,X,O
TZJOISL,O,O,X,X,X,X
TZJOLIS,O,X,X,O,X,O
TZJOLSI,O,X,X,O,X,X
TZJOSIL,O,O,O,X,X,X
TZJOSLI,O,O,O,O,X,X
TZSILJO,O,O,X,X,X,X
TZSILOJ,O,O,X,X,O,O
TZSIJLO,O,O,X,X,X,X
TZSIJOL,O,O,X,X,X,X
TZSIOLJ,O,O,X,X,O,O
TZSIOJL,O,O,X,X,X,X
TZSLIJO,O,O,X,O,X,X
TZSLIOJ,O,O,X,O,O,O
TZSLJIO,O,O,O,O,X,X
TZSLJOI,O,O,O,O,X,X
TZSLOIJ,O,O,X,O,O,O
TZSLOJI,O,O,O,O,X,X
TZSJILO,O,O,O,X,X,X
TZSJIOL,O,O,O,X,X,X
TZSJLIO,O,O,O,O,X,X
TZSJLOI,O,O,O,O,X,X
TZSJOIL,O,O,O,X,X,X
TZSJOLI,O,O,O,O,X,X
TZSOILJ,O,O,X,X,O,O
TZSOIJL,O,O,X,X,X,X
TZSOLIJ,O,O,X,O,O,O
TZSOLJI,O,O,O,O,X,X
TZSOJIL,O,O,O,X,X,X
TZSOJLI,O,O,O,O,X,X
TZOILJS,O,X,X,O,X,O
TZOILSJ,O,X,X,O,O,O
TZOIJLS,O,X,X,O,X,O
TZOIJSL,O,O,X,X,X,X
TZOISLJ,O,O,X,X,O,O
TZOISJL,O,O,X,X,X,X
TZOLIJS,O,X,X,O,X,O
TZOLISJ,O,X,X,O,O,O
TZOLJIS,O,X,X,O,X,O
TZOLJSI,O,X,X,O,X,X
TZOLSIJ,O,X,X,O,O,O
TZOLSJI,O,X,X,O,X,X
TZOJILS,O,X,X,O,X,O
TZOJISL,O,O,X,X,X,X
TZOJLIS,O,X,X,O,X,O
TZOJLSI,O,X,X,O,X,X
TZOJSIL,O,O,O,X,X,X
TZOJSLI,O,O,O,O,X,X
TZOSILJ,O,O,X,X,O,O
TZOSIJL,O,O,X,X,X,X
TZOSLIJ,O,O,X,O,O,O
TZOSLJI,O,O,O,O,X,X
TZOSJIL,O,O,O,X,X,X
TZOSJLI,O,O,O,O,X,X
TOILJSZ,X,X,X,X,O,X
TOILJZS,X,X,X,X,X,O
TOILSJZ,X,X,X,X,O,X
TOILSZJ,O,X,X,X,O,O
TOILZJS,O,X,X,O,X,O
TOILZSJ,O,X,X,O,O,O
TOIJLSZ,X,X,X,X,O,X
TOIJLZS,X,X,X,X,X,O
TOIJSLZ,X,O,O,X,O,X
TOIJSZL,X,O,O,X,X,X
TOIJZLS,X,X,X,X,X,O
TOIJZSL,X,O,X,X,X,X
TOISLJZ,X,O,O,X,O,X
TOISLZJ,O,O,X,X,O,O
TOISJLZ,X,O,O,X,O,X
TOISJZL,X,O,O,X,X,X
TOISZLJ,O,O,X,X,O,O
TOISZJL,O,O,X,X,X,X
TOIZLJS,O,X,X,O,X,O
TOIZLSJ,O,X,X,O,O,O
TOIZJLS,O,X,X,O,X,O
TOIZJSL,O,O,X,X,X,X
TOIZSLJ,O,O,X,X,O,O
TOIZSJL,O,O,X,X,X,X
TOLIJSZ,X,X,X,X,O,X
TOLIJZS,X,X,X,X,X,O
TOLISJZ,X,X,X,X,O,X
TOLISZJ,O,X,X,X,O,O
TOLIZJS,O,X,X,O,X,O
TOLIZSJ,O,X,X,O,O,O
TOLJISZ,X,X,X,X,O,X
TOLJIZS,X,X,X,X,X,O
TOLJSIZ,X,X,O,X,O,X
TOLJSZI,X,X,O,X,X,X
TOLJZIS,X,X,X,O,X,O
TOLJZSI,X,X,X,O,X,X
TOLSIJZ,X,X,O,X,O,X
TOLSIZJ,O,X,X,X,O,O
TOLSJIZ,X,X,O,X,O,X
TOLSJZI,X,X,O,X,X,X
TOLSZIJ,O,X,X,O,O,O
TOLSZJI,O,X,O,O,X,X
TOLZIJS,O,X,X,O,X,O
TOLZISJ,O,X,X,O,O,O
TOLZJIS,O,X,X,O,X,O
TOLZJSI,O,X,X,O,X,X
TOLZSIJ,O,X,X,O,O,O
TOLZSJI,O,X,X,O,X,X
TOJILSZ,X,X,X,X,O,X
TOJILZS,X,X,X,X,X,O
TOJISLZ,X,O,O,X,O,X
TOJISZL,X,O,O,X,X,X
TOJIZLS,X,X,X,X,X,O
TOJIZSL,X,O,X,X,X,X
TOJLISZ,X,X,X,X,O,X
TOJLIZS,X,X,X,X,X,O
TOJLSIZ,X,X,O,X,O,X
TOJLSZI,X,X,O,X,X,X
TOJLZIS,X,X,X,O,X,O
TOJLZSI,X,X,X,O,X,X
TOJSILZ,X,O,O,X,O,X
TOJSIZL,X,O,O,X,X,X
TOJSLIZ,X,O,O,X,O,X
TOJSLZI,X,O,O,X,X,X
TOJSZIL,X,O,O,X,X,X
TOJSZLI,X,O,O,X,X,X
TOJZILS,X,X,X,O,X,O
TOJZISL,X,O,X,X,X,X
TOJZLIS,X,X,X,O,X,O
TOJZLSI,X,X,X,O,X,X
TOJZSIL,X,O,O,X,X,X
TOJZSLI,X,O,O,O,X,X
