sequence,v115@FhB8GeC8IeA8AeC8CeC8JeZEJvhFUgBFhBXiBWqBTr?BisB,v115@FhB8GeC8IeA8AeC8CeC8JeZEJvhFGgB/mBFiBzkBUr?BisB,v115@FhB8GeC8IeA8AeC8CeC8JeZEJvhFukBamBfnBTlB0n?B1wB,v115@FhB8GeC8IeA8AeC8CeC8JeZEJvhFukBclBXiBVrBis?BTrB,v115@FhB8GeC8IeA8AeC8CeC8JeZEJvhFCgBThBXlBesB0n?BFrB
TILJSZO,O,X,X,O,X
TILJSOZ,O,X,O,X,X
TILJZSO,O,X,X,O,X
TILJZOS,O,X,X,O,X
TILJOSZ,O,X,O,X,X
TILJOZS,O,X,O,X,X
TILSJZO,O,X,X,O,X
TILSJOZ,O,X,O,X,X
TILSZJO,O,X,X,O,X
TILSZOJ,X,X,O,O,X
TILSOJZ,O,X,O,X,X
TILSOZJ,X,X,O,O,X
TILZJSO,X,O,X,O,X
TILZJOS,X,X,X,O,X
TILZSJO,X,O,X,O,X
TILZSOJ,X,O,O,O,X
TILZOJS,X,O,O,O,X
TILZOSJ,X,O,O,O,X
TILOJSZ,O,X,O,X,X
TILOJZS,O,O,O,X,X
TILOSJZ,O,X,O,X,X
TILOSZJ,O,X,O,O,X
TILOZJS,O,O,O,O,X
TILOZSJ,O,O,O,O,X
TIJLSZO,O,X,X,O,O
TIJLSOZ,O,X,O,X,O
TIJLZSO,O,X,X,O,X
TIJLZOS,O,X,X,O,X
TIJLOSZ,O,X,O,X,O
TIJLOZS,O,X,O,X,X
TIJSLZO,O,X,X,X,O
TIJSLOZ,O,X,O,X,O
TIJSZLO,O,X,X,X,O
TIJSZOL,O,X,O,X,O
TIJSOLZ,X,X,O,X,O
TIJSOZL,O,X,O,X,O
TIJZLSO,O,X,X,O,X
TIJZLOS,O,X,X,O,X
TIJZSLO,O,X,X,O,O
TIJZSOL,O,X,O,X,O
TIJZOLS,O,X,O,O,X
TIJZOSL,O,X,O,X,O
TIJOLSZ,O,X,O,X,O
TIJOLZS,O,X,O,X,X
TIJOSLZ,O,X,O,X,O
TIJOSZL,O,X,O,X,O
TIJOZLS,O,X,O,X,X
TIJOZSL,O,X,O,X,O
TISLJZO,O,X,X,O,O
TISLJOZ,O,X,O,X,O
TISLZJO,O,X,X,O,X
TISLZOJ,X,X,O,O,X
TISLOJZ,O,X,O,X,X
TISLOZJ,X,X,O,O,X
TISJLZO,O,X,X,X,O
TISJLOZ,O,X,O,X,O
TISJZLO,O,X,X,X,O
TISJZOL,O,X,O,X,O
TISJOLZ,X,X,O,X,O
TISJOZL,O,X,O,X,O
TISZLJO,X,X,X,O,X
TISZLOJ,X,X,O,O,X
TISZJLO,O,X,X,O,X
TISZJOL,O,X,O,X,X
TISZOLJ,X,X,O,X,X
TISZOJL,X,X,O,X,X
TISOLJZ,X,X,O,X,X
TISOLZJ,X,X,O,X,X
