sequence,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBzgBfnB0iBKq?BFrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBChB0iBmmBFq?BXrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFCgBOmB0iBXlBzm?B1vB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFFgBXhB0iBWqBzm?ByvB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukB3gB1mB0iBTq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBFhB0iBKqBfr?BzrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBulB3hB1nBUq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFGgBKmBfnB0iBzk?B1vB
TIJLSOZ,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X
TIJLOZS,X,O,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X
TIJSZLO,X,X,O,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X
TIJZSLO,X,X,O,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,X,X,O,O
TISLJOZ,O,O,X,X,X,X,X,X
TISLZJO,O,X,O,X,X,X,O,O
TISLZOJ,O,O,O,X,X,X,O,O
TISLOJZ,O,O,O,X,X,X,X,O
TISLOZJ,O,O,O,X,X,X,X,O
TISJLZO,X,O,O,X,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X,X
TISJZLO,X,O,O,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,O,X
TISJOLZ,X,O,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X
TISZLJO,O,X,O,X,X,X,X,O
TISZLOJ,O,O,O,X,X,X,X,O
TISZJLO,X,O,O,X,X,X,X,X
TISZJOL,X,O,X,X,X,X,O,X
TISZOLJ,O,O,O,X,X,X,X,O
TISZOJL,X,O,O,X,X,X,O,X
TISOLJZ,O,O,O,X,X,X,X,O
TISOLZJ,O,O,O,X,X,X,X,O
TISOJLZ,X,O,O,X,X,X,X,X
TISOJZL,X,O,O,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,O
TISOZJL,X,O,O,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X
TIZJSLO,X,X,O,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,O,X
TIZJOLS,X,O,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X,O,X
TIZSLJO,X,X,O,X,X,X,X,O
TIZSLOJ,X,O,O,X,X,X,X,O
TIZSJLO,X,O,O,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,O,X
TIZSOLJ,X,O,O,X,X,X,X,O
TIZSOJL,X,O,O,X,X,X,O,X
TIZOLJS,X,O,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,O,X
TIZOSLJ,X,O,O,X,X,X,X,O
TIZOSJL,X,O,O,X,X,X,O,X
TIOLJSZ,O,X,X,X,X,X,X,O
TIOLJZS,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,X,O
TIOLSZJ,O,X,X,X,X,X,X,O
TIOLZJS,X,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,O
TIOJLZS,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X
TIOJZSL,X,X,O,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,O
TIOSLZJ,O,O,O,X,X,X,X,O
TIOSJLZ,X,O,O,X,X,X,X,X
TIOSJZL,X,O,O,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,O
TIOSZJL,X,O,O,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X,X
TIOZSLJ,X,O,O,X,X,X,X,O
TIOZSJL,X,O,O,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,O
TLIJSOZ,O,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X
TLIJOZS,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,O,O
TLISJOZ,O,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,O,O
TLISZOJ,O,X,X,X,X,X,O,O
TLISOJZ,O,X,X,X,X,X,X,O
TLISOZJ,O,X,X,X,X,X,X,O
TLIZJSO,X,X,X,X,X,X,O,X
TLIZJOS,X,X,X,X,X,X,O,X
TLIZSJO,X,X,X,X,X,X,O,X
TLIZSOJ,X,X,X,X,X,X,O,X
TLIZOJS,X,O,X,X,X,X,O,X
TLIZOSJ,X,X,X,X,X,X,O,X
TLIOJSZ,O,X,X,X,X,X,X,O
TLIOJZS,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,O
TLIOSZJ,O,X,X,X,X,X,X,O
TLIOZJS,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,O
TLJISOZ,O,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,X,X,O
TLJSIOZ,O,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,O
TLJSZOI,O,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X
TLJZIOS,X,O,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X
TLJOIZS,X,O,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,O,O
TLSIJOZ,O,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X,O,O
TLSIZOJ,O,X,X,X,X,X,O,O
TLSIOJZ,O,X,X,X,X,X,X,O
TLSIOZJ,O,X,X,X,X,X,X,O
TLSJIZO,O,X,X,X,X,X,O,O
TLSJIOZ,O,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,O
TLSJZOI,O,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,O,O
TLSZIOJ,O,X,X,X,X,X,O,O
TLSZJIO,O,X,X,X,X,X,O,O
TLSZJOI,O,X,X,X,X,X,O,X
TLSZOIJ,O,X,X,X,X,X,O,O
TLSZOJI,O,X,X,X,X,X,O,O
TLSOIJZ,O,X,X,X,X,X,X,O
TLSOIZJ,O,X,X,X,X,X,X,O
TLSOJIZ,O,X,X,X,X,X,X,O
TLSOJZI,O,X,X,X,X,X,X,O
TLSOZIJ,O,X,X,X,X,X,X,O
TLSOZJI,O,X,X,X,X,X,X,O
TLZIJSO,X,X,X,X,X,X,O,X
TLZIJOS,X,X,X,X,X,X,O,X
TLZISJO,X,X,X,X,X,X,O,X
TLZISOJ,X,X,X,X,X,X,O,X
TLZIOJS,X,O,X,X,X,X,O,X
TLZIOSJ,X,X,X,X,X,X,O,X
TLZJISO,X,X,X,X,X,X,O,X
TLZJIOS,X,X,X,X,X,X,O,X
TLZJSIO,X,X,X,X,X,X,O,X
TLZJSOI,X,X,X,X,X,X,O,X
TLZJOIS,X,X,X,X,X,X,O,X
TLZJOSI,X,X,X,X,X,X,O,X
TLZSIJO,X,X,X,X,X,X,O,X
TLZSIOJ,X,X,X,X,X,X,O,X
TLZSJIO,X,X,X,X,X,X,O,X
TLZSJOI,X,X,X,X,X,X,O,X
