sequence,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBemBUnBF?oBCnBXtB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBSoBlmBX?mBmnB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFigBumB3iBz?lBlsBctB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF/lBTjBimB1?sBGmB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF2lB/nBcoB1?rBCmBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBm?lBllBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBl?lBmlBzsB
TILJSZO,X,X,X,X,O,O,O
TILJSOZ,X,X,X,O,X,X,X
TILJZSO,X,X,X,X,O,O,O
TILJZOS,O,X,X,X,X,X,X
TILJOSZ,X,O,O,O,X,X,X
TILJOZS,O,O,O,X,X,X,X
TILSJZO,X,X,X,X,O,O,O
TILSJOZ,X,X,X,O,X,X,X
TILSZJO,X,X,X,X,O,O,O
TILSZOJ,X,X,X,O,X,X,O
TILSOJZ,X,O,X,O,X,X,X
TILSOZJ,X,O,X,O,X,X,O
TILZJSO,X,X,X,X,O,O,O
TILZJOS,O,O,X,X,X,X,X
TILZSJO,X,X,X,X,O,O,O
TILZSOJ,X,O,X,O,X,X,O
TILZOJS,O,O,X,X,X,X,X
TILZOSJ,X,O,X,O,X,X,O
TILOJSZ,X,O,O,O,X,X,X
TILOJZS,O,O,O,X,X,X,X
TILOSJZ,X,O,O,O,X,X,X
TILOSZJ,X,O,X,O,X,X,O
TILOZJS,O,O,O,X,X,X,X
TILOZSJ,X,O,X,O,X,X,O
TIJLSZO,X,X,X,X,O,O,O
TIJLSOZ,X,X,X,O,X,X,X
TIJLZSO,X,X,X,X,O,O,O
TIJLZOS,O,X,X,X,X,X,X
TIJLOSZ,X,O,O,O,X,X,X
TIJLOZS,O,O,O,X,X,X,X
TIJSLZO,X,X,X,X,O,X,X
TIJSLOZ,X,X,X,O,X,X,X
TIJSZLO,X,X,X,X,O,X,X
TIJSZOL,O,X,X,X,O,X,X
TIJSOLZ,X,X,O,O,X,X,X
TIJSOZL,O,X,O,X,O,X,X
TIJZLSO,X,X,X,X,O,O,O
TIJZLOS,O,O,X,X,X,X,X
TIJZSLO,X,X,X,X,O,X,X
TIJZSOL,O,X,X,X,O,X,X
TIJZOLS,O,O,O,X,X,X,X
TIJZOSL,O,X,O,X,O,X,X
TIJOLSZ,X,O,O,O,X,X,X
TIJOLZS,O,O,O,X,X,X,X
TIJOSLZ,X,X,O,O,X,X,X
TIJOSZL,O,X,O,X,O,X,X
