sequence,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFukB1lB0iB6oBXq?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nBTjB0kBllB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBOpBllBStBzp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeT/IvhFxiBllBusBctBip?BXqB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iB6oBlkB3lB2u?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBctB6s?BzpB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nB0kBllBToB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFTjBfqBllBWtBCq?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBStBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTjBKpBfqBllBWt?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Je0AJvhFxiBlkBqsBToBOp?BXqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhF0iB6oBupB3lBzs?BFqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFCgBllBGoBXoBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBllBStBmpBTp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBllBStBmpBTp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTkBllBGoBXoByu?B0sB
TILJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TILJZSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TILJOSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
TILJOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TILSJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TILSZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TILOJZS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TILOSJZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TILOSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIJLZSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJLOSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
TIJLOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TIJSLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJZLSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJZSLO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIJOLZS,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
TIJOSLZ,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X
TIJOSZL,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJOZLS,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
TIJOZSL,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TISLJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZJSLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TIOLJZS,O,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLZJS,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJLSZ,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TIOJLZS,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,X
TIOJSLZ,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TIOJSZL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJZLS,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,X
TIOJZSL,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZLJS,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZJLS,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
TIOZJSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZSJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLIJZSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIJOSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
TLIJOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TLISJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLISZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TLIOJZS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TLIOSJZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TLIOSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TLJIZSO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TLJIOSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
TLJIOZS,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
TLJSIZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
TLJSZIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJSZOI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,X
TLJSOIZ,O,O,X,X,O,X,X,O,O,O,X,X,X,O,O,O
TLJSOZI,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,O
TLJZISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLJZSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
TLJZOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TLJZOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TLJOISZ,O,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O
TLJOIZS,O,X,O,X,O,X,O,X,O,X,X,X,O,O,O,O
TLJOSIZ,O,O,O,X,O,X,X,O,O,O,X,X,O,O,O,O
TLJOSZI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,O
