sequence,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFlhBGjByqBXnB8s?BRwB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFlhB3iBcoByqBGs?BRwB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFOmBxiBqrB/sBFo?B0qB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhF/mBUiBGjBysBlq?BxwB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFOmBxiBCnBXoB0q?BVxB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFihB3iBcoBWsBlq?BxwB
TILJSZO,O,O,X,O,O,O
TILJSOZ,O,O,X,O,O,O
TILJZSO,O,O,X,O,X,O
TILJZOS,O,O,X,O,O,O
TILJOSZ,O,O,X,O,O,O
TILJOZS,O,O,X,O,O,O
TILSJZO,O,X,O,O,O,O
TILSJOZ,O,X,O,O,O,O
TILSZJO,O,O,O,O,O,O
TILSZOJ,O,O,O,O,O,O
TILSOJZ,O,X,O,O,O,O
TILSOZJ,O,O,O,O,O,O
TILZJSO,O,O,X,O,X,O
TILZJOS,O,O,X,O,O,O
TILZSJO,O,O,O,O,X,O
TILZSOJ,O,O,O,O,X,O
TILZOJS,O,O,X,O,O,O
TILZOSJ,O,O,O,O,X,O
TILOJSZ,O,O,X,O,O,O
TILOJZS,O,O,X,O,O,O
TILOSJZ,O,X,O,O,O,O
TILOSZJ,O,O,O,O,O,O
TILOZJS,O,O,X,O,O,O
TILOZSJ,O,O,O,O,X,O
TIJLSZO,X,X,X,O,X,O
TIJLSOZ,O,X,X,O,X,O
TIJLZSO,O,O,X,O,X,O
TIJLZOS,O,O,X,O,X,O
TIJLOSZ,O,X,X,O,X,O
TIJLOZS,O,O,X,O,X,O
TIJSLZO,X,X,O,O,X,O
TIJSLOZ,X,X,O,O,X,O
TIJSZLO,X,O,O,O,X,O
TIJSZOL,X,O,O,O,X,O
TIJSOLZ,X,X,O,O,X,O
TIJSOZL,X,O,O,O,X,O
TIJZLSO,O,O,X,O,X,O
TIJZLOS,O,O,X,O,X,O
TIJZSLO,O,O,O,O,X,O
TIJZSOL,O,O,O,O,X,O
