sequence,v115@WhA8AeD8BeG8JeT/IvhFNlBRhBGjBXmBinB0pB,v115@WhA8AeD8BeG8JeNEJvhFRgB3hBGjB0lBinBzpB,v115@WhA8AeD8BeG8JeNEJvhFUgBRhBGjBXmBinBzpB,v115@WhA8AeD8BeG8Jei/IvhFRhBcnBTjB9pBOqBXrB
TILJSZO,X,O,O,O
TILJSOZ,X,O,O,O
TILJZSO,X,O,O,O
TILJZOS,X,O,O,O
TILJOSZ,X,O,O,O
TILJOZS,X,X,O,O
TILSJZO,X,O,O,X
TILSJOZ,X,O,O,X
TILSZJO,X,O,O,O
TILSZOJ,X,O,O,O
TILSOJZ,X,O,O,X
TILSOZJ,X,X,O,O
TILZJSO,X,O,O,O
TILZJOS,X,O,O,O
TILZSJO,X,O,O,O
TILZSOJ,X,O,O,O
TILZOJS,X,O,O,O
TILZOSJ,X,O,X,O
TILOJSZ,X,O,O,O
TILOJZS,X,X,O,O
TILOSJZ,X,O,O,X
TILOSZJ,X,X,O,O
TILOZJS,X,X,O,O
TILOZSJ,X,X,X,O
TIJLSZO,X,O,O,O
TIJLSOZ,X,O,O,O
TIJLZSO,X,O,O,O
TIJLZOS,X,O,O,O
TIJLOSZ,X,O,O,O
TIJLOZS,X,X,O,O
TIJSLZO,X,O,O,O
TIJSLOZ,X,O,O,O
TIJSZLO,X,O,O,O
TIJSZOL,X,O,O,O
TIJSOLZ,X,O,X,O
TIJSOZL,X,O,O,O
TIJZLSO,X,O,O,O
TIJZLOS,X,O,O,O
TIJZSLO,X,O,O,O
TIJZSOL,X,O,O,O
TIJZOLS,X,O,O,O
TIJZOSL,X,O,O,O
TIJOLSZ,X,O,X,O
TIJOLZS,X,X,X,O
TIJOSLZ,X,O,X,O
TIJOSZL,X,O,X,O
TIJOZLS,X,X,X,O
TIJOZSL,X,X,X,O
TISLJZO,X,O,O,X
TISLJOZ,X,O,O,X
TISLZJO,X,O,O,O
TISLZOJ,X,O,O,O
TISLOJZ,X,O,O,X
TISLOZJ,X,X,O,O
TISJLZO,X,O,O,O
TISJLOZ,X,O,O,O
TISJZLO,X,O,O,O
TISJZOL,X,O,O,O
TISJOLZ,X,O,X,O
TISJOZL,X,O,O,O
TISZLJO,X,O,O,O
TISZLOJ,X,O,O,O
TISZJLO,X,O,O,O
TISZJOL,X,O,O,O
TISZOLJ,X,O,O,O
TISZOJL,X,O,O,O
TISOLJZ,X,O,O,X
TISOLZJ,X,X,O,O
TISOJLZ,X,O,X,O
TISOJZL,X,O,O,O
TISOZLJ,X,X,O,O
TISOZJL,X,X,O,O
TIZLJSO,X,O,O,O
TIZLJOS,X,O,O,O
TIZLSJO,X,O,O,O
TIZLSOJ,X,O,O,O
TIZLOJS,X,O,O,O
TIZLOSJ,X,O,X,O
TIZJLSO,X,O,O,O
TIZJLOS,X,O,O,O
TIZJSLO,X,O,O,O
TIZJSOL,X,O,O,O
TIZJOLS,X,O,O,O
TIZJOSL,X,O,O,O
TIZSLJO,X,O,O,O
TIZSLOJ,X,O,O,O
TIZSJLO,X,O,O,O
TIZSJOL,X,O,O,O
TIZSOLJ,X,O,O,O
TIZSOJL,X,O,O,O
TIZOLJS,X,O,O,O
TIZOLSJ,X,O,X,O
TIZOJLS,X,O,O,O
TIZOJSL,X,O,O,O
TIZOSLJ,X,O,X,O
TIZOSJL,X,O,X,O
TIOLJSZ,X,O,X,O
TIOLJZS,X,X,X,O
TIOLSJZ,X,O,X,X
TIOLSZJ,X,X,X,O
TIOLZJS,X,X,X,O
TIOLZSJ,X,X,X,O
TIOJLSZ,X,O,X,O
TIOJLZS,X,X,X,O
TIOJSLZ,X,O,X,O
TIOJSZL,X,O,X,O
TIOJZLS,X,X,X,O
TIOJZSL,X,X,X,O
TIOSLJZ,X,O,X,X
TIOSLZJ,X,X,X,O
TIOSJLZ,X,O,X,O
TIOSJZL,X,O,X,O
TIOSZLJ,X,X,X,O
TIOSZJL,X,X,X,O
TIOZLJS,X,X,X,O
TIOZLSJ,X,X,X,O
