sequence,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhFmhBfoB6oBTmB0q?BFqB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhF3gBzhBGjBUoBxq?ByvB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhFRhBziB+oB3mB0q?BiqB,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhFXhB8mBaqBFoBGo?BzqB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhFymBziB+oBxqBcq?BXrB,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhF8mBCjBFlBToB3q?BOrB
TILJSZO,X,X,X,X,O,X
TILJSOZ,X,X,X,X,O,X
TILJZSO,X,X,X,O,O,X
TILJZOS,X,X,X,X,O,X
TILJOSZ,X,X,X,X,O,X
TILJOZS,X,X,X,O,O,X
TILSJZO,X,X,X,X,O,X
TILSJOZ,X,X,X,X,O,X
TILSZJO,X,O,X,O,X,X
TILSZOJ,X,O,X,O,X,O
TILSOJZ,X,X,X,X,X,O
TILSOZJ,X,O,X,O,X,O
TILZJSO,X,O,X,O,O,X
TILZJOS,X,O,X,X,O,X
TILZSJO,X,O,X,O,X,X
TILZSOJ,X,O,X,O,X,X
TILZOJS,X,O,X,O,X,X
TILZOSJ,X,O,X,O,X,X
TILOJSZ,X,X,X,X,O,O
TILOJZS,X,X,X,O,O,X
TILOSJZ,X,X,X,X,X,O
TILOSZJ,X,O,X,O,X,O
TILOZJS,X,O,X,O,X,X
TILOZSJ,X,O,X,O,X,O
TIJLSZO,X,X,X,X,O,X
TIJLSOZ,X,X,X,X,O,X
TIJLZSO,X,X,X,O,O,X
TIJLZOS,X,X,X,X,O,X
TIJLOSZ,X,X,X,X,O,X
TIJLOZS,X,X,X,O,O,X
TIJSLZO,O,X,X,X,O,X
TIJSLOZ,O,X,O,X,O,X
TIJSZLO,X,O,O,X,O,X
TIJSZOL,X,O,O,X,O,O
TIJSOLZ,X,X,O,X,O,O
TIJSOZL,X,O,O,X,O,O
TIJZLSO,X,O,X,O,O,X
TIJZLOS,X,O,X,X,O,X
TIJZSLO,X,O,O,X,O,X
TIJZSOL,X,O,O,X,O,X
TIJZOLS,X,O,X,X,O,X
TIJZOSL,X,O,O,X,O,X
TIJOLSZ,X,X,X,X,O,O
TIJOLZS,X,X,X,X,O,X
TIJOSLZ,X,X,O,X,O,O
TIJOSZL,X,O,O,X,O,O
TIJOZLS,X,O,X,X,O,X
TIJOZSL,X,O,O,X,O,X
TISLJZO,O,X,X,X,O,X
TISLJOZ,O,X,O,X,O,X
TISLZJO,O,O,X,O,X,X
TISLZOJ,O,O,X,O,X,O
TISLOJZ,O,X,X,X,X,O
TISLOZJ,X,O,X,O,X,O
TISJLZO,O,X,X,X,O,X
TISJLOZ,O,X,O,X,O,X
TISJZLO,X,O,O,X,O,X
TISJZOL,X,O,O,X,O,O
TISJOLZ,X,X,O,X,O,O
TISJOZL,X,O,O,X,O,O
TISZLJO,O,O,O,O,X,X
TISZLOJ,O,O,X,O,X,O
TISZJLO,O,O,O,X,X,X
TISZJOL,X,O,O,X,X,O
TISZOLJ,O,O,X,X,X,O
TISZOJL,O,O,O,X,X,O
TISOLJZ,O,X,X,X,X,O
TISOLZJ,X,O,X,X,X,O
TISOJLZ,O,X,O,X,X,O
TISOJZL,X,O,O,X,X,O
TISOZLJ,X,O,X,X,X,O
TISOZJL,X,O,X,X,X,O
TIZLJSO,X,O,X,O,O,X
TIZLJOS,X,O,X,X,O,X
TIZLSJO,X,O,X,O,X,X
TIZLSOJ,X,O,X,O,X,X
TIZLOJS,X,O,X,O,X,X
TIZLOSJ,X,O,X,O,X,X
TIZJLSO,X,O,X,O,O,X
TIZJLOS,X,O,X,X,O,X
TIZJSLO,O,O,O,X,O,X
TIZJSOL,X,O,O,X,O,X
TIZJOLS,X,O,X,X,O,X
TIZJOSL,X,O,O,X,O,X
TIZSLJO,O,O,O,O,X,X
TIZSLOJ,O,O,X,O,X,O
TIZSJLO,O,O,O,X,X,X
TIZSJOL,X,O,O,X,X,O
TIZSOLJ,O,O,X,X,X,O
TIZSOJL,O,O,O,X,X,O
TIZOLJS,X,O,X,O,X,X
TIZOLSJ,X,O,X,O,X,O
TIZOJLS,X,O,X,X,X,X
TIZOJSL,O,O,X,X,X,X
TIZOSLJ,O,O,X,O,X,O
TIZOSJL,O,O,X,X,X,O
TIOLJSZ,X,X,X,X,O,O
TIOLJZS,X,X,X,O,O,X
TIOLSJZ,X,X,X,X,X,O
TIOLSZJ,X,O,X,O,X,O
TIOLZJS,X,O,X,O,X,X
TIOLZSJ,X,O,X,O,X,O
TIOJLSZ,X,X,X,X,O,O
TIOJLZS,X,X,X,X,O,X
TIOJSLZ,O,X,X,X,O,O
TIOJSZL,X,O,X,X,O,O
TIOJZLS,X,O,X,X,O,X
TIOJZSL,X,O,X,X,O,X
TIOSLJZ,O,X,X,X,X,O
TIOSLZJ,X,O,X,X,X,O
TIOSJLZ,O,X,X,X,X,O
TIOSJZL,X,O,X,X,X,O
TIOSZLJ,X,O,X,X,X,O
TIOSZJL,X,O,X,X,X,O
TIOZLJS,X,O,X,O,X,X
TIOZLSJ,X,O,X,O,X,O
TIOZJLS,X,O,X,X,X,X
TIOZJSL,X,O,X,X,X,X
TIOZSLJ,X,O,X,O,X,O
TIOZSJL,X,O,X,X,X,O
TLIJSZO,X,X,X,X,O,X
TLIJSOZ,X,X,X,X,O,X
TLIJZSO,X,X,X,O,O,X
TLIJZOS,X,X,X,X,O,X
TLIJOSZ,X,X,X,X,O,X
TLIJOZS,X,X,X,O,O,X
TLISJZO,X,X,X,X,O,X
TLISJOZ,X,X,X,X,O,X
TLISZJO,X,O,X,O,X,X
TLISZOJ,X,O,X,O,X,O
TLISOJZ,X,X,X,X,X,O
TLISOZJ,X,O,X,O,X,O
TLIZJSO,X,O,X,O,O,X
TLIZJOS,X,O,X,X,O,X
TLIZSJO,X,O,X,O,X,X
TLIZSOJ,X,O,X,O,X,X
TLIZOJS,X,O,X,O,X,X
TLIZOSJ,X,O,X,O,X,X
TLIOJSZ,X,X,X,X,O,O
TLIOJZS,X,X,X,O,O,X
TLIOSJZ,X,X,X,X,X,O
TLIOSZJ,X,O,X,O,X,O
TLIOZJS,X,O,X,O,X,X
TLIOZSJ,X,O,X,O,X,O
TLJISZO,X,X,X,X,O,X
TLJISOZ,X,X,X,X,O,X
TLJIZSO,X,X,X,O,O,X
TLJIZOS,X,X,X,X,O,X
TLJIOSZ,X,X,X,X,O,X
TLJIOZS,X,X,X,O,O,X
TLJSIZO,X,X,X,X,O,X
TLJSIOZ,X,X,O,X,O,X
TLJSZIO,X,X,O,X,X,X
TLJSZOI,X,X,O,X,X,X
TLJSOIZ,X,X,O,X,O,X
TLJSOZI,X,X,O,X,X,X
TLJZISO,X,X,X,O,O,X
TLJZIOS,X,X,X,X,O,X
TLJZSIO,X,X,O,O,X,X
TLJZSOI,X,X,O,O,X,X
TLJZOIS,X,X,X,O,O,X
TLJZOSI,X,X,O,O,X,X
TLJOISZ,X,X,X,X,O,X
TLJOIZS,X,X,X,O,O,X
TLJOSIZ,X,X,O,X,O,X
TLJOSZI,X,X,O,X,X,X
TLJOZIS,X,X,X,O,O,X
TLJOZSI,X,X,O,O,X,X
TLSIJZO,X,X,X,X,O,X
TLSIJOZ,X,X,O,X,O,X
TLSIZJO,X,X,X,O,X,X
TLSIZOJ,X,X,X,O,X,O
TLSIOJZ,X,X,X,X,X,O
TLSIOZJ,X,X,X,O,X,O
TLSJIZO,X,X,X,X,O,X
