sequence,v115@9gA8IeA8DeA8DeA8DeB8CeB8CeD8KeCAJvhFXhBmiB?5oBdqB0nBzqB,v115@9gA8IeA8DeA8DeA8DeB8CeB8CeD8KetEJvhFXhBTiB?eoB5oBiqB0qB,v115@9gA8IeA8DeA8DeA8DeB8CeB8CeD8KetEJvhFXhBiiB?5oBznB0lB2vB,v115@9gA8IeA8DeA8DeA8DeB8CeB8CeD8KetEJvhFXhBxiB?0nB6tBmqBTqB
TJISOZL,X,O,O,X
TJIZLSO,O,O,X,O
TJIZLOS,O,O,X,O
TJIZSLO,O,X,X,O
TJIZSOL,O,O,O,X
TJIZOLS,O,O,O,X
TJIZOSL,O,O,O,X
TJIOLSZ,O,O,O,X
TJIOLZS,O,O,O,X
TJIOSLZ,O,O,O,X
TJIOSZL,O,O,O,X
TJIOZLS,O,O,O,X
TJIOZSL,O,O,O,X
TJLISZO,O,O,X,O
TJLISOZ,X,O,O,X
TJLIZSO,O,O,X,O
TJLIZOS,O,O,X,O
TJLIOSZ,X,O,O,X
TJLIOZS,X,O,O,X
TJLSIZO,O,O,X,O
TJLSIOZ,X,O,O,X
TJLSZIO,O,O,X,O
TJLSZOI,O,O,X,O
TJLSOIZ,X,O,O,X
TJLSOZI,X,O,O,O
TJLZISO,O,O,X,O
TJLZIOS,O,O,X,O
TJLZSIO,O,O,X,O
TJLZSOI,O,O,X,O
TJLZOIS,O,O,X,O
TJLZOSI,O,O,X,O
TJLOISZ,X,O,O,X
TJLOIZS,X,O,O,X
TJLOSIZ,X,O,O,X
TJLOSZI,X,O,O,O
TJLOZIS,X,O,O,O
TJLOZSI,X,O,O,O
TJSILZO,O,O,X,O
TJSILOZ,X,O,O,X
TJSIZLO,O,X,X,O
TJSIZOL,O,O,O,X
TJSIOLZ,X,O,O,X
TJSIOZL,X,O,O,X
TJSLIZO,O,O,X,O
TJSLIOZ,X,O,O,X
TJSLZIO,O,O,X,O
TJSLZOI,O,O,X,O
TJSLOIZ,X,O,O,X
TJSLOZI,X,O,O,O
TJSZILO,O,X,X,O
TJSZIOL,O,O,O,X
TJSZLIO,O,X,X,O
TJSZLOI,O,X,X,O
TJSZOIL,O,O,O,X
TJSZOLI,O,X,O,O
TJSOILZ,X,O,O,X
TJSOIZL,X,O,O,X
TJSOLIZ,X,O,O,X
TJSOLZI,X,O,O,O
TJSOZIL,X,O,O,X
TJSOZLI,X,X,O,O
TJZILSO,O,O,X,O
TJZILOS,O,O,X,O
TJZISLO,O,X,X,O
TJZISOL,O,O,O,X
TJZIOLS,O,O,O,X
TJZIOSL,O,O,O,X
TJZLISO,O,O,X,O
TJZLIOS,O,O,X,O
TJZLSIO,O,O,X,O
TJZLSOI,O,O,X,O
TJZLOIS,O,O,X,O
TJZLOSI,O,O,X,O
TJZSILO,O,X,X,O
TJZSIOL,O,O,O,X
TJZSLIO,O,X,X,O
TJZSLOI,O,X,X,O
TJZSOIL,O,O,O,X
TJZSOLI,O,X,O,O
TJZOILS,O,O,O,X
TJZOISL,O,O,O,X
TJZOLIS,O,O,O,O
TJZOLSI,O,O,O,O
TJZOSIL,O,O,O,X
TJZOSLI,O,X,O,O
TJOILSZ,O,O,O,X
TJOILZS,O,O,O,X
TJOISLZ,O,O,O,X
TJOISZL,O,O,O,X
TJOIZLS,O,O,O,X
TJOIZSL,O,O,O,X
TJOLISZ,O,O,O,X
TJOLIZS,O,O,O,X
TJOLSIZ,O,O,O,X
TJOLSZI,O,O,O,O
TJOLZIS,O,O,O,O
TJOLZSI,O,O,O,O
TJOSILZ,O,O,O,X
TJOSIZL,O,O,O,X
TJOSLIZ,O,O,O,X
TJOSLZI,O,O,O,O
TJOSZIL,O,O,O,X
TJOSZLI,O,X,O,O
TJOZILS,O,O,O,X
TJOZISL,O,O,O,X
TJOZLIS,O,O,O,O
TJOZLSI,O,O,O,O
TJOZSIL,O,O,O,X
TJOZSLI,O,X,O,O
TSILJZO,O,O,X,X
TSILJOZ,X,O,X,X
TSILZJO,O,O,X,O
TSILZOJ,O,X,X,O
TSILOJZ,X,O,O,X
TSILOZJ,O,X,O,X
TSIJLZO,O,O,X,X
TSIJLOZ,X,O,O,X
TSIJZLO,O,X,X,X
TSIJZOL,O,O,O,X
TSIJOLZ,X,O,O,X
TSIJOZL,X,O,O,X
TSIZLJO,O,X,X,O
TSIZLOJ,O,X,X,O
TSIZJLO,O,X,X,X
TSIZJOL,O,O,X,X
TSIZOLJ,O,X,O,X
TSIZOJL,O,X,X,X
TSIOLJZ,O,X,O,X
TSIOLZJ,O,X,O,X
TSIOJLZ,O,O,O,X
TSIOJZL,O,O,O,X
TSIOZLJ,O,X,O,X
TSIOZJL,O,X,X,X
TSLIJZO,O,O,X,X
TSLIJOZ,X,O,X,X
TSLIZJO,O,O,X,O
TSLIZOJ,O,X,X,O
TSLIOJZ,X,O,O,X
TSLIOZJ,O,X,O,X
TSLJIZO,O,O,X,O
TSLJIOZ,X,O,X,X
TSLJZIO,O,O,X,O
TSLJZOI,O,O,X,O
TSLJOIZ,X,O,X,X
TSLJOZI,X,O,X,O
TSLZIJO,O,O,X,O
TSLZIOJ,O,X,X,O
TSLZJIO,O,O,X,O
TSLZJOI,O,O,X,O
TSLZOIJ,O,X,X,O
TSLZOJI,O,O,X,O
TSLOIJZ,X,O,O,X
TSLOIZJ,O,X,O,X
TSLOJIZ,X,O,O,X
TSLOJZI,X,O,X,X
TSLOZIJ,O,X,O,O
TSLOZJI,O,O,X,O
TSJILZO,O,O,X,O
TSJILOZ,X,O,O,X
TSJIZLO,O,X,X,O
TSJIZOL,O,O,O,X
TSJIOLZ,X,O,O,X
TSJIOZL,X,O,O,X
TSJLIZO,O,O,X,O
TSJLIOZ,X,O,O,X
TSJLZIO,O,O,X,O
TSJLZOI,O,O,X,O
TSJLOIZ,X,O,O,X
TSJLOZI,X,O,O,O
TSJZILO,O,X,X,O
TSJZIOL,O,O,O,X
TSJZLIO,O,X,X,O
TSJZLOI,O,X,X,O
TSJZOIL,O,O,O,X
TSJZOLI,O,X,O,O
TSJOILZ,X,O,O,X
TSJOIZL,X,O,O,X
TSJOLIZ,X,O,O,X
TSJOLZI,X,O,O,O
TSJOZIL,X,O,O,X
TSJOZLI,X,X,O,O
TSZILJO,O,X,X,O
TSZILOJ,O,X,X,O
TSZIJLO,O,X,X,X
TSZIJOL,O,O,X,X
TSZIOLJ,O,X,O,X
TSZIOJL,O,X,X,X
TSZLIJO,O,X,X,O
TSZLIOJ,O,X,X,O
TSZLJIO,O,X,X,O
TSZLJOI,O,X,X,O
TSZLOIJ,O,X,X,O
TSZLOJI,O,X,X,O
TSZJILO,O,X,X,O
TSZJIOL,O,O,X,X
TSZJLIO,O,X,X,O
TSZJLOI,O,X,X,O
TSZJOIL,O,O,X,X
TSZJOLI,O,X,X,O
TSZOILJ,O,X,O,X
TSZOIJL,O,X,X,X
TSZOLIJ,O,X,O,O
TSZOLJI,O,X,X,O
TSZOJIL,O,O,X,X
TSZOJLI,O,X,X,X
TSOILJZ,O,X,O,X
TSOILZJ,O,X,O,X
TSOIJLZ,O,O,O,X
TSOIJZL,O,O,O,X
TSOIZLJ,O,X,O,X
TSOIZJL,O,X,X,X
TSOLIJZ,O,O,O,X
TSOLIZJ,O,X,O,X
TSOLJIZ,O,O,O,X
TSOLJZI,O,O,O,X
TSOLZIJ,O,X,O,O
TSOLZJI,O,O,X,O
TSOJILZ,O,O,O,X
TSOJIZL,O,O,O,X
TSOJLIZ,O,O,O,X
TSOJLZI,O,O,O,X
TSOJZIL,O,O,O,X
TSOJZLI,O,X,O,X
TSOZILJ,O,X,O,X
TSOZIJL,O,X,X,X
TSOZLIJ,O,X,O,O
TSOZLJI,O,X,X,O
TSOZJIL,O,O,X,X
TSOZJLI,O,X,X,X
TZILJSO,O,O,X,O
TZILJOS,O,O,X,O
TZILSJO,O,O,X,O
TZILSOJ,O,X,X,O
TZILOJS,O,X,X,O
TZILOSJ,O,X,X,O
TZIJLSO,O,O,X,O
TZIJLOS,O,O,X,O
TZIJSLO,O,X,X,O
TZIJSOL,O,O,O,X
TZIJOLS,O,O,O,X
TZIJOSL,O,O,O,X
TZISLJO,O,X,X,O
TZISLOJ,O,X,X,O
TZISJLO,O,X,X,X
TZISJOL,O,O,X,X
TZISOLJ,O,X,O,X
TZISOJL,O,X,X,X
TZIOLJS,O,X,O,X
TZIOLSJ,O,X,O,X
TZIOJLS,O,X,O,X
TZIOJSL,O,X,O,X
TZIOSLJ,O,X,O,X
TZIOSJL,O,X,X,X
TZLIJSO,O,O,X,O
TZLIJOS,O,O,X,O
TZLISJO,O,O,X,O
TZLISOJ,O,X,X,O
TZLIOJS,O,X,X,O
TZLIOSJ,O,X,X,O
TZLJISO,O,O,X,O
TZLJIOS,O,O,X,O
TZLJSIO,O,O,X,O
TZLJSOI,O,O,X,O
TZLJOIS,O,O,X,O
TZLJOSI,O,O,X,O
TZLSIJO,O,O,X,O
TZLSIOJ,O,X,X,O
TZLSJIO,O,O,X,O
TZLSJOI,O,O,X,O
TZLSOIJ,O,X,X,O
TZLSOJI,O,O,X,O
TZLOIJS,O,X,X,O
TZLOISJ,O,X,X,O
TZLOJIS,O,O,X,O
TZLOJSI,O,O,X,O
TZLOSIJ,O,X,X,O
TZLOSJI,O,O,X,O
TZJILSO,O,O,X,O
TZJILOS,O,O,X,O
TZJISLO,O,X,X,O
TZJISOL,O,O,O,X
TZJIOLS,O,O,O,X
TZJIOSL,O,O,O,X
TZJLISO,O,O,X,O
TZJLIOS,O,O,X,O
TZJLSIO,O,O,X,O
TZJLSOI,O,O,X,O
TZJLOIS,O,O,X,O
TZJLOSI,O,O,X,O
TZJSILO,O,X,X,O
TZJSIOL,O,O,O,X
TZJSLIO,O,X,X,O
TZJSLOI,O,X,X,O
TZJSOIL,O,O,O,X
TZJSOLI,O,X,O,O
TZJOILS,O,O,O,X
TZJOISL,O,O,O,X
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,O
TZJOSIL,O,O,O,X
TZJOSLI,O,X,O,O
TZSILJO,O,X,X,O
TZSILOJ,O,X,X,O
TZSIJLO,O,X,X,X
TZSIJOL,O,O,X,X
TZSIOLJ,O,X,O,X
TZSIOJL,O,X,X,X
TZSLIJO,O,X,X,O
TZSLIOJ,O,X,X,O
TZSLJIO,O,X,X,O
TZSLJOI,O,X,X,O
TZSLOIJ,O,X,X,O
TZSLOJI,O,X,X,O
TZSJILO,O,X,X,O
TZSJIOL,O,O,X,X
TZSJLIO,O,X,X,O
TZSJLOI,O,X,X,O
TZSJOIL,O,O,X,X
TZSJOLI,O,X,X,O
TZSOILJ,O,X,O,X
TZSOIJL,O,X,X,X
TZSOLIJ,O,X,O,O
TZSOLJI,O,X,X,O
TZSOJIL,O,O,X,X
TZSOJLI,O,X,X,X
TZOILJS,O,X,O,X
TZOILSJ,O,X,O,X
TZOIJLS,O,X,O,X
TZOIJSL,O,X,O,X
TZOISLJ,O,X,O,X
TZOISJL,O,X,X,X
TZOLIJS,O,X,O,O
TZOLISJ,O,X,O,O
TZOLJIS,O,O,O,O
TZOLJSI,O,O,O,O
TZOLSIJ,O,X,O,O
TZOLSJI,O,O,X,O
TZOJILS,O,O,O,X
TZOJISL,O,O,O,X
TZOJLIS,O,O,O,O
TZOJLSI,O,O,O,O
TZOJSIL,O,O,O,X
TZOJSLI,O,X,O,O
TZOSILJ,O,X,O,X
TZOSIJL,O,X,X,X
TZOSLIJ,O,X,O,O
TZOSLJI,O,X,X,O
TZOSJIL,O,O,X,X
TZOSJLI,O,X,X,X
TOILJSZ,O,O,O,X
TOILJZS,O,O,O,X
TOILSJZ,O,O,O,X
TOILSZJ,O,X,O,X
TOILZJS,O,X,O,X
TOILZSJ,O,X,O,X
TOIJLSZ,O,O,O,X
TOIJLZS,O,O,O,X
TOIJSLZ,O,O,O,X
TOIJSZL,O,O,O,X
TOIJZLS,O,O,O,X
TOIJZSL,O,O,O,X
TOISLJZ,O,X,O,X
TOISLZJ,O,X,O,X
TOISJLZ,O,O,O,X
TOISJZL,O,O,O,X
TOISZLJ,O,X,O,X
TOISZJL,O,X,X,X
TOIZLJS,O,X,O,X
TOIZLSJ,O,X,O,X
TOIZJLS,O,X,O,X
TOIZJSL,O,X,O,X
TOIZSLJ,O,X,O,X
TOIZSJL,O,X,X,X
TOLIJSZ,O,O,O,X
TOLIJZS,O,O,O,X
TOLISJZ,O,O,O,X
TOLISZJ,O,X,O,X
TOLIZJS,O,X,O,X
TOLIZSJ,O,X,O,X
TOLJISZ,O,O,O,X
TOLJIZS,O,O,O,X
TOLJSIZ,O,O,O,X
TOLJSZI,O,O,O,O
TOLJZIS,O,O,O,O
TOLJZSI,O,O,O,O
TOLSIJZ,O,O,O,X
TOLSIZJ,O,X,O,X
TOLSJIZ,O,O,O,X
TOLSJZI,O,O,O,X
TOLSZIJ,O,X,O,O
TOLSZJI,O,O,X,O
TOLZIJS,O,X,O,O
TOLZISJ,O,X,O,O
TOLZJIS,O,O,O,O
TOLZJSI,O,O,O,O
TOLZSIJ,O,X,O,O
TOLZSJI,O,O,X,O
TOJILSZ,O,O,O,X
TOJILZS,O,O,O,X
TOJISLZ,O,O,O,X
TOJISZL,O,O,O,X
TOJIZLS,O,O,O,X
TOJIZSL,O,O,O,X
TOJLISZ,O,O,O,X
TOJLIZS,O,O,O,X
TOJLSIZ,O,O,O,X
TOJLSZI,O,O,O,O
TOJLZIS,O,O,O,O
TOJLZSI,O,O,O,O
TOJSILZ,O,O,O,X
TOJSIZL,O,O,O,X
TOJSLIZ,O,O,O,X
TOJSLZI,O,O,O,O
TOJSZIL,O,O,O,X
TOJSZLI,O,X,O,O
TOJZILS,O,O,O,X
TOJZISL,O,O,O,X
TOJZLIS,O,O,O,O
TOJZLSI,O,O,O,O
TOJZSIL,O,O,O,X
TOJZSLI,O,X,O,O
TOSILJZ,O,X,O,X
TOSILZJ,O,X,O,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,X,O,X
TOSIZJL,O,X,X,X
TOSLIJZ,O,O,O,X
TOSLIZJ,O,X,O,X
TOSLJIZ,O,O,O,X
TOSLJZI,O,O,O,X
TOSLZIJ,O,X,O,O
TOSLZJI,O,O,X,O
TOSJILZ,O,O,O,X
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,O,X
TOSJZIL,O,O,O,X
TOSJZLI,O,X,O,X
TOSZILJ,O,X,O,X
TOSZIJL,O,X,X,X
TOSZLIJ,O,X,O,O
TOSZLJI,O,X,X,O
TOSZJIL,O,O,X,X
TOSZJLI,O,X,X,X
TOZILJS,O,X,O,X
TOZILSJ,O,X,O,X
TOZIJLS,O,X,O,X
TOZIJSL,O,X,O,X
TOZISLJ,O,X,O,X
TOZISJL,O,X,X,X
TOZLIJS,O,X,O,O
TOZLISJ,O,X,O,O
TOZLJIS,O,O,O,O
TOZLJSI,O,O,O,O
TOZLSIJ,O,X,O,O
TOZLSJI,O,O,X,O
TOZJILS,O,O,O,X
TOZJISL,O,O,O,X
TOZJLIS,O,O,O,O
TOZJLSI,O,O,O,O
TOZJSIL,O,O,O,X
TOZJSLI,O,X,O,O
TOZSILJ,O,X,O,X
TOZSIJL,O,X,X,X
TOZSLIJ,O,X,O,O
TOZSLJI,O,X,X,O
TOZSJIL,O,O,X,X
TOZSJLI,O,X,X,X
ITLJSZO,O,O,X,O
ITLJSOZ,X,O,O,X
ITLJZSO,O,O,X,O
ITLJZOS,O,O,X,O
ITLJOSZ,X,O,O,X
ITLJOZS,X,O,O,X
ITLSJZO,O,O,X,X
ITLSJOZ,X,O,X,X
ITLSZJO,O,O,X,O
ITLSZOJ,O,X,X,O
ITLSOJZ,X,O,O,X
ITLSOZJ,O,X,O,X
ITLZJSO,O,O,X,O
ITLZJOS,O,O,X,O
ITLZSJO,O,O,X,O
ITLZSOJ,O,X,X,O
ITLZOJS,O,X,X,O
ITLZOSJ,O,X,X,O
ITLOJSZ,O,O,O,X
ITLOJZS,O,O,O,X
ITLOSJZ,O,O,O,X
ITLOSZJ,O,X,O,X
ITLOZJS,O,X,O,X
ITLOZSJ,O,X,O,X
ITJLSZO,O,O,X,O
ITJLSOZ,X,O,O,X
ITJLZSO,O,O,X,O
ITJLZOS,O,O,X,O
ITJLOSZ,X,O,O,X
ITJLOZS,X,O,O,X
ITJSLZO,O,O,X,O
ITJSLOZ,X,O,O,X
ITJSZLO,O,X,X,O
ITJSZOL,O,O,O,X
ITJSOLZ,X,O,O,X
ITJSOZL,X,O,O,X
ITJZLSO,O,O,X,O
ITJZLOS,O,O,X,O
ITJZSLO,O,X,X,O
ITJZSOL,O,O,O,X
ITJZOLS,O,O,O,X
ITJZOSL,O,O,O,X
ITJOLSZ,O,O,O,X
ITJOLZS,O,O,O,X
ITJOSLZ,O,O,O,X
ITJOSZL,O,O,O,X
ITJOZLS,O,O,O,X
ITJOZSL,O,O,O,X
ITSLJZO,O,O,X,X
ITSLJOZ,X,O,X,X
ITSLZJO,O,O,X,O
ITSLZOJ,O,X,X,O
ITSLOJZ,X,O,O,X
ITSLOZJ,O,X,O,X
ITSJLZO,O,O,X,X
ITSJLOZ,X,O,O,X
ITSJZLO,O,X,X,X
ITSJZOL,O,O,O,X
ITSJOLZ,X,O,O,X
ITSJOZL,X,O,O,X
ITSZLJO,O,X,X,O
ITSZLOJ,O,X,X,O
ITSZJLO,O,X,X,X
ITSZJOL,O,O,X,X
ITSZOLJ,O,X,O,X
ITSZOJL,O,X,X,X
ITSOLJZ,O,X,O,X
ITSOLZJ,O,X,O,X
ITSOJLZ,O,O,O,X
ITSOJZL,O,O,O,X
ITSOZLJ,O,X,O,X
ITSOZJL,O,X,X,X
ITZLJSO,O,O,X,O
ITZLJOS,O,O,X,O
ITZLSJO,O,O,X,O
ITZLSOJ,O,X,X,O
ITZLOJS,O,X,X,O
ITZLOSJ,O,X,X,O
ITZJLSO,O,O,X,O
ITZJLOS,O,O,X,O
ITZJSLO,O,X,X,O
ITZJSOL,O,O,O,X
ITZJOLS,O,O,O,X
ITZJOSL,O,O,O,X
ITZSLJO,O,X,X,O
ITZSLOJ,O,X,X,O
ITZSJLO,O,X,X,X
ITZSJOL,O,O,X,X
ITZSOLJ,O,X,O,X
ITZSOJL,O,X,X,X
ITZOLJS,O,X,O,X
ITZOLSJ,O,X,O,X
ITZOJLS,O,X,O,X
ITZOJSL,O,X,O,X
ITZOSLJ,O,X,O,X
ITZOSJL,O,X,X,X
ITOLJSZ,O,O,O,X
ITOLJZS,O,O,O,X
ITOLSJZ,O,O,O,X
ITOLSZJ,O,X,O,X
ITOLZJS,O,X,O,X
ITOLZSJ,O,X,O,X
ITOJLSZ,O,O,O,X
ITOJLZS,O,O,O,X
ITOJSLZ,O,O,O,X
ITOJSZL,O,O,O,X
ITOJZLS,O,O,O,X
ITOJZSL,O,O,O,X
ITOSLJZ,O,X,O,X
ITOSLZJ,O,X,O,X
ITOSJLZ,O,O,O,X
ITOSJZL,O,O,O,X
ITOSZLJ,O,X,O,X
ITOSZJL,O,X,X,X
ITOZLJS,O,X,O,X
ITOZLSJ,O,X,O,X
ITOZJLS,O,X,O,X
ITOZJSL,O,X,O,X
ITOZSLJ,O,X,O,X
