sequence,v115@GhA8BeA8FeD8FeF8OeT/IvhFlgBRiBXmBinBWxBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhF0gBlhBaoBRrBWyBXsB,v115@GhA8BeA8FeD8FeF8OeT/IvhFxgB2nBCmBlrB3sBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhFlgB3hBmnBRrBSxBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhF6lB2mBRiBlrBUtB3sB,v115@GhA8BeA8FeD8FeF8OeT/IvhF6lB2mBRiB3nB0rBVyB,v115@GhA8BeA8FeD8FeF8OeT/IvhF0gBxhBFnBGrB3sBKtB
TILJSZO,X,O,O,O,X,X,X
TILJSOZ,X,O,O,O,O,X,X
TILJZSO,X,O,X,O,O,X,X
TILJZOS,X,O,O,O,O,X,X
TILJOSZ,X,O,O,O,O,X,X
TILJOZS,X,O,O,O,O,X,X
TILSJZO,X,X,O,O,X,O,X
TILSJOZ,X,X,O,O,X,O,X
TILSZJO,X,X,O,O,X,O,X
TILSZOJ,X,X,O,O,X,O,X
TILSOJZ,X,X,O,O,X,O,X
TILSOZJ,X,X,O,O,X,O,X
TILZJSO,X,O,X,O,O,O,X
TILZJOS,X,O,O,O,O,O,X
TILZSJO,X,X,O,O,O,O,X
TILZSOJ,X,X,O,O,O,O,X
TILZOJS,X,O,O,O,O,O,X
TILZOSJ,X,X,O,O,O,O,X
TILOJSZ,X,O,O,O,O,X,X
TILOJZS,X,O,O,O,O,X,X
TILOSJZ,X,X,O,O,X,O,X
TILOSZJ,X,X,O,O,X,O,X
TILOZJS,X,O,O,O,O,O,X
TILOZSJ,X,X,O,O,O,O,X
TIJLSZO,X,O,O,O,X,X,X
TIJLSOZ,O,O,O,O,O,X,X
TIJLZSO,X,O,X,O,O,X,X
TIJLZOS,O,O,O,O,O,X,X
TIJLOSZ,O,O,O,O,O,X,X
TIJLOZS,O,O,O,O,O,X,X
TIJSLZO,X,O,O,O,X,X,X
TIJSLOZ,X,O,O,O,O,X,X
