sequence,v115@RhA8FeF8BeE8Je/EJvhFZmBumBcnBTjB6qBFqB,v115@RhA8FeF8BeE8Je/EJvhFalB5lBcnBTjBOrBlrB,v115@RhA8FeF8BeE8Jex/IvhFCiBTjBlkBXnBmqB8qB,v115@RhA8FeF8BeE8Jem/IvhFxhBTjB0kBFnBCrBfrB,v115@RhA8FeF8BeE8JeT/IvhFXhBGjBVqBRnByrB0qB,v115@RhA8FeF8BeE8JeT/IvhF0gBGjBVqBRnByrBXrB
TILJSZO,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X
TILJZSO,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,O
TILJOSZ,X,X,X,X,O,X
TILJOZS,X,X,X,X,X,O
TILSJZO,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X
TILSZJO,O,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X
TILSOJZ,X,X,X,X,O,X
TILSOZJ,O,X,X,X,X,X
TILZJSO,O,X,X,O,X,X
TILZJOS,O,X,X,O,X,O
TILZSJO,O,X,X,O,X,X
TILZSOJ,O,X,X,O,X,X
TILZOJS,O,X,X,O,X,O
TILZOSJ,O,X,X,O,X,X
TILOJSZ,X,X,X,X,O,X
TILOJZS,X,X,X,X,X,O
TILOSJZ,X,X,X,X,O,X
TILOSZJ,O,X,X,X,X,X
TILOZJS,O,X,X,O,X,O
TILOZSJ,O,X,X,O,X,X
TIJLSZO,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X
TIJLZSO,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,O
TIJLOSZ,X,X,X,X,O,X
TIJLOZS,X,X,X,X,X,O
TIJSLZO,X,O,O,X,X,X
TIJSLOZ,X,O,O,X,O,X
TIJSZLO,X,O,O,X,X,X
TIJSZOL,X,O,O,X,O,O
TIJSOLZ,X,O,O,X,O,X
TIJSOZL,X,O,O,X,O,O
TIJZLSO,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,O
TIJZSLO,X,O,X,X,X,X
TIJZSOL,X,O,X,X,O,O
TIJZOLS,X,X,X,X,X,O
TIJZOSL,X,O,X,X,O,O
TIJOLSZ,X,X,X,X,O,X
TIJOLZS,X,X,X,X,X,O
TIJOSLZ,X,O,O,X,O,X
TIJOSZL,X,O,O,X,O,O
TIJOZLS,X,X,X,X,X,O
TIJOZSL,X,O,X,X,O,O
TISLJZO,X,O,O,X,X,X
TISLJOZ,X,O,O,X,O,X
TISLZJO,O,O,X,X,X,X
TISLZOJ,O,O,X,X,X,X
TISLOJZ,X,O,O,X,O,X
TISLOZJ,O,O,X,X,X,X
TISJLZO,X,O,O,X,X,X
TISJLOZ,X,O,O,X,O,X
TISJZLO,X,O,O,X,X,X
TISJZOL,X,O,O,X,O,O
TISJOLZ,X,O,O,X,O,X
TISJOZL,X,O,O,X,O,O
TISZLJO,O,O,X,X,X,X
TISZLOJ,O,O,X,X,X,X
TISZJLO,O,O,X,X,X,X
TISZJOL,O,O,X,X,O,O
TISZOLJ,O,O,X,X,X,X
TISZOJL,O,O,X,X,O,O
TISOLJZ,X,O,O,X,O,X
TISOLZJ,O,O,X,X,X,X
TISOJLZ,X,O,O,X,O,X
TISOJZL,X,O,O,X,O,O
TISOZLJ,O,O,X,X,X,X
TISOZJL,O,O,X,X,O,O
TIZLJSO,O,X,X,O,X,X
TIZLJOS,O,X,X,O,X,O
TIZLSJO,O,X,X,O,X,X
TIZLSOJ,O,X,X,O,X,X
TIZLOJS,O,X,X,O,X,O
TIZLOSJ,O,X,X,O,X,X
TIZJLSO,O,X,X,O,X,X
TIZJLOS,O,X,X,O,X,O
TIZJSLO,O,O,X,X,X,X
TIZJSOL,O,O,X,X,O,O
TIZJOLS,O,X,X,O,X,O
TIZJOSL,O,O,X,X,O,O
TIZSLJO,O,O,X,X,X,X
TIZSLOJ,O,O,X,X,X,X
TIZSJLO,O,O,X,X,X,X
TIZSJOL,O,O,X,X,O,O
TIZSOLJ,O,O,X,X,X,X
TIZSOJL,O,O,X,X,O,O
TIZOLJS,O,X,X,O,X,O
TIZOLSJ,O,X,X,O,X,X
TIZOJLS,O,X,X,O,X,O
TIZOJSL,O,O,X,X,O,O
TIZOSLJ,O,O,X,X,X,X
TIZOSJL,O,O,X,X,O,O
TIOLJSZ,X,X,X,X,O,X
TIOLJZS,X,X,X,X,X,O
TIOLSJZ,X,X,X,X,O,X
TIOLSZJ,O,X,X,X,X,X
TIOLZJS,O,X,X,O,X,O
TIOLZSJ,O,X,X,O,X,X
TIOJLSZ,X,X,X,X,O,X
TIOJLZS,X,X,X,X,X,O
TIOJSLZ,X,O,O,X,O,X
TIOJSZL,X,O,O,X,O,O
TIOJZLS,X,X,X,X,X,O
TIOJZSL,X,O,X,X,O,O
