sequence,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBFtBGtB,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBGtBFtB,v115@RhD8FeH8Lei/IvhF8mBGjBRlB3nBFmBTtB,v115@RhD8FeH8LeT/IvhFigBRiBFmBXnBGtBctB,v115@RhD8FeH8LeT/IvhF2lB8mB5oBatBFrB3sB,v115@RhD8FeH8LeT/IvhF2lB8mB5oB3nBFmBatB
TLOSIJZ,O,O,O,O,X,X
TLOSIZJ,O,O,O,X,X,X
TLOSJIZ,O,O,O,O,X,X
TLOSJZI,X,X,O,O,X,X
TLOSZIJ,O,X,O,X,X,X
TLOSZJI,O,X,O,O,X,X
TLOZIJS,X,X,X,X,O,X
TLOZISJ,O,X,X,X,X,X
TLOZJIS,X,X,X,X,O,X
TLOZJSI,O,O,X,O,X,X
TLOZSIJ,O,O,X,X,X,X
TLOZSJI,O,O,X,O,X,X
TJILSZO,X,X,X,O,X,X
TJILSOZ,X,X,X,O,X,X
TJILZSO,X,X,X,X,X,X
TJILZOS,X,X,X,X,O,X
TJILOSZ,X,X,X,O,X,X
TJILOZS,X,X,X,X,O,X
TJISLZO,X,X,X,O,X,X
TJISLOZ,X,X,X,O,X,X
TJISZLO,X,X,X,O,X,X
TJISZOL,X,X,X,O,X,O
TJISOLZ,X,X,X,O,X,X
TJISOZL,X,X,X,O,X,O
TJIZLSO,X,X,X,X,X,X
TJIZLOS,X,X,X,X,O,X
TJIZSLO,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,O
TJIZOLS,X,X,X,X,O,X
TJIZOSL,X,X,X,X,X,O
TJIOLSZ,X,X,X,O,X,X
TJIOLZS,X,X,X,X,O,X
TJIOSLZ,X,X,X,O,X,X
TJIOSZL,X,X,X,O,X,O
TJIOZLS,X,X,X,X,O,X
TJIOZSL,X,X,X,X,X,O
TJLISZO,X,X,X,O,X,X
TJLISOZ,X,X,X,O,X,X
TJLIZSO,X,X,X,X,X,X
TJLIZOS,X,X,X,X,O,X
TJLIOSZ,X,X,X,O,X,X
TJLIOZS,X,X,X,X,O,X
TJLSIZO,X,X,X,O,X,X
TJLSIOZ,O,O,X,O,X,X
TJLSZIO,X,X,X,O,X,X
TJLSZOI,X,X,X,O,X,X
TJLSOIZ,O,O,X,O,X,X
TJLSOZI,X,X,X,O,X,X
TJLZISO,X,X,X,X,X,X
TJLZIOS,X,X,X,X,O,X
TJLZSIO,O,O,X,O,X,X
TJLZSOI,O,O,X,O,X,X
TJLZOIS,X,X,X,X,O,X
TJLZOSI,O,O,X,O,X,X
TJLOISZ,X,X,X,O,X,X
TJLOIZS,X,X,X,X,O,X
TJLOSIZ,O,O,X,O,X,X
TJLOSZI,X,X,X,O,X,X
TJLOZIS,X,X,X,X,O,X
TJLOZSI,O,O,X,O,X,X
TJSILZO,X,X,X,O,X,X
TJSILOZ,O,O,X,O,X,X
TJSIZLO,X,X,X,O,X,X
TJSIZOL,X,X,X,O,X,O
TJSIOLZ,O,O,X,O,X,X
TJSIOZL,X,X,X,O,X,O
TJSLIZO,X,X,X,O,X,X
TJSLIOZ,O,O,X,O,X,X
TJSLZIO,X,X,X,O,X,X
TJSLZOI,X,X,X,O,X,X
TJSLOIZ,O,O,X,O,X,X
TJSLOZI,X,X,X,O,X,X
TJSZILO,X,X,X,O,X,X
TJSZIOL,X,X,X,O,X,O
TJSZLIO,X,X,X,O,X,X
TJSZLOI,X,X,X,O,X,X
TJSZOIL,X,X,X,O,X,O
TJSZOLI,X,X,X,O,X,X
TJSOILZ,O,O,X,O,X,X
TJSOIZL,X,X,X,O,X,O
TJSOLIZ,O,O,X,O,X,X
TJSOLZI,X,X,X,O,X,X
TJSOZIL,X,X,X,O,X,O
TJSOZLI,X,X,X,O,X,X
TJZILSO,X,X,X,X,X,X
TJZILOS,X,X,X,X,O,X
TJZISLO,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,O
TJZIOLS,X,X,X,X,O,X
TJZIOSL,X,X,X,X,X,O
TJZLISO,X,X,X,X,X,X
TJZLIOS,X,X,X,X,O,X
TJZLSIO,O,O,X,O,X,X
TJZLSOI,O,O,X,O,X,X
TJZLOIS,X,X,X,X,O,X
TJZLOSI,O,O,X,O,X,X
TJZSILO,O,O,X,O,X,X
TJZSIOL,O,O,X,O,X,O
TJZSLIO,O,O,X,O,X,X
TJZSLOI,O,O,X,O,X,X
TJZSOIL,O,O,X,O,X,O
TJZSOLI,O,O,X,O,X,X
TJZOILS,X,X,X,X,O,X
TJZOISL,X,X,X,X,X,O
TJZOLIS,X,X,X,X,O,X
TJZOLSI,O,O,X,O,X,X
TJZOSIL,O,O,X,O,X,O
TJZOSLI,O,O,X,O,X,X
TJOILSZ,X,X,X,O,X,X
TJOILZS,X,X,X,X,O,X
TJOISLZ,X,X,X,O,X,X
TJOISZL,X,X,X,O,X,O
TJOIZLS,X,X,X,X,O,X
TJOIZSL,X,X,X,X,X,O
TJOLISZ,X,X,X,O,X,X
TJOLIZS,X,X,X,X,O,X
TJOLSIZ,O,O,X,O,X,X
TJOLSZI,X,X,X,O,X,X
TJOLZIS,X,X,X,X,O,X
TJOLZSI,O,O,X,O,X,X
TJOSILZ,O,O,X,O,X,X
TJOSIZL,X,X,X,O,X,O
TJOSLIZ,O,O,X,O,X,X
TJOSLZI,X,X,X,O,X,X
TJOSZIL,X,X,X,O,X,O
TJOSZLI,X,X,X,O,X,X
TJOZILS,X,X,X,X,O,X
TJOZISL,X,X,X,X,X,O
TJOZLIS,X,X,X,X,O,X
TJOZLSI,O,O,X,O,X,X
TJOZSIL,O,O,X,O,X,O
TJOZSLI,O,O,X,O,X,X
TSILJZO,X,X,O,O,X,X
TSILJOZ,O,X,X,O,X,X
TSILZJO,X,X,O,X,X,X
TSILZOJ,O,X,X,X,X,X
TSILOJZ,O,O,X,O,X,X
TSILOZJ,O,O,X,X,X,X
TSIJLZO,X,X,O,O,X,X
TSIJLOZ,O,X,X,O,X,X
TSIJZLO,X,X,O,O,X,X
TSIJZOL,X,X,X,O,X,O
TSIJOLZ,O,X,X,O,X,X
TSIJOZL,X,X,X,O,X,O
TSIZLJO,X,X,O,X,X,X
TSIZLOJ,O,X,X,X,X,X
TSIZJLO,X,X,O,X,X,X
TSIZJOL,X,X,X,X,X,O
TSIZOLJ,O,X,X,X,X,X
TSIZOJL,X,X,X,X,X,O
TSIOLJZ,O,O,X,O,X,X
TSIOLZJ,O,O,X,X,X,X
TSIOJLZ,O,X,X,O,X,X
TSIOJZL,X,X,X,O,X,O
TSIOZLJ,O,X,X,X,X,X
TSIOZJL,X,X,X,X,X,O
TSLIJZO,X,X,O,O,X,X
TSLIJOZ,O,X,X,O,X,X
TSLIZJO,X,X,O,X,X,X
TSLIZOJ,O,X,X,X,X,X
TSLIOJZ,O,O,X,O,X,X
TSLIOZJ,O,O,X,X,X,X
TSLJIZO,X,X,O,O,X,X
TSLJIOZ,O,O,X,O,X,X
TSLJZIO,X,X,O,O,X,X
TSLJZOI,X,X,X,O,X,X
TSLJOIZ,O,O,X,O,X,X
TSLJOZI,X,X,X,O,X,X
TSLZIJO,O,X,O,X,X,X
TSLZIOJ,O,X,X,X,X,X
TSLZJIO,O,X,O,O,X,X
TSLZJOI,O,X,X,O,X,X
TSLZOIJ,O,X,X,X,X,X
TSLZOJI,O,X,X,O,X,X
TSLOIJZ,O,O,X,O,X,X
TSLOIZJ,O,O,X,X,X,X
TSLOJIZ,O,O,X,O,X,X
TSLOJZI,X,X,X,O,X,X
TSLOZIJ,O,X,X,X,X,X
TSLOZJI,O,X,X,O,X,X
TSJILZO,X,X,O,O,X,X
TSJILOZ,O,O,X,O,X,X
TSJIZLO,X,X,O,O,X,X
TSJIZOL,X,X,X,O,X,O
TSJIOLZ,O,O,X,O,X,X
TSJIOZL,X,X,X,O,X,O
TSJLIZO,X,X,O,O,X,X
TSJLIOZ,O,O,X,O,X,X
TSJLZIO,X,X,O,O,X,X
TSJLZOI,X,X,X,O,X,X
TSJLOIZ,O,O,X,O,X,X
TSJLOZI,X,X,X,O,X,X
TSJZILO,X,X,O,O,X,X
TSJZIOL,X,X,X,O,X,O
TSJZLIO,X,X,O,O,X,X
TSJZLOI,X,X,X,O,X,X
TSJZOIL,X,X,X,O,X,O
TSJZOLI,X,X,X,O,X,X
TSJOILZ,O,O,X,O,X,X
TSJOIZL,X,X,X,O,X,O
TSJOLIZ,O,O,X,O,X,X
TSJOLZI,X,X,X,O,X,X
TSJOZIL,X,X,X,O,X,O
TSJOZLI,X,X,X,O,X,X
TSZILJO,O,X,O,X,X,X
TSZILOJ,O,X,X,X,X,X
TSZIJLO,O,X,O,X,X,X
TSZIJOL,O,X,X,X,X,O
TSZIOLJ,O,X,X,X,X,X
TSZIOJL,O,X,X,X,X,O
TSZLIJO,O,X,O,X,X,X
TSZLIOJ,O,X,X,X,X,X
TSZLJIO,O,X,O,O,X,X
TSZLJOI,O,X,X,O,X,X
TSZLOIJ,O,X,X,X,X,X
TSZLOJI,O,X,X,O,X,X
TSZJILO,O,X,O,O,X,X
TSZJIOL,O,X,X,O,X,O
TSZJLIO,O,X,O,O,X,X
TSZJLOI,O,X,X,O,X,X
TSZJOIL,O,X,X,O,X,O
TSZJOLI,O,X,X,O,X,X
TSZOILJ,O,X,X,X,X,X
TSZOIJL,O,X,X,X,X,O
TSZOLIJ,O,X,X,X,X,X
TSZOLJI,O,X,X,O,X,X
TSZOJIL,O,X,X,O,X,O
TSZOJLI,O,X,X,O,X,X
TSOILJZ,O,O,X,O,X,X
TSOILZJ,O,O,X,X,X,X
TSOIJLZ,O,X,X,O,X,X
TSOIJZL,X,X,X,O,X,O
TSOIZLJ,O,X,X,X,X,X
TSOIZJL,X,X,X,X,X,O
TSOLIJZ,O,O,X,O,X,X
TSOLIZJ,O,O,X,X,X,X
TSOLJIZ,O,O,X,O,X,X
TSOLJZI,X,X,X,O,X,X
TSOLZIJ,O,X,X,X,X,X
TSOLZJI,O,X,X,O,X,X
TSOJILZ,O,O,X,O,X,X
TSOJIZL,X,X,X,O,X,O
TSOJLIZ,O,O,X,O,X,X
TSOJLZI,X,X,X,O,X,X
TSOJZIL,X,X,X,O,X,O
TSOJZLI,X,X,X,O,X,X
TSOZILJ,O,X,X,X,X,X
TSOZIJL,O,X,X,X,X,O
TSOZLIJ,O,X,X,X,X,X
TSOZLJI,O,X,X,O,X,X
TSOZJIL,O,X,X,O,X,O
TSOZJLI,O,X,X,O,X,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,X,X,O,X
TZILSJO,O,X,O,X,X,X
TZILSOJ,O,X,X,X,X,X
TZILOJS,X,X,X,X,O,X
TZILOSJ,O,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,X,X,X,O,X
TZIJSLO,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,O
TZIJOLS,X,X,X,X,O,X
TZIJOSL,X,X,X,X,X,O
TZISLJO,O,X,O,X,X,X
TZISLOJ,O,X,X,X,X,X
TZISJLO,O,X,O,X,X,X
TZISJOL,O,X,X,X,X,O
TZISOLJ,O,X,X,X,X,X
TZISOJL,O,X,X,X,X,O
TZIOLJS,X,X,X,X,O,X
TZIOLSJ,O,X,X,X,X,X
TZIOJLS,X,X,X,X,O,X
TZIOJSL,X,X,X,X,X,O
TZIOSLJ,O,X,X,X,X,X
TZIOSJL,O,X,X,X,X,O
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,X,X,O,X
TZLISJO,O,X,O,X,X,X
TZLISOJ,O,X,X,X,X,X
TZLIOJS,X,X,X,X,O,X
TZLIOSJ,O,X,X,X,X,X
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,X,X,O,X
TZLJSIO,O,O,X,O,X,X
TZLJSOI,O,O,X,O,X,X
TZLJOIS,X,X,X,X,O,X
TZLJOSI,O,O,X,O,X,X
TZLSIJO,O,X,O,X,X,X
TZLSIOJ,O,O,X,X,X,X
TZLSJIO,O,O,O,O,X,X
TZLSJOI,O,O,X,O,X,X
TZLSOIJ,O,O,X,X,X,X
TZLSOJI,O,O,X,O,X,X
TZLOIJS,X,X,X,X,O,X
TZLOISJ,O,X,X,X,X,X
TZLOJIS,X,X,X,X,O,X
TZLOJSI,O,O,X,O,X,X
TZLOSIJ,O,O,X,X,X,X
TZLOSJI,O,O,X,O,X,X
TZJILSO,X,X,X,X,X,X
TZJILOS,X,X,X,X,O,X
TZJISLO,X,X,X,X,X,X
TZJISOL,X,X,X,X,X,O
TZJIOLS,X,X,X,X,O,X
TZJIOSL,X,X,X,X,X,O
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,X,X,X,O,X
TZJLSIO,O,O,X,O,X,X
TZJLSOI,O,O,X,O,X,X
TZJLOIS,X,X,X,X,O,X
TZJLOSI,O,O,X,O,X,X
TZJSILO,O,O,X,O,X,X
TZJSIOL,O,O,X,O,X,O
TZJSLIO,O,O,X,O,X,X
TZJSLOI,O,O,X,O,X,X
TZJSOIL,O,O,X,O,X,O
TZJSOLI,O,O,X,O,X,X
TZJOILS,X,X,X,X,O,X
TZJOISL,X,X,X,X,X,O
TZJOLIS,X,X,X,X,O,X
TZJOLSI,O,O,X,O,X,X
TZJOSIL,O,O,X,O,X,O
TZJOSLI,O,O,X,O,X,X
TZSILJO,O,X,O,X,X,X
TZSILOJ,O,O,X,X,X,X
TZSIJLO,O,X,O,X,X,X
TZSIJOL,O,X,X,X,X,O
TZSIOLJ,O,O,X,X,X,X
TZSIOJL,O,X,X,X,X,O
TZSLIJO,O,X,O,X,X,X
TZSLIOJ,O,O,X,X,X,X
TZSLJIO,O,O,O,O,X,X
TZSLJOI,O,O,X,O,X,X
TZSLOIJ,O,O,X,X,X,X
TZSLOJI,O,O,X,O,X,X
TZSJILO,O,O,O,O,X,X
TZSJIOL,O,O,X,O,X,O
TZSJLIO,O,O,O,O,X,X
TZSJLOI,O,O,X,O,X,X
TZSJOIL,O,O,X,O,X,O
TZSJOLI,O,O,X,O,X,X
TZSOILJ,O,O,X,X,X,X
TZSOIJL,O,X,X,X,X,O
TZSOLIJ,O,O,X,X,X,X
TZSOLJI,O,O,X,O,X,X
TZSOJIL,O,O,X,O,X,O
TZSOJLI,O,O,X,O,X,X
TZOILJS,X,X,X,X,O,X
TZOILSJ,O,X,X,X,X,X
TZOIJLS,X,X,X,X,O,X
TZOIJSL,X,X,X,X,X,O
TZOISLJ,O,X,X,X,X,X
TZOISJL,O,X,X,X,X,O
TZOLIJS,X,X,X,X,O,X
TZOLISJ,O,X,X,X,X,X
TZOLJIS,X,X,X,X,O,X
TZOLJSI,O,O,X,O,X,X
TZOLSIJ,O,O,X,X,X,X
TZOLSJI,O,O,X,O,X,X
TZOJILS,X,X,X,X,O,X
TZOJISL,X,X,X,X,X,O
TZOJLIS,X,X,X,X,O,X
TZOJLSI,O,O,X,O,X,X
TZOJSIL,O,O,X,O,X,O
TZOJSLI,O,O,X,O,X,X
TZOSILJ,O,O,X,X,X,X
TZOSIJL,O,X,X,X,X,O
TZOSLIJ,O,O,X,X,X,X
TZOSLJI,O,O,X,O,X,X
TZOSJIL,O,O,X,O,X,O
TZOSJLI,O,O,X,O,X,X
TOILJSZ,X,X,O,O,X,X
TOILJZS,X,X,X,X,O,X
TOILSJZ,O,X,O,O,X,X
TOILSZJ,O,X,O,X,X,X
TOILZJS,X,X,X,X,O,X
TOILZSJ,O,X,X,X,X,X
TOIJLSZ,X,X,O,O,X,X
TOIJLZS,X,X,X,X,O,X
TOIJSLZ,X,X,O,O,X,X
TOIJSZL,X,X,O,O,X,O
TOIJZLS,X,X,X,X,O,X
TOIJZSL,X,X,X,X,X,O
TOISLJZ,O,X,O,O,X,X
TOISLZJ,O,X,O,X,X,X
TOISJLZ,O,X,O,O,X,X
TOISJZL,X,X,O,O,X,O
TOISZLJ,O,X,O,X,X,X
TOISZJL,X,X,O,X,X,O
TOIZLJS,X,X,X,X,O,X
TOIZLSJ,O,X,X,X,X,X
TOIZJLS,X,X,X,X,O,X
TOIZJSL,X,X,X,X,X,O
TOIZSLJ,O,X,X,X,X,X
TOIZSJL,O,X,X,X,X,O
TOLIJSZ,X,X,O,O,X,X
TOLIJZS,X,X,X,X,O,X
TOLISJZ,O,X,O,O,X,X
TOLISZJ,O,X,O,X,X,X
TOLIZJS,X,X,X,X,O,X
TOLIZSJ,O,X,X,X,X,X
TOLJISZ,X,X,O,O,X,X
TOLJIZS,X,X,X,X,O,X
TOLJSIZ,O,O,O,O,X,X
TOLJSZI,X,X,O,O,X,X
TOLJZIS,X,X,X,X,O,X
TOLJZSI,O,O,X,O,X,X
TOLSIJZ,O,O,O,O,X,X
TOLSIZJ,O,O,O,X,X,X
TOLSJIZ,O,O,O,O,X,X
TOLSJZI,X,X,O,O,X,X
TOLSZIJ,O,X,O,X,X,X
TOLSZJI,O,X,O,O,X,X
TOLZIJS,X,X,X,X,O,X
TOLZISJ,O,X,X,X,X,X
TOLZJIS,X,X,X,X,O,X
TOLZJSI,O,O,X,O,X,X
TOLZSIJ,O,O,X,X,X,X
TOLZSJI,O,O,X,O,X,X
TOJILSZ,X,X,O,O,X,X
TOJILZS,X,X,X,X,O,X
TOJISLZ,X,X,O,O,X,X
TOJISZL,X,X,O,O,X,O
TOJIZLS,X,X,X,X,O,X
TOJIZSL,X,X,X,X,X,O
TOJLISZ,X,X,O,O,X,X
TOJLIZS,X,X,X,X,O,X
TOJLSIZ,O,O,O,O,X,X
TOJLSZI,X,X,O,O,X,X
TOJLZIS,X,X,X,X,O,X
TOJLZSI,O,O,X,O,X,X
TOJSILZ,O,O,O,O,X,X
TOJSIZL,X,X,O,O,X,O
TOJSLIZ,O,O,O,O,X,X
TOJSLZI,X,X,O,O,X,X
TOJSZIL,X,X,O,O,X,O
TOJSZLI,X,X,O,O,X,X
TOJZILS,X,X,X,X,O,X
TOJZISL,X,X,X,X,X,O
TOJZLIS,X,X,X,X,O,X
TOJZLSI,O,O,X,O,X,X
TOJZSIL,O,O,X,O,X,O
TOJZSLI,O,O,X,O,X,X
TOSILJZ,O,O,O,O,X,X
TOSILZJ,O,O,O,X,X,X
TOSIJLZ,O,X,O,O,X,X
