sequence,v115@DhB8HeB8BeA8GeD8EeC8Jei/IvhFFhBTjBfqB0lBWs?BRwB,v115@DhB8HeB8BeA8GeD8EeC8Je/EJvhFUgBFhBTjBWsBiq?BRwB,v115@DhB8HeB8BeA8GeD8EeC8Jex/IvhF6mBTjBlkBcqBer?BXsB,v115@DhB8HeB8BeA8GeD8EeC8Jei/IvhF3gBcmBTjBWqBFs?BxvB,v115@DhB8HeB8BeA8GeD8EeC8Jex/IvhF6mBTjB0kBmlB1v?BXsB,v115@DhB8HeB8BeA8GeD8EeC8Je/EJvhFUgBGhBTjByqBFs?BxvB
TISJOLZ,O,O,X,O,O,O
TISJOZL,O,O,O,O,O,O
TISZLJO,O,O,O,O,O,O
TISZLOJ,O,O,O,O,O,O
TISZJLO,O,O,O,O,O,O
TISZJOL,O,O,O,O,O,O
TISZOLJ,O,O,O,O,O,O
TISZOJL,O,O,O,O,O,O
TISOLJZ,O,O,X,O,O,O
TISOLZJ,O,O,O,O,O,O
TISOJLZ,O,O,X,O,O,O
TISOJZL,O,O,O,O,O,O
TISOZLJ,O,O,O,O,O,O
TISOZJL,O,O,O,O,O,O
TIZLJSO,X,X,O,O,O,O
TIZLJOS,X,X,O,O,O,O
TIZLSJO,O,X,O,O,O,O
TIZLSOJ,O,X,O,O,O,O
TIZLOJS,X,X,O,O,O,O
TIZLOSJ,O,X,O,O,O,O
TIZJLSO,X,X,O,O,O,O
TIZJLOS,X,X,O,O,O,O
TIZJSLO,O,X,O,O,O,O
TIZJSOL,O,X,O,O,O,O
TIZJOLS,X,X,O,O,O,O
TIZJOSL,O,X,O,O,O,O
TIZSLJO,O,X,O,O,O,O
TIZSLOJ,O,X,O,O,O,O
TIZSJLO,O,X,O,O,O,O
TIZSJOL,O,X,O,O,O,O
TIZSOLJ,O,X,O,O,O,O
TIZSOJL,O,X,O,O,O,O
TIZOLJS,X,X,O,O,O,O
TIZOLSJ,O,X,O,O,O,O
TIZOJLS,X,X,O,O,O,O
TIZOJSL,O,X,O,O,O,O
TIZOSLJ,O,X,O,O,O,O
TIZOSJL,O,X,O,O,O,O
TIOLJSZ,O,O,X,O,X,O
TIOLJZS,O,X,X,O,X,O
TIOLSJZ,O,O,X,O,X,O
TIOLSZJ,O,O,O,O,X,O
TIOLZJS,X,X,O,O,X,O
TIOLZSJ,X,O,O,O,X,O
TIOJLSZ,O,O,X,O,O,O
TIOJLZS,O,O,X,O,O,O
TIOJSLZ,O,O,X,O,O,O
TIOJSZL,O,O,O,O,X,O
TIOJZLS,O,X,O,O,O,O
TIOJZSL,O,O,O,O,O,O
TIOSLJZ,O,O,X,O,O,O
TIOSLZJ,O,O,O,O,O,O
TIOSJLZ,O,O,X,O,O,O
TIOSJZL,O,O,O,O,O,O
TIOSZLJ,O,O,O,O,O,O
TIOSZJL,O,O,O,O,O,O
TIOZLJS,X,X,O,O,O,O
TIOZLSJ,O,X,O,O,O,O
TIOZJLS,X,X,O,O,O,O
TIOZJSL,O,X,O,O,O,O
TIOZSLJ,O,X,O,O,O,O
TIOZSJL,O,X,O,O,O,O
TLIJSZO,O,X,X,O,X,O
TLIJSOZ,O,X,X,O,X,O
TLIJZSO,X,X,X,O,X,O
TLIJZOS,O,X,X,O,X,O
TLIJOSZ,O,X,X,O,X,O
TLIJOZS,O,X,X,O,X,O
TLISJZO,O,X,X,O,X,O
TLISJOZ,O,X,X,O,X,O
TLISZJO,O,X,O,O,X,O
TLISZOJ,O,O,O,O,X,O
TLISOJZ,O,X,X,O,X,O
TLISOZJ,O,O,O,O,X,O
TLIZJSO,X,X,O,O,X,O
TLIZJOS,X,X,O,O,X,O
TLIZSJO,X,X,O,O,X,O
TLIZSOJ,X,X,O,O,X,O
TLIZOJS,X,X,O,O,X,O
TLIZOSJ,X,X,O,O,X,O
TLIOJSZ,O,X,X,O,X,O
TLIOJZS,O,X,X,O,X,O
TLIOSJZ,O,X,X,O,X,O
TLIOSZJ,O,O,O,O,X,O
TLIOZJS,X,X,O,O,X,O
TLIOZSJ,X,X,O,O,X,O
TLJISZO,O,X,X,X,X,O
TLJISOZ,O,X,X,X,O,O
TLJIZSO,X,X,X,O,O,O
TLJIZOS,O,X,X,O,O,O
TLJIOSZ,O,X,X,X,O,O
TLJIOZS,O,X,X,O,O,O
TLJSIZO,O,X,X,X,X,O
TLJSIOZ,O,X,X,X,O,O
TLJSZIO,O,X,X,O,O,X
TLJSZOI,O,O,X,O,O,X
TLJSOIZ,O,X,X,X,O,O
TLJSOZI,O,O,X,O,O,X
TLJZISO,X,X,X,O,O,X
TLJZIOS,X,X,X,O,O,X
TLJZSIO,X,X,X,O,O,X
TLJZSOI,X,X,X,O,O,X
TLJZOIS,O,X,X,O,O,X
TLJZOSI,O,X,X,O,O,X
TLJOISZ,O,X,X,X,O,O
TLJOIZS,O,X,X,O,O,O
TLJOSIZ,O,X,X,X,O,O
TLJOSZI,O,O,X,O,O,X
TLJOZIS,O,X,X,O,O,X
TLJOZSI,O,X,X,O,O,X
TLSIJZO,O,X,X,X,O,O
TLSIJOZ,O,X,X,X,O,O
TLSIZJO,O,X,O,X,O,O
TLSIZOJ,O,O,O,X,O,O
TLSIOJZ,O,X,X,X,O,O
TLSIOZJ,O,O,O,X,O,O
TLSJIZO,O,X,X,X,O,O
TLSJIOZ,O,X,X,X,O,O
TLSJZIO,O,X,X,O,O,X
TLSJZOI,O,O,X,O,O,X
TLSJOIZ,O,X,X,X,O,O
TLSJOZI,O,O,X,O,O,X
TLSZIJO,X,X,O,X,O,X
TLSZIOJ,O,O,O,O,O,X
TLSZJIO,X,X,O,O,O,X
TLSZJOI,O,O,O,O,O,X
TLSZOIJ,O,O,O,O,O,X
TLSZOJI,O,O,O,O,O,X
TLSOIJZ,O,X,X,X,O,O
TLSOIZJ,O,O,O,X,O,O
TLSOJIZ,O,X,X,X,O,O
TLSOJZI,O,O,X,O,O,X
TLSOZIJ,O,O,O,O,O,X
TLSOZJI,O,O,O,O,O,X
TLZIJSO,X,X,O,O,O,X
TLZIJOS,X,X,O,O,O,X
TLZISJO,X,X,O,O,O,X
TLZISOJ,X,X,O,O,O,X
TLZIOJS,X,X,O,O,O,X
TLZIOSJ,X,X,O,O,O,X
TLZJISO,X,X,O,O,O,X
TLZJIOS,X,X,O,O,O,X
TLZJSIO,X,X,O,O,O,X
TLZJSOI,X,X,O,O,O,X
TLZJOIS,X,X,O,O,O,X
TLZJOSI,X,X,O,O,O,X
TLZSIJO,X,X,O,X,O,X
TLZSIOJ,X,O,O,O,O,X
TLZSJIO,X,X,O,O,O,X
TLZSJOI,X,O,O,O,O,X
TLZSOIJ,X,O,O,O,O,X
TLZSOJI,X,O,O,O,O,X
TLZOIJS,X,X,O,O,O,X
TLZOISJ,X,X,O,O,O,X
TLZOJIS,X,X,O,O,O,X
TLZOJSI,X,X,O,O,O,X
TLZOSIJ,X,O,O,O,O,X
TLZOSJI,X,O,O,O,O,X
TLOIJSZ,O,X,X,O,X,O
TLOIJZS,O,X,X,O,X,O
TLOISJZ,O,X,X,O,X,O
TLOISZJ,O,O,O,O,X,O
TLOIZJS,X,X,O,O,X,O
TLOIZSJ,X,X,O,O,X,O
TLOJISZ,O,X,X,X,O,O
TLOJIZS,O,X,X,O,O,O
TLOJSIZ,O,X,X,X,O,O
TLOJSZI,O,O,X,O,O,X
TLOJZIS,O,X,X,O,O,X
TLOJZSI,O,X,X,O,O,X
TLOSIJZ,O,X,X,X,O,O
TLOSIZJ,O,O,O,X,O,O
TLOSJIZ,O,X,X,X,O,O
TLOSJZI,O,O,X,O,O,X
TLOSZIJ,O,O,O,O,O,X
TLOSZJI,O,O,O,O,O,X
TLOZIJS,X,X,O,O,O,X
TLOZISJ,X,X,O,O,O,X
TLOZJIS,X,X,O,O,O,X
TLOZJSI,X,X,O,O,O,X
TLOZSIJ,X,O,O,O,O,X
TLOZSJI,X,O,O,O,O,X
TJILSZO,O,O,X,O,X,O
TJILSOZ,O,O,X,O,O,O
TJILZSO,O,O,X,O,O,O
TJILZOS,O,O,X,O,O,O
TJILOSZ,O,O,X,O,O,O
TJILOZS,O,O,X,O,O,O
TJISLZO,O,O,X,O,X,O
TJISLOZ,O,O,X,O,O,O
TJISZLO,O,O,O,O,X,O
TJISZOL,O,O,O,O,X,O
TJISOLZ,O,O,X,O,O,O
TJISOZL,O,O,O,O,X,O
TJIZLSO,O,X,O,O,O,O
TJIZLOS,O,X,O,O,O,O
TJIZSLO,O,O,O,O,O,O
TJIZSOL,O,O,O,O,O,O
TJIZOLS,O,X,O,O,O,O
TJIZOSL,O,O,O,O,O,O
TJIOLSZ,O,O,X,O,O,O
TJIOLZS,O,O,X,O,O,O
TJIOSLZ,O,O,X,O,O,O
TJIOSZL,O,O,O,O,X,O
TJIOZLS,O,X,O,O,O,O
TJIOZSL,O,O,O,O,O,O
TJLISZO,O,O,X,X,X,O
TJLISOZ,O,O,X,X,O,O
TJLIZSO,O,X,X,O,O,O
TJLIZOS,O,X,X,O,O,O
TJLIOSZ,O,O,X,X,O,O
TJLIOZS,O,X,X,O,O,O
TJLSIZO,O,O,X,X,X,O
TJLSIOZ,O,O,X,X,O,O
TJLSZIO,O,O,X,O,O,X
TJLSZOI,O,O,X,O,O,X
TJLSOIZ,O,O,X,X,O,O
TJLSOZI,O,O,X,O,O,X
TJLZISO,X,X,O,O,O,X
TJLZIOS,X,X,O,O,O,X
TJLZSIO,X,O,O,O,O,X
TJLZSOI,X,O,O,O,O,X
TJLZOIS,O,X,O,O,O,X
TJLZOSI,O,O,O,O,O,X
TJLOISZ,O,O,X,X,O,O
TJLOIZS,O,X,X,O,O,O
TJLOSIZ,O,O,X,X,O,O
TJLOSZI,O,O,X,O,O,X
TJLOZIS,O,X,O,O,O,X
TJLOZSI,O,O,O,O,O,X
TJSILZO,O,O,X,X,O,O
TJSILOZ,O,O,X,X,O,O
TJSIZLO,O,O,O,X,O,O
TJSIZOL,O,O,O,X,O,O
TJSIOLZ,O,O,X,X,O,O
TJSIOZL,O,O,O,X,O,O
TJSLIZO,O,O,X,X,O,O
TJSLIOZ,O,O,X,X,O,O
TJSLZIO,O,O,X,O,O,X
TJSLZOI,O,O,X,O,O,X
TJSLOIZ,O,O,X,X,O,O
TJSLOZI,O,O,X,O,O,X
TJSZILO,O,O,O,O,O,O
TJSZIOL,O,O,O,O,O,O
TJSZLIO,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,X
TJSZOIL,O,O,O,O,O,O
TJSZOLI,O,O,O,O,O,X
TJSOILZ,O,O,X,X,O,O
TJSOIZL,O,O,O,X,O,O
TJSOLIZ,O,O,X,X,O,O
TJSOLZI,O,O,X,O,O,X
TJSOZIL,O,O,O,O,O,O
TJSOZLI,O,O,O,O,O,X
TJZILSO,O,X,O,O,O,O
TJZILOS,O,X,O,O,O,O
TJZISLO,O,O,O,O,O,O
TJZISOL,O,O,O,O,O,O
TJZIOLS,O,X,O,O,O,O
TJZIOSL,O,O,O,O,O,O
TJZLISO,X,X,O,O,O,X
TJZLIOS,X,X,O,O,O,X
TJZLSIO,X,O,O,O,O,X
TJZLSOI,X,O,O,O,O,X
TJZLOIS,O,X,O,O,O,X
TJZLOSI,O,O,O,O,O,X
TJZSILO,X,O,O,O,O,O
TJZSIOL,X,O,O,O,O,O
TJZSLIO,X,O,O,O,O,X
TJZSLOI,O,O,O,O,O,X
TJZSOIL,X,O,O,O,O,O
TJZSOLI,O,O,O,O,O,X
TJZOILS,O,X,O,O,O,O
TJZOISL,O,O,O,O,O,O
TJZOLIS,O,X,O,O,O,X
TJZOLSI,O,O,O,O,O,X
TJZOSIL,X,O,O,O,O,O
TJZOSLI,O,O,O,O,O,X
TJOILSZ,O,O,X,O,O,O
TJOILZS,O,O,X,O,O,O
TJOISLZ,O,O,X,O,O,O
TJOISZL,O,O,O,O,X,O
TJOIZLS,O,X,O,O,O,O
TJOIZSL,O,O,O,O,O,O
TJOLISZ,O,O,X,X,O,O
TJOLIZS,O,X,X,O,O,O
TJOLSIZ,O,O,X,X,O,O
TJOLSZI,O,O,X,O,O,X
TJOLZIS,O,X,O,O,O,X
TJOLZSI,O,O,O,O,O,X
TJOSILZ,O,O,X,X,O,O
TJOSIZL,O,O,O,X,O,O
TJOSLIZ,O,O,X,X,O,O
TJOSLZI,O,O,X,O,O,X
TJOSZIL,O,O,O,O,O,O
TJOSZLI,O,O,O,O,O,X
TJOZILS,O,X,O,O,O,O
TJOZISL,O,O,O,O,O,O
TJOZLIS,O,X,O,O,O,X
TJOZLSI,O,O,O,O,O,X
TJOZSIL,X,O,O,O,O,O
TJOZSLI,O,O,O,O,O,X
TSILJZO,O,O,X,O,O,O
TSILJOZ,O,O,X,O,O,O
TSILZJO,O,O,O,O,O,O
TSILZOJ,O,O,O,O,O,O
TSILOJZ,O,O,X,O,O,O
TSILOZJ,O,O,O,O,O,O
TSIJLZO,O,O,X,O,O,O
TSIJLOZ,O,O,X,O,O,O
TSIJZLO,O,O,O,O,O,O
TSIJZOL,O,O,O,O,O,O
TSIJOLZ,O,O,X,O,O,O
TSIJOZL,O,O,O,O,O,O
TSIZLJO,O,O,O,O,O,O
TSIZLOJ,O,O,O,O,O,O
TSIZJLO,O,O,O,O,O,O
TSIZJOL,O,O,O,O,O,O
TSIZOLJ,O,O,O,O,O,O
TSIZOJL,O,O,O,O,O,O
TSIOLJZ,O,O,X,O,O,O
TSIOLZJ,O,O,O,O,O,O
TSIOJLZ,O,O,X,O,O,O
TSIOJZL,O,O,O,O,O,O
TSIOZLJ,O,O,O,O,O,O
TSIOZJL,O,O,O,O,O,O
TSLIJZO,O,X,X,X,O,O
TSLIJOZ,O,X,X,X,O,O
TSLIZJO,O,X,O,X,O,O
TSLIZOJ,O,O,O,X,O,O
TSLIOJZ,O,X,X,X,O,O
TSLIOZJ,O,O,O,X,O,O
TSLJIZO,O,X,X,X,O,O
TSLJIOZ,O,X,X,X,O,O
TSLJZIO,O,X,O,O,O,X
TSLJZOI,O,O,O,O,O,X
TSLJOIZ,O,X,X,X,O,O
TSLJOZI,O,O,O,O,O,X
TSLZIJO,X,X,O,X,O,X
TSLZIOJ,O,O,O,O,O,X
TSLZJIO,X,X,O,O,O,X
TSLZJOI,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,X
TSLZOJI,O,O,O,O,O,X
TSLOIJZ,O,X,X,X,O,O
TSLOIZJ,O,O,O,X,O,O
TSLOJIZ,O,X,X,X,O,O
TSLOJZI,O,O,O,O,O,X
TSLOZIJ,O,O,O,O,O,X
TSLOZJI,O,O,O,O,O,X
TSJILZO,O,O,X,X,O,O
TSJILOZ,O,O,X,X,O,O
TSJIZLO,O,O,O,X,O,O
TSJIZOL,O,O,O,X,O,O
TSJIOLZ,O,O,X,X,O,O
TSJIOZL,O,O,O,X,O,O
TSJLIZO,O,O,X,X,O,O
TSJLIOZ,O,O,X,X,O,O
TSJLZIO,O,O,O,O,O,X
TSJLZOI,O,O,O,O,O,X
TSJLOIZ,O,O,X,X,O,O
TSJLOZI,O,O,O,O,O,X
TSJZILO,O,O,O,O,O,O
TSJZIOL,O,O,O,O,O,O
TSJZLIO,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,X
TSJZOIL,O,O,O,O,O,O
TSJZOLI,O,O,O,O,O,X
TSJOILZ,O,O,X,X,O,O
TSJOIZL,O,O,O,X,O,O
TSJOLIZ,O,O,X,X,O,O
TSJOLZI,O,O,O,O,O,X
TSJOZIL,O,O,O,O,O,O
TSJOZLI,O,O,O,O,O,X
TSZILJO,X,O,O,O,O,O
TSZILOJ,O,O,O,O,O,O
TSZIJLO,X,O,O,O,O,O
TSZIJOL,X,O,O,O,O,O
TSZIOLJ,O,O,O,O,O,O
TSZIOJL,X,O,O,O,O,O
TSZLIJO,X,X,O,X,O,X
TSZLIOJ,O,O,O,O,O,X
TSZLJIO,X,X,O,O,O,X
TSZLJOI,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,O,X
TSZLOJI,O,O,O,O,O,X
TSZJILO,X,X,O,O,O,O
TSZJIOL,X,O,O,O,O,O
TSZJLIO,X,O,O,O,O,X
TSZJLOI,O,O,O,O,O,X
TSZJOIL,X,O,O,O,O,O
TSZJOLI,O,O,O,O,O,X
TSZOILJ,O,O,O,O,O,O
TSZOIJL,X,O,O,O,O,O
TSZOLIJ,O,O,O,O,O,X
TSZOLJI,O,O,O,O,O,X
TSZOJIL,X,O,O,O,O,O
TSZOJLI,O,O,O,O,O,X
TSOILJZ,O,O,X,O,O,O
TSOILZJ,O,O,O,O,O,O
TSOIJLZ,O,O,X,O,O,O
TSOIJZL,O,O,O,O,O,O
TSOIZLJ,O,O,O,O,O,O
TSOIZJL,O,O,O,O,O,O
TSOLIJZ,O,X,X,X,O,O
TSOLIZJ,O,O,O,X,O,O
TSOLJIZ,O,X,X,X,O,O
TSOLJZI,O,O,O,O,O,X
TSOLZIJ,O,O,O,O,O,X
TSOLZJI,O,O,O,O,O,X
TSOJILZ,O,O,X,X,O,O
TSOJIZL,O,O,O,X,O,O
TSOJLIZ,O,O,X,X,O,O
TSOJLZI,O,O,O,O,O,X
TSOJZIL,O,O,O,O,O,O
TSOJZLI,O,O,O,O,O,X
TSOZILJ,O,O,O,O,O,O
TSOZIJL,X,O,O,O,O,O
TSOZLIJ,O,O,O,O,O,X
TSOZLJI,O,O,O,O,O,X
TSOZJIL,X,O,O,O,O,O
TSOZJLI,O,O,O,O,O,X
TZILJSO,X,X,O,O,O,O
TZILJOS,X,X,O,O,O,O
TZILSJO,X,X,O,O,O,O
TZILSOJ,X,X,O,O,O,O
TZILOJS,X,X,O,O,O,O
TZILOSJ,X,X,O,O,O,O
TZIJLSO,X,X,O,O,O,O
TZIJLOS,X,X,O,O,O,O
TZIJSLO,X,X,O,O,O,O
TZIJSOL,X,X,O,O,O,O
TZIJOLS,X,X,O,O,O,O
TZIJOSL,X,X,O,O,O,O
TZISLJO,X,X,O,O,O,O
TZISLOJ,X,X,O,O,O,O
TZISJLO,X,X,O,O,O,O
TZISJOL,X,X,O,O,O,O
TZISOLJ,X,X,O,O,O,O
TZISOJL,X,X,O,O,O,O
TZIOLJS,X,X,O,O,O,O
TZIOLSJ,X,X,O,O,O,O
TZIOJLS,X,X,O,O,O,O
TZIOJSL,X,X,O,O,O,O
TZIOSLJ,X,X,O,O,O,O
TZIOSJL,X,X,O,O,O,O
TZLIJSO,X,X,O,O,O,X
TZLIJOS,X,X,O,O,O,X
TZLISJO,X,X,O,O,O,X
TZLISOJ,X,X,O,O,O,X
TZLIOJS,X,X,O,O,O,X
TZLIOSJ,X,X,O,O,O,X
TZLJISO,X,X,O,O,O,X
TZLJIOS,X,X,O,O,O,X
TZLJSIO,X,X,O,O,O,X
TZLJSOI,X,X,O,O,O,X
TZLJOIS,X,X,O,O,O,X
TZLJOSI,X,X,O,O,O,X
TZLSIJO,X,X,O,X,O,X
TZLSIOJ,X,X,O,O,O,X
TZLSJIO,X,X,O,O,O,X
TZLSJOI,X,X,O,O,O,X
TZLSOIJ,X,X,O,O,O,X
TZLSOJI,X,X,O,O,O,X
TZLOIJS,X,X,O,O,O,X
TZLOISJ,X,X,O,O,O,X
TZLOJIS,X,X,O,O,O,X
TZLOJSI,X,X,O,O,O,X
TZLOSIJ,X,X,O,O,O,X
TZLOSJI,X,X,O,O,O,X
TZJILSO,X,X,O,O,O,O
TZJILOS,X,X,O,O,O,O
TZJISLO,X,X,O,O,O,O
TZJISOL,X,X,O,O,O,O
TZJIOLS,X,X,O,O,O,O
TZJIOSL,X,X,O,O,O,O
TZJLISO,X,X,O,O,O,X
TZJLIOS,X,X,O,O,O,X
TZJLSIO,X,X,O,O,O,X
TZJLSOI,X,X,O,O,O,X
TZJLOIS,X,X,O,O,O,X
TZJLOSI,X,X,O,O,O,X
TZJSILO,X,X,O,O,O,O
TZJSIOL,X,X,O,O,O,O
TZJSLIO,X,X,O,O,O,X
TZJSLOI,X,X,O,O,O,X
TZJSOIL,X,X,O,O,O,O
TZJSOLI,X,X,O,O,O,X
TZJOILS,X,X,O,O,O,O
TZJOISL,X,X,O,O,O,O
TZJOLIS,X,X,O,O,O,X
TZJOLSI,X,X,O,O,O,X
TZJOSIL,X,X,O,O,O,O
TZJOSLI,X,X,O,O,O,X
TZSILJO,X,X,O,O,O,O
TZSILOJ,X,X,O,O,O,O
TZSIJLO,X,X,O,O,O,O
TZSIJOL,X,X,O,O,O,O
TZSIOLJ,X,X,O,O,O,O
TZSIOJL,X,X,O,O,O,O
TZSLIJO,X,X,O,X,O,X
TZSLIOJ,X,X,O,O,O,X
TZSLJIO,X,X,O,O,O,X
TZSLJOI,X,X,O,O,O,X
TZSLOIJ,X,X,O,O,O,X
TZSLOJI,X,X,O,O,O,X
TZSJILO,X,X,O,O,O,O
TZSJIOL,X,X,O,O,O,O
TZSJLIO,X,X,O,O,O,X
TZSJLOI,X,X,O,O,O,X
TZSJOIL,X,X,O,O,O,O
TZSJOLI,X,X,O,O,O,X
TZSOILJ,X,X,O,O,O,O
TZSOIJL,X,X,O,O,O,O
TZSOLIJ,X,X,O,O,O,X
TZSOLJI,X,X,O,O,O,X
TZSOJIL,X,X,O,O,O,O
TZSOJLI,X,X,O,O,O,X
TZOILJS,X,X,O,O,O,O
TZOILSJ,X,X,O,O,O,O
TZOIJLS,X,X,O,O,O,O
TZOIJSL,X,X,O,O,O,O
TZOISLJ,X,X,O,O,O,O
TZOISJL,X,X,O,O,O,O
TZOLIJS,X,X,O,O,O,X
TZOLISJ,X,X,O,O,O,X
TZOLJIS,X,X,O,O,O,X
TZOLJSI,X,X,O,O,O,X
TZOLSIJ,X,X,O,O,O,X
TZOLSJI,X,X,O,O,O,X
TZOJILS,X,X,O,O,O,O
TZOJISL,X,X,O,O,O,O
TZOJLIS,X,X,O,O,O,X
TZOJLSI,X,X,O,O,O,X
TZOJSIL,X,X,O,O,O,O
TZOJSLI,X,X,O,O,O,X
TZOSILJ,X,X,O,O,O,O
TZOSIJL,X,X,O,O,O,O
TZOSLIJ,X,X,O,O,O,X
TZOSLJI,X,X,O,O,O,X
TZOSJIL,X,X,O,O,O,O
TZOSJLI,X,X,O,O,O,X
TOILJSZ,O,O,X,O,X,O
TOILJZS,O,X,X,O,X,O
TOILSJZ,O,O,X,O,X,O
TOILSZJ,O,O,O,O,X,O
TOILZJS,X,X,O,O,X,O
TOILZSJ,X,O,O,O,X,O
TOIJLSZ,O,O,X,O,O,O
TOIJLZS,O,O,X,O,O,O
TOIJSLZ,O,O,X,O,O,O
TOIJSZL,O,O,O,O,X,O
TOIJZLS,O,X,O,O,O,O
TOIJZSL,O,O,O,O,O,O
TOISLJZ,O,O,X,O,O,O
TOISLZJ,O,O,O,O,O,O
TOISJLZ,O,O,X,O,O,O
TOISJZL,O,O,O,O,O,O
TOISZLJ,O,O,O,O,O,O
TOISZJL,O,O,O,O,O,O
TOIZLJS,X,X,O,O,O,O
TOIZLSJ,O,X,O,O,O,O
TOIZJLS,X,X,O,O,O,O
TOIZJSL,O,X,O,O,O,O
TOIZSLJ,O,X,O,O,O,O
TOIZSJL,O,X,O,O,O,O
TOLIJSZ,O,X,X,O,X,O
TOLIJZS,O,X,X,O,X,O
TOLISJZ,O,X,X,O,X,O
TOLISZJ,O,O,O,O,X,O
TOLIZJS,X,X,O,O,X,O
TOLIZSJ,X,X,O,O,X,O
TOLJISZ,O,X,X,X,O,O
TOLJIZS,O,X,X,O,O,O
TOLJSIZ,O,X,X,X,O,O
TOLJSZI,O,O,X,O,O,X
TOLJZIS,O,X,X,O,O,X
TOLJZSI,O,X,X,O,O,X
TOLSIJZ,O,X,X,X,O,O
TOLSIZJ,O,O,O,X,O,O
TOLSJIZ,O,X,X,X,O,O
TOLSJZI,O,O,X,O,O,X
TOLSZIJ,O,O,O,O,O,X
TOLSZJI,O,O,O,O,O,X
TOLZIJS,X,X,O,O,O,X
TOLZISJ,X,X,O,O,O,X
TOLZJIS,X,X,O,O,O,X
TOLZJSI,X,X,O,O,O,X
TOLZSIJ,X,O,O,O,O,X
TOLZSJI,X,O,O,O,O,X
TOJILSZ,O,O,X,O,O,O
TOJILZS,O,O,X,O,O,O
TOJISLZ,O,O,X,O,O,O
TOJISZL,O,O,O,O,X,O
TOJIZLS,O,X,O,O,O,O
TOJIZSL,O,O,O,O,O,O
TOJLISZ,O,O,X,X,O,O
TOJLIZS,O,X,X,O,O,O
TOJLSIZ,O,O,X,X,O,O
TOJLSZI,O,O,X,O,O,X
TOJLZIS,O,X,O,O,O,X
TOJLZSI,O,O,O,O,O,X
TOJSILZ,O,O,X,X,O,O
TOJSIZL,O,O,O,X,O,O
TOJSLIZ,O,O,X,X,O,O
TOJSLZI,O,O,X,O,O,X
TOJSZIL,O,O,O,O,O,O
TOJSZLI,O,O,O,O,O,X
TOJZILS,O,X,O,O,O,O
