sequence,v115@RhB8AeB8DeF8CeB8JeT/IvhFOlBVmBRiBSoB8rB3sB,v115@RhB8AeB8DeF8CeB8JeT/IvhFOlBCjBRmBXoBUsBlrB,v115@RhB8AeB8DeF8CeB8Jex/IvhFXhBliBcoBmkBzmBSxB,v115@RhB8AeB8DeF8CeB8Jex/IvhFXhB8mBqnBTjBmkBVxB,v115@RhB8AeB8DeF8CeB8Jei/IvhFUhBTjBFlBRsBXsBGsB
TILJSZO,X,X,X,O,O
TILJSOZ,X,X,X,O,O
TILJZSO,O,X,X,O,O
TILJZOS,O,X,X,O,O
TILJOSZ,X,X,X,O,O
TILJOZS,O,X,X,O,O
TILSJZO,X,X,X,X,O
TILSJOZ,X,X,X,X,O
TILSZJO,X,X,X,X,O
TILSZOJ,X,X,X,X,O
TILSOJZ,X,X,X,X,O
TILSOZJ,X,X,X,X,O
TILZJSO,O,X,X,O,O
TILZJOS,O,X,X,O,O
TILZSJO,O,X,X,O,O
TILZSOJ,O,X,X,O,O
TILZOJS,O,X,X,O,O
TILZOSJ,O,X,X,O,O
TILOJSZ,X,X,X,O,O
TILOJZS,O,X,X,O,O
TILOSJZ,X,X,X,X,O
TILOSZJ,X,X,X,X,O
TILOZJS,O,X,X,O,O
TILOZSJ,O,X,X,O,O
TIJLSZO,X,X,X,O,O
TIJLSOZ,X,X,X,O,O
TIJLZSO,O,X,X,O,O
TIJLZOS,O,X,X,O,O
TIJLOSZ,X,X,X,O,O
TIJLOZS,O,X,X,O,O
TIJSLZO,O,X,X,O,O
TIJSLOZ,O,O,X,O,O
TIJSZLO,O,X,X,O,O
TIJSZOL,O,X,X,O,O
TIJSOLZ,O,O,X,O,O
TIJSOZL,O,X,X,X,O
TIJZLSO,O,X,X,O,O
TIJZLOS,O,X,X,O,O
TIJZSLO,O,O,X,O,O
TIJZSOL,O,O,X,O,O
TIJZOLS,O,X,X,O,O
TIJZOSL,O,O,X,O,O
TIJOLSZ,X,X,X,O,O
TIJOLZS,O,X,X,O,O
TIJOSLZ,O,O,X,O,O
TIJOSZL,O,X,X,X,O
TIJOZLS,O,X,X,O,O
TIJOZSL,O,O,X,O,O
TISLJZO,O,X,X,X,O
TISLJOZ,O,O,X,X,O
TISLZJO,O,X,X,X,O
TISLZOJ,O,X,X,X,O
TISLOJZ,O,O,X,X,O
TISLOZJ,O,X,X,X,O
TISJLZO,O,X,X,X,O
TISJLOZ,O,O,X,X,O
TISJZLO,O,X,X,X,O
TISJZOL,O,X,X,X,O
TISJOLZ,O,O,X,X,O
TISJOZL,O,X,X,X,O
TISZLJO,O,X,X,X,O
TISZLOJ,O,X,X,X,O
TISZJLO,O,X,X,X,O
TISZJOL,O,X,X,X,O
TISZOLJ,O,X,X,X,O
TISZOJL,O,X,X,X,O
TISOLJZ,O,O,X,X,O
TISOLZJ,O,X,X,X,O
TISOJLZ,O,O,X,X,O
TISOJZL,O,X,X,X,O
TISOZLJ,O,X,X,X,O
TISOZJL,O,X,X,X,O
TIZLJSO,O,X,X,O,O
TIZLJOS,O,X,X,O,O
TIZLSJO,O,X,X,O,O
TIZLSOJ,O,X,X,O,O
TIZLOJS,O,X,X,O,O
TIZLOSJ,O,X,X,O,O
TIZJLSO,O,X,X,O,O
TIZJLOS,O,X,X,O,O
TIZJSLO,O,O,X,O,O
TIZJSOL,O,O,X,O,O
TIZJOLS,O,X,X,O,O
TIZJOSL,O,O,X,O,O
TIZSLJO,O,O,X,O,O
TIZSLOJ,O,O,X,O,O
TIZSJLO,O,O,X,O,O
TIZSJOL,O,O,X,O,O
TIZSOLJ,O,O,X,O,O
TIZSOJL,O,O,X,X,O
TIZOLJS,O,X,X,X,O
TIZOLSJ,O,X,X,X,O
TIZOJLS,O,X,X,X,O
TIZOJSL,O,O,X,X,O
TIZOSLJ,O,O,X,X,O
TIZOSJL,O,O,X,X,O
TIOLJSZ,X,X,X,O,O
TIOLJZS,O,X,X,O,O
TIOLSJZ,X,X,X,X,O
TIOLSZJ,X,X,X,X,O
TIOLZJS,O,X,X,O,O
TIOLZSJ,O,X,X,O,O
TIOJLSZ,X,X,X,O,O
TIOJLZS,O,X,X,O,O
TIOJSLZ,O,O,X,O,O
TIOJSZL,O,X,X,X,O
TIOJZLS,O,X,X,O,O
TIOJZSL,O,O,X,X,O
TIOSLJZ,O,O,X,X,O
TIOSLZJ,O,X,X,X,O
TIOSJLZ,O,O,X,X,O
TIOSJZL,O,X,X,X,O
TIOSZLJ,O,X,X,X,O
TIOSZJL,O,X,X,X,O
TIOZLJS,O,X,X,X,O
TIOZLSJ,O,X,X,X,O
TIOZJLS,O,X,X,X,O
TIOZJSL,O,O,X,X,O
TIOZSLJ,O,O,X,X,O
TIOZSJL,O,O,X,X,O
TLIJSZO,X,X,X,O,O
TLIJSOZ,X,X,X,O,O
TLIJZSO,O,X,X,O,O
TLIJZOS,O,X,X,O,O
TLIJOSZ,X,X,X,O,O
TLIJOZS,O,X,X,O,O
TLISJZO,X,X,X,X,O
TLISJOZ,X,X,X,X,O
TLISZJO,X,X,X,X,O
TLISZOJ,X,X,X,X,O
TLISOJZ,X,X,X,X,O
TLISOZJ,X,X,X,X,O
TLIZJSO,O,X,X,O,O
TLIZJOS,O,X,X,O,O
TLIZSJO,O,X,X,O,O
TLIZSOJ,O,X,X,O,O
TLIZOJS,O,X,X,O,O
TLIZOSJ,O,X,X,O,O
TLIOJSZ,X,X,X,O,O
TLIOJZS,O,X,X,O,O
TLIOSJZ,X,X,X,X,O
TLIOSZJ,X,X,X,X,O
TLIOZJS,O,X,X,O,O
TLIOZSJ,O,X,X,O,O
TLJISZO,X,X,O,O,O
TLJISOZ,X,X,X,O,O
TLJIZSO,O,X,O,O,O
TLJIZOS,O,X,O,O,O
TLJIOSZ,X,X,O,O,O
TLJIOZS,O,X,O,O,O
TLJSIZO,O,X,O,O,X
TLJSIOZ,O,X,X,O,X
TLJSZIO,O,X,O,O,X
TLJSZOI,O,X,O,O,X
TLJSOIZ,O,X,X,O,X
TLJSOZI,O,X,X,O,X
TLJZISO,O,X,O,O,O
TLJZIOS,O,X,O,O,O
TLJZSIO,O,X,O,O,X
TLJZSOI,O,X,O,O,X
TLJZOIS,O,X,O,O,O
TLJZOSI,O,X,O,O,X
