sequence,v115@AhB8GeC8HeB8IeE8KeNEJvhFumBaoB5oBTnB3pBUqB,v115@AhB8GeC8HeB8IeE8KeNEJvhFumBaoB5oBTnBUqB3pB,v115@AhB8GeC8HeB8IeE8KeNEJvhFqmBTiBeoB5oBUqB3pB,v115@AhB8GeC8HeB8IeE8KeNEJvhFqmBTiBeoB5oB3pBUqB
ILTJOZS,X,X,O,X
ILTSJZO,X,X,X,O
ILTSJOZ,O,X,X,O
ILTSZJO,X,X,X,O
ILTSZOJ,O,X,X,X
ILTSOJZ,O,X,X,O
ILTSOZJ,O,X,X,X
ILTZJSO,X,X,O,X
ILTZJOS,X,O,O,X
ILTZSJO,X,X,O,X
ILTZSOJ,X,O,X,X
ILTZOJS,X,O,O,X
ILTZOSJ,X,O,X,X
ILTOJSZ,O,X,X,X
ILTOJZS,X,O,X,X
ILTOSJZ,O,X,X,X
ILTOSZJ,O,X,X,X
ILTOZJS,X,O,X,X
ILTOZSJ,X,O,X,X
ILJTSZO,X,X,X,O
ILJTSOZ,X,X,X,O
ILJTZSO,X,X,O,X
ILJTZOS,X,X,O,X
ILJTOSZ,X,X,X,O
ILJTOZS,X,X,O,X
ILJSTZO,X,X,X,O
ILJSTOZ,O,X,X,O
ILJSZTO,X,X,O,O
ILJSZOT,X,X,O,O
ILJSOTZ,O,X,X,O
ILJSOZT,O,X,O,O
ILJZTSO,X,X,O,X
ILJZTOS,X,O,O,X
ILJZSTO,X,X,O,O
ILJZSOT,X,X,O,O
ILJZOTS,X,O,O,X
ILJZOST,X,O,O,O
ILJOTSZ,O,X,X,O
ILJOTZS,X,O,O,X
ILJOSTZ,O,X,X,O
ILJOSZT,O,O,O,O
ILJOZTS,X,O,O,X
ILJOZST,O,O,O,O
ILSTJZO,X,X,X,O
ILSTJOZ,O,X,X,O
ILSTZJO,X,X,X,O
ILSTZOJ,O,X,X,X
ILSTOJZ,O,X,X,O
ILSTOZJ,O,X,X,X
ILSJTZO,X,X,X,O
ILSJTOZ,O,X,X,O
ILSJZTO,X,X,O,O
ILSJZOT,X,X,O,O
ILSJOTZ,O,X,X,O
ILSJOZT,O,X,O,O
ILSZTJO,X,X,O,O
ILSZTOJ,O,O,X,X
ILSZJTO,X,X,O,O
ILSZJOT,X,X,O,O
ILSZOTJ,O,O,X,X
ILSZOJT,O,O,X,X
ILSOTJZ,O,X,X,O
ILSOTZJ,O,X,X,X
ILSOJTZ,O,X,X,O
ILSOJZT,O,O,X,O
ILSOZTJ,O,O,X,X
ILSOZJT,O,O,X,X
ILZTJSO,X,X,O,X
ILZTJOS,X,O,O,X
ILZTSJO,X,X,O,X
ILZTSOJ,X,O,X,X
ILZTOJS,X,O,O,X
ILZTOSJ,X,O,X,X
ILZJTSO,X,X,O,X
ILZJTOS,X,O,O,X
ILZJSTO,X,X,O,O
ILZJSOT,X,X,O,O
ILZJOTS,X,O,O,X
ILZJOST,X,O,O,O
ILZSTJO,X,X,O,O
ILZSTOJ,O,O,X,X
ILZSJTO,X,X,O,O
ILZSJOT,X,X,O,O
ILZSOTJ,O,O,X,X
ILZSOJT,O,O,X,X
ILZOTJS,X,O,O,X
ILZOTSJ,X,O,X,X
ILZOJTS,X,O,O,X
ILZOJST,O,O,O,X
ILZOSTJ,O,O,X,X
ILZOSJT,O,O,X,X
ILOTJSZ,O,X,X,X
ILOTJZS,X,O,X,X
ILOTSJZ,O,X,X,X
ILOTSZJ,O,X,X,X
ILOTZJS,X,O,X,X
ILOTZSJ,X,O,X,X
ILOJTSZ,O,X,X,O
ILOJTZS,X,O,O,X
ILOJSTZ,O,X,X,O
ILOJSZT,O,O,O,O
ILOJZTS,X,O,O,X
ILOJZST,O,O,O,O
ILOSTJZ,O,X,X,O
ILOSTZJ,O,X,X,X
ILOSJTZ,O,X,X,O
ILOSJZT,O,O,X,O
ILOSZTJ,O,O,X,X
ILOSZJT,O,O,X,X
ILOZTJS,X,O,O,X
ILOZTSJ,X,O,X,X
ILOZJTS,X,O,O,X
ILOZJST,O,O,O,X
ILOZSTJ,O,O,X,X
ILOZSJT,O,O,X,X
IJTLSZO,X,X,X,O
IJTLSOZ,X,X,X,O
IJTLZSO,X,X,O,X
IJTLZOS,X,X,O,X
IJTLOSZ,X,X,X,O
IJTLOZS,X,X,O,X
IJTSLZO,X,X,X,O
IJTSLOZ,O,X,X,O
IJTSZLO,X,X,X,O
IJTSZOL,O,X,X,X
IJTSOLZ,O,X,X,O
IJTSOZL,O,X,X,X
IJTZLSO,X,X,O,X
IJTZLOS,X,O,O,X
IJTZSLO,X,X,O,X
IJTZSOL,X,O,X,X
IJTZOLS,X,O,O,X
IJTZOSL,X,O,X,X
IJTOLSZ,O,X,X,X
IJTOLZS,X,O,X,X
IJTOSLZ,O,X,X,X
IJTOSZL,O,X,X,X
IJTOZLS,X,O,X,X
IJTOZSL,X,O,X,X
IJLTSZO,X,X,X,O
IJLTSOZ,X,X,X,O
IJLTZSO,X,X,O,X
IJLTZOS,X,X,O,X
IJLTOSZ,X,X,X,O
IJLTOZS,X,X,O,X
IJLSTZO,X,X,X,O
IJLSTOZ,O,X,X,O
IJLSZTO,X,X,O,O
IJLSZOT,X,X,O,O
IJLSOTZ,O,X,X,O
IJLSOZT,O,X,O,O
IJLZTSO,X,X,O,X
IJLZTOS,X,O,O,X
IJLZSTO,X,X,O,O
IJLZSOT,X,X,O,O
IJLZOTS,X,O,O,X
IJLZOST,X,O,O,O
IJLOTSZ,O,X,X,O
IJLOTZS,X,O,O,X
IJLOSTZ,O,X,X,O
IJLOSZT,O,O,O,O
IJLOZTS,X,O,O,X
IJLOZST,O,O,O,O
IJSTLZO,X,X,X,O
IJSTLOZ,O,X,X,O
IJSTZLO,X,X,X,O
IJSTZOL,O,X,X,X
IJSTOLZ,O,X,X,O
IJSTOZL,O,X,X,X
IJSLTZO,X,X,X,O
IJSLTOZ,O,X,X,O
IJSLZTO,X,X,O,O
IJSLZOT,X,X,O,O
IJSLOTZ,O,X,X,O
IJSLOZT,O,X,O,O
IJSZTLO,X,X,O,O
IJSZTOL,O,O,X,X
IJSZLTO,X,X,O,O
IJSZLOT,X,X,O,O
IJSZOTL,O,O,X,X
IJSZOLT,O,O,X,X
IJSOTLZ,O,X,X,O
IJSOTZL,O,X,X,X
IJSOLTZ,O,X,X,O
IJSOLZT,O,O,X,O
IJSOZTL,O,O,X,X
IJSOZLT,O,O,X,X
IJZTLSO,X,X,O,X
IJZTLOS,X,O,O,X
IJZTSLO,X,X,O,X
IJZTSOL,X,O,X,X
IJZTOLS,X,O,O,X
IJZTOSL,X,O,X,X
IJZLTSO,X,X,O,X
IJZLTOS,X,O,O,X
IJZLSTO,X,X,O,O
IJZLSOT,X,X,O,O
IJZLOTS,X,O,O,X
IJZLOST,X,O,O,O
IJZSTLO,X,X,O,O
IJZSTOL,O,O,X,X
IJZSLTO,X,X,O,O
IJZSLOT,X,X,O,O
IJZSOTL,O,O,X,X
IJZSOLT,O,O,X,X
IJZOTLS,X,O,O,X
IJZOTSL,X,O,X,X
IJZOLTS,X,O,O,X
IJZOLST,O,O,O,X
IJZOSTL,O,O,X,X
IJZOSLT,O,O,X,X
IJOTLSZ,O,X,X,X
IJOTLZS,X,O,X,X
IJOTSLZ,O,X,X,X
IJOTSZL,O,X,X,X
IJOTZLS,X,O,X,X
IJOTZSL,X,O,X,X
IJOLTSZ,O,X,X,O
IJOLTZS,X,O,O,X
IJOLSTZ,O,X,X,O
IJOLSZT,O,O,O,O
IJOLZTS,X,O,O,X
IJOLZST,O,O,O,O
IJOSTLZ,O,X,X,O
IJOSTZL,O,X,X,X
IJOSLTZ,O,X,X,O
IJOSLZT,O,O,X,O
IJOSZTL,O,O,X,X
IJOSZLT,O,O,X,X
IJOZTLS,X,O,O,X
IJOZTSL,X,O,X,X
IJOZLTS,X,O,O,X
IJOZLST,O,O,O,X
IJOZSTL,O,O,X,X
IJOZSLT,O,O,X,X
ISTLJZO,X,X,X,O
ISTLJOZ,O,X,X,O
ISTLZJO,X,X,X,O
ISTLZOJ,O,X,X,X
ISTLOJZ,O,X,X,O
ISTLOZJ,O,X,X,X
ISTJLZO,X,X,X,O
ISTJLOZ,O,X,X,O
ISTJZLO,X,X,X,O
ISTJZOL,O,X,X,X
ISTJOLZ,O,X,X,O
ISTJOZL,O,X,X,X
ISTZLJO,X,X,X,O
ISTZLOJ,O,X,X,X
ISTZJLO,X,X,X,O
ISTZJOL,O,X,X,X
ISTZOLJ,O,X,X,X
ISTZOJL,O,X,X,X
ISTOLJZ,O,X,X,O
ISTOLZJ,O,X,X,X
ISTOJLZ,O,X,X,O
ISTOJZL,O,X,X,X
ISTOZLJ,O,X,X,X
ISTOZJL,O,X,X,X
ISLTJZO,X,X,X,O
ISLTJOZ,O,X,X,O
ISLTZJO,X,X,X,O
ISLTZOJ,O,X,X,X
ISLTOJZ,O,X,X,O
ISLTOZJ,O,X,X,X
ISLJTZO,X,X,X,O
ISLJTOZ,O,X,X,O
ISLJZTO,X,X,O,O
ISLJZOT,X,X,O,O
ISLJOTZ,O,X,X,O
ISLJOZT,O,X,O,O
ISLZTJO,X,X,O,O
ISLZTOJ,O,O,X,X
ISLZJTO,X,X,O,O
ISLZJOT,X,X,O,O
ISLZOTJ,O,O,X,X
ISLZOJT,O,O,X,X
ISLOTJZ,O,X,X,O
ISLOTZJ,O,X,X,X
ISLOJTZ,O,X,X,O
ISLOJZT,O,O,X,O
ISLOZTJ,O,O,X,X
ISLOZJT,O,O,X,X
ISJTLZO,X,X,X,O
ISJTLOZ,O,X,X,O
ISJTZLO,X,X,X,O
ISJTZOL,O,X,X,X
ISJTOLZ,O,X,X,O
ISJTOZL,O,X,X,X
ISJLTZO,X,X,X,O
ISJLTOZ,O,X,X,O
ISJLZTO,X,X,O,O
ISJLZOT,X,X,O,O
ISJLOTZ,O,X,X,O
ISJLOZT,O,X,O,O
ISJZTLO,X,X,O,O
ISJZTOL,O,O,X,X
ISJZLTO,X,X,O,O
ISJZLOT,X,X,O,O
ISJZOTL,O,O,X,X
ISJZOLT,O,O,X,X
ISJOTLZ,O,X,X,O
ISJOTZL,O,X,X,X
ISJOLTZ,O,X,X,O
ISJOLZT,O,O,X,O
ISJOZTL,O,O,X,X
ISJOZLT,O,O,X,X
ISZTLJO,X,X,O,O
ISZTLOJ,O,O,X,X
ISZTJLO,X,X,O,O
ISZTJOL,O,O,X,X
ISZTOLJ,O,O,X,X
ISZTOJL,O,O,X,X
ISZLTJO,X,X,O,O
ISZLTOJ,O,O,X,X
ISZLJTO,X,X,O,O
ISZLJOT,X,X,O,O
ISZLOTJ,O,O,X,X
ISZLOJT,O,O,X,X
ISZJTLO,X,X,O,O
ISZJTOL,O,O,X,X
ISZJLTO,X,X,O,O
ISZJLOT,X,X,O,O
ISZJOTL,O,O,X,X
ISZJOLT,O,O,X,X
ISZOTLJ,O,O,X,X
ISZOTJL,O,O,X,X
ISZOLTJ,O,O,X,X
ISZOLJT,O,O,X,X
ISZOJTL,O,O,X,X
ISZOJLT,O,O,X,X
ISOTLJZ,O,X,X,O
ISOTLZJ,O,X,X,X
ISOTJLZ,O,X,X,O
ISOTJZL,O,X,X,X
ISOTZLJ,O,X,X,X
ISOTZJL,O,X,X,X
ISOLTJZ,O,X,X,O
ISOLTZJ,O,X,X,X
ISOLJTZ,O,X,X,O
ISOLJZT,O,O,X,O
ISOLZTJ,O,O,X,X
ISOLZJT,O,O,X,X
ISOJTLZ,O,X,X,O
ISOJTZL,O,X,X,X
ISOJLTZ,O,X,X,O
ISOJLZT,O,O,X,O
ISOJZTL,O,O,X,X
ISOJZLT,O,O,X,X
ISOZTLJ,O,O,X,X
ISOZTJL,O,O,X,X
ISOZLTJ,O,O,X,X
ISOZLJT,O,O,X,X
ISOZJTL,O,O,X,X
ISOZJLT,O,O,X,X
IZTLJSO,X,X,O,X
IZTLJOS,X,O,O,X
IZTLSJO,X,X,O,X
IZTLSOJ,X,O,X,X
IZTLOJS,X,O,O,X
IZTLOSJ,X,O,X,X
IZTJLSO,X,X,O,X
IZTJLOS,X,O,O,X
IZTJSLO,X,X,O,X
IZTJSOL,X,O,X,X
IZTJOLS,X,O,O,X
IZTJOSL,X,O,X,X
IZTSLJO,X,X,O,X
IZTSLOJ,X,O,X,X
IZTSJLO,X,X,O,X
IZTSJOL,X,O,X,X
IZTSOLJ,X,O,X,X
IZTSOJL,X,O,X,X
IZTOLJS,X,O,O,X
IZTOLSJ,X,O,X,X
IZTOJLS,X,O,O,X
IZTOJSL,X,O,X,X
IZTOSLJ,X,O,X,X
IZTOSJL,X,O,X,X
IZLTJSO,X,X,O,X
IZLTJOS,X,O,O,X
IZLTSJO,X,X,O,X
IZLTSOJ,X,O,X,X
IZLTOJS,X,O,O,X
IZLTOSJ,X,O,X,X
IZLJTSO,X,X,O,X
IZLJTOS,X,O,O,X
IZLJSTO,X,X,O,O
IZLJSOT,X,X,O,O
IZLJOTS,X,O,O,X
IZLJOST,X,O,O,O
IZLSTJO,X,X,O,O
IZLSTOJ,O,O,X,X
IZLSJTO,X,X,O,O
IZLSJOT,X,X,O,O
IZLSOTJ,O,O,X,X
IZLSOJT,O,O,X,X
IZLOTJS,X,O,O,X
IZLOTSJ,X,O,X,X
IZLOJTS,X,O,O,X
IZLOJST,O,O,O,X
IZLOSTJ,O,O,X,X
IZLOSJT,O,O,X,X
IZJTLSO,X,X,O,X
IZJTLOS,X,O,O,X
IZJTSLO,X,X,O,X
IZJTSOL,X,O,X,X
IZJTOLS,X,O,O,X
IZJTOSL,X,O,X,X
IZJLTSO,X,X,O,X
IZJLTOS,X,O,O,X
IZJLSTO,X,X,O,O
IZJLSOT,X,X,O,O
IZJLOTS,X,O,O,X
IZJLOST,X,O,O,O
IZJSTLO,X,X,O,O
IZJSTOL,O,O,X,X
IZJSLTO,X,X,O,O
IZJSLOT,X,X,O,O
IZJSOTL,O,O,X,X
IZJSOLT,O,O,X,X
IZJOTLS,X,O,O,X
IZJOTSL,X,O,X,X
IZJOLTS,X,O,O,X
IZJOLST,O,O,O,X
IZJOSTL,O,O,X,X
IZJOSLT,O,O,X,X
IZSTLJO,X,X,O,O
IZSTLOJ,O,O,X,X
IZSTJLO,X,X,O,O
IZSTJOL,O,O,X,X
IZSTOLJ,O,O,X,X
IZSTOJL,O,O,X,X
IZSLTJO,X,X,O,O
IZSLTOJ,O,O,X,X
IZSLJTO,X,X,O,O
IZSLJOT,X,X,O,O
IZSLOTJ,O,O,X,X
IZSLOJT,O,O,X,X
IZSJTLO,X,X,O,O
IZSJTOL,O,O,X,X
IZSJLTO,X,X,O,O
IZSJLOT,X,X,O,O
IZSJOTL,O,O,X,X
IZSJOLT,O,O,X,X
IZSOTLJ,O,O,X,X
IZSOTJL,O,O,X,X
IZSOLTJ,O,O,X,X
IZSOLJT,O,O,X,X
IZSOJTL,O,O,X,X
IZSOJLT,O,O,X,X
IZOTLJS,X,O,O,X
IZOTLSJ,X,O,X,X
IZOTJLS,X,O,O,X
IZOTJSL,X,O,X,X
IZOTSLJ,X,O,X,X
IZOTSJL,X,O,X,X
IZOLTJS,X,O,O,X
IZOLTSJ,X,O,X,X
IZOLJTS,X,O,O,X
IZOLJST,O,O,O,X
IZOLSTJ,O,O,X,X
IZOLSJT,O,O,X,X
IZOJTLS,X,O,O,X
IZOJTSL,X,O,X,X
IZOJLTS,X,O,O,X
IZOJLST,O,O,O,X
IZOJSTL,O,O,X,X
IZOJSLT,O,O,X,X
IZOSTLJ,O,O,X,X
IZOSTJL,O,O,X,X
IZOSLTJ,O,O,X,X
IZOSLJT,O,O,X,X
IZOSJTL,O,O,X,X
IZOSJLT,O,O,X,X
IOTLJSZ,O,X,X,X
IOTLJZS,X,O,X,X
IOTLSJZ,O,X,X,X
IOTLSZJ,O,X,X,X
IOTLZJS,X,O,X,X
IOTLZSJ,X,O,X,X
IOTJLSZ,O,X,X,X
IOTJLZS,X,O,X,X
IOTJSLZ,O,X,X,X
IOTJSZL,O,X,X,X
IOTJZLS,X,O,X,X
IOTJZSL,X,O,X,X
IOTSLJZ,O,X,X,X
IOTSLZJ,O,X,X,X
IOTSJLZ,O,X,X,X
IOTSJZL,O,X,X,X
IOTSZLJ,O,X,X,X
IOTSZJL,O,X,X,X
IOTZLJS,X,O,X,X
IOTZLSJ,X,O,X,X
IOTZJLS,X,O,X,X
IOTZJSL,X,O,X,X
IOTZSLJ,X,O,X,X
IOTZSJL,X,O,X,X
IOLTJSZ,O,X,X,X
IOLTJZS,X,O,X,X
IOLTSJZ,O,X,X,X
IOLTSZJ,O,X,X,X
IOLTZJS,X,O,X,X
IOLTZSJ,X,O,X,X
IOLJTSZ,O,X,X,O
IOLJTZS,X,O,O,X
IOLJSTZ,O,X,X,O
IOLJSZT,O,O,O,O
IOLJZTS,X,O,O,X
IOLJZST,O,O,O,O
IOLSTJZ,O,X,X,O
IOLSTZJ,O,X,X,X
IOLSJTZ,O,X,X,O
IOLSJZT,O,O,X,O
IOLSZTJ,O,O,X,X
IOLSZJT,O,O,X,X
IOLZTJS,X,O,O,X
IOLZTSJ,X,O,X,X
IOLZJTS,X,O,O,X
IOLZJST,O,O,O,X
IOLZSTJ,O,O,X,X
IOLZSJT,O,O,X,X
IOJTLSZ,O,X,X,X
IOJTLZS,X,O,X,X
IOJTSLZ,O,X,X,X
IOJTSZL,O,X,X,X
IOJTZLS,X,O,X,X
IOJTZSL,X,O,X,X
IOJLTSZ,O,X,X,O
IOJLTZS,X,O,O,X
IOJLSTZ,O,X,X,O
IOJLSZT,O,O,O,O
IOJLZTS,X,O,O,X
IOJLZST,O,O,O,O
IOJSTLZ,O,X,X,O
IOJSTZL,O,X,X,X
IOJSLTZ,O,X,X,O
IOJSLZT,O,O,X,O
IOJSZTL,O,O,X,X
IOJSZLT,O,O,X,X
IOJZTLS,X,O,O,X
IOJZTSL,X,O,X,X
IOJZLTS,X,O,O,X
IOJZLST,O,O,O,X
IOJZSTL,O,O,X,X
IOJZSLT,O,O,X,X
IOSTLJZ,O,X,X,O
IOSTLZJ,O,X,X,X
IOSTJLZ,O,X,X,O
IOSTJZL,O,X,X,X
IOSTZLJ,O,X,X,X
IOSTZJL,O,X,X,X
IOSLTJZ,O,X,X,O
IOSLTZJ,O,X,X,X
IOSLJTZ,O,X,X,O
IOSLJZT,O,O,X,O
IOSLZTJ,O,O,X,X
IOSLZJT,O,O,X,X
IOSJTLZ,O,X,X,O
IOSJTZL,O,X,X,X
IOSJLTZ,O,X,X,O
IOSJLZT,O,O,X,O
IOSJZTL,O,O,X,X
IOSJZLT,O,O,X,X
IOSZTLJ,O,O,X,X
IOSZTJL,O,O,X,X
IOSZLTJ,O,O,X,X
IOSZLJT,O,O,X,X
IOSZJTL,O,O,X,X
IOSZJLT,O,O,X,X
IOZTLJS,X,O,O,X
IOZTLSJ,X,O,X,X
IOZTJLS,X,O,O,X
IOZTJSL,X,O,X,X
IOZTSLJ,X,O,X,X
IOZTSJL,X,O,X,X
IOZLTJS,X,O,O,X
IOZLTSJ,X,O,X,X
IOZLJTS,X,O,O,X
IOZLJST,O,O,O,X
IOZLSTJ,O,O,X,X
IOZLSJT,O,O,X,X
IOZJTLS,X,O,O,X
IOZJTSL,X,O,X,X
IOZJLTS,X,O,O,X
IOZJLST,O,O,O,X
IOZJSTL,O,O,X,X
IOZJSLT,O,O,X,X
IOZSTLJ,O,O,X,X
IOZSTJL,O,O,X,X
IOZSLTJ,O,O,X,X
IOZSLJT,O,O,X,X
IOZSJTL,O,O,X,X
IOZSJLT,O,O,X,X
LTIJSZO,X,X,X,O
LTIJSOZ,X,X,X,O
LTIJZSO,X,X,O,X
LTIJZOS,X,X,O,X
LTIJOSZ,X,X,X,O
LTIJOZS,X,X,O,X
LTISJZO,X,X,X,O
LTISJOZ,O,X,X,O
LTISZJO,X,X,X,O
LTISZOJ,O,X,X,X
LTISOJZ,O,X,X,O
LTISOZJ,O,X,X,X
LTIZJSO,X,X,O,X
LTIZJOS,X,O,O,X
LTIZSJO,X,X,O,X
LTIZSOJ,X,O,X,X
LTIZOJS,X,O,O,X
LTIZOSJ,X,O,X,X
LTIOJSZ,O,X,X,X
LTIOJZS,X,O,X,X
LTIOSJZ,O,X,X,X
LTIOSZJ,O,X,X,X
LTIOZJS,X,O,X,X
LTIOZSJ,X,O,X,X
LTJISZO,X,X,X,O
LTJISOZ,X,X,X,O
LTJIZSO,X,X,O,X
LTJIZOS,X,X,O,X
LTJIOSZ,X,X,X,O
LTJIOZS,X,X,O,X
LTJSIZO,X,X,X,O
LTJSIOZ,X,X,X,O
LTJSZIO,X,X,X,O
LTJSZOI,X,X,X,O
LTJSOIZ,X,X,X,O
LTJSOZI,X,X,X,O
LTJZISO,X,X,O,X
LTJZIOS,X,X,O,X
LTJZSIO,X,X,O,X
LTJZSOI,X,X,O,X
LTJZOIS,X,X,O,X
LTJZOSI,X,X,O,X
LTJOISZ,X,X,X,O
LTJOIZS,X,X,O,X
LTJOSIZ,X,X,X,O
LTJOSZI,X,X,X,O
LTJOZIS,X,X,O,X
LTJOZSI,X,X,O,X
LTSIJZO,X,X,X,O
LTSIJOZ,O,X,X,O
LTSIZJO,X,X,X,O
LTSIZOJ,O,X,X,X
LTSIOJZ,O,X,X,O
LTSIOZJ,O,X,X,X
LTSJIZO,X,X,X,O
LTSJIOZ,O,X,X,O
LTSJZIO,X,X,X,O
LTSJZOI,X,X,X,O
LTSJOIZ,O,X,X,O
LTSJOZI,O,X,X,O
LTSZIJO,X,X,X,O
LTSZIOJ,O,X,X,X
LTSZJIO,X,X,X,O
LTSZJOI,X,X,X,O
LTSZOIJ,O,X,X,X
LTSZOJI,O,X,X,O
LTSOIJZ,O,X,X,O
LTSOIZJ,O,X,X,X
LTSOJIZ,O,X,X,O
LTSOJZI,O,X,X,O
LTSOZIJ,O,X,X,X
LTSOZJI,O,X,X,O
LTZIJSO,X,X,O,X
LTZIJOS,X,O,O,X
LTZISJO,X,X,O,X
LTZISOJ,X,O,X,X
LTZIOJS,X,O,O,X
LTZIOSJ,X,O,X,X
LTZJISO,X,X,O,X
LTZJIOS,X,O,O,X
LTZJSIO,X,X,O,X
LTZJSOI,X,X,O,X
LTZJOIS,X,O,O,X
LTZJOSI,X,O,O,X
LTZSIJO,X,X,O,X
LTZSIOJ,X,O,X,X
LTZSJIO,X,X,O,X
LTZSJOI,X,X,O,X
LTZSOIJ,X,O,X,X
LTZSOJI,X,O,O,X
LTZOIJS,X,O,O,X
LTZOISJ,X,O,X,X
LTZOJIS,X,O,O,X
LTZOJSI,X,O,O,X
LTZOSIJ,X,O,X,X
LTZOSJI,X,O,O,X
LTOIJSZ,O,X,X,X
LTOIJZS,X,O,X,X
LTOISJZ,O,X,X,X
LTOISZJ,O,X,X,X
LTOIZJS,X,O,X,X
LTOIZSJ,X,O,X,X
LTOJISZ,O,X,X,O
LTOJIZS,X,O,O,X
LTOJSIZ,O,X,X,O
LTOJSZI,O,X,X,O
LTOJZIS,X,O,O,X
LTOJZSI,X,O,O,X
LTOSIJZ,O,X,X,O
LTOSIZJ,O,X,X,X
LTOSJIZ,O,X,X,O
LTOSJZI,O,X,X,O
LTOSZIJ,O,X,X,X
LTOSZJI,O,X,X,O
LTOZIJS,X,O,O,X
LTOZISJ,X,O,X,X
LTOZJIS,X,O,O,X
LTOZJSI,X,O,O,X
LTOZSIJ,X,O,X,X
LTOZSJI,X,O,O,X
LITJSZO,X,X,X,O
LITJSOZ,X,X,X,O
LITJZSO,X,X,O,X
LITJZOS,X,X,O,X
LITJOSZ,X,X,X,O
LITJOZS,X,X,O,X
LITSJZO,X,X,X,O
LITSJOZ,O,X,X,O
LITSZJO,X,X,X,O
LITSZOJ,O,X,X,X
LITSOJZ,O,X,X,O
LITSOZJ,O,X,X,X
LITZJSO,X,X,O,X
LITZJOS,X,O,O,X
LITZSJO,X,X,O,X
LITZSOJ,X,O,X,X
LITZOJS,X,O,O,X
LITZOSJ,X,O,X,X
LITOJSZ,O,X,X,X
LITOJZS,X,O,X,X
LITOSJZ,O,X,X,X
LITOSZJ,O,X,X,X
LITOZJS,X,O,X,X
LITOZSJ,X,O,X,X
LIJTSZO,X,X,X,O
LIJTSOZ,X,X,X,O
LIJTZSO,X,X,O,X
LIJTZOS,X,X,O,X
LIJTOSZ,X,X,X,O
LIJTOZS,X,X,O,X
LIJSTZO,X,X,X,O
LIJSTOZ,O,X,X,O
LIJSZTO,X,X,O,O
LIJSZOT,X,X,O,O
LIJSOTZ,O,X,X,O
LIJSOZT,O,X,O,O
LIJZTSO,X,X,O,X
LIJZTOS,X,O,O,X
LIJZSTO,X,X,O,O
LIJZSOT,X,X,O,O
LIJZOTS,X,O,O,X
LIJZOST,X,O,O,O
LIJOTSZ,O,X,X,O
LIJOTZS,X,O,O,X
LIJOSTZ,O,X,X,O
LIJOSZT,O,O,O,O
LIJOZTS,X,O,O,X
LIJOZST,O,O,O,O
LISTJZO,X,X,X,O
LISTJOZ,O,X,X,O
LISTZJO,X,X,X,O
LISTZOJ,O,X,X,X
LISTOJZ,O,X,X,O
LISTOZJ,O,X,X,X
LISJTZO,X,X,X,O
LISJTOZ,O,X,X,O
LISJZTO,X,X,O,O
LISJZOT,X,X,O,O
LISJOTZ,O,X,X,O
LISJOZT,O,X,O,O
LISZTJO,X,X,O,O
LISZTOJ,O,O,X,X
LISZJTO,X,X,O,O
LISZJOT,X,X,O,O
LISZOTJ,O,O,X,X
LISZOJT,O,O,X,X
LISOTJZ,O,X,X,O
LISOTZJ,O,X,X,X
LISOJTZ,O,X,X,O
LISOJZT,O,O,X,O
LISOZTJ,O,O,X,X
LISOZJT,O,O,X,X
LIZTJSO,X,X,O,X
LIZTJOS,X,O,O,X
LIZTSJO,X,X,O,X
LIZTSOJ,X,O,X,X
LIZTOJS,X,O,O,X
LIZTOSJ,X,O,X,X
LIZJTSO,X,X,O,X
LIZJTOS,X,O,O,X
LIZJSTO,X,X,O,O
LIZJSOT,X,X,O,O
LIZJOTS,X,O,O,X
LIZJOST,X,O,O,O
LIZSTJO,X,X,O,O
LIZSTOJ,O,O,X,X
LIZSJTO,X,X,O,O
LIZSJOT,X,X,O,O
LIZSOTJ,O,O,X,X
LIZSOJT,O,O,X,X
LIZOTJS,X,O,O,X
LIZOTSJ,X,O,X,X
LIZOJTS,X,O,O,X
LIZOJST,O,O,O,X
LIZOSTJ,O,O,X,X
LIZOSJT,O,O,X,X
LIOTJSZ,O,X,X,X
LIOTJZS,X,O,X,X
LIOTSJZ,O,X,X,X
LIOTSZJ,O,X,X,X
LIOTZJS,X,O,X,X
LIOTZSJ,X,O,X,X
LIOJTSZ,O,X,X,O
LIOJTZS,X,O,O,X
LIOJSTZ,O,X,X,O
LIOJSZT,O,O,O,O
LIOJZTS,X,O,O,X
LIOJZST,O,O,O,O
LIOSTJZ,O,X,X,O
LIOSTZJ,O,X,X,X
LIOSJTZ,O,X,X,O
LIOSJZT,O,O,X,O
LIOSZTJ,O,O,X,X
LIOSZJT,O,O,X,X
LIOZTJS,X,O,O,X
LIOZTSJ,X,O,X,X
LIOZJTS,X,O,O,X
LIOZJST,O,O,O,X
LIOZSTJ,O,O,X,X
LIOZSJT,O,O,X,X
LJTISZO,X,X,X,O
LJTISOZ,X,X,X,O
LJTIZSO,X,X,O,X
LJTIZOS,X,X,O,X
LJTIOSZ,X,X,X,O
LJTIOZS,X,X,O,X
LJTSIZO,X,X,X,O
LJTSIOZ,X,X,X,O
LJTSZIO,X,X,X,O
LJTSZOI,X,X,X,O
LJTSOIZ,X,X,X,O
LJTSOZI,X,X,X,O
LJTZISO,X,X,O,X
LJTZIOS,X,X,O,X
LJTZSIO,X,X,O,X
LJTZSOI,X,X,O,X
