sequence,v115@LhA8HeB8BeC8DeF8Je3AJvhFRiBSoBOpBzmBUqBlpB,v115@LhA8HeB8BeC8DeF8JeOEJvhFlgBRiBSoBzmB3pBUqB,v115@LhA8HeB8BeC8DeF8Je0/IvhFlgBCiBTjB2pBXnBxuB,v115@LhA8HeB8BeC8DeF8Jel/IvhF3gBGjBKpBRnBzmBUqB,v115@LhA8HeB8BeC8DeF8Jei/IvhF3gBGjBcpBRnBzmBVvB,v115@LhA8HeB8BeC8DeF8JelAJvhFWnBTjBikB0kBXnBxuB
TILJSZO,X,O,O,O,O,X
TILJSOZ,X,O,O,O,X,O
TILJZSO,X,X,O,O,O,X
TILJZOS,X,X,O,O,O,O
TILJOSZ,X,X,O,O,X,O
TILJOZS,X,X,O,X,X,O
TILSJZO,X,O,O,O,O,X
TILSJOZ,X,O,O,O,X,O
TILSZJO,X,O,O,O,O,X
TILSZOJ,X,X,O,X,O,X
TILSOJZ,X,O,O,O,X,O
TILSOZJ,X,O,O,X,X,X
TILZJSO,X,X,X,O,O,X
TILZJOS,X,X,X,O,O,O
TILZSJO,X,O,X,O,O,X
TILZSOJ,X,X,X,O,O,X
TILZOJS,X,X,X,O,O,O
TILZOSJ,X,X,X,O,O,X
TILOJSZ,X,O,O,O,X,O
TILOJZS,X,X,O,X,X,O
TILOSJZ,X,O,O,O,X,O
TILOSZJ,X,O,O,X,X,X
TILOZJS,X,X,X,X,X,O
TILOZSJ,X,O,X,X,X,X
TIJLSZO,X,X,O,O,O,X
TIJLSOZ,X,X,O,O,X,O
TIJLZSO,X,X,O,O,O,X
TIJLZOS,X,X,O,O,O,O
TIJLOSZ,X,X,O,O,X,O
TIJLOZS,X,X,O,X,X,O
TIJSLZO,X,X,O,O,O,X
TIJSLOZ,X,X,O,O,X,O
TIJSZLO,X,X,O,X,O,X
TIJSZOL,X,X,O,X,O,X
TIJSOLZ,X,X,O,X,X,O
TIJSOZL,X,X,O,X,O,X
TIJZLSO,X,X,O,X,O,X
TIJZLOS,X,X,O,X,O,O
TIJZSLO,X,X,O,X,O,X
TIJZSOL,X,X,O,X,O,X
TIJZOLS,X,X,O,X,O,O
TIJZOSL,X,X,O,X,O,X
TIJOLSZ,X,X,O,X,X,O
TIJOLZS,X,X,O,X,X,O
TIJOSLZ,X,X,O,X,X,O
TIJOSZL,X,X,O,X,O,X
TIJOZLS,X,X,O,X,O,O
TIJOZSL,X,X,O,X,O,X
TISLJZO,X,O,O,O,O,X
TISLJOZ,X,O,O,O,X,O
TISLZJO,X,O,O,O,O,X
TISLZOJ,X,X,O,X,O,X
TISLOJZ,X,O,O,O,X,O
TISLOZJ,X,O,O,X,X,X
TISJLZO,X,O,O,O,O,X
TISJLOZ,X,O,O,O,X,O
TISJZLO,X,X,O,X,O,X
TISJZOL,X,X,O,X,O,X
TISJOLZ,X,O,O,X,X,O
TISJOZL,X,O,O,X,O,X
TISZLJO,X,X,O,X,O,X
TISZLOJ,X,X,O,X,O,X
TISZJLO,X,X,O,X,O,X
TISZJOL,X,X,O,X,O,X
TISZOLJ,X,X,O,X,O,X
TISZOJL,X,X,O,X,O,X
TISOLJZ,X,O,O,X,X,O
TISOLZJ,X,O,O,X,X,X
TISOJLZ,X,O,O,X,X,O
TISOJZL,X,O,O,X,O,X
TISOZLJ,X,O,O,X,O,X
TISOZJL,X,O,O,X,O,X
TIZLJSO,X,X,X,X,O,X
TIZLJOS,X,X,X,X,O,O
TIZLSJO,X,X,X,X,O,X
TIZLSOJ,X,X,X,X,O,X
TIZLOJS,X,X,X,X,O,O
TIZLOSJ,X,X,X,X,O,X
TIZJLSO,X,X,O,X,O,X
TIZJLOS,X,X,O,X,O,O
TIZJSLO,X,X,O,X,O,X
TIZJSOL,X,X,O,X,O,X
TIZJOLS,X,X,O,X,O,O
TIZJOSL,X,X,O,X,O,X
TIZSLJO,X,X,O,X,O,X
TIZSLOJ,X,X,O,X,O,X
TIZSJLO,X,X,O,X,O,X
TIZSJOL,X,X,O,X,O,X
TIZSOLJ,X,X,O,X,O,X
TIZSOJL,X,X,O,X,O,X
TIZOLJS,X,X,X,X,O,O
TIZOLSJ,X,X,X,X,O,X
TIZOJLS,X,X,O,X,O,O
TIZOJSL,X,X,O,X,O,X
TIZOSLJ,X,X,O,X,O,X
TIZOSJL,X,X,O,X,O,X
TIOLJSZ,X,O,O,X,X,O
TIOLJZS,X,X,O,X,X,O
TIOLSJZ,X,O,O,X,X,O
TIOLSZJ,X,O,O,X,X,X
TIOLZJS,X,X,X,X,X,O
TIOLZSJ,X,O,X,X,X,X
TIOJLSZ,X,O,O,X,X,O
TIOJLZS,X,X,O,X,X,O
TIOJSLZ,X,O,O,X,X,O
TIOJSZL,X,O,O,X,O,X
TIOJZLS,X,X,O,X,O,O
TIOJZSL,X,X,O,X,O,X
TIOSLJZ,X,O,O,X,X,O
TIOSLZJ,X,O,O,X,X,X
TIOSJLZ,X,O,O,X,X,O
TIOSJZL,X,O,O,X,O,X
TIOSZLJ,X,O,O,X,O,X
TIOSZJL,X,O,O,X,O,X
TIOZLJS,X,X,X,X,O,O
TIOZLSJ,X,O,X,X,O,X
TIOZJLS,X,X,O,X,O,O
TIOZJSL,X,X,O,X,O,X
TIOZSLJ,X,O,O,X,O,X
TIOZSJL,X,O,O,X,O,X
TLIJSZO,X,O,O,O,O,X
TLIJSOZ,X,O,O,O,X,O
TLIJZSO,X,X,O,O,O,X
TLIJZOS,X,X,O,O,O,O
TLIJOSZ,X,X,O,O,X,O
TLIJOZS,X,X,O,X,X,O
TLISJZO,X,O,O,O,O,X
TLISJOZ,X,O,O,O,X,O
TLISZJO,X,O,O,O,O,X
TLISZOJ,X,X,O,X,O,X
TLISOJZ,X,O,O,O,X,O
TLISOZJ,X,O,O,X,X,X
TLIZJSO,X,X,X,O,O,X
TLIZJOS,X,X,X,O,O,O
TLIZSJO,X,O,X,O,O,X
TLIZSOJ,X,X,X,O,O,X
TLIZOJS,X,X,X,O,O,O
