sequence,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8Ke0/IvhFlhBziB?5oBarBXlBWxB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8Kel/IvhFamBziB?5oBXlB+rBUsB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8KeXAJvhFlhBziB?5oBarB0kBWxB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8KeVFJvhF3hBziB?5oB0kBarBWxB
TILJSZO,X,X,X,X
TILJSOZ,X,X,O,O
TILJZSO,X,X,X,X
TILJZOS,O,X,X,X
TILJOSZ,X,X,O,O
TILJOZS,O,X,X,X
TILSJZO,X,X,X,X
TILSJOZ,X,X,O,X
TILSZJO,X,X,X,X
TILSZOJ,O,X,O,X
TILSOJZ,X,X,O,O
TILSOZJ,O,X,O,O
TILZJSO,X,X,X,X
TILZJOS,O,X,X,X
TILZSJO,X,X,X,X
TILZSOJ,O,X,O,X
TILZOJS,O,X,X,X
TILZOSJ,O,X,O,X
TILOJSZ,X,X,O,O
TILOJZS,O,X,X,X
TILOSJZ,X,X,O,O
TILOSZJ,O,X,O,O
TILOZJS,O,X,X,X
TILOZSJ,O,X,O,X
TIJLSZO,O,O,O,X
TIJLSOZ,O,O,O,O
TIJLZSO,O,X,O,X
TIJLZOS,O,X,O,X
TIJLOSZ,O,O,O,O
TIJLOZS,O,X,O,X
TIJSLZO,X,O,X,X
TIJSLOZ,X,O,X,O
TIJSZLO,X,O,X,X
TIJSZOL,X,O,X,O
TIJSOLZ,X,O,X,O
TIJSOZL,X,O,X,O
TIJZLSO,O,X,X,X
TIJZLOS,O,X,X,X
TIJZSLO,X,X,X,X
TIJZSOL,X,X,X,O
TIJZOLS,O,X,X,X
TIJZOSL,X,X,X,O
TIJOLSZ,O,O,O,O
TIJOLZS,O,X,O,X
TIJOSLZ,X,O,X,O
TIJOSZL,X,O,X,O
TIJOZLS,O,X,X,X
TIJOZSL,X,X,X,O
TISLJZO,X,O,X,X
TISLJOZ,X,O,X,X
TISLZJO,X,X,X,X
TISLZOJ,X,X,X,X
TISLOJZ,X,O,X,O
TISLOZJ,X,X,X,O
TISJLZO,X,O,X,X
TISJLOZ,X,O,X,O
TISJZLO,X,O,X,X
TISJZOL,X,O,X,O
TISJOLZ,X,O,X,O
TISJOZL,X,O,X,O
TISZLJO,X,X,X,X
TISZLOJ,X,X,X,X
TISZJLO,X,O,X,X
TISZJOL,X,O,X,X
TISZOLJ,X,X,X,O
TISZOJL,X,O,X,O
TISOLJZ,X,O,X,O
TISOLZJ,X,X,X,O
TISOJLZ,X,O,X,O
TISOJZL,X,O,X,O
TISOZLJ,X,X,X,O
TISOZJL,X,O,X,O
TIZLJSO,X,X,X,X
TIZLJOS,O,X,X,X
TIZLSJO,X,X,X,X
TIZLSOJ,O,X,X,X
TIZLOJS,O,X,X,X
TIZLOSJ,O,X,X,X
TIZJLSO,O,X,X,X
TIZJLOS,O,X,X,X
TIZJSLO,X,X,X,X
TIZJSOL,X,X,X,O
TIZJOLS,O,X,X,X
TIZJOSL,X,X,X,O
TIZSLJO,X,X,X,X
TIZSLOJ,X,X,X,X
TIZSJLO,X,X,X,X
TIZSJOL,X,X,X,X
TIZSOLJ,X,X,X,O
TIZSOJL,X,X,X,O
TIZOLJS,O,X,X,X
TIZOLSJ,O,X,X,X
TIZOJLS,O,X,X,X
TIZOJSL,X,X,X,O
TIZOSLJ,X,X,X,O
TIZOSJL,X,X,X,O
TIOLJSZ,X,X,O,O
TIOLJZS,O,X,X,X
TIOLSJZ,X,X,O,O
TIOLSZJ,O,X,O,O
TIOLZJS,O,X,X,X
TIOLZSJ,O,X,O,X
TIOJLSZ,O,O,O,O
TIOJLZS,O,X,O,X
TIOJSLZ,X,O,X,O
TIOJSZL,X,O,X,O
TIOJZLS,O,X,X,X
TIOJZSL,X,X,X,O
TIOSLJZ,X,O,X,O
TIOSLZJ,X,X,X,O
TIOSJLZ,X,O,X,O
TIOSJZL,X,O,X,O
TIOSZLJ,X,X,X,O
TIOSZJL,X,O,X,O
TIOZLJS,O,X,X,X
TIOZLSJ,O,X,X,X
TIOZJLS,O,X,X,X
TIOZJSL,X,X,X,O
TIOZSLJ,X,X,X,O
TIOZSJL,X,X,X,O
TLIJSZO,X,X,X,X
TLIJSOZ,X,X,O,O
TLIJZSO,X,X,X,X
TLIJZOS,O,X,X,X
TLIJOSZ,X,X,O,O
TLIJOZS,O,X,X,X
TLISJZO,X,X,X,X
TLISJOZ,X,X,O,X
TLISZJO,X,X,X,X
TLISZOJ,O,X,O,X
TLISOJZ,X,X,O,O
TLISOZJ,O,X,O,O
TLIZJSO,X,X,X,X
TLIZJOS,O,X,X,X
TLIZSJO,X,X,X,X
TLIZSOJ,O,X,O,X
TLIZOJS,O,X,X,X
TLIZOSJ,O,X,O,X
TLIOJSZ,X,X,O,O
TLIOJZS,O,X,X,X
TLIOSJZ,X,X,O,O
TLIOSZJ,O,X,O,O
TLIOZJS,O,X,X,X
TLIOZSJ,O,X,O,X
TLJISZO,X,X,X,X
TLJISOZ,X,X,O,O
TLJIZSO,X,X,X,X
TLJIZOS,O,X,X,X
TLJIOSZ,X,X,O,O
TLJIOZS,O,X,X,X
TLJSIZO,X,X,X,X
TLJSIOZ,X,X,O,O
TLJSZIO,X,X,X,X
TLJSZOI,X,X,X,X
TLJSOIZ,X,X,O,O
TLJSOZI,X,X,X,X
TLJZISO,X,X,X,X
TLJZIOS,O,X,X,X
TLJZSIO,X,X,X,X
TLJZSOI,X,X,X,X
TLJZOIS,O,X,X,X
TLJZOSI,X,X,X,X
TLJOISZ,X,X,O,O
TLJOIZS,O,X,X,X
TLJOSIZ,X,X,O,O
TLJOSZI,X,X,X,X
TLJOZIS,O,X,X,X
TLJOZSI,X,X,X,X
TLSIJZO,X,X,X,X
TLSIJOZ,X,X,O,X
TLSIZJO,X,X,X,X
TLSIZOJ,O,X,O,X
TLSIOJZ,X,X,O,O
TLSIOZJ,O,X,O,O
TLSJIZO,X,X,X,X
TLSJIOZ,X,X,O,X
TLSJZIO,X,X,X,X
TLSJZOI,X,X,X,X
TLSJOIZ,X,X,O,X
TLSJOZI,X,X,X,X
TLSZIJO,X,X,X,X
TLSZIOJ,O,X,O,X
TLSZJIO,X,X,X,X
TLSZJOI,X,X,X,X
TLSZOIJ,O,X,O,X
TLSZOJI,X,X,X,X
TLSOIJZ,X,X,O,O
TLSOIZJ,O,X,O,O
TLSOJIZ,X,X,O,X
TLSOJZI,X,X,X,X
TLSOZIJ,O,X,O,X
TLSOZJI,X,X,X,X
TLZIJSO,X,X,X,X
TLZIJOS,O,X,X,X
TLZISJO,X,X,X,X
TLZISOJ,O,X,O,X
TLZIOJS,O,X,X,X
TLZIOSJ,O,X,O,X
TLZJISO,X,X,X,X
TLZJIOS,O,X,X,X
TLZJSIO,X,X,X,X
TLZJSOI,X,X,X,X
TLZJOIS,O,X,X,X
TLZJOSI,X,X,X,X
TLZSIJO,X,X,X,X
TLZSIOJ,O,X,O,X
TLZSJIO,X,X,X,X
TLZSJOI,X,X,X,X
TLZSOIJ,O,X,O,X
TLZSOJI,X,X,X,X
TLZOIJS,O,X,X,X
TLZOISJ,O,X,O,X
TLZOJIS,O,X,X,X
TLZOJSI,X,X,X,X
TLZOSIJ,O,X,O,X
TLZOSJI,X,X,X,X
TLOIJSZ,X,X,O,O
TLOIJZS,O,X,X,X
TLOISJZ,X,X,O,O
TLOISZJ,O,X,O,O
TLOIZJS,O,X,X,X
TLOIZSJ,O,X,O,X
TLOJISZ,X,X,O,O
TLOJIZS,O,X,X,X
TLOJSIZ,X,X,O,O
TLOJSZI,X,X,X,X
TLOJZIS,O,X,X,X
TLOJZSI,X,X,X,X
TLOSIJZ,X,X,O,O
TLOSIZJ,O,X,O,O
TLOSJIZ,X,X,O,X
TLOSJZI,X,X,X,X
TLOSZIJ,O,X,O,X
TLOSZJI,X,X,X,X
TLOZIJS,O,X,X,X
TLOZISJ,O,X,O,X
TLOZJIS,O,X,X,X
TLOZJSI,X,X,X,X
TLOZSIJ,O,X,O,X
TLOZSJI,X,X,X,X
TJILSZO,O,O,O,X
TJILSOZ,O,O,O,O
TJILZSO,O,X,O,X
TJILZOS,O,X,O,X
TJILOSZ,O,O,O,O
TJILOZS,O,X,O,X
TJISLZO,X,O,X,X
TJISLOZ,X,O,X,O
TJISZLO,X,O,X,X
TJISZOL,X,O,X,O
TJISOLZ,X,O,X,O
TJISOZL,X,O,X,O
TJIZLSO,O,X,X,X
TJIZLOS,O,X,X,X
TJIZSLO,X,X,X,X
TJIZSOL,X,X,X,O
TJIZOLS,O,X,X,X
TJIZOSL,X,X,X,O
TJIOLSZ,O,O,O,O
TJIOLZS,O,X,O,X
TJIOSLZ,X,O,X,O
TJIOSZL,X,O,X,O
TJIOZLS,O,X,X,X
TJIOZSL,X,X,X,O
TJLISZO,O,O,O,X
TJLISOZ,O,O,O,O
TJLIZSO,O,X,O,X
TJLIZOS,O,X,O,X
TJLIOSZ,O,O,O,O
TJLIOZS,O,X,O,X
TJLSIZO,O,O,O,X
TJLSIOZ,O,O,O,O
TJLSZIO,O,O,O,X
TJLSZOI,O,O,O,X
TJLSOIZ,O,O,O,O
TJLSOZI,O,O,O,X
TJLZISO,O,X,O,X
TJLZIOS,O,X,O,X
TJLZSIO,O,X,O,X
TJLZSOI,O,X,O,X
TJLZOIS,O,X,O,X
TJLZOSI,O,X,O,X
TJLOISZ,O,O,O,O
TJLOIZS,O,X,O,X
TJLOSIZ,O,O,O,O
TJLOSZI,O,O,O,X
TJLOZIS,O,X,O,X
TJLOZSI,O,X,O,X
TJSILZO,X,O,X,X
