sequence,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFGhBTiBcpBx?qBXsBlqB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhF3gBcpBxmBG?nBlqBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Je0AJvhFxhB3kBqrBT?nBlqBOpB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFCgB+mBTiBV?qBXsB8qB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFzfBfmBlhBG?qBCsBcsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeT/IvhFxgBXiBcsBi?pBGrBlqB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFTiBcpBxlBG?mBlqBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFGgBSnBzkB8?qBlmBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Je0AJvhFxhB3kBSsBl?qBOpBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jex/IvhF1mB6nBOpBX?lB8qBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFukBclBTnBC?rB/rBFsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFqkBUhBTnBG?rB/qBFsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFCgB+mBVqBT?nB8qBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFGhBcpBTnBx?qBlqBXsB
TILJSZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSJZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TILSOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TILSOZJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TILZJSO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILZSJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TILZOSJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TILOSJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TILOZSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJLSZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJSLZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJSZOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TIJZLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZSLO,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJZSOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIJZOSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOLSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOSLZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIJOZLS,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISLJZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TISLJOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TISLZJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TISLZOJ,X,O,O,X,X,X,O,O,O,X,X,X,X,X
TISLOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TISLOZJ,X,X,O,X,X,X,O,O,O,X,X,X,X,X
TISJLZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TISJZOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TISJOLZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TISZLJO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TISZLOJ,O,O,O,X,X,X,O,O,O,X,X,X,X,X
TISZJLO,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TISZJOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TISZOJL,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TISOLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TISOJLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,O,X,X,O,X,X,X,X,X,O,X
TISOZLJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TISOZJL,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLSJO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TIZLOJS,X,O,O,X,X,X,X,X,X,X,O,X,X,O
TIZLOSJ,X,O,O,X,X,X,O,X,O,X,X,X,X,O
TIZJLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJSLO,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZJSOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIZJOSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZSLJO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,O,O,O,X,X,X,X,X
TIZSJLO,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZSJOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TIZSOJL,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X,X,O,X,X,O
