sequence,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lB/mBRiBcoBOs?BVwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFxgBliBcoBCmBes?BXrB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFlgBRiBcoBXmBOs?BSwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBxiBmmBFoBXr?B0rB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBlhB3iBcoB2r?BRwB
TLJOIZS,O,X,O,X,X
TLJOSIZ,O,X,O,O,X
TLJOSZI,O,X,O,O,X
TLJOZIS,O,X,O,X,X
TLJOZSI,O,X,O,X,X
TLSIJZO,O,X,O,O,X
TLSIJOZ,O,X,O,O,X
TLSIZJO,O,X,O,O,X
TLSIZOJ,O,X,O,O,X
TLSIOJZ,O,X,O,O,X
TLSIOZJ,O,X,O,O,X
TLSJIZO,O,X,O,O,X
TLSJIOZ,O,X,O,O,X
TLSJZIO,O,X,O,O,X
TLSJZOI,O,X,O,O,X
TLSJOIZ,O,X,O,O,X
TLSJOZI,O,X,O,O,X
TLSZIJO,O,X,O,O,X
TLSZIOJ,O,X,O,O,X
TLSZJIO,O,X,O,O,X
TLSZJOI,O,X,O,O,X
TLSZOIJ,O,X,O,O,X
TLSZOJI,O,X,O,O,X
TLSOIJZ,O,X,O,O,X
TLSOIZJ,O,X,O,O,X
TLSOJIZ,O,X,O,O,X
TLSOJZI,O,X,O,O,X
TLSOZIJ,O,X,O,O,X
TLSOZJI,O,X,O,O,X
TLZIJSO,O,X,O,X,O
TLZIJOS,O,X,O,X,O
TLZISJO,O,X,O,O,O
TLZISOJ,O,X,O,O,O
TLZIOJS,O,X,O,X,O
TLZIOSJ,O,X,O,O,O
TLZJISO,O,X,O,X,X
TLZJIOS,O,X,O,X,X
TLZJSIO,O,X,O,X,X
TLZJSOI,O,X,O,X,X
TLZJOIS,O,X,O,X,X
TLZJOSI,O,X,O,X,X
TLZSIJO,O,X,O,O,X
TLZSIOJ,O,X,O,O,X
TLZSJIO,O,X,O,O,X
TLZSJOI,O,X,O,O,X
TLZSOIJ,O,X,O,O,X
TLZSOJI,O,X,O,O,X
TLZOIJS,O,X,O,X,O
TLZOISJ,O,X,O,O,O
TLZOJIS,O,X,O,X,X
TLZOJSI,O,X,O,X,X
TLZOSIJ,O,X,O,O,X
TLZOSJI,O,X,O,O,X
TLOIJSZ,O,X,X,O,X
TLOIJZS,O,X,O,X,X
TLOISJZ,O,X,X,O,X
TLOISZJ,O,X,X,O,X
TLOIZJS,O,X,O,X,X
TLOIZSJ,O,X,O,O,X
TLOJISZ,O,X,X,O,X
TLOJIZS,O,X,O,X,X
TLOJSIZ,O,X,O,O,X
TLOJSZI,O,X,O,O,X
TLOJZIS,O,X,O,X,X
TLOJZSI,O,X,O,X,X
TLOSIJZ,O,X,O,O,X
TLOSIZJ,O,X,O,O,X
TLOSJIZ,O,X,O,O,X
TLOSJZI,O,X,O,O,X
TLOSZIJ,O,X,O,O,X
TLOSZJI,O,X,O,O,X
TLOZIJS,O,X,O,X,O
TLOZISJ,O,X,O,O,O
TLOZJIS,O,X,O,X,X
TLOZJSI,O,X,O,X,X
TLOZSIJ,O,X,O,O,X
TLOZSJI,O,X,O,O,X
TJILSZO,O,X,X,O,X
TJILSOZ,O,X,X,O,X
TJILZSO,O,X,X,X,X
TJILZOS,O,X,X,X,X
TJILOSZ,O,X,X,O,X
TJILOZS,O,X,X,X,X
TJISLZO,O,X,X,O,X
TJISLOZ,O,X,X,O,X
TJISZLO,O,X,X,O,X
TJISZOL,O,X,X,O,X
TJISOLZ,O,X,X,O,X
TJISOZL,O,X,X,O,X
TJIZLSO,O,X,X,X,X
TJIZLOS,O,O,O,X,X
TJIZSLO,O,X,X,X,X
TJIZSOL,O,O,O,X,X
TJIZOLS,O,O,O,X,X
TJIZOSL,O,O,O,X,X
TJIOLSZ,O,X,X,O,X
TJIOLZS,O,X,X,X,X
TJIOSLZ,O,X,X,O,X
TJIOSZL,O,X,X,O,X
TJIOZLS,O,O,O,X,X
TJIOZSL,O,O,O,X,X
TJLISZO,O,X,X,O,X
TJLISOZ,O,X,X,O,X
TJLIZSO,O,X,O,X,X
TJLIZOS,O,X,O,X,X
TJLIOSZ,O,X,X,O,X
TJLIOZS,O,X,O,X,X
TJLSIZO,O,X,O,O,X
TJLSIOZ,O,X,O,O,X
TJLSZIO,O,X,O,O,X
TJLSZOI,O,X,O,O,X
TJLSOIZ,O,X,O,O,X
TJLSOZI,O,X,O,O,X
TJLZISO,O,X,O,X,X
TJLZIOS,O,X,O,X,X
TJLZSIO,O,X,O,X,X
TJLZSOI,O,X,O,X,X
TJLZOIS,O,X,O,X,X
TJLZOSI,O,X,O,X,X
TJLOISZ,O,X,X,O,X
TJLOIZS,O,X,O,X,X
TJLOSIZ,O,X,O,O,X
TJLOSZI,O,X,O,O,X
TJLOZIS,O,X,O,X,X
TJLOZSI,O,X,O,X,X
TJSILZO,O,X,X,O,X
TJSILOZ,O,X,X,O,X
TJSIZLO,O,O,X,O,X
TJSIZOL,O,O,X,O,X
TJSIOLZ,O,X,X,O,X
TJSIOZL,O,O,X,O,X
TJSLIZO,O,O,X,O,X
TJSLIOZ,O,O,X,O,X
TJSLZIO,O,O,X,O,X
TJSLZOI,O,O,X,O,X
TJSLOIZ,O,O,X,O,X
TJSLOZI,O,O,X,O,X
TJSZILO,O,O,X,O,X
TJSZIOL,O,O,O,O,X
TJSZLIO,O,O,X,O,X
TJSZLOI,O,O,X,O,X
TJSZOIL,O,O,O,O,X
TJSZOLI,O,O,X,O,X
