sequence,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFFjBmlBfsB6?sBctBTqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8Je3AJvhFcmBxiBVsBG?oBTqByxB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjBOqB8?qBFsBXtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjB2qBU?sBFtB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeGBJvhFxiBilBToB3?qBFsB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JezBJvhFFjBilB+sBc?tBRrB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFGjBKqBzlBf?sBVtB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeFCJvhFXjBxlBStBU?mBTqB2xB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFmlBfsBlnBc?tBTqBCtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFTjBWsBiqBX?tBcsBlqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhFFjBKqBxmBc?tB3mBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhF1mBXjBKqBc?tBxrBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFWsBToBiqBc?sBlqBXtB
TJSZLOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TJSZOIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSZOLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TJSOIZL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,O,X,O,X,O,O,X,O,X,X,X
TJSOLZI,X,X,O,X,O,X,O,O,X,O,X,X,X
TJSOZIL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSOZLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJZILSO,O,O,O,O,X,O,X,X,X,X,X,X,X
TJZILOS,X,X,O,O,X,O,X,X,X,X,X,X,X
TJZISLO,O,O,O,X,X,O,X,X,X,X,X,X,X
TJZISOL,O,O,O,X,X,O,X,X,X,X,X,X,X
TJZIOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
TJZIOSL,O,O,O,X,X,O,X,X,X,X,X,X,X
TJZLISO,O,O,O,O,X,O,X,X,X,X,X,X,X
TJZLIOS,X,O,O,O,X,O,X,X,X,X,X,X,X
TJZLSIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TJZLSOI,O,O,O,O,X,X,O,O,X,X,X,X,X
TJZLOIS,X,O,O,O,X,X,O,O,X,X,X,X,X
TJZLOSI,O,O,O,O,X,X,O,O,X,X,X,X,X
TJZSILO,O,O,O,X,X,O,O,X,X,X,X,X,X
TJZSIOL,O,O,O,X,X,O,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TJZSLOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TJZSOIL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZSOLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJZOILS,X,O,O,O,X,O,X,O,X,X,X,X,X
TJZOISL,O,O,O,X,O,O,X,X,X,X,X,X,X
TJZOLIS,X,O,O,O,X,X,X,O,X,X,X,X,X
TJZOLSI,O,O,O,O,X,X,X,O,X,X,X,X,X
TJZOSIL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOILSZ,X,O,X,X,O,X,X,O,X,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOISLZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TJOISZL,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOIZLS,X,O,X,O,X,X,X,O,X,X,X,X,X
TJOIZSL,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOLISZ,X,O,X,X,O,X,O,O,X,X,X,X,O
TJOLIZS,X,O,X,X,X,X,O,O,X,X,X,X,O
TJOLSIZ,X,O,O,X,X,X,O,O,X,X,X,X,O
TJOLSZI,X,O,O,X,X,X,O,O,X,X,X,X,O
TJOLZIS,X,O,O,O,X,X,O,O,X,X,X,X,O
TJOLZSI,X,O,O,O,X,X,O,O,X,X,X,X,O
TJOSILZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TJOSIZL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TJOSLZI,X,X,O,X,O,X,O,O,X,X,X,X,X
TJOSZIL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJOSZLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJOZILS,X,O,O,O,X,X,X,O,X,X,X,X,X
TJOZISL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJOZLIS,X,O,O,O,X,X,X,O,X,X,X,X,X
TJOZLSI,X,O,O,O,X,X,X,O,X,X,X,X,X
TJOZSIL,X,O,O,X,X,X,X,X,X,X,X,X,X
TJOZSLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TSILJZO,X,X,O,X,X,X,O,X,X,X,X,X,X
TSILJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSILZJO,O,X,O,X,X,X,O,X,X,X,X,X,X
TSILZOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TSILOJZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSILOZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSIJLZO,X,X,O,X,X,X,O,X,X,X,X,X,X
TSIJLOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TSIJZLO,X,X,O,X,X,X,O,X,X,X,X,X,X
TSIJZOL,X,X,O,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSIJOZL,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIOLJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIOLZJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSIOJZL,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TSIOZJL,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLIJZO,X,X,O,X,X,X,O,X,X,X,X,X,X
TSLIJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSLIZJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSLIOZJ,X,O,O,X,O,X,O,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,X,O,X,X,O,X,X,X
TSLJIOZ,X,O,O,X,O,X,O,X,X,O,X,X,X
TSLJZIO,O,O,O,X,X,X,O,X,X,O,X,X,X
TSLJZOI,O,O,O,X,O,X,O,X,X,O,X,X,X
TSLJOIZ,X,O,O,X,O,X,O,X,X,O,X,X,X
TSLJOZI,X,O,O,X,O,X,O,X,X,O,X,X,X
TSLZIJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSLZIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLZJIO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSLZJOI,O,O,O,X,O,X,O,X,X,X,X,X,X
TSLZOIJ,O,O,O,X,O,X,O,X,X,X,X,X,X
TSLZOJI,O,O,O,X,O,X,O,X,X,X,X,X,X
TSLOIJZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSLOIZJ,O,O,O,X,O,X,O,X,X,X,X,X,X
TSLOJIZ,O,O,O,X,O,X,O,X,X,O,X,X,X
TSLOJZI,O,O,O,X,O,X,O,X,X,O,X,X,X
TSLOZIJ,O,O,O,X,O,X,O,X,X,X,X,X,X
TSLOZJI,O,O,O,X,O,X,O,X,X,X,X,X,X
TSJILZO,O,X,O,X,X,X,O,X,X,X,X,X,X
TSJILOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSJIOZL,X,O,O,X,O,X,X,X,X,X,X,X,X
TSJLIZO,O,X,O,X,X,X,O,X,X,O,X,X,X
TSJLIOZ,X,X,O,X,O,X,O,X,X,O,X,X,X
TSJLZIO,O,X,O,X,X,X,O,X,X,O,X,X,X
TSJLZOI,O,X,O,X,O,X,O,X,X,O,X,X,X
TSJLOIZ,X,X,O,X,O,X,O,X,X,O,X,X,X
TSJLOZI,X,X,O,X,O,X,O,X,X,O,X,X,X
TSJZILO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSJZLOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TSJZOIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TSJZOLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TSJOILZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSJOIZL,X,O,O,X,O,X,X,X,X,X,X,X,X
TSJOLIZ,X,X,O,X,O,X,O,X,X,O,X,X,X
TSJOLZI,X,X,O,X,O,X,O,X,X,O,X,X,X
TSJOZIL,X,O,O,X,O,X,X,X,X,X,X,X,X
TSJOZLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X,O,X,X,X,X
TSZLIJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSZLIOJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZLJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZLJOI,O,O,O,O,O,X,O,X,X,X,X,X,X
TSZLOIJ,O,O,O,O,O,X,O,X,X,X,X,X,X
TSZLOJI,O,O,O,O,O,X,O,X,O,X,X,X,X
TSZJILO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSZJIOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZJLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZJLOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZJOIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TSZJOLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TSZOILJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSZOIJL,O,O,O,X,O,X,X,X,O,X,X,X,X
TSZOLIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TSZOLJI,O,O,O,O,O,X,X,X,O,X,X,X,X
TSZOJIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TSZOJLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TSOILJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
TSOILZJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TSOIJLZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSOIJZL,X,X,O,X,O,X,X,X,X,X,X,X,X
TSOIZLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOIZJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOLIJZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TSOLIZJ,O,O,O,X,O,X,O,X,X,X,X,X,X
TSOLJIZ,O,O,O,X,O,X,O,X,X,O,X,X,X
TSOLJZI,O,O,O,X,O,X,O,X,X,O,X,X,X
TSOLZIJ,O,O,O,X,O,X,O,X,X,X,X,X,X
TSOLZJI,O,O,O,X,O,X,O,X,X,X,X,X,X
TSOJILZ,O,X,O,X,O,X,O,X,X,X,X,X,X
TSOJIZL,O,O,O,X,O,X,X,X,O,X,X,X,X
TSOJLIZ,O,X,O,X,O,X,O,X,X,O,X,X,X
TSOJLZI,O,X,O,X,O,X,O,X,X,O,X,X,X
TSOJZIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TSOJZLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TSOZILJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOZIJL,O,O,O,X,O,X,X,X,O,X,X,X,X
TSOZLIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TSOZLJI,O,O,O,O,O,X,X,X,O,X,X,X,X
TSOZJIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TSOZJLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZILJSO,O,O,O,O,X,O,X,X,X,X,X,X,X
TZILJOS,X,O,X,O,X,O,X,X,X,X,O,X,X
TZILSJO,O,O,O,X,X,X,X,X,X,X,X,X,X
TZILSOJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TZILOJS,O,X,X,O,X,O,X,X,X,X,O,X,X
TZILOSJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TZIJLSO,O,O,O,O,X,O,X,X,X,X,X,X,X
TZIJLOS,X,X,X,O,X,O,X,X,X,X,X,X,X
TZIJSLO,O,O,O,X,X,O,X,X,X,X,X,X,X
TZIJSOL,O,O,O,X,X,O,X,X,X,X,X,X,X
TZIJOLS,X,X,X,O,X,O,X,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,O,X,X,X,X,X,X,X
TZISLJO,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISJLO,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZIOLJS,O,X,X,O,X,O,X,X,X,X,O,X,X
TZIOLSJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TZIOJLS,O,X,X,O,X,O,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,O,X,X,X,X,X,X,X
TZIOSLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZLIJSO,O,O,O,O,X,X,X,X,X,X,X,O,X
TZLIJOS,X,O,X,O,X,X,X,X,X,X,O,O,X
TZLISJO,O,O,O,X,X,X,X,X,X,X,X,O,X
TZLISOJ,O,O,O,O,X,X,X,X,X,X,X,O,X
TZLIOJS,O,O,X,O,X,X,X,X,X,X,O,O,X
TZLIOSJ,O,O,O,O,X,X,X,X,X,X,O,O,X
TZLJISO,O,O,O,O,X,O,X,X,X,X,X,O,X
TZLJIOS,X,O,O,O,X,O,X,X,X,X,O,O,X
TZLJSIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TZLJSOI,O,O,O,O,X,X,O,X,X,X,O,X,X
TZLJOIS,O,O,O,O,X,X,O,X,X,X,O,X,X
TZLJOSI,O,O,O,O,X,X,O,X,X,X,O,X,X
TZLSIJO,O,O,O,X,X,X,O,X,X,X,X,O,X
TZLSIOJ,O,O,O,O,X,X,X,X,X,X,X,O,X
TZLSJIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TZLSJOI,O,O,O,O,X,X,O,X,X,X,O,X,X
TZLSOIJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TZLSOJI,O,O,O,O,X,X,O,X,X,X,O,X,X
TZLOIJS,O,O,X,O,X,X,O,X,X,X,O,X,X
TZLOISJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TZLOJIS,O,O,X,O,X,X,O,X,X,X,O,X,X
TZLOJSI,O,O,X,O,X,X,O,X,X,X,O,X,X
TZLOSIJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TZLOSJI,O,O,O,O,X,X,O,X,X,X,O,X,X
TZJILSO,O,O,O,O,X,O,X,X,X,X,X,X,X
TZJILOS,X,X,O,O,X,O,X,X,X,X,X,X,X
TZJISLO,O,O,O,X,X,O,X,X,X,X,X,X,X
TZJISOL,O,O,O,X,X,O,X,X,X,X,X,X,X
TZJIOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
TZJIOSL,O,O,O,X,X,O,X,X,X,X,X,X,X
TZJLISO,O,O,O,O,X,O,X,X,X,X,X,X,X
TZJLIOS,X,O,O,O,X,O,X,X,X,X,O,X,X
TZJLSIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZJLSOI,O,O,O,O,X,X,O,X,X,X,O,X,X
TZJLOIS,O,O,O,O,X,X,O,X,X,X,O,X,X
TZJLOSI,O,O,O,O,X,X,O,X,X,X,O,X,X
TZJSILO,O,O,O,X,X,O,O,X,X,X,X,X,X
TZJSIOL,O,O,O,X,X,O,X,X,X,X,X,X,X
TZJSLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZJSLOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TZJSOIL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJSOLI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJOILS,O,O,O,O,X,O,X,X,X,X,X,X,X
TZJOISL,O,O,O,X,O,O,X,X,X,X,X,X,X
TZJOLIS,O,O,O,O,X,X,X,X,X,X,O,X,X
TZJOLSI,O,O,O,O,X,X,X,X,X,X,O,X,X
TZJOSIL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJOSLI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSILJO,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X,O,X,X,X,X
TZSLIJO,O,O,O,X,X,X,O,X,X,X,X,O,X
TZSLIOJ,O,O,O,O,X,X,X,X,X,X,X,O,X
TZSLJIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TZSLJOI,O,O,O,O,O,X,O,X,X,X,O,X,X
TZSLOIJ,O,O,O,O,O,X,O,X,X,X,O,X,X
TZSLOJI,O,O,O,O,O,X,O,X,O,X,O,X,X
TZSJILO,O,O,O,X,X,O,O,X,X,X,X,X,X
TZSJIOL,O,O,O,X,X,O,X,X,X,X,X,X,X
TZSJLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSJLOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSJOIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TZSJOLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZSOILJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TZSOIJL,O,O,O,X,O,X,X,X,O,X,X,X,X
TZSOLIJ,O,O,O,O,O,X,X,X,X,X,O,X,X
TZSOLJI,O,O,O,O,O,X,X,X,O,X,O,X,X
TZSOJIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TZSOJLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZOILJS,O,O,X,O,X,X,X,X,X,X,O,X,X
TZOILSJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TZOIJLS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOIJSL,O,O,X,X,O,X,X,X,X,X,X,X,X
TZOISLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOISJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOLIJS,O,O,X,O,X,X,X,X,X,X,O,X,X
TZOLISJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TZOLJIS,O,O,X,O,X,X,X,X,X,X,O,X,X
TZOLJSI,O,O,X,O,X,X,X,X,X,X,O,X,X
TZOLSIJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TZOLSJI,O,O,O,O,X,X,X,X,X,X,O,X,X
TZOJILS,O,O,X,O,X,O,X,X,X,X,X,X,X
TZOJISL,O,O,X,X,O,O,X,X,O,X,X,X,X
TZOJLIS,O,O,X,O,X,X,X,X,X,X,O,X,X
TZOJLSI,O,O,X,O,X,X,X,X,X,X,O,X,X
TZOJSIL,O,O,X,X,X,X,X,X,O,X,X,X,X
TZOJSLI,O,O,X,O,X,X,X,X,O,X,X,X,X
TZOSILJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOSIJL,O,O,O,X,O,X,X,X,O,X,X,X,X
TZOSLIJ,O,O,O,O,O,X,X,X,X,X,O,X,X
TZOSLJI,O,O,O,O,O,X,X,X,O,X,O,X,X
TZOSJIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TZOSJLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOILJSZ,X,O,X,X,O,X,X,O,X,X,X,X,X
TOILJZS,X,O,X,X,X,X,X,O,X,X,X,X,X
TOILSJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOILSZJ,X,O,X,X,O,X,X,O,X,X,X,X,X
TOILZJS,X,O,X,X,X,X,X,X,X,X,X,X,X
TOILZSJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TOIJLSZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOIJLZS,X,O,X,X,X,X,X,O,X,X,X,X,X
TOIJSLZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOIJSZL,X,O,X,X,O,X,X,X,X,X,X,X,X
TOIJZLS,X,O,X,O,X,X,X,O,X,X,X,X,X
TOIJZSL,X,O,X,X,O,X,X,X,X,X,X,X,X
TOISLJZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOISLZJ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOISJLZ,X,X,X,X,O,X,X,O,X,X,X,X,X
TOISJZL,X,X,X,X,O,X,X,X,X,X,X,X,X
TOISZLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TOISZJL,X,O,X,X,O,X,X,X,X,X,X,X,X
TOIZLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TOIZLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
TOIZJLS,X,O,X,O,X,X,X,O,X,X,X,X,X
TOIZJSL,X,O,X,X,O,X,X,X,X,X,X,X,X
TOIZSLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TOIZSJL,X,O,X,X,O,X,X,X,X,X,X,X,X
TOLIJSZ,X,O,X,X,O,X,O,O,X,X,X,X,X
TOLIJZS,X,O,X,X,X,X,O,O,X,X,O,X,X
TOLISJZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TOLISZJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TOLIZJS,X,O,X,X,X,X,O,X,X,X,O,X,X
TOLIZSJ,X,O,X,X,X,X,X,O,X,X,O,X,X
TOLJISZ,X,O,X,X,O,X,O,O,X,X,X,X,O
TOLJIZS,X,O,X,X,X,X,O,O,X,X,O,X,O
TOLJSIZ,X,O,O,X,X,X,O,O,X,X,X,X,O
TOLJSZI,X,O,O,X,X,X,O,O,X,X,X,X,O
TOLJZIS,O,O,O,O,X,X,O,O,X,X,O,X,O
TOLJZSI,O,O,O,O,X,X,O,O,X,X,O,X,O
TOLSIJZ,X,X,O,X,O,X,O,O,X,X,X,X,X
TOLSIZJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TOLSJIZ,X,O,O,X,O,X,O,O,X,X,X,X,X
TOLSJZI,X,O,O,X,O,X,O,X,X,X,X,X,X
TOLSZIJ,X,O,O,X,O,X,O,O,X,X,X,X,X
TOLSZJI,X,O,O,X,O,X,O,X,X,X,X,X,X
TOLZIJS,O,O,X,O,X,X,O,X,X,X,O,X,X
TOLZISJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TOLZJIS,O,O,X,O,X,X,O,X,X,X,O,X,X
TOLZJSI,O,O,X,O,X,X,O,X,X,X,O,X,X
TOLZSIJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TOLZSJI,O,O,O,O,X,X,O,X,X,X,O,X,X
TOJILSZ,X,O,X,X,O,X,X,O,X,X,X,X,X
TOJILZS,X,O,X,X,X,X,X,O,X,X,X,X,X
TOJISLZ,O,X,X,X,O,X,X,O,X,X,X,X,X
TOJISZL,O,O,X,X,O,X,X,X,O,X,X,X,X
TOJIZLS,O,O,X,O,X,X,X,O,X,X,X,X,X
TOJIZSL,O,O,X,X,O,X,X,X,O,X,X,X,X
TOJLISZ,X,O,X,X,O,X,O,O,X,X,X,X,O
TOJLIZS,X,O,X,X,X,X,O,O,X,X,X,X,O
TOJLSIZ,X,O,O,X,X,X,O,O,X,X,X,X,O
TOJLSZI,X,O,O,X,X,X,O,O,X,X,X,X,O
TOJLZIS,O,O,O,O,X,X,O,O,X,X,X,X,O
TOJLZSI,O,O,O,O,X,X,O,O,X,X,X,X,O
TOJSILZ,O,X,O,X,O,X,O,O,X,X,X,X,X
TOJSIZL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOJSLIZ,O,X,O,X,O,X,O,O,X,X,X,X,X
TOJSLZI,O,X,O,X,O,X,O,O,X,X,X,X,X
TOJSZIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOJSZLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOJZILS,O,O,O,O,X,X,X,O,X,X,X,X,X
TOJZISL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOJZLIS,O,O,O,O,X,X,X,O,X,X,X,X,X
TOJZLSI,O,O,O,O,X,X,X,O,X,X,X,X,X
TOJZSIL,O,O,O,X,X,X,X,X,O,X,X,X,X
TOJZSLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOSILJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
TOSILZJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TOSIJLZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TOSIJZL,X,X,O,X,O,X,X,X,X,X,X,X,X
TOSIZLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSIZJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSLIJZ,X,X,O,X,O,X,O,X,X,X,X,X,X
TOSLIZJ,O,O,O,X,O,X,O,X,X,X,X,X,X
TOSLJIZ,O,O,O,X,O,X,O,X,X,X,X,X,X
TOSLJZI,O,O,O,X,O,X,O,X,X,X,X,X,X
TOSLZIJ,O,O,O,X,O,X,O,X,X,X,X,X,X
TOSLZJI,O,O,O,X,O,X,O,X,X,X,X,X,X
TOSJILZ,O,X,O,X,O,X,O,X,X,X,X,X,X
TOSJIZL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOSJLIZ,O,X,O,X,O,X,O,X,X,X,X,X,X
TOSJLZI,O,X,O,X,O,X,O,X,X,X,X,X,X
TOSJZIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOSZILJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSZIJL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOSZLIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
