sequence,v115@GhA8IeA8BeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBz?iB0rBXrB,v115@GhA8IeA8BeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBz?iBXrB0rB,v115@GhA8IeA8BeA8CeD8AeB8DeC8JeZEJvhFukB3gBtmBz?iB8qBywB,v115@GhA8IeA8BeA8CeD8AeB8DeC8JexAJvhFziB3kBCrBO?pBdsBUrB
ILTJSOZ,O,O,X,X
ILTJZSO,O,X,O,X
ILTJZOS,O,O,O,X
ILTJOSZ,O,O,X,X
ILTJOZS,O,O,O,X
ILTSJZO,X,O,X,X
ILTSJOZ,O,O,X,X
ILTSZJO,X,O,X,X
ILTSZOJ,X,O,X,X
ILTSOJZ,O,O,X,X
ILTSOZJ,X,O,X,X
ILTZJSO,O,X,O,X
ILTZJOS,O,O,O,X
ILTZSJO,O,X,O,X
ILTZSOJ,O,X,O,X
ILTZOJS,O,O,O,X
ILTZOSJ,O,X,O,X
ILTOJSZ,O,O,X,X
ILTOJZS,O,O,O,X
ILTOSJZ,O,O,X,X
ILTOSZJ,X,O,X,X
ILTOZJS,O,O,O,X
ILTOZSJ,O,X,O,X
ILJTSZO,X,O,X,X
ILJTSOZ,O,O,X,X
ILJTZSO,O,X,O,X
ILJTZOS,O,O,O,X
ILJTOSZ,O,O,X,X
ILJTOZS,O,O,O,X
ILJSTZO,X,O,X,X
ILJSTOZ,X,O,X,X
ILJSZTO,X,X,O,X
ILJSZOT,X,X,O,X
ILJSOTZ,X,O,X,X
ILJSOZT,X,X,O,X
ILJZTSO,O,X,O,X
ILJZTOS,O,X,O,X
ILJZSTO,X,X,O,X
ILJZSOT,X,X,O,X
ILJZOTS,O,X,O,X
ILJZOST,X,X,O,X
ILJOTSZ,O,O,X,X
ILJOTZS,O,O,O,X
ILJOSTZ,X,O,X,X
ILJOSZT,X,X,O,X
ILJOZTS,O,X,O,X
ILJOZST,X,X,O,X
ILSTJZO,X,O,X,O
ILSTJOZ,O,O,X,O
ILSTZJO,X,O,X,O
ILSTZOJ,X,O,X,O
ILSTOJZ,O,O,X,O
ILSTOZJ,X,O,X,O
ILSJTZO,X,O,X,O
ILSJTOZ,X,O,X,O
ILSJZTO,X,X,O,O
ILSJZOT,X,X,O,O
ILSJOTZ,X,O,X,O
ILSJOZT,X,X,O,O
ILSZTJO,X,O,O,O
ILSZTOJ,X,O,O,O
ILSZJTO,X,X,O,O
ILSZJOT,X,X,O,O
ILSZOTJ,X,O,O,O
ILSZOJT,X,X,O,O
ILSOTJZ,O,O,X,O
ILSOTZJ,X,O,X,O
ILSOJTZ,X,O,X,O
ILSOJZT,X,X,O,O
ILSOZTJ,X,O,O,O
ILSOZJT,X,X,O,O
ILZTJSO,O,X,O,X
ILZTJOS,O,O,O,X
ILZTSJO,O,X,O,X
ILZTSOJ,O,X,O,X
ILZTOJS,O,O,O,X
ILZTOSJ,O,X,O,X
ILZJTSO,O,X,O,X
ILZJTOS,O,X,O,X
ILZJSTO,X,X,O,X
ILZJSOT,X,X,O,X
ILZJOTS,O,X,O,X
ILZJOST,X,X,O,X
ILZSTJO,O,X,O,X
ILZSTOJ,O,X,O,X
ILZSJTO,X,X,O,X
ILZSJOT,X,X,O,X
ILZSOTJ,O,X,O,X
ILZSOJT,X,X,O,X
ILZOTJS,O,O,O,X
ILZOTSJ,O,X,O,X
ILZOJTS,O,X,O,X
ILZOJST,X,X,O,X
ILZOSTJ,O,X,O,X
ILZOSJT,X,X,O,X
ILOTJSZ,O,O,X,X
ILOTJZS,O,O,O,X
ILOTSJZ,O,O,X,X
ILOTSZJ,X,O,X,X
ILOTZJS,O,O,O,X
ILOTZSJ,O,X,O,X
ILOJTSZ,O,O,X,X
ILOJTZS,O,O,O,X
ILOJSTZ,X,O,X,X
ILOJSZT,X,X,O,X
ILOJZTS,O,X,O,X
ILOJZST,X,X,O,X
ILOSTJZ,O,O,X,O
ILOSTZJ,X,O,X,O
ILOSJTZ,X,O,X,O
ILOSJZT,X,X,O,O
ILOSZTJ,X,O,O,O
ILOSZJT,X,X,O,O
ILOZTJS,O,O,O,X
ILOZTSJ,O,X,O,X
ILOZJTS,O,X,O,X
ILOZJST,X,X,O,X
ILOZSTJ,O,X,O,X
ILOZSJT,X,X,O,X
IJTLSZO,X,O,X,X
IJTLSOZ,O,O,X,X
IJTLZSO,O,X,O,X
IJTLZOS,O,O,O,X
IJTLOSZ,O,O,X,X
IJTLOZS,O,O,O,X
IJTSLZO,X,O,X,X
IJTSLOZ,O,O,X,X
IJTSZLO,O,O,O,X
IJTSZOL,O,O,O,X
IJTSOLZ,O,O,X,X
IJTSOZL,O,O,O,X
IJTZLSO,O,X,O,X
IJTZLOS,O,O,O,X
IJTZSLO,O,O,O,X
IJTZSOL,O,O,O,X
IJTZOLS,O,O,O,X
IJTZOSL,O,O,O,X
IJTOLSZ,O,O,X,X
IJTOLZS,O,O,O,X
IJTOSLZ,O,O,X,X
IJTOSZL,O,O,O,X
IJTOZLS,O,O,O,X
IJTOZSL,O,O,O,X
IJLTSZO,X,O,X,X
IJLTSOZ,O,O,X,X
IJLTZSO,O,X,O,X
IJLTZOS,O,O,O,X
IJLTOSZ,O,O,X,X
IJLTOZS,O,O,O,X
IJLSTZO,X,O,X,X
IJLSTOZ,X,O,X,X
IJLSZTO,X,X,O,X
IJLSZOT,X,X,O,X
IJLSOTZ,X,O,X,X
IJLSOZT,X,X,O,X
IJLZTSO,O,X,O,X
IJLZTOS,O,X,O,X
IJLZSTO,X,X,O,X
IJLZSOT,X,X,O,X
IJLZOTS,O,X,O,X
IJLZOST,X,X,O,X
IJLOTSZ,O,O,X,X
IJLOTZS,O,O,O,X
IJLOSTZ,X,O,X,X
IJLOSZT,X,X,O,X
IJLOZTS,O,X,O,X
IJLOZST,X,X,O,X
IJSTLZO,X,O,X,X
IJSTLOZ,O,O,X,X
IJSTZLO,O,O,O,X
IJSTZOL,O,O,O,X
IJSTOLZ,O,O,X,X
IJSTOZL,O,O,O,X
IJSLTZO,X,O,X,X
IJSLTOZ,X,O,X,X
IJSLZTO,X,X,O,X
IJSLZOT,X,X,O,X
IJSLOTZ,X,O,X,X
IJSLOZT,X,X,O,X
IJSZTLO,O,O,O,X
IJSZTOL,O,O,O,X
IJSZLTO,X,X,O,X
IJSZLOT,X,X,O,X
IJSZOTL,O,O,O,X
IJSZOLT,X,X,O,X
IJSOTLZ,O,O,X,X
IJSOTZL,O,O,O,X
IJSOLTZ,X,O,X,X
IJSOLZT,X,X,O,X
IJSOZTL,O,O,O,X
IJSOZLT,X,X,O,X
IJZTLSO,O,X,O,X
IJZTLOS,O,O,O,X
IJZTSLO,O,O,O,X
IJZTSOL,O,O,O,X
IJZTOLS,O,O,O,X
IJZTOSL,O,O,O,X
IJZLTSO,O,X,O,X
IJZLTOS,O,X,O,X
IJZLSTO,X,X,O,X
IJZLSOT,X,X,O,X
IJZLOTS,O,X,O,X
IJZLOST,X,X,O,X
IJZSTLO,O,O,O,X
IJZSTOL,O,O,O,X
IJZSLTO,X,X,O,X
IJZSLOT,X,X,O,X
IJZSOTL,O,O,O,X
IJZSOLT,X,X,O,X
IJZOTLS,O,O,O,X
IJZOTSL,O,O,O,X
IJZOLTS,O,X,O,X
IJZOLST,X,X,O,X
IJZOSTL,O,O,O,X
IJZOSLT,X,X,O,X
IJOTLSZ,O,O,X,X
IJOTLZS,O,O,O,X
IJOTSLZ,O,O,X,X
IJOTSZL,O,O,O,X
IJOTZLS,O,O,O,X
IJOTZSL,O,O,O,X
IJOLTSZ,O,O,X,X
IJOLTZS,O,O,O,X
IJOLSTZ,X,O,X,X
IJOLSZT,X,X,O,X
IJOLZTS,O,X,O,X
IJOLZST,X,X,O,X
IJOSTLZ,O,O,X,X
IJOSTZL,O,O,O,X
IJOSLTZ,X,O,X,X
IJOSLZT,X,X,O,X
IJOSZTL,O,O,O,X
IJOSZLT,X,X,O,X
IJOZTLS,O,O,O,X
IJOZTSL,O,O,O,X
IJOZLTS,O,X,O,X
IJOZLST,X,X,O,X
IJOZSTL,O,O,O,X
IJOZSLT,X,X,O,X
ISTLJZO,X,O,X,O
ISTLJOZ,O,O,X,O
ISTLZJO,X,O,X,O
ISTLZOJ,X,O,X,O
ISTLOJZ,O,O,X,O
ISTLOZJ,X,O,X,O
ISTJLZO,X,O,X,X
ISTJLOZ,O,O,X,X
ISTJZLO,O,O,O,X
ISTJZOL,O,O,O,X
ISTJOLZ,O,O,X,X
ISTJOZL,O,O,O,X
ISTZLJO,O,O,O,X
ISTZLOJ,O,O,O,X
ISTZJLO,O,O,O,X
ISTZJOL,O,O,O,X
ISTZOLJ,O,O,O,X
ISTZOJL,O,O,O,X
ISTOLJZ,O,O,X,X
ISTOLZJ,X,O,X,X
ISTOJLZ,O,O,X,X
ISTOJZL,O,O,O,X
ISTOZLJ,O,O,O,X
ISTOZJL,O,O,O,X
ISLTJZO,X,O,X,O
ISLTJOZ,O,O,X,O
ISLTZJO,X,O,X,O
ISLTZOJ,X,O,X,O
ISLTOJZ,O,O,X,O
ISLTOZJ,X,O,X,O
ISLJTZO,X,O,X,O
ISLJTOZ,X,O,X,O
ISLJZTO,X,X,O,O
ISLJZOT,X,X,O,O
ISLJOTZ,X,O,X,O
ISLJOZT,X,X,O,O
ISLZTJO,X,O,O,O
ISLZTOJ,X,O,O,O
ISLZJTO,X,X,O,O
ISLZJOT,X,X,O,O
ISLZOTJ,X,O,O,O
ISLZOJT,X,X,O,O
ISLOTJZ,O,O,X,O
ISLOTZJ,X,O,X,O
ISLOJTZ,X,O,X,O
ISLOJZT,X,X,O,O
ISLOZTJ,X,O,O,O
ISLOZJT,X,X,O,O
ISJTLZO,X,O,X,X
ISJTLOZ,O,O,X,X
ISJTZLO,O,O,O,X
ISJTZOL,O,O,O,X
ISJTOLZ,O,O,X,X
ISJTOZL,O,O,O,X
ISJLTZO,X,O,X,O
ISJLTOZ,X,O,X,O
ISJLZTO,X,X,O,O
ISJLZOT,X,X,O,O
ISJLOTZ,X,O,X,O
ISJLOZT,X,X,O,O
ISJZTLO,O,O,O,X
ISJZTOL,O,O,O,X
ISJZLTO,X,X,O,X
ISJZLOT,X,X,O,X
ISJZOTL,O,O,O,X
ISJZOLT,X,X,O,X
ISJOTLZ,O,O,X,X
ISJOTZL,O,O,O,X
ISJOLTZ,X,O,X,X
ISJOLZT,X,X,O,X
ISJOZTL,O,O,O,X
ISJOZLT,X,X,O,X
ISZTLJO,O,O,O,X
ISZTLOJ,O,O,O,X
ISZTJLO,O,O,O,X
ISZTJOL,O,O,O,X
ISZTOLJ,O,O,O,X
ISZTOJL,O,O,O,X
ISZLTJO,O,O,O,O
ISZLTOJ,O,O,O,O
ISZLJTO,X,X,O,O
ISZLJOT,X,X,O,O
ISZLOTJ,O,O,O,O
ISZLOJT,X,X,O,O
ISZJTLO,O,O,O,X
ISZJTOL,O,O,O,X
ISZJLTO,X,X,O,X
ISZJLOT,X,X,O,X
ISZJOTL,O,O,O,X
ISZJOLT,X,X,O,X
ISZOTLJ,O,O,O,X
ISZOTJL,O,O,O,X
ISZOLTJ,O,O,O,X
ISZOLJT,X,X,O,X
ISZOJTL,O,O,O,X
ISZOJLT,X,X,O,X
ISOTLJZ,O,O,X,X
ISOTLZJ,X,O,X,X
ISOTJLZ,O,O,X,X
ISOTJZL,O,O,O,X
ISOTZLJ,O,O,O,X
ISOTZJL,O,O,O,X
ISOLTJZ,O,O,X,O
ISOLTZJ,X,O,X,O
ISOLJTZ,X,O,X,O
ISOLJZT,X,X,O,O
ISOLZTJ,X,O,O,O
ISOLZJT,X,X,O,O
ISOJTLZ,O,O,X,X
ISOJTZL,O,O,O,X
ISOJLTZ,X,O,X,X
ISOJLZT,X,X,O,X
ISOJZTL,O,O,O,X
ISOJZLT,X,X,O,X
ISOZTLJ,O,O,O,X
ISOZTJL,O,O,O,X
ISOZLTJ,O,O,O,X
ISOZLJT,X,X,O,X
ISOZJTL,O,O,O,X
ISOZJLT,X,X,O,X
IZTLJSO,O,X,O,X
IZTLJOS,O,O,O,X
IZTLSJO,O,X,O,X
IZTLSOJ,O,X,O,X
IZTLOJS,O,O,O,X
IZTLOSJ,O,X,O,X
IZTJLSO,O,X,O,X
IZTJLOS,O,O,O,X
IZTJSLO,O,O,O,X
IZTJSOL,O,O,O,X
IZTJOLS,O,O,O,X
IZTJOSL,O,O,O,X
IZTSLJO,O,O,O,X
IZTSLOJ,O,O,O,X
IZTSJLO,O,O,O,X
IZTSJOL,O,O,O,X
IZTSOLJ,O,O,O,X
IZTSOJL,O,O,O,X
IZTOLJS,O,O,O,X
IZTOLSJ,O,X,O,X
IZTOJLS,O,O,O,X
IZTOJSL,O,O,O,X
IZTOSLJ,O,O,O,X
IZTOSJL,O,O,O,X
IZLTJSO,O,X,O,X
IZLTJOS,O,O,O,X
IZLTSJO,O,X,O,X
IZLTSOJ,O,X,O,X
IZLTOJS,O,O,O,X
IZLTOSJ,O,X,O,X
IZLJTSO,O,X,O,X
IZLJTOS,O,X,O,X
IZLJSTO,X,X,O,X
IZLJSOT,X,X,O,X
IZLJOTS,O,X,O,X
IZLJOST,X,X,O,X
IZLSTJO,O,X,O,X
IZLSTOJ,O,X,O,X
IZLSJTO,X,X,O,X
IZLSJOT,X,X,O,X
IZLSOTJ,O,X,O,X
IZLSOJT,X,X,O,X
IZLOTJS,O,O,O,X
IZLOTSJ,O,X,O,X
IZLOJTS,O,X,O,X
IZLOJST,X,X,O,X
IZLOSTJ,O,X,O,X
IZLOSJT,X,X,O,X
IZJTLSO,O,X,O,X
IZJTLOS,O,O,O,X
IZJTSLO,O,O,O,X
IZJTSOL,O,O,O,X
IZJTOLS,O,O,O,X
IZJTOSL,O,O,O,X
IZJLTSO,O,X,O,X
IZJLTOS,O,X,O,X
IZJLSTO,X,X,O,X
IZJLSOT,X,X,O,X
IZJLOTS,O,X,O,X
IZJLOST,X,X,O,X
IZJSTLO,O,O,O,X
IZJSTOL,O,O,O,X
IZJSLTO,X,X,O,X
IZJSLOT,X,X,O,X
IZJSOTL,O,O,O,X
IZJSOLT,X,X,O,X
IZJOTLS,O,O,O,X
IZJOTSL,O,O,O,X
IZJOLTS,O,X,O,X
IZJOLST,X,X,O,X
IZJOSTL,O,O,O,X
IZJOSLT,X,X,O,X
IZSTLJO,O,O,O,X
IZSTLOJ,O,O,O,X
IZSTJLO,O,O,O,X
IZSTJOL,O,O,O,X
IZSTOLJ,O,O,O,X
IZSTOJL,O,O,O,X
IZSLTJO,O,O,O,X
IZSLTOJ,O,O,O,X
IZSLJTO,X,X,O,X
IZSLJOT,X,X,O,X
IZSLOTJ,O,O,O,X
IZSLOJT,X,X,O,X
IZSJTLO,O,O,O,X
IZSJTOL,O,O,O,X
IZSJLTO,X,X,O,X
IZSJLOT,X,X,O,X
IZSJOTL,O,O,O,X
IZSJOLT,X,X,O,X
IZSOTLJ,O,O,O,X
IZSOTJL,O,O,O,X
IZSOLTJ,O,O,O,X
IZSOLJT,X,X,O,X
IZSOJTL,O,O,O,X
IZSOJLT,X,X,O,X
IZOTLJS,O,O,O,X
IZOTLSJ,O,X,O,X
IZOTJLS,O,O,O,X
IZOTJSL,O,O,O,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,O,O,X
IZOLTJS,O,O,O,X
IZOLTSJ,O,X,O,X
IZOLJTS,O,X,O,X
IZOLJST,X,X,O,X
IZOLSTJ,O,X,O,X
IZOLSJT,X,X,O,X
IZOJTLS,O,O,O,X
IZOJTSL,O,O,O,X
IZOJLTS,O,X,O,X
IZOJLST,X,X,O,X
IZOJSTL,O,O,O,X
IZOJSLT,X,X,O,X
IZOSTLJ,O,O,O,X
IZOSTJL,O,O,O,X
IZOSLTJ,O,O,O,X
IZOSLJT,X,X,O,X
IZOSJTL,O,O,O,X
IZOSJLT,X,X,O,X
IOTLJSZ,O,O,X,X
IOTLJZS,O,O,O,X
IOTLSJZ,O,O,X,X
IOTLSZJ,X,O,X,X
IOTLZJS,O,O,O,X
IOTLZSJ,O,X,O,X
IOTJLSZ,O,O,X,X
IOTJLZS,O,O,O,X
IOTJSLZ,O,O,X,X
IOTJSZL,O,O,O,X
IOTJZLS,O,O,O,X
IOTJZSL,O,O,O,X
IOTSLJZ,O,O,X,X
IOTSLZJ,X,O,X,X
IOTSJLZ,O,O,X,X
IOTSJZL,O,O,O,X
IOTSZLJ,O,O,O,X
IOTSZJL,O,O,O,X
IOTZLJS,O,O,O,X
IOTZLSJ,O,X,O,X
IOTZJLS,O,O,O,X
IOTZJSL,O,O,O,X
IOTZSLJ,O,O,O,X
IOTZSJL,O,O,O,X
IOLTJSZ,O,O,X,X
IOLTJZS,O,O,O,X
IOLTSJZ,O,O,X,X
IOLTSZJ,X,O,X,X
IOLTZJS,O,O,O,X
IOLTZSJ,O,X,O,X
IOLJTSZ,O,O,X,X
IOLJTZS,O,O,O,X
IOLJSTZ,X,O,X,X
IOLJSZT,X,X,O,X
IOLJZTS,O,X,O,X
IOLJZST,X,X,O,X
IOLSTJZ,O,O,X,O
IOLSTZJ,X,O,X,O
IOLSJTZ,X,O,X,O
IOLSJZT,X,X,O,O
IOLSZTJ,X,O,O,O
IOLSZJT,X,X,O,O
IOLZTJS,O,O,O,X
IOLZTSJ,O,X,O,X
IOLZJTS,O,X,O,X
IOLZJST,X,X,O,X
IOLZSTJ,O,X,O,X
IOLZSJT,X,X,O,X
IOJTLSZ,O,O,X,X
IOJTLZS,O,O,O,X
IOJTSLZ,O,O,X,X
IOJTSZL,O,O,O,X
IOJTZLS,O,O,O,X
IOJTZSL,O,O,O,X
IOJLTSZ,O,O,X,X
IOJLTZS,O,O,O,X
IOJLSTZ,X,O,X,X
IOJLSZT,X,X,O,X
IOJLZTS,O,X,O,X
IOJLZST,X,X,O,X
IOJSTLZ,O,O,X,X
IOJSTZL,O,O,O,X
IOJSLTZ,X,O,X,X
IOJSLZT,X,X,O,X
IOJSZTL,O,O,O,X
IOJSZLT,X,X,O,X
IOJZTLS,O,O,O,X
IOJZTSL,O,O,O,X
IOJZLTS,O,X,O,X
IOJZLST,X,X,O,X
IOJZSTL,O,O,O,X
IOJZSLT,X,X,O,X
IOSTLJZ,O,O,X,X
IOSTLZJ,X,O,X,X
IOSTJLZ,O,O,X,X
IOSTJZL,O,O,O,X
IOSTZLJ,O,O,O,X
IOSTZJL,O,O,O,X
IOSLTJZ,O,O,X,O
IOSLTZJ,X,O,X,O
IOSLJTZ,X,O,X,O
IOSLJZT,X,X,O,O
IOSLZTJ,X,O,O,O
IOSLZJT,X,X,O,O
IOSJTLZ,O,O,X,X
IOSJTZL,O,O,O,X
IOSJLTZ,X,O,X,X
IOSJLZT,X,X,O,X
IOSJZTL,O,O,O,X
IOSJZLT,X,X,O,X
IOSZTLJ,O,O,O,X
IOSZTJL,O,O,O,X
IOSZLTJ,O,O,O,X
IOSZLJT,X,X,O,X
IOSZJTL,O,O,O,X
IOSZJLT,X,X,O,X
IOZTLJS,O,O,O,X
IOZTLSJ,O,X,O,X
IOZTJLS,O,O,O,X
IOZTJSL,O,O,O,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,O,O,X
IOZLTJS,O,O,O,X
IOZLTSJ,O,X,O,X
IOZLJTS,O,X,O,X
IOZLJST,X,X,O,X
IOZLSTJ,O,X,O,X
IOZLSJT,X,X,O,X
IOZJTLS,O,O,O,X
IOZJTSL,O,O,O,X
IOZJLTS,O,X,O,X
IOZJLST,X,X,O,X
IOZJSTL,O,O,O,X
IOZJSLT,X,X,O,X
IOZSTLJ,O,O,O,X
IOZSTJL,O,O,O,X
IOZSLTJ,O,O,O,X
IOZSLJT,X,X,O,X
IOZSJTL,O,O,O,X
IOZSJLT,X,X,O,X
LTIJSZO,X,O,X,X
LTIJSOZ,O,O,X,X
LTIJZSO,O,X,O,X
LTIJZOS,O,O,O,X
LTIJOSZ,O,O,X,X
LTIJOZS,O,O,O,X
LTISJZO,X,O,X,X
LTISJOZ,O,O,X,X
LTISZJO,X,O,X,X
LTISZOJ,X,O,X,X
LTISOJZ,O,O,X,X
LTISOZJ,X,O,X,X
LTIZJSO,O,X,O,X
LTIZJOS,O,O,O,X
LTIZSJO,O,X,O,X
LTIZSOJ,O,X,O,X
LTIZOJS,O,O,O,X
LTIZOSJ,O,X,O,X
LTIOJSZ,O,O,X,X
LTIOJZS,O,O,O,X
LTIOSJZ,O,O,X,X
LTIOSZJ,X,O,X,X
LTIOZJS,O,O,O,X
LTIOZSJ,O,X,O,X
LTJISZO,X,O,X,X
LTJISOZ,O,O,X,X
LTJIZSO,O,X,O,X
LTJIZOS,O,O,O,X
LTJIOSZ,O,O,X,X
LTJIOZS,O,O,O,X
LTJSIZO,X,O,X,X
LTJSIOZ,O,O,X,X
LTJSZIO,X,O,X,X
LTJSZOI,X,O,X,X
LTJSOIZ,O,O,X,X
LTJSOZI,X,O,X,X
LTJZISO,O,X,O,X
LTJZIOS,O,O,O,X
LTJZSIO,O,X,O,X
LTJZSOI,O,X,O,X
LTJZOIS,O,O,O,X
LTJZOSI,O,X,O,X
LTJOISZ,O,O,X,X
LTJOIZS,O,O,O,X
LTJOSIZ,O,O,X,X
LTJOSZI,X,O,X,X
LTJOZIS,O,O,O,X
LTJOZSI,O,X,O,X
LTSIJZO,X,O,X,O
LTSIJOZ,O,O,X,O
LTSIZJO,X,O,X,O
LTSIZOJ,X,O,X,O
LTSIOJZ,O,O,X,O
LTSIOZJ,X,O,X,O
LTSJIZO,X,O,X,O
LTSJIOZ,O,O,X,O
LTSJZIO,X,O,X,O
LTSJZOI,X,O,X,O
LTSJOIZ,O,O,X,O
LTSJOZI,X,O,X,O
LTSZIJO,X,O,X,O
LTSZIOJ,X,O,X,O
LTSZJIO,X,O,X,O
LTSZJOI,X,O,X,O
LTSZOIJ,X,O,X,O
LTSZOJI,X,O,X,O
LTSOIJZ,O,O,X,O
LTSOIZJ,X,O,X,O
LTSOJIZ,O,O,X,O
LTSOJZI,X,O,X,O
LTSOZIJ,X,O,X,O
LTSOZJI,X,O,X,O
LTZIJSO,O,X,O,X
LTZIJOS,O,O,O,X
LTZISJO,O,X,O,X
LTZISOJ,O,X,O,X
LTZIOJS,O,O,O,X
LTZIOSJ,O,X,O,X
LTZJISO,O,X,O,X
LTZJIOS,O,O,O,X
LTZJSIO,O,X,O,X
LTZJSOI,O,X,O,X
LTZJOIS,O,O,O,X
LTZJOSI,O,X,O,X
LTZSIJO,O,X,O,X
LTZSIOJ,O,X,O,X
LTZSJIO,O,X,O,X
LTZSJOI,O,X,O,X
LTZSOIJ,O,X,O,X
LTZSOJI,O,X,O,X
LTZOIJS,O,O,O,X
LTZOISJ,O,X,O,X
LTZOJIS,O,O,O,X
LTZOJSI,O,X,O,X
LTZOSIJ,O,X,O,X
LTZOSJI,O,X,O,X
LTOIJSZ,O,O,X,X
LTOIJZS,O,O,O,X
LTOISJZ,O,O,X,X
LTOISZJ,X,O,X,X
LTOIZJS,O,O,O,X
LTOIZSJ,O,X,O,X
LTOJISZ,O,O,X,X
LTOJIZS,O,O,O,X
LTOJSIZ,O,O,X,X
LTOJSZI,X,O,X,X
LTOJZIS,O,O,O,X
LTOJZSI,O,X,O,X
LTOSIJZ,O,O,X,O
LTOSIZJ,X,O,X,O
LTOSJIZ,O,O,X,O
LTOSJZI,X,O,X,O
LTOSZIJ,X,O,X,O
LTOSZJI,X,O,X,O
LTOZIJS,O,O,O,X
LTOZISJ,O,X,O,X
LTOZJIS,O,O,O,X
LTOZJSI,O,X,O,X
LTOZSIJ,O,X,O,X
LTOZSJI,O,X,O,X
LITJSZO,X,O,X,X
LITJSOZ,O,O,X,X
LITJZSO,O,X,O,X
LITJZOS,O,O,O,X
LITJOSZ,O,O,X,X
LITJOZS,O,O,O,X
LITSJZO,X,O,X,X
LITSJOZ,O,O,X,X
LITSZJO,X,O,X,X
LITSZOJ,X,O,X,X
LITSOJZ,O,O,X,X
LITSOZJ,X,O,X,X
LITZJSO,O,X,O,X
LITZJOS,O,O,O,X
LITZSJO,O,X,O,X
LITZSOJ,O,X,O,X
LITZOJS,O,O,O,X
LITZOSJ,O,X,O,X
LITOJSZ,O,O,X,X
LITOJZS,O,O,O,X
LITOSJZ,O,O,X,X
LITOSZJ,X,O,X,X
LITOZJS,O,O,O,X
LITOZSJ,O,X,O,X
LIJTSZO,X,O,X,X
LIJTSOZ,O,O,X,X
LIJTZSO,O,X,O,X
LIJTZOS,O,O,O,X
LIJTOSZ,O,O,X,X
LIJTOZS,O,O,O,X
LIJSTZO,X,O,X,X
LIJSTOZ,X,O,X,X
LIJSZTO,X,X,O,X
LIJSZOT,X,X,O,X
LIJSOTZ,X,O,X,X
LIJSOZT,X,X,O,X
LIJZTSO,O,X,O,X
LIJZTOS,O,X,O,X
LIJZSTO,X,X,O,X
LIJZSOT,X,X,O,X
LIJZOTS,O,X,O,X
LIJZOST,X,X,O,X
LIJOTSZ,O,O,X,X
LIJOTZS,O,O,O,X
LIJOSTZ,X,O,X,X
LIJOSZT,X,X,O,X
LIJOZTS,O,X,O,X
LIJOZST,X,X,O,X
LISTJZO,X,O,X,O
LISTJOZ,O,O,X,O
LISTZJO,X,O,X,O
LISTZOJ,X,O,X,O
LISTOJZ,O,O,X,O
LISTOZJ,X,O,X,O
LISJTZO,X,O,X,O
LISJTOZ,X,O,X,O
LISJZTO,X,X,O,O
LISJZOT,X,X,O,O
LISJOTZ,X,O,X,O
LISJOZT,X,X,O,O
LISZTJO,X,O,O,O
LISZTOJ,X,O,O,O
LISZJTO,X,X,O,O
LISZJOT,X,X,O,O
LISZOTJ,X,O,O,O
LISZOJT,X,X,O,O
LISOTJZ,O,O,X,O
LISOTZJ,X,O,X,O
LISOJTZ,X,O,X,O
LISOJZT,X,X,O,O
LISOZTJ,X,O,O,O
LISOZJT,X,X,O,O
LIZTJSO,O,X,O,X
LIZTJOS,O,O,O,X
LIZTSJO,O,X,O,X
LIZTSOJ,O,X,O,X
LIZTOJS,O,O,O,X
LIZTOSJ,O,X,O,X
LIZJTSO,O,X,O,X
LIZJTOS,O,X,O,X
LIZJSTO,X,X,O,X
LIZJSOT,X,X,O,X
LIZJOTS,O,X,O,X
LIZJOST,X,X,O,X
LIZSTJO,O,X,O,X
LIZSTOJ,O,X,O,X
LIZSJTO,X,X,O,X
LIZSJOT,X,X,O,X
LIZSOTJ,O,X,O,X
LIZSOJT,X,X,O,X
LIZOTJS,O,O,O,X
LIZOTSJ,O,X,O,X
LIZOJTS,O,X,O,X
LIZOJST,X,X,O,X
LIZOSTJ,O,X,O,X
LIZOSJT,X,X,O,X
LIOTJSZ,O,O,X,X
LIOTJZS,O,O,O,X
LIOTSJZ,O,O,X,X
LIOTSZJ,X,O,X,X
LIOTZJS,O,O,O,X
LIOTZSJ,O,X,O,X
LIOJTSZ,O,O,X,X
LIOJTZS,O,O,O,X
LIOJSTZ,X,O,X,X
LIOJSZT,X,X,O,X
LIOJZTS,O,X,O,X
LIOJZST,X,X,O,X
LIOSTJZ,O,O,X,O
LIOSTZJ,X,O,X,O
LIOSJTZ,X,O,X,O
LIOSJZT,X,X,O,O
LIOSZTJ,X,O,O,O
LIOSZJT,X,X,O,O
LIOZTJS,O,O,O,X
LIOZTSJ,O,X,O,X
LIOZJTS,O,X,O,X
LIOZJST,X,X,O,X
LIOZSTJ,O,X,O,X
LIOZSJT,X,X,O,X
LJTISZO,X,O,X,X
LJTISOZ,O,O,X,X
LJTIZSO,O,X,O,X
LJTIZOS,O,O,O,X
LJTIOSZ,O,O,X,X
LJTIOZS,O,O,O,X
LJTSIZO,X,O,X,X
LJTSIOZ,O,O,X,X
LJTSZIO,X,O,X,X
LJTSZOI,X,O,X,X
