sequence,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFxgBmiBilBF?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBziBFlBm?mB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBVnBaoBm?kB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeOEJvhFVlBUhBRiBi?nBzpB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBK?sBznBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBTkBeqBF?nB8sBisB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFanBziBxkBl?pB3sBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBliBTkBe?qBysBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFVmBikBmnB3?nBzpBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JexAJvhFmiBTkBilBF?nB3sB0pB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBFlBmmBz?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFOlBXhBRnB0?pBisBlsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBeoBypBF?nB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeKEJvhFUhBRiBFlB2?sB3sBzpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBy?sBTsBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhB2pBFnB8?sBzpBisB
TISJOLZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TISZOLJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TISOLJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJSO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIZJOLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIZSLJO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIZSOLJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TIZOLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
