sequence,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFxgBmiBilBF?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBziBFlBm?mB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBVnBaoBm?kB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeOEJvhFVlBUhBRiBi?nBzpB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBK?sBznBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBTkBeqBF?nB8sBisB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFanBziBxkBl?pB3sBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBliBTkBe?qBysBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFVmBikBmnB3?nBzpBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JexAJvhFmiBTkBilBF?nB3sB0pB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBFlBmmBz?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFOlBXhBRnB0?pBisBlsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBeoBypBF?nB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeKEJvhFUhBRiBFlB2?sB3sBzpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBy?sBTsBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhB2pBFnB8?sBzpBisB
IZSJOTL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZSJOLT,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
IZSOTLJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IZSOLTJ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IZSOLJT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
IZSOJTL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSOJLT,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IZOTLJS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOTLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
IZOTJSL,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X
IZOTSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLTJS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJTS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJST,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZOLSJT,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZOJTLS,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
IZOJTSL,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X
IZOJLTS,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
IZOJLST,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOJSTL,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
IZOJSLT,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOSTLJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLTJ,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
IZOSJTL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLTSJZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
IOLTSZJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLTZJS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IOLJSZT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJZST,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLSJZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLSZJT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLZSJT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJTSZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOJTZSL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IOJLZST,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLZT,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJSZLT,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJZTSL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJZLTS,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IOJZLST,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJZSTL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJZSLT,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
IOSTLZJ,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
IOSLTZJ,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOSLJTZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOSLJZT,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOSLZJT,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJZLT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOSZTLJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSZLTJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
IOSZJTL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOZTLJS,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
IOZTJSL,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X
IOZTSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZLTJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOZJTLS,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X
IOZJTSL,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X
IOZJLTS,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
IOZJLST,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZJSTL,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
IOZJSLT,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZSTLJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZSLTJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSLJT,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
IOZSJTL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZSJLT,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTIJSZO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIJSOZ,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTIJZSO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISJZO,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X
LTISJOZ,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTISZJO,O,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X
LTISZOJ,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
LTISOJZ,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTISOZJ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTIZJSO,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
LTIZJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZSJO,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTJISOZ,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTJIZSO,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJIOSZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJSIZO,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
LTJSIOZ,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X
LTJSZIO,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
LTJSZOI,O,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X
LTJSOIZ,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X
LTJSOZI,X,O,X,O,X,X,X,O,O,X,X,X,O,O,X,X
LTJZISO,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
LTJZIOS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJZSIO,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
LTJZSOI,O,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X
LTJZOIS,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
LTJZOSI,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
LTJOISZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJOSIZ,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTJOSZI,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X
LTJOZIS,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
LTJOZSI,O,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
LTSIJZO,O,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X
LTSIJOZ,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
LTSIZJO,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
LTSIZOJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
LTSIOJZ,O,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X
LTSIOZJ,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X
LTSJIZO,O,O,O,O,X,X,O,O,X,O,X,O,O,O,X,X
LTSJIOZ,O,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X
LTSJZIO,O,O,O,O,X,X,O,O,X,O,X,O,O,O,X,X
LTSJZOI,O,O,O,O,O,X,O,O,O,O,X,O,O,O,O,X
LTSJOIZ,O,O,X,O,O,X,O,O,O,O,X,X,X,O,O,X
LTSJOZI,O,O,X,O,O,X,O,O,O,O,X,X,O,O,O,X
LTSZIJO,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
LTSZIOJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
LTSZJIO,O,O,O,O,X,X,O,O,X,O,X,O,X,O,X,X
LTSZJOI,O,O,O,O,O,X,O,O,X,O,X,O,X,O,O,X
LTSZOIJ,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
LTSZOJI,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X
LTSOIJZ,O,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X
LTSOIZJ,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X
LTSOJIZ,O,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X
LTSOJZI,O,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X
LTSOZIJ,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X
LTSOZJI,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X
LTZIJSO,O,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X
LTZIJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZISJO,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZISOJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZJISO,O,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X
LTZJIOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZJSIO,O,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X
LTZJSOI,O,O,O,O,X,X,O,O,O,X,X,O,X,O,X,X
LTZJOIS,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X
LTZJOSI,O,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X
LTZSIJO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LTZSIOJ,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X
LTZSJIO,O,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X
LTZSJOI,O,O,O,O,O,X,O,O,X,X,X,O,X,O,O,X
LTZSOIJ,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X
LTZSOJI,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X
LTZOIJS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZOISJ,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTZOJIS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTZOJSI,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X
LTZOSIJ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
LTZOSJI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
LTOIJSZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOISJZ,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
LTOISZJ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOIZJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJISZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOJSIZ,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTOJSZI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTOJZIS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOJZSI,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTOSIJZ,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
LTOSIZJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOSJIZ,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
LTOSJZI,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X
LTOSZIJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOSZJI,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOZISJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZJIS,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTOZJSI,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
LTOZSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZSJI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITJSOZ,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LITJZSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITJOZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITSJZO,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
LITSJOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LITSZJO,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
LITSZOJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LITSOJZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LITSOZJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZJSO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LITZJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LITZSJO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LITZSOJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LITZOSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LITOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOJZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOSJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITOSZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJTSZO,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LIJTSOZ,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LIJTZSO,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LIJTZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LIJTOSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LIJTOZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LIJSTZO,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X
LIJSTOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LIJSZTO,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LIJSZOT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJSOTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LIJSOZT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LIJZTSO,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
LIJZTOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJZSTO,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LIJZSOT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJZOTS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJZOST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJOTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOTZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOSTZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LIJOSZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOZTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJOZST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LISTJZO,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LISTJOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LISTZJO,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LISTZOJ,O,X,X,X,O,X,O,X,X,O,X,O,X,X,O,X
LISTOJZ,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X
LISTOZJ,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X
