sequence,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nBXsB0sB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nB0sBXsB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB3hBt?nB8rByxB,v115@GhA8IeC8BeA8CeD8AeB8DeA8Je2EJvhFRgB9mBiiBc?qBXsBzsB
TLSZOJI,O,X,X,O
TLSOIJZ,O,O,X,X
TLSOIZJ,O,X,X,X
TLSOJIZ,O,O,X,X
TLSOJZI,O,X,X,X
TLSOZIJ,O,X,X,O
TLSOZJI,O,X,X,O
TLZIJSO,X,O,O,O
TLZIJOS,O,O,O,X
TLZISJO,X,O,O,O
TLZISOJ,X,O,O,O
TLZIOJS,O,O,O,X
TLZIOSJ,X,O,O,X
TLZJISO,X,O,O,O
TLZJIOS,O,O,O,X
TLZJSIO,X,O,O,O
TLZJSOI,X,O,O,O
TLZJOIS,O,O,O,X
TLZJOSI,X,O,O,X
TLZSIJO,X,O,O,O
TLZSIOJ,X,O,O,O
TLZSJIO,X,O,O,O
TLZSJOI,X,O,O,O
TLZSOIJ,X,O,O,O
TLZSOJI,X,O,O,O
TLZOIJS,O,O,O,X
TLZOISJ,X,O,O,X
TLZOJIS,O,O,O,X
TLZOJSI,X,O,O,X
TLZOSIJ,X,O,O,X
TLZOSJI,X,O,O,X
TLOIJSZ,O,O,X,X
TLOIJZS,O,O,O,X
TLOISJZ,O,O,X,X
TLOISZJ,O,X,X,X
TLOIZJS,O,O,O,X
TLOIZSJ,X,O,O,X
TLOJISZ,O,O,X,X
TLOJIZS,O,O,O,X
TLOJSIZ,O,O,X,X
TLOJSZI,O,X,X,X
TLOJZIS,O,O,O,X
TLOJZSI,X,O,O,X
TLOSIJZ,O,O,X,X
TLOSIZJ,O,X,X,X
TLOSJIZ,O,O,X,X
TLOSJZI,O,X,X,X
TLOSZIJ,O,X,X,X
TLOSZJI,O,X,X,X
TLOZIJS,O,O,O,X
TLOZISJ,X,O,O,X
TLOZJIS,O,O,O,X
TLOZJSI,X,O,O,X
TLOZSIJ,X,O,O,X
TLOZSJI,X,O,O,X
TJILSZO,O,X,X,X
TJILSOZ,O,O,X,X
TJILZSO,X,O,O,X
TJILZOS,O,O,O,X
TJILOSZ,O,O,X,X
TJILOZS,O,O,O,X
TJISLZO,O,X,X,X
TJISLOZ,O,O,X,X
TJISZLO,O,O,O,X
TJISZOL,O,O,O,X
TJISOLZ,O,O,X,X
TJISOZL,O,O,O,X
TJIZLSO,X,O,O,X
TJIZLOS,O,O,O,X
TJIZSLO,O,O,O,X
TJIZSOL,O,O,O,X
TJIZOLS,O,O,O,X
TJIZOSL,O,O,O,X
TJIOLSZ,O,O,X,X
TJIOLZS,O,O,O,X
TJIOSLZ,O,O,X,X
TJIOSZL,O,O,O,X
