sequence,v115@QhA8BeC8CeB8AeD8CeB8JeZEJvhFukB3gBUiBFjB6r?BTsB
TILJSZO,O
TILJSOZ,X
TILJZSO,O
TILJZOS,X
TILJOSZ,X
TILJOZS,X
TILSJZO,O
TILSJOZ,X
TILSZJO,O
TILSZOJ,X
TILSOJZ,X
TILSOZJ,X
TILZJSO,O
TILZJOS,X
TILZSJO,O
TILZSOJ,X
TILZOJS,X
TILZOSJ,X
TILOJSZ,X
TILOJZS,X
TILOSJZ,X
TILOSZJ,X
TILOZJS,X
TILOZSJ,X
TIJLSZO,O
TIJLSOZ,X
TIJLZSO,O
TIJLZOS,X
TIJLOSZ,X
TIJLOZS,X
TIJSLZO,O
TIJSLOZ,X
TIJSZLO,X
TIJSZOL,X
TIJSOLZ,X
TIJSOZL,O
TIJZLSO,X
TIJZLOS,X
TIJZSLO,X
TIJZSOL,X
TIJZOLS,X
TIJZOSL,X
TIJOLSZ,O
TIJOLZS,O
TIJOSLZ,X
TIJOSZL,O
TIJOZLS,X
TIJOZSL,O
TISLJZO,O
TISLJOZ,X
TISLZJO,O
TISLZOJ,X
TISLOJZ,X
TISLOZJ,X
TISJLZO,O
TISJLOZ,X
TISJZLO,X
TISJZOL,X
TISJOLZ,X
TISJOZL,O
TISZLJO,X
TISZLOJ,X
TISZJLO,X
TISZJOL,X
TISZOLJ,X
TISZOJL,X
TISOLJZ,X
TISOLZJ,X
TISOJLZ,X
TISOJZL,O
TISOZLJ,X
TISOZJL,O
TIZLJSO,X
TIZLJOS,X
TIZLSJO,X
TIZLSOJ,X
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,X
TIZJLOS,X
TIZJSLO,X
TIZJSOL,X
TIZJOLS,X
TIZJOSL,X
TIZSLJO,X
TIZSLOJ,X
TIZSJLO,X
TIZSJOL,X
TIZSOLJ,X
TIZSOJL,X
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,X
TIZOSLJ,X
TIZOSJL,X
TIOLJSZ,O
TIOLJZS,O
TIOLSJZ,O
TIOLSZJ,O
TIOLZJS,O
TIOLZSJ,O
TIOJLSZ,O
TIOJLZS,O
TIOJSLZ,X
TIOJSZL,O
TIOJZLS,X
TIOJZSL,O
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,O
TIOSZLJ,X
TIOSZJL,O
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,O
TIOZSLJ,X
TIOZSJL,O
TLIJSZO,O
TLIJSOZ,X
TLIJZSO,O
TLIJZOS,X
TLIJOSZ,X
TLIJOZS,X
TLISJZO,O
TLISJOZ,X
TLISZJO,O
TLISZOJ,X
TLISOJZ,X
TLISOZJ,X
TLIZJSO,O
TLIZJOS,X
TLIZSJO,O
TLIZSOJ,X
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,X
TLIOJZS,X
TLIOSJZ,X
TLIOSZJ,X
TLIOZJS,X
TLIOZSJ,X
TLJISZO,O
TLJISOZ,X
TLJIZSO,O
TLJIZOS,X
TLJIOSZ,X
TLJIOZS,X
TLJSIZO,O
TLJSIOZ,X
TLJSZIO,O
TLJSZOI,X
TLJSOIZ,X
TLJSOZI,X
TLJZISO,O
TLJZIOS,X
TLJZSIO,O
TLJZSOI,X
TLJZOIS,X
TLJZOSI,X
TLJOISZ,X
TLJOIZS,X
TLJOSIZ,X
TLJOSZI,X
TLJOZIS,X
TLJOZSI,X
TLSIJZO,O
TLSIJOZ,X
TLSIZJO,O
TLSIZOJ,X
TLSIOJZ,X
TLSIOZJ,X
TLSJIZO,O
TLSJIOZ,X
TLSJZIO,O
TLSJZOI,X
TLSJOIZ,X
TLSJOZI,X
TLSZIJO,O
TLSZIOJ,X
TLSZJIO,O
TLSZJOI,X
TLSZOIJ,X
TLSZOJI,X
TLSOIJZ,X
TLSOIZJ,X
TLSOJIZ,X
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,O
TLZIJOS,X
TLZISJO,O
TLZISOJ,X
TLZIOJS,X
TLZIOSJ,X
TLZJISO,O
TLZJIOS,X
TLZJSIO,O
TLZJSOI,X
TLZJOIS,X
TLZJOSI,X
TLZSIJO,O
TLZSIOJ,X
TLZSJIO,O
TLZSJOI,X
TLZSOIJ,X
TLZSOJI,X
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,X
TLOIJZS,X
