sequence,v115@MhC8GeB8BeA8AeA8CeE8Jei/IvhFFhBxiBcpBOqBXo?BzqB,v115@MhC8GeB8BeA8AeA8CeE8JeZEJvhFFgBXhBTjBWqB0n?ByvB,v115@MhC8GeB8BeA8AeA8CeE8JeZEJvhFukBFhBTjBKqBfr?B0sB,v115@MhC8GeB8BeA8AeA8CeE8Jex/IvhFXhBTjBOpBVqB0n?ByvB,v115@MhC8GeB8BeA8AeA8CeE8JeZEJvhFCgBOmBTjBXlB0n?B1vB
ITJLSOZ,X,O,O,O,O
ITJLZSO,O,O,X,O,X
ITJLZOS,O,O,X,O,X
ITJLOSZ,X,O,O,O,O
ITJLOZS,X,O,X,O,X
ITJSLZO,O,X,O,X,O
ITJSLOZ,X,O,O,O,O
ITJSZLO,O,X,X,X,O
ITJSZOL,O,O,X,O,O
ITJSOLZ,X,O,O,O,O
ITJSOZL,O,O,X,O,O
ITJZLSO,O,X,X,X,X
ITJZLOS,O,X,X,X,X
ITJZSLO,O,X,X,X,O
ITJZSOL,O,O,X,O,O
ITJZOLS,O,X,X,X,X
ITJZOSL,X,O,X,O,O
ITJOLSZ,X,O,O,O,O
ITJOLZS,X,O,X,O,X
ITJOSLZ,X,O,O,O,O
ITJOSZL,X,O,X,O,O
ITJOZLS,O,X,X,X,X
ITJOZSL,X,O,X,O,O
ITSLJZO,O,O,O,X,O
ITSLJOZ,X,O,O,X,O
ITSLZJO,O,X,O,X,O
ITSLZOJ,O,X,O,X,O
ITSLOJZ,X,O,O,X,O
ITSLOZJ,O,X,O,X,O
ITSJLZO,O,X,O,X,O
ITSJLOZ,X,O,O,O,O
ITSJZLO,O,X,X,X,O
ITSJZOL,O,O,X,O,O
ITSJOLZ,X,O,O,O,O
ITSJOZL,O,O,X,O,O
ITSZLJO,O,X,O,X,O
ITSZLOJ,O,X,O,X,O
ITSZJLO,O,X,X,X,O
ITSZJOL,O,X,X,X,O
ITSZOLJ,O,X,O,X,O
ITSZOJL,O,X,X,X,O
ITSOLJZ,X,O,O,X,O
ITSOLZJ,O,X,O,X,O
ITSOJLZ,X,O,O,O,O
ITSOJZL,O,O,X,O,O
ITSOZLJ,O,X,O,X,O
ITSOZJL,O,X,X,X,O
ITZLJSO,O,X,X,X,X
ITZLJOS,O,X,X,X,X
ITZLSJO,O,X,X,X,X
ITZLSOJ,O,X,X,X,X
ITZLOJS,O,X,X,X,X
ITZLOSJ,O,X,X,X,X
ITZJLSO,O,X,X,X,X
ITZJLOS,O,X,X,X,X
ITZJSLO,O,X,X,X,O
ITZJSOL,X,X,X,X,O
ITZJOLS,O,X,X,X,X
ITZJOSL,X,X,X,X,O
ITZSLJO,O,X,O,X,O
ITZSLOJ,O,X,O,X,O
ITZSJLO,O,X,X,X,O
ITZSJOL,X,X,X,X,O
ITZSOLJ,O,X,O,X,O
ITZSOJL,X,X,X,X,O
ITZOLJS,O,X,X,X,X
ITZOLSJ,O,X,X,X,X
ITZOJLS,O,X,X,X,X
ITZOJSL,O,X,X,X,O
ITZOSLJ,O,X,O,X,O
ITZOSJL,X,X,X,X,O
ITOLJSZ,X,O,O,O,O
ITOLJZS,X,O,X,O,X
ITOLSJZ,X,O,O,O,O
ITOLSZJ,X,X,O,X,O
ITOLZJS,O,X,X,X,X
ITOLZSJ,O,X,X,X,X
ITOJLSZ,X,O,O,O,O
ITOJLZS,O,O,X,O,X
ITOJSLZ,X,O,O,O,O
ITOJSZL,O,O,X,O,O
ITOJZLS,O,X,X,X,X
ITOJZSL,O,O,X,O,O
ITOSLJZ,X,O,O,X,O
ITOSLZJ,O,X,O,X,O
ITOSJLZ,X,O,O,O,O
ITOSJZL,O,O,X,O,O
ITOSZLJ,O,X,O,X,O
ITOSZJL,O,X,X,X,O
ITOZLJS,O,X,X,X,X
ITOZLSJ,O,X,X,X,X
ITOZJLS,O,X,X,X,X
ITOZJSL,O,X,X,X,O
ITOZSLJ,O,X,O,X,O
ITOZSJL,O,X,X,X,O
ILTJSZO,X,O,O,O,O
ILTJSOZ,X,O,O,O,O
ILTJZSO,O,O,X,O,X
ILTJZOS,O,O,X,O,X
ILTJOSZ,X,O,O,O,O
ILTJOZS,X,O,X,O,X
ILTSJZO,X,O,O,O,O
ILTSJOZ,X,O,O,O,O
ILTSZJO,X,X,O,X,O
ILTSZOJ,X,X,O,X,O
ILTSOJZ,X,O,O,O,O
ILTSOZJ,X,X,O,X,O
ILTZJSO,O,X,X,X,X
ILTZJOS,O,X,X,X,X
ILTZSJO,O,X,X,X,X
ILTZSOJ,O,X,X,X,X
ILTZOJS,O,X,X,X,X
ILTZOSJ,O,X,X,X,X
ILTOJSZ,X,O,O,O,O
ILTOJZS,X,O,X,O,X
ILTOSJZ,X,O,O,O,O
ILTOSZJ,X,X,O,X,O
ILTOZJS,O,X,X,X,X
ILTOZSJ,O,X,X,X,X
ILJTSZO,X,O,O,X,X
ILJTSOZ,X,O,O,X,X
ILJTZSO,O,O,X,X,X
ILJTZOS,O,O,X,X,X
ILJTOSZ,X,O,O,X,X
ILJTOZS,X,O,X,X,X
ILJSTZO,X,O,O,X,X
ILJSTOZ,X,O,O,X,X
ILJSZTO,X,O,O,X,X
ILJSZOT,X,O,O,X,X
ILJSOTZ,X,O,O,X,X
ILJSOZT,X,O,O,X,X
ILJZTSO,O,O,X,X,X
ILJZTOS,O,O,X,X,X
ILJZSTO,O,O,O,X,X
ILJZSOT,X,O,O,X,X
ILJZOTS,O,O,X,X,X
ILJZOST,X,O,O,X,X
ILJOTSZ,X,O,O,X,X
ILJOTZS,X,O,X,X,X
ILJOSTZ,X,O,O,X,X
ILJOSZT,X,O,O,X,X
ILJOZTS,X,O,X,X,X
ILJOZST,X,O,O,X,X
ILSTJZO,X,O,O,O,X
ILSTJOZ,X,O,O,O,X
ILSTZJO,X,X,O,X,X
ILSTZOJ,X,X,O,X,X
ILSTOJZ,X,O,O,O,X
ILSTOZJ,X,X,O,X,X
ILSJTZO,X,O,O,X,X
ILSJTOZ,X,O,O,X,X
ILSJZTO,X,O,O,X,X
ILSJZOT,X,O,O,X,X
ILSJOTZ,X,O,O,X,X
ILSJOZT,X,O,O,X,X
ILSZTJO,X,X,O,X,X
ILSZTOJ,X,X,O,X,X
ILSZJTO,X,O,O,X,X
ILSZJOT,X,O,O,X,X
ILSZOTJ,X,X,O,X,X
ILSZOJT,X,O,O,X,X
ILSOTJZ,X,O,O,O,X
ILSOTZJ,X,X,O,X,X
ILSOJTZ,X,O,O,X,X
ILSOJZT,X,O,O,X,X
ILSOZTJ,X,X,O,X,X
ILSOZJT,X,O,O,X,X
ILZTJSO,O,X,X,X,X
ILZTJOS,O,X,X,X,X
ILZTSJO,O,X,X,X,X
ILZTSOJ,O,X,X,X,X
ILZTOJS,O,X,X,X,X
ILZTOSJ,O,X,X,X,X
ILZJTSO,O,O,X,X,X
ILZJTOS,O,O,X,X,X
ILZJSTO,O,O,O,X,X
ILZJSOT,X,O,O,X,X
ILZJOTS,O,O,X,X,X
ILZJOST,X,O,O,X,X
ILZSTJO,O,X,O,X,X
ILZSTOJ,O,X,O,X,X
ILZSJTO,O,O,O,X,X
ILZSJOT,X,O,O,X,X
ILZSOTJ,O,X,O,X,X
ILZSOJT,X,O,O,X,X
ILZOTJS,O,X,X,X,X
ILZOTSJ,O,X,X,X,X
ILZOJTS,O,O,X,X,X
ILZOJST,O,O,O,X,X
ILZOSTJ,O,X,O,X,X
ILZOSJT,X,O,O,X,X
ILOTJSZ,X,O,O,O,O
ILOTJZS,X,O,X,O,X
ILOTSJZ,X,O,O,O,O
ILOTSZJ,X,X,O,X,O
ILOTZJS,O,X,X,X,X
ILOTZSJ,O,X,X,X,X
ILOJTSZ,X,O,O,X,X
ILOJTZS,O,O,X,X,X
ILOJSTZ,X,O,O,X,X
ILOJSZT,X,O,O,X,X
ILOJZTS,O,O,X,X,X
ILOJZST,O,O,O,X,X
ILOSTJZ,X,O,O,O,X
ILOSTZJ,X,X,O,X,X
ILOSJTZ,X,O,O,X,X
ILOSJZT,X,O,O,X,X
ILOSZTJ,X,X,O,X,X
ILOSZJT,X,O,O,X,X
ILOZTJS,O,X,X,X,X
ILOZTSJ,O,X,X,X,X
ILOZJTS,O,O,X,X,X
ILOZJST,O,O,O,X,X
ILOZSTJ,O,X,O,X,X
ILOZSJT,X,O,O,X,X
IJTLSZO,X,O,O,O,O
IJTLSOZ,X,O,O,O,O
IJTLZSO,O,O,X,O,X
IJTLZOS,O,O,X,O,X
IJTLOSZ,X,O,O,O,O
IJTLOZS,X,O,X,O,X
IJTSLZO,O,X,O,X,O
IJTSLOZ,X,O,O,O,O
IJTSZLO,O,X,X,X,O
IJTSZOL,O,O,X,O,O
IJTSOLZ,X,O,O,O,O
IJTSOZL,O,O,X,O,O
IJTZLSO,O,X,X,X,X
IJTZLOS,O,X,X,X,X
IJTZSLO,O,X,X,X,O
IJTZSOL,O,O,X,O,O
IJTZOLS,O,X,X,X,X
IJTZOSL,X,O,X,O,O
IJTOLSZ,X,O,O,O,O
IJTOLZS,X,O,X,O,X
IJTOSLZ,X,O,O,O,O
IJTOSZL,X,O,X,O,O
IJTOZLS,O,X,X,X,X
IJTOZSL,X,O,X,O,O
IJLTSZO,X,O,O,X,X
IJLTSOZ,X,O,O,X,X
IJLTZSO,O,O,X,X,X
IJLTZOS,O,O,X,X,X
IJLTOSZ,X,O,O,X,X
IJLTOZS,X,O,X,X,X
IJLSTZO,X,O,O,X,X
IJLSTOZ,X,O,O,X,X
IJLSZTO,X,O,O,X,X
IJLSZOT,X,O,O,X,X
IJLSOTZ,X,O,O,X,X
IJLSOZT,X,O,O,X,X
IJLZTSO,O,O,X,X,X
IJLZTOS,O,O,X,X,X
IJLZSTO,O,O,O,X,X
IJLZSOT,X,O,O,X,X
IJLZOTS,O,O,X,X,X
IJLZOST,X,O,O,X,X
IJLOTSZ,X,O,O,X,X
IJLOTZS,X,O,X,X,X
IJLOSTZ,X,O,O,X,X
IJLOSZT,X,O,O,X,X
IJLOZTS,X,O,X,X,X
IJLOZST,X,O,O,X,X
IJSTLZO,O,X,O,X,X
IJSTLOZ,X,O,O,X,X
IJSTZLO,O,X,X,X,X
IJSTZOL,O,O,X,X,X
IJSTOLZ,X,O,O,X,X
IJSTOZL,O,O,X,X,X
IJSLTZO,O,O,O,X,X
IJSLTOZ,X,O,O,X,X
IJSLZTO,O,O,O,X,X
IJSLZOT,O,O,O,X,X
IJSLOTZ,X,O,O,X,X
IJSLOZT,X,O,O,X,X
IJSZTLO,O,X,X,X,X
IJSZTOL,O,O,X,X,X
IJSZLTO,O,X,X,X,X
IJSZLOT,O,X,X,X,X
IJSZOTL,O,O,X,X,X
IJSZOLT,O,X,X,X,X
IJSOTLZ,X,O,O,X,X
IJSOTZL,O,O,X,X,X
IJSOLTZ,X,O,O,X,X
IJSOLZT,X,O,O,X,X
IJSOZTL,O,O,X,X,X
IJSOZLT,O,X,X,X,X
IJZTLSO,O,X,X,X,X
IJZTLOS,O,X,X,X,X
IJZTSLO,O,X,X,X,X
IJZTSOL,O,O,X,X,X
IJZTOLS,O,X,X,X,X
IJZTOSL,X,O,X,X,X
IJZLTSO,O,O,X,X,X
IJZLTOS,O,O,X,X,X
IJZLSTO,O,O,O,X,X
IJZLSOT,O,O,O,X,X
IJZLOTS,O,O,X,X,X
IJZLOST,X,O,O,X,X
IJZSTLO,O,X,X,X,X
IJZSTOL,O,O,X,X,X
IJZSLTO,O,X,X,X,X
IJZSLOT,O,X,X,X,X
IJZSOTL,O,O,X,X,X
IJZSOLT,O,X,X,X,X
IJZOTLS,O,X,X,X,X
IJZOTSL,O,O,X,X,X
IJZOLTS,O,O,X,X,X
IJZOLST,O,O,O,X,X
IJZOSTL,O,O,X,X,X
IJZOSLT,O,X,X,X,X
IJOTLSZ,X,O,O,O,O
IJOTLZS,O,O,X,O,X
IJOTSLZ,X,O,O,O,O
IJOTSZL,O,O,X,O,O
IJOTZLS,O,X,X,X,X
IJOTZSL,O,O,X,O,O
IJOLTSZ,X,O,O,X,X
IJOLTZS,O,O,X,X,X
IJOLSTZ,X,O,O,X,X
IJOLSZT,X,O,O,X,X
IJOLZTS,O,O,X,X,X
IJOLZST,O,O,O,X,X
IJOSTLZ,X,O,O,X,X
IJOSTZL,O,O,X,X,X
IJOSLTZ,X,O,O,X,X
IJOSLZT,X,O,O,X,X
IJOSZTL,O,O,X,X,X
IJOSZLT,O,X,X,X,X
IJOZTLS,O,X,X,X,X
IJOZTSL,O,O,X,X,X
IJOZLTS,O,O,X,X,X
IJOZLST,O,O,O,X,X
IJOZSTL,O,O,X,X,X
IJOZSLT,O,X,X,X,X
ISTLJZO,O,O,O,X,O
ISTLJOZ,X,O,O,X,O
ISTLZJO,O,X,O,X,O
ISTLZOJ,O,X,O,X,O
ISTLOJZ,X,O,O,X,O
ISTLOZJ,O,X,O,X,O
ISTJLZO,O,X,O,X,O
ISTJLOZ,X,O,O,O,O
ISTJZLO,O,X,X,X,O
ISTJZOL,O,O,X,O,O
ISTJOLZ,X,O,O,O,O
ISTJOZL,O,O,X,O,O
ISTZLJO,O,X,O,X,O
ISTZLOJ,O,X,O,X,O
ISTZJLO,O,X,X,X,O
ISTZJOL,O,X,X,X,O
ISTZOLJ,O,X,O,X,O
ISTZOJL,O,X,X,X,O
ISTOLJZ,X,O,O,X,O
ISTOLZJ,O,X,O,X,O
ISTOJLZ,O,O,O,O,O
ISTOJZL,O,O,X,O,O
ISTOZLJ,O,X,O,X,O
ISTOZJL,O,X,X,X,O
ISLTJZO,O,O,O,O,X
ISLTJOZ,X,O,O,O,X
ISLTZJO,O,X,O,X,X
ISLTZOJ,O,X,O,X,X
ISLTOJZ,X,O,O,O,X
ISLTOZJ,O,X,O,X,X
ISLJTZO,O,O,O,X,X
ISLJTOZ,X,O,O,X,X
ISLJZTO,O,O,O,X,X
ISLJZOT,O,O,O,X,X
ISLJOTZ,X,O,O,X,X
ISLJOZT,X,O,O,X,X
ISLZTJO,O,X,O,X,X
ISLZTOJ,O,X,O,X,X
ISLZJTO,O,O,O,X,X
ISLZJOT,O,O,O,X,X
ISLZOTJ,O,X,O,X,X
ISLZOJT,O,O,O,X,X
ISLOTJZ,X,O,O,O,X
ISLOTZJ,O,X,O,X,X
ISLOJTZ,O,O,O,X,X
ISLOJZT,O,O,O,X,X
ISLOZTJ,O,X,O,X,X
ISLOZJT,O,O,O,X,X
ISJTLZO,O,X,O,X,X
ISJTLOZ,X,O,O,X,X
ISJTZLO,O,X,X,X,X
ISJTZOL,O,O,X,X,X
ISJTOLZ,X,O,O,X,X
ISJTOZL,O,O,X,X,X
ISJLTZO,O,O,O,X,X
ISJLTOZ,X,O,O,X,X
ISJLZTO,O,O,O,X,X
ISJLZOT,O,O,O,X,X
ISJLOTZ,X,O,O,X,X
ISJLOZT,X,O,O,X,X
ISJZTLO,O,X,X,X,X
ISJZTOL,O,O,X,X,X
ISJZLTO,O,X,X,X,X
ISJZLOT,O,X,X,X,X
ISJZOTL,O,O,X,X,X
ISJZOLT,O,X,X,X,X
ISJOTLZ,O,O,O,X,X
ISJOTZL,O,O,X,X,X
ISJOLTZ,O,O,O,X,X
ISJOLZT,O,O,O,X,X
ISJOZTL,O,O,X,X,X
ISJOZLT,O,X,X,X,X
ISZTLJO,O,X,O,X,X
ISZTLOJ,O,X,O,X,X
ISZTJLO,O,X,X,X,X
ISZTJOL,O,X,X,X,X
ISZTOLJ,O,X,O,X,X
ISZTOJL,O,X,X,X,X
ISZLTJO,O,X,O,X,X
ISZLTOJ,O,X,O,X,X
ISZLJTO,O,O,O,X,X
ISZLJOT,O,O,O,X,X
ISZLOTJ,O,X,O,X,X
ISZLOJT,O,O,O,X,X
ISZJTLO,O,X,X,X,X
ISZJTOL,O,O,X,X,X
ISZJLTO,O,X,X,X,X
ISZJLOT,O,X,X,X,X
ISZJOTL,O,O,X,X,X
ISZJOLT,O,X,X,X,X
ISZOTLJ,O,X,O,X,X
ISZOTJL,O,X,X,X,X
ISZOLTJ,O,X,O,X,X
ISZOLJT,O,O,O,X,X
ISZOJTL,O,O,X,X,X
ISZOJLT,O,X,X,X,X
ISOTLJZ,X,O,O,X,O
ISOTLZJ,O,X,O,X,O
ISOTJLZ,O,O,O,O,O
ISOTJZL,O,O,X,O,O
ISOTZLJ,O,X,O,X,O
ISOTZJL,O,X,X,X,O
ISOLTJZ,X,O,O,O,X
ISOLTZJ,O,X,O,X,X
ISOLJTZ,O,O,O,X,X
ISOLJZT,O,O,O,X,X
ISOLZTJ,O,X,O,X,X
ISOLZJT,O,O,O,X,X
ISOJTLZ,O,O,O,X,X
ISOJTZL,O,O,X,X,X
ISOJLTZ,O,O,O,X,X
ISOJLZT,O,O,O,X,X
ISOJZTL,O,O,X,X,X
ISOJZLT,O,X,X,X,X
ISOZTLJ,O,X,O,X,X
ISOZTJL,O,X,X,X,X
ISOZLTJ,O,X,O,X,X
ISOZLJT,O,O,O,X,X
ISOZJTL,O,O,X,X,X
ISOZJLT,O,X,X,X,X
IZTLJSO,O,X,X,X,X
IZTLJOS,O,X,X,X,X
IZTLSJO,O,X,X,X,X
IZTLSOJ,O,X,X,X,X
IZTLOJS,O,X,X,X,X
IZTLOSJ,O,X,X,X,X
IZTJLSO,O,X,X,X,X
IZTJLOS,O,X,X,X,X
IZTJSLO,O,X,X,X,O
IZTJSOL,X,X,X,X,O
IZTJOLS,O,X,X,X,X
IZTJOSL,X,X,X,X,O
IZTSLJO,O,X,O,X,O
IZTSLOJ,O,X,O,X,O
IZTSJLO,O,X,X,X,O
IZTSJOL,X,X,X,X,O
IZTSOLJ,O,X,O,X,O
IZTSOJL,X,X,X,X,O
IZTOLJS,O,X,X,X,X
IZTOLSJ,O,X,X,X,X
IZTOJLS,O,X,X,X,X
IZTOJSL,O,X,X,X,O
IZTOSLJ,O,X,O,X,O
IZTOSJL,X,X,X,X,O
IZLTJSO,O,X,X,X,X
IZLTJOS,O,X,X,X,X
IZLTSJO,O,X,X,X,X
IZLTSOJ,O,X,X,X,X
IZLTOJS,O,X,X,X,X
IZLTOSJ,O,X,X,X,X
IZLJTSO,O,O,X,X,X
IZLJTOS,O,O,X,X,X
IZLJSTO,O,O,O,X,X
IZLJSOT,O,O,O,X,X
IZLJOTS,O,O,X,X,X
IZLJOST,X,O,O,X,X
IZLSTJO,O,X,O,X,X
IZLSTOJ,O,X,O,X,X
IZLSJTO,O,O,O,X,X
IZLSJOT,O,O,O,X,X
IZLSOTJ,O,X,O,X,X
IZLSOJT,O,O,O,X,X
IZLOTJS,O,X,X,X,X
IZLOTSJ,O,X,X,X,X
IZLOJTS,O,O,X,X,X
IZLOJST,O,O,O,X,X
IZLOSTJ,O,X,O,X,X
IZLOSJT,O,O,O,X,X
IZJTLSO,O,X,X,X,X
IZJTLOS,O,X,X,X,X
IZJTSLO,O,X,X,X,X
IZJTSOL,O,O,X,X,X
IZJTOLS,O,X,X,X,X
IZJTOSL,X,O,X,X,X
IZJLTSO,O,O,X,X,X
IZJLTOS,O,O,X,X,X
IZJLSTO,O,O,O,X,X
IZJLSOT,O,O,O,X,X
IZJLOTS,O,O,X,X,X
IZJLOST,X,O,O,X,X
IZJSTLO,O,X,X,X,X
IZJSTOL,O,O,X,X,X
IZJSLTO,O,X,X,X,X
IZJSLOT,O,X,X,X,X
IZJSOTL,O,O,X,X,X
IZJSOLT,O,X,X,X,X
IZJOTLS,O,X,X,X,X
IZJOTSL,O,O,X,X,X
IZJOLTS,O,O,X,X,X
IZJOLST,O,O,O,X,X
IZJOSTL,O,O,X,X,X
IZJOSLT,O,X,X,X,X
IZSTLJO,O,X,O,X,X
IZSTLOJ,O,X,O,X,X
IZSTJLO,O,X,X,X,X
IZSTJOL,O,X,X,X,X
IZSTOLJ,O,X,O,X,X
IZSTOJL,O,X,X,X,X
IZSLTJO,O,X,O,X,X
IZSLTOJ,O,X,O,X,X
IZSLJTO,O,O,O,X,X
IZSLJOT,O,O,O,X,X
IZSLOTJ,O,X,O,X,X
IZSLOJT,O,O,O,X,X
IZSJTLO,O,X,X,X,X
IZSJTOL,O,O,X,X,X
IZSJLTO,O,X,X,X,X
IZSJLOT,O,X,X,X,X
IZSJOTL,O,O,X,X,X
IZSJOLT,O,X,X,X,X
IZSOTLJ,O,X,O,X,X
IZSOTJL,O,X,X,X,X
IZSOLTJ,O,X,O,X,X
IZSOLJT,O,O,O,X,X
IZSOJTL,O,O,X,X,X
IZSOJLT,O,X,X,X,X
IZOTLJS,O,X,X,X,X
IZOTLSJ,O,X,X,X,X
IZOTJLS,O,X,X,X,X
IZOTJSL,O,X,X,X,O
IZOTSLJ,O,X,O,X,O
IZOTSJL,O,X,X,X,O
IZOLTJS,O,X,X,X,X
IZOLTSJ,O,X,X,X,X
IZOLJTS,O,O,X,X,X
IZOLJST,O,O,O,X,X
IZOLSTJ,O,X,O,X,X
IZOLSJT,O,O,O,X,X
IZOJTLS,O,X,X,X,X
IZOJTSL,O,O,X,X,X
IZOJLTS,O,O,X,X,X
IZOJLST,O,O,O,X,X
IZOJSTL,O,O,X,X,X
IZOJSLT,O,X,X,X,X
IZOSTLJ,O,X,O,X,X
IZOSTJL,O,X,X,X,X
IZOSLTJ,O,X,O,X,X
IZOSLJT,O,O,O,X,X
IZOSJTL,O,O,X,X,X
IZOSJLT,O,X,X,X,X
IOTLJSZ,X,O,O,O,O
IOTLJZS,X,O,X,O,X
IOTLSJZ,X,O,O,O,O
IOTLSZJ,X,X,O,X,O
IOTLZJS,O,X,X,X,X
IOTLZSJ,O,X,X,X,X
IOTJLSZ,X,O,O,O,O
IOTJLZS,O,O,X,O,X
IOTJSLZ,X,O,O,O,O
IOTJSZL,O,O,X,O,O
IOTJZLS,O,X,X,X,X
IOTJZSL,O,O,X,O,O
IOTSLJZ,X,O,O,X,O
IOTSLZJ,O,X,O,X,O
IOTSJLZ,X,O,O,O,O
IOTSJZL,O,O,X,O,O
IOTSZLJ,O,X,O,X,O
IOTSZJL,O,X,X,X,O
IOTZLJS,O,X,X,X,X
IOTZLSJ,O,X,X,X,X
IOTZJLS,O,X,X,X,X
IOTZJSL,O,X,X,X,O
IOTZSLJ,O,X,O,X,O
IOTZSJL,O,X,X,X,O
IOLTJSZ,X,O,O,O,O
IOLTJZS,X,O,X,O,X
IOLTSJZ,X,O,O,O,O
IOLTSZJ,X,X,O,X,O
IOLTZJS,O,X,X,X,X
IOLTZSJ,O,X,X,X,X
IOLJTSZ,X,O,O,X,X
IOLJTZS,O,O,X,X,X
IOLJSTZ,X,O,O,X,X
IOLJSZT,X,O,O,X,X
IOLJZTS,O,O,X,X,X
IOLJZST,O,O,O,X,X
IOLSTJZ,X,O,O,O,X
IOLSTZJ,X,X,O,X,X
IOLSJTZ,X,O,O,X,X
IOLSJZT,X,O,O,X,X
IOLSZTJ,X,X,O,X,X
IOLSZJT,X,O,O,X,X
IOLZTJS,O,X,X,X,X
IOLZTSJ,O,X,X,X,X
IOLZJTS,O,O,X,X,X
IOLZJST,O,O,O,X,X
IOLZSTJ,O,X,O,X,X
IOLZSJT,X,O,O,X,X
IOJTLSZ,X,O,O,O,O
IOJTLZS,O,O,X,O,X
IOJTSLZ,O,O,O,O,O
IOJTSZL,O,O,X,O,O
IOJTZLS,O,X,X,X,X
IOJTZSL,O,O,X,O,O
IOJLTSZ,X,O,O,X,X
IOJLTZS,O,O,X,X,X
IOJLSTZ,X,O,O,X,X
IOJLSZT,X,O,O,X,X
IOJLZTS,O,O,X,X,X
IOJLZST,O,O,O,X,X
IOJSTLZ,O,O,O,X,X
IOJSTZL,O,O,X,X,X
IOJSLTZ,O,O,O,X,X
IOJSLZT,O,O,O,X,X
IOJSZTL,O,O,X,X,X
IOJSZLT,O,X,X,X,X
IOJZTLS,O,X,X,X,X
IOJZTSL,O,O,X,X,X
IOJZLTS,O,O,X,X,X
IOJZLST,O,O,O,X,X
IOJZSTL,O,O,X,X,X
IOJZSLT,O,X,X,X,X
IOSTLJZ,X,O,O,X,O
IOSTLZJ,O,X,O,X,O
IOSTJLZ,O,O,O,O,O
IOSTJZL,O,O,X,O,O
IOSTZLJ,O,X,O,X,O
IOSTZJL,O,X,X,X,O
IOSLTJZ,X,O,O,O,X
IOSLTZJ,O,X,O,X,X
IOSLJTZ,O,O,O,X,X
IOSLJZT,O,O,O,X,X
IOSLZTJ,O,X,O,X,X
IOSLZJT,O,O,O,X,X
IOSJTLZ,O,O,O,X,X
IOSJTZL,O,O,X,X,X
IOSJLTZ,O,O,O,X,X
IOSJLZT,O,O,O,X,X
IOSJZTL,O,O,X,X,X
IOSJZLT,O,X,X,X,X
IOSZTLJ,O,X,O,X,X
IOSZTJL,O,X,X,X,X
IOSZLTJ,O,X,O,X,X
IOSZLJT,O,O,O,X,X
IOSZJTL,O,O,X,X,X
IOSZJLT,O,X,X,X,X
IOZTLJS,O,X,X,X,X
IOZTLSJ,O,X,X,X,X
IOZTJLS,O,X,X,X,X
IOZTJSL,O,X,X,X,O
IOZTSLJ,O,X,O,X,O
IOZTSJL,O,X,X,X,O
IOZLTJS,O,X,X,X,X
IOZLTSJ,O,X,X,X,X
IOZLJTS,O,O,X,X,X
IOZLJST,O,O,O,X,X
IOZLSTJ,O,X,O,X,X
IOZLSJT,O,O,O,X,X
IOZJTLS,O,X,X,X,X
IOZJTSL,O,O,X,X,X
IOZJLTS,O,O,X,X,X
IOZJLST,O,O,O,X,X
IOZJSTL,O,O,X,X,X
IOZJSLT,O,X,X,X,X
IOZSTLJ,O,X,O,X,X
IOZSTJL,O,X,X,X,X
IOZSLTJ,O,X,O,X,X
IOZSLJT,O,O,O,X,X
IOZSJTL,O,O,X,X,X
IOZSJLT,O,X,X,X,X
LTIJSZO,X,O,O,O,O
LTIJSOZ,X,O,O,O,O
LTIJZSO,O,O,X,O,X
LTIJZOS,O,O,X,O,X
LTIJOSZ,X,O,O,O,O
LTIJOZS,X,O,X,O,X
LTISJZO,X,O,O,O,O
LTISJOZ,X,O,O,O,O
LTISZJO,X,X,O,X,O
LTISZOJ,X,X,O,X,O
LTISOJZ,X,O,O,O,O
LTISOZJ,X,X,O,X,O
LTIZJSO,O,X,X,X,X
LTIZJOS,O,X,X,X,X
LTIZSJO,O,X,X,X,X
LTIZSOJ,O,X,X,X,X
LTIZOJS,O,X,X,X,X
LTIZOSJ,O,X,X,X,X
LTIOJSZ,X,O,O,O,O
LTIOJZS,X,O,X,O,X
LTIOSJZ,X,O,O,O,O
LTIOSZJ,X,X,O,X,O
LTIOZJS,O,X,X,X,X
LTIOZSJ,O,X,X,X,X
LTJISZO,X,O,O,O,O
LTJISOZ,X,O,O,O,O
LTJIZSO,O,O,X,O,X
LTJIZOS,O,O,X,O,X
LTJIOSZ,X,O,O,O,O
LTJIOZS,X,O,X,O,X
LTJSIZO,O,O,O,O,O
LTJSIOZ,X,O,O,O,O
LTJSZIO,O,O,O,O,O
LTJSZOI,O,O,O,O,O
LTJSOIZ,X,O,O,O,O
LTJSOZI,X,O,O,O,O
LTJZISO,O,O,X,O,X
LTJZIOS,O,O,X,O,X
LTJZSIO,O,O,X,O,X
LTJZSOI,O,O,X,O,X
LTJZOIS,O,O,X,O,X
LTJZOSI,O,O,X,O,X
LTJOISZ,X,O,O,O,O
LTJOIZS,X,O,X,O,X
LTJOSIZ,X,O,O,O,O
LTJOSZI,X,O,O,O,O
LTJOZIS,X,O,X,O,X
LTJOZSI,X,O,X,O,X
LTSIJZO,O,O,O,O,O
LTSIJOZ,X,O,O,O,O
LTSIZJO,O,X,O,X,O
LTSIZOJ,O,X,O,X,O
LTSIOJZ,X,O,O,O,O
LTSIOZJ,O,X,O,X,O
LTSJIZO,O,O,O,O,O
LTSJIOZ,X,O,O,O,O
