sequence,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeFAJvhF3iB5oB?UmBTsBurByvB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeUAJvhFliB5oB?3mBTsByvBGrB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KezAJvhF3iB5oB?WsBVwBaqBUsB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeFAJvhFzhB5oB?UmBXsBusByvB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeGBJvhFliB5oB?/sB0rBaqBzqB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeUAJvhFzhB5oB?KrBFsBusB3qB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8Ke3AJvhFzhB5oB?KrBFsBusBUqB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8Ke3AJvhF1mB5oB?+sBinBTrBUqB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeUAJvhF1mB5oB?+sBinBTrB3qB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KezAJvhFUiB5oB?WsBVwBaqB3sB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeKGJvhFzhB5oB?XsBusB0qBFqB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeyFJvhF5oBUnB?XrBusBFqBzrB,v115@9gA8IeB8FeA8AeD8DeA8AeB8FeA8KeWGJvhF5oBTnB?0rBaqBXrBlsB
TILOZJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TIJLSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
TIJLSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TIJLZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
TIJLZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
TIJLOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TIJLOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TIJSLZO,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJSLOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJSZLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TIJSZOL,X,X,O,O,O,X,X,X,X,O,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,O,X,O,X,X,X
TIJSOZL,O,X,O,X,X,X,X,O,X,O,X,X,X
TIJZLSO,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJZLOS,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJZSLO,X,X,O,O,X,X,X,X,X,O,X,X,X
TIJZSOL,X,X,O,O,X,X,X,X,X,O,X,X,X
TIJZOLS,O,X,O,X,X,X,X,X,O,O,X,X,O
TIJZOSL,O,O,O,X,X,X,X,X,O,O,X,X,X
TIJOLSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
TIJOLZS,X,X,O,X,X,O,O,X,O,O,X,X,X
TIJOSLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
TIJOSZL,O,O,O,X,X,X,X,O,O,O,X,X,X
TIJOZLS,O,X,O,X,X,X,X,X,O,O,X,X,X
TIJOZSL,O,O,O,X,X,X,X,O,O,O,X,X,X
TISLJZO,X,X,O,X,X,O,O,X,X,X,O,X,X
TISLJOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
TISLZJO,X,X,X,O,O,O,O,X,X,X,O,O,X
TISLZOJ,X,X,X,O,O,O,O,X,X,X,O,X,X
TISLOJZ,X,X,O,X,X,O,O,X,X,X,O,X,X
TISLOZJ,O,X,X,X,X,O,O,X,X,X,O,X,X
TISJLZO,X,X,O,X,X,X,X,X,X,O,X,X,X
TISJLOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
TISJZLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TISJZOL,X,X,O,O,O,X,X,X,X,O,X,X,X
TISJOLZ,X,X,O,X,X,X,X,O,X,O,X,X,X
TISJOZL,O,X,O,X,X,X,X,O,X,O,X,X,X
TISZLJO,X,X,X,O,O,X,X,X,X,X,X,O,X
TISZLOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TISZJLO,X,X,O,O,O,X,X,X,X,X,X,O,X
TISZJOL,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,O,O,X,X,X,X,X,X,X,X
TISOLJZ,X,O,O,X,X,O,O,O,X,X,O,X,X
TISOLZJ,O,O,X,X,X,O,O,X,X,X,O,X,X
TISOJLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
TISOJZL,O,O,O,X,X,X,X,O,X,O,X,X,X
TISOZLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
TISOZJL,O,O,O,O,O,X,X,O,X,X,X,X,X
TIZLJSO,X,X,X,X,X,O,O,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,O,O,X,X,X,X,X,X
TIZLSJO,X,X,X,O,X,O,O,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,O,O,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TIZJLSO,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZJLOS,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZJSLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZJSOL,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZJOLS,O,X,O,X,X,X,X,X,O,O,X,X,O
TIZJOSL,O,O,O,X,X,X,X,X,O,O,X,X,X
TIZSLJO,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,O,O,O,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,X,O,O,X,O,X,X,X,O
TIZOLSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TIZOJLS,O,X,O,X,X,X,X,X,O,O,X,X,O
TIZOJSL,O,O,O,X,X,X,X,X,O,O,X,X,X
TIZOSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,O,O,X,X,X,X,O,X,X,X,X
TIOLJSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
TIOLJZS,X,X,O,X,X,O,O,X,O,O,X,X,X
TIOLSJZ,X,O,O,X,X,O,O,O,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TIOLZJS,O,X,X,X,X,O,O,X,O,X,X,X,X
TIOLZSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
TIOJLZS,X,X,O,X,X,O,O,X,O,O,X,X,X
TIOJSLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
TIOJSZL,O,O,O,X,X,X,X,O,O,O,X,X,X
TIOJZLS,O,X,O,X,X,X,X,X,O,O,X,X,X
TIOJZSL,O,O,O,X,X,X,X,O,O,O,X,X,X
TIOSLJZ,X,O,O,X,X,O,O,O,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TIOSJLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
TIOSJZL,O,O,O,X,X,X,X,O,O,O,X,X,X
TIOSZLJ,O,O,X,O,O,X,X,X,X,X,X,X,X
TIOSZJL,O,O,O,O,O,X,X,O,O,X,X,X,X
TIOZLJS,O,X,X,X,X,O,O,X,O,X,X,X,X
TIOZLSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TIOZJLS,O,X,O,X,X,X,X,X,O,O,X,X,X
TIOZJSL,O,O,O,X,X,X,X,O,O,O,X,X,X
TIOZSLJ,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,O,O,X,X,X,O,O,X,X,X,X
TLIJSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
TLIJSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TLIJZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
TLIJZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
TLIJOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TLIJOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TLISJZO,X,X,O,X,X,O,O,X,X,X,X,X,X
TLISJOZ,X,X,O,X,X,O,O,X,X,X,X,X,X
TLISZJO,X,X,X,O,O,O,O,X,X,X,X,O,X
TLISZOJ,X,X,X,O,O,O,O,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,O,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,O,O,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIZSJO,X,X,X,O,X,O,O,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,O,O,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TLIOJZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TLIOSJZ,X,O,O,X,X,O,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,O,O,X,X,O,X,X,X
TLJISOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TLJIZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
TLJIZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TLJIOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TLJSIZO,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJZIOS,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TLJOIZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TLJOSIZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,X,O,O,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,O,O,X,X,X,X,X,X
TLSIZJO,X,X,X,O,O,O,O,X,X,X,X,O,X
TLSIZOJ,X,X,X,O,O,O,O,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,O,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,O,O,X,X,X,X,X,X
TLSJIZO,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,O,O,O,O,X,X,X,X,O,X
TLSZIOJ,X,X,X,O,O,O,O,X,X,X,X,X,X
TLSZJIO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,O,O,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,O,O,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,O,O,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,O,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZISJO,X,X,X,O,X,O,O,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,O,O,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,O,X,O,O,X,X,X,X,X,X
TLZSIOJ,X,X,X,O,X,O,O,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,O,O,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TLOIJZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TLOISJZ,X,O,O,X,X,O,O,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TLOJIZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TLOJSIZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,O,X,X,X,O,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,O,X,X,O,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,O,O,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
TJILSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJILZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
TJILZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
TJILOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJILOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TJISLZO,X,X,O,X,X,X,X,X,X,O,X,X,X
TJISLOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
TJISZLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TJISZOL,X,X,O,O,O,X,X,X,X,O,X,X,X
TJISOLZ,X,X,O,X,X,X,X,O,X,O,X,X,X
TJISOZL,O,X,O,X,X,X,X,O,X,O,X,X,X
TJIZLSO,X,X,O,X,X,X,X,X,X,O,X,X,X
TJIZLOS,X,X,O,X,X,X,X,X,X,O,X,X,X
TJIZSLO,X,X,O,O,X,X,X,X,X,O,X,X,X
TJIZSOL,X,X,O,O,X,X,X,X,X,O,X,X,X
TJIZOLS,O,X,O,X,X,X,X,X,O,O,X,X,O
TJIZOSL,O,O,O,X,X,X,X,X,O,O,X,X,X
TJIOLSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
TJIOLZS,X,X,O,X,X,O,O,X,O,O,X,X,X
TJIOSLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
TJIOSZL,O,O,O,X,X,X,X,O,O,O,X,X,X
TJIOZLS,O,X,O,X,X,X,X,X,O,O,X,X,X
TJIOZSL,O,O,O,X,X,X,X,O,O,O,X,X,X
TJLISZO,X,X,O,X,X,O,O,X,X,O,X,X,X
TJLISOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJLIZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
TJLIZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
TJLIOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJLIOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TJLSIZO,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLZIOS,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TJLOIZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TJLOSIZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,O,X,X,X,O,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,O,X,X,X,X,X,X,O,X,X,X
TJSILOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
TJSIZLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TJSIZOL,X,X,O,O,O,X,X,X,X,O,X,X,X
TJSIOLZ,X,X,O,X,X,X,X,O,X,O,X,X,X
TJSIOZL,O,X,O,X,X,X,X,O,X,O,X,X,X
TJSLIZO,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,O,O,O,X,X,X,X,O,X,X,X
TJSZIOL,X,X,O,O,O,X,X,X,X,O,X,X,X
TJSZLIO,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,O,O,O,X,X,X,X,O,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,O,X,X,X,X,O,X,O,X,X,X
TJSOIZL,O,X,O,X,X,X,X,O,X,O,X,X,X
TJSOLIZ,X,X,O,X,X,X,X,O,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,X,X,X,O,X,O,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,X,X,X,X,X,O,X,X,X
TJZILOS,X,X,O,X,X,X,X,X,X,O,X,X,X
TJZISLO,X,X,O,O,X,X,X,X,X,O,X,X,X
TJZISOL,X,X,O,O,X,X,X,X,X,O,X,X,X
TJZIOLS,O,X,O,X,X,X,X,X,O,O,X,X,O
TJZIOSL,O,O,O,X,X,X,X,X,O,O,X,X,X
TJZLISO,X,X,X,X,X,X,X,X,X,O,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X,X,O,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X,X,O,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,X,X,O,O,X,X,X,X,X,O,X,X,X
TJZSIOL,X,X,O,O,X,X,X,X,X,O,X,X,X
TJZSLIO,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,X,X,O,O,X,X,X,X,X,O,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOILS,O,X,O,X,X,X,X,X,O,O,X,X,O
TJZOISL,O,O,O,X,X,X,X,X,O,O,X,X,X
TJZOLIS,X,X,X,X,X,X,X,X,O,O,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,O,O,O,X,X,X,X,X,O,O,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
TJOILZS,X,X,O,X,X,O,O,X,O,O,X,X,X
TJOISLZ,X,O,O,X,X,X,X,O,X,O,X,X,X
TJOISZL,O,O,O,X,X,X,X,O,O,O,X,X,X
TJOIZLS,O,X,O,X,X,X,X,X,O,O,X,X,X
TJOIZSL,O,O,O,X,X,X,X,O,O,O,X,X,X
TJOLISZ,X,X,O,X,X,O,O,O,X,O,X,X,X
TJOLIZS,X,X,O,X,X,O,O,X,O,O,X,X,X
TJOLSIZ,X,X,O,X,X,X,O,O,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,O,X,X,O,O,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,O,O,X,X,X,X,O,X,O,X,X,X
TJOSIZL,O,O,O,X,X,X,X,O,O,O,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,O,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,O,O,X,X,X,X,O,O,O,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,O,X,X,X,X,X,O,O,X,X,X
TJOZISL,O,O,O,X,X,X,X,O,O,O,X,X,X
TJOZLIS,X,X,X,X,X,X,X,X,O,O,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,O,O,O,X,X,X,X,O,O,O,X,X,X
TJOZSLI,X,X,X,X,X,X,X,X,X,X,X,X,X
TSILJZO,X,X,O,X,X,O,O,X,X,X,O,X,X
TSILJOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
TSILZJO,X,X,X,O,O,O,O,X,X,X,O,O,X
TSILZOJ,X,X,X,O,O,O,O,X,X,X,O,X,X
TSILOJZ,X,X,O,X,X,O,O,X,X,X,O,X,X
TSILOZJ,O,X,X,X,X,O,O,X,X,X,O,X,X
