sequence,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFxiBFlB8qB6?sBToB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFTiB6oBRlB8?sBlqB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBUlBGmB/?sBToBVwB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qB+?rB/sBTtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qBT?oBGsB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JezBJvhFfoB6oBRlBl?qBGsBUrB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhF/nBRlBToB0?qBlrBCtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeWHJvhFTjBRlBXnBl?qBCtBUrB
TSOJLZI,O,O,O,O,O,O,X,X
TSOJZIL,O,O,O,O,O,X,X,X
TSOJZLI,O,O,O,O,O,O,X,X
TSOZILJ,O,O,O,X,O,X,O,X
TSOZIJL,O,O,O,X,O,X,O,X
TSOZLIJ,O,O,O,X,O,X,X,X
TSOZLJI,O,O,O,O,O,X,X,X
TSOZJIL,O,O,O,O,O,X,X,X
TSOZJLI,O,O,O,O,O,X,X,X
TZILJSO,O,O,X,O,O,X,O,X
TZILJOS,O,O,X,X,O,X,O,O
TZILSJO,O,O,X,X,X,O,O,X
TZILSOJ,X,O,X,X,X,X,O,X
TZILOJS,O,O,X,X,O,X,O,O
TZILOSJ,O,O,X,X,O,X,O,X
TZIJLSO,O,O,O,O,O,X,O,X
TZIJLOS,O,O,X,X,O,X,O,X
TZIJSLO,X,O,O,O,O,O,O,X
TZIJSOL,X,O,O,O,O,O,O,X
TZIJOLS,O,O,X,X,O,X,O,X
TZIJOSL,O,O,O,O,O,O,O,X
TZISLJO,X,O,O,X,X,O,O,X
TZISLOJ,X,O,O,X,X,X,O,X
TZISJLO,X,O,O,O,O,O,O,X
TZISJOL,X,O,O,O,O,O,O,X
TZISOLJ,X,O,O,X,O,X,O,X
TZISOJL,X,O,O,X,O,X,O,X
TZIOLJS,O,O,X,X,O,X,O,X
TZIOLSJ,O,O,X,X,O,X,O,X
TZIOJLS,O,O,X,X,O,X,O,X
TZIOJSL,O,O,O,O,O,X,O,X
TZIOSLJ,O,O,O,X,O,X,O,X
TZIOSJL,O,O,O,X,O,X,O,X
TZLIJSO,O,O,X,O,O,X,O,X
TZLIJOS,O,O,X,X,O,X,O,O
TZLISJO,O,O,X,X,X,O,O,X
TZLISOJ,O,O,X,X,X,X,O,X
TZLIOJS,O,O,X,X,O,X,O,O
TZLIOSJ,O,O,X,X,O,X,O,X
TZLJISO,O,O,O,O,O,X,X,X
TZLJIOS,O,O,X,X,O,X,X,X
TZLJSIO,O,O,O,O,O,X,X,X
TZLJSOI,O,O,O,O,X,X,X,X
TZLJOIS,O,O,X,X,O,X,X,X
TZLJOSI,O,O,O,O,O,X,X,X
TZLSIJO,O,O,O,X,X,O,X,X
TZLSIOJ,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,X,X,O,X,X
TZLSJOI,O,O,O,X,X,O,X,X
TZLSOIJ,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,X,X,X,X,X
TZLOIJS,O,O,X,X,O,X,O,O
TZLOISJ,O,O,X,X,O,X,O,X
TZLOJIS,O,O,X,X,O,X,X,X
TZLOJSI,O,O,O,O,O,X,X,X
TZLOSIJ,O,O,O,X,O,X,X,X
TZLOSJI,O,O,O,X,O,X,X,X
TZJILSO,O,O,O,O,O,X,O,X
TZJILOS,O,O,X,X,O,X,O,X
TZJISLO,X,O,O,O,O,O,O,X
TZJISOL,X,O,O,O,O,O,O,X
TZJIOLS,O,O,X,X,O,X,O,X
TZJIOSL,O,O,O,O,O,O,O,X
TZJLISO,O,O,O,O,O,X,X,X
TZJLIOS,O,O,X,X,O,X,X,X
TZJLSIO,O,O,O,O,O,X,X,X
TZJLSOI,O,O,O,O,X,X,X,X
TZJLOIS,O,O,X,X,O,X,X,X
TZJLOSI,O,O,O,O,O,X,X,X
TZJSILO,X,O,O,O,O,O,X,X
TZJSIOL,X,O,O,O,O,O,X,X
TZJSLIO,O,O,O,O,O,O,X,X
TZJSLOI,O,O,O,O,X,O,X,X
TZJSOIL,O,O,O,O,O,X,X,X
TZJSOLI,O,O,O,O,O,O,X,X
TZJOILS,O,O,X,X,O,X,O,X
TZJOISL,O,O,O,O,O,X,O,X
TZJOLIS,O,O,X,X,O,X,X,X
TZJOLSI,O,O,O,O,O,X,X,X
TZJOSIL,O,O,O,O,O,X,X,X
TZJOSLI,O,O,O,O,O,O,X,X
TZSILJO,O,O,O,X,X,O,O,X
TZSILOJ,O,O,O,X,X,X,O,X
TZSIJLO,O,O,O,O,O,O,O,X
TZSIJOL,O,O,O,O,O,O,O,X
TZSIOLJ,O,O,O,X,O,X,O,X
TZSIOJL,O,O,O,X,O,X,O,X
TZSLIJO,O,O,O,X,X,O,X,X
TZSLIOJ,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,O,X,O,X,X
TZSLJOI,O,O,O,O,X,O,X,X
TZSLOIJ,O,O,O,X,X,X,X,X
TZSLOJI,O,O,O,X,X,X,X,X
TZSJILO,O,O,O,O,O,O,X,X
TZSJIOL,O,O,O,O,O,O,X,X
TZSJLIO,O,O,O,O,O,O,X,X
TZSJLOI,O,O,O,O,X,O,X,X
TZSJOIL,O,O,O,O,O,X,X,X
TZSJOLI,O,O,O,O,O,O,X,X
TZSOILJ,O,O,O,X,O,X,O,X
TZSOIJL,O,O,O,X,O,X,O,X
TZSOLIJ,O,O,O,X,O,X,X,X
TZSOLJI,O,O,O,O,O,X,X,X
TZSOJIL,O,O,O,O,O,X,X,X
TZSOJLI,O,O,O,O,O,X,X,X
TZOILJS,O,O,X,X,O,X,O,X
TZOILSJ,O,O,X,X,O,X,O,X
TZOIJLS,O,O,X,X,O,X,O,X
TZOIJSL,O,O,O,O,O,X,O,X
TZOISLJ,O,O,O,X,O,X,O,X
TZOISJL,O,O,O,X,O,X,O,X
TZOLIJS,O,O,X,X,O,X,O,X
TZOLISJ,O,O,X,X,O,X,O,X
TZOLJIS,O,O,X,X,O,X,X,X
TZOLJSI,O,O,O,O,O,X,X,X
TZOLSIJ,O,O,O,X,O,X,X,X
TZOLSJI,O,O,O,X,O,X,X,X
TZOJILS,O,O,X,X,O,X,O,X
TZOJISL,O,O,O,O,O,X,O,X
TZOJLIS,O,O,X,X,O,X,X,X
TZOJLSI,O,O,O,O,O,X,X,X
TZOJSIL,O,O,O,O,O,X,X,X
TZOJSLI,O,O,O,O,O,X,X,X
TZOSILJ,O,O,O,X,O,X,O,X
TZOSIJL,O,O,O,X,O,X,O,X
TZOSLIJ,O,O,O,X,O,X,X,X
TZOSLJI,O,O,O,O,O,X,X,X
TZOSJIL,O,O,O,O,O,X,X,X
TZOSJLI,O,O,O,O,O,X,X,X
TOILJSZ,O,X,X,X,O,X,X,O
TOILJZS,O,O,X,X,O,X,X,O
TOILSJZ,O,X,X,X,O,O,X,O
TOILSZJ,O,X,X,X,O,X,X,X
TOILZJS,O,O,X,X,O,X,X,O
TOILZSJ,O,O,X,X,O,X,X,X
TOIJLSZ,O,X,X,X,O,O,X,X
TOIJLZS,O,O,X,X,O,X,X,X
TOIJSLZ,X,X,O,O,O,O,X,X
TOIJSZL,O,X,O,O,X,O,X,X
TOIJZLS,O,O,X,X,O,X,X,X
TOIJZSL,O,O,X,O,O,O,X,X
TOISLJZ,O,X,O,O,O,O,X,X
TOISLZJ,O,X,O,X,O,X,X,X
TOISJLZ,O,X,O,O,O,O,X,X
TOISJZL,O,X,O,O,X,O,X,X
TOISZLJ,O,X,O,X,X,X,X,X
TOISZJL,O,X,O,X,X,X,X,X
TOIZLJS,O,O,X,X,O,X,O,X
TOIZLSJ,O,O,X,X,O,X,O,X
TOIZJLS,O,O,X,X,O,X,O,X
TOIZJSL,O,O,O,O,O,X,O,X
TOIZSLJ,O,O,O,X,O,X,O,X
TOIZSJL,O,O,O,X,O,X,O,X
TOLIJSZ,O,X,X,X,O,X,X,O
TOLIJZS,O,O,X,X,O,X,X,O
TOLISJZ,O,X,X,X,O,O,X,O
TOLISZJ,O,X,X,X,O,X,X,X
TOLIZJS,O,O,X,X,O,X,X,O
TOLIZSJ,O,O,X,X,O,X,X,X
TOLJISZ,O,X,X,X,O,X,X,O
TOLJIZS,O,X,X,X,O,X,X,O
TOLJSIZ,O,X,O,O,O,X,X,X
TOLJSZI,O,X,O,O,O,X,X,X
TOLJZIS,O,X,X,X,O,X,X,X
TOLJZSI,O,X,X,O,O,X,X,X
TOLSIJZ,O,O,O,O,O,O,X,O
TOLSIZJ,O,O,O,X,O,X,X,X
TOLSJIZ,O,X,O,O,O,O,X,X
TOLSJZI,O,O,O,O,O,O,X,X
TOLSZIJ,O,O,O,X,O,X,X,X
TOLSZJI,O,O,O,O,O,X,X,X
TOLZIJS,O,O,X,X,O,X,O,O
TOLZISJ,O,O,X,X,O,X,O,X
TOLZJIS,O,O,X,X,O,X,X,X
TOLZJSI,O,O,O,O,O,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,X
TOLZSJI,O,O,O,X,O,X,X,X
TOJILSZ,O,X,X,X,O,O,X,X
TOJILZS,O,X,X,X,O,X,X,X
TOJISLZ,X,X,O,O,O,O,X,X
TOJISZL,O,X,O,O,X,O,X,X
TOJIZLS,O,X,X,X,O,X,X,X
TOJIZSL,O,X,X,O,O,O,X,X
TOJLISZ,O,X,X,X,O,X,X,X
TOJLIZS,O,X,X,X,O,X,X,X
TOJLSIZ,O,X,O,O,O,O,X,X
TOJLSZI,O,X,O,O,O,O,X,X
TOJLZIS,O,X,X,X,O,X,X,X
TOJLZSI,O,X,X,O,O,X,X,X
TOJSILZ,X,X,O,O,O,O,X,X
TOJSIZL,O,X,O,O,X,O,X,X
TOJSLIZ,O,X,O,O,O,O,X,X
TOJSLZI,O,X,O,O,O,O,X,X
TOJSZIL,O,X,O,O,O,X,X,X
TOJSZLI,O,X,O,O,O,O,X,X
TOJZILS,O,X,X,X,O,X,O,X
TOJZISL,O,X,O,O,O,X,O,X
TOJZLIS,O,X,X,X,O,X,X,X
TOJZLSI,O,X,O,O,O,X,X,X
TOJZSIL,O,X,O,O,O,X,X,X
TOJZSLI,O,X,O,O,O,O,X,X
TOSILJZ,O,O,O,O,O,O,X,X
TOSILZJ,O,O,O,X,O,X,X,X
TOSIJLZ,O,O,O,O,O,O,X,X
TOSIJZL,O,O,O,O,X,O,X,X
TOSIZLJ,O,O,O,X,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X
TOSLIJZ,O,O,O,O,O,O,X,X
TOSLIZJ,O,O,O,X,O,X,X,X
TOSLJIZ,O,X,O,O,O,O,X,X
TOSLJZI,O,O,O,O,O,O,X,X
TOSLZIJ,O,O,O,X,O,X,X,X
TOSLZJI,O,O,O,O,O,X,X,X
TOSJILZ,O,X,O,O,O,O,X,X
TOSJIZL,O,X,O,O,X,O,X,X
TOSJLIZ,O,X,O,O,O,O,X,X
TOSJLZI,O,O,O,O,O,O,X,X
TOSJZIL,O,O,O,O,O,X,X,X
TOSJZLI,O,O,O,O,O,O,X,X
TOSZILJ,O,O,O,X,O,X,O,X
TOSZIJL,O,O,O,X,O,X,O,X
TOSZLIJ,O,O,O,X,O,X,X,X
TOSZLJI,O,O,O,O,O,X,X,X
TOSZJIL,O,O,O,O,O,X,X,X
TOSZJLI,O,O,O,O,O,X,X,X
TOZILJS,O,O,X,X,O,X,O,X
TOZILSJ,O,O,X,X,O,X,O,X
TOZIJLS,O,O,X,X,O,X,O,X
TOZIJSL,O,O,O,O,O,X,O,X
TOZISLJ,O,O,O,X,O,X,O,X
TOZISJL,O,O,O,X,O,X,O,X
TOZLIJS,O,O,X,X,O,X,O,X
TOZLISJ,O,O,X,X,O,X,O,X
TOZLJIS,O,O,X,X,O,X,X,X
TOZLJSI,O,O,O,O,O,X,X,X
TOZLSIJ,O,O,O,X,O,X,X,X
TOZLSJI,O,O,O,X,O,X,X,X
TOZJILS,O,O,X,X,O,X,O,X
TOZJISL,O,O,O,O,O,X,O,X
TOZJLIS,O,O,X,X,O,X,X,X
TOZJLSI,O,O,O,O,O,X,X,X
TOZJSIL,O,O,O,O,O,X,X,X
TOZJSLI,O,O,O,O,O,X,X,X
TOZSILJ,O,O,O,X,O,X,O,X
TOZSIJL,O,O,O,X,O,X,O,X
TOZSLIJ,O,O,O,X,O,X,X,X
TOZSLJI,O,O,O,O,O,X,X,X
TOZSJIL,O,O,O,O,O,X,X,X
TOZSJLI,O,O,O,O,O,X,X,X
ITLJSZO,O,O,X,X,O,O,X,X
ITLJSOZ,X,X,X,X,O,O,X,O
ITLJZSO,O,O,X,X,O,X,X,X
ITLJZOS,O,O,X,X,O,X,X,O
ITLJOSZ,X,X,X,X,O,O,X,O
ITLJOZS,X,O,X,X,O,X,X,O
ITLSJZO,O,O,X,X,X,O,X,X
ITLSJOZ,X,O,X,X,X,O,X,O
ITLSZJO,O,O,X,X,X,O,X,X
ITLSZOJ,O,O,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,O,X,O
ITLSOZJ,O,O,X,X,X,X,X,X
ITLZJSO,O,O,X,O,O,X,X,X
ITLZJOS,O,O,X,X,O,X,X,O
ITLZSJO,O,O,X,X,X,O,X,X
ITLZSOJ,O,O,X,X,X,X,X,X
ITLZOJS,O,O,X,X,O,X,X,O
ITLZOSJ,O,O,X,X,O,X,X,X
ITLOJSZ,O,X,X,X,O,X,X,O
ITLOJZS,O,O,X,X,O,X,X,O
ITLOSJZ,O,X,X,X,O,O,X,O
ITLOSZJ,O,X,X,X,O,X,X,X
ITLOZJS,O,O,X,X,O,X,X,O
ITLOZSJ,O,O,X,X,O,X,X,X
ITJLSZO,X,O,O,X,O,O,X,X
ITJLSOZ,X,X,O,X,O,O,X,O
ITJLZSO,X,O,X,X,O,X,X,X
ITJLZOS,X,O,X,X,O,X,X,O
ITJLOSZ,X,X,X,X,O,O,X,O
ITJLOZS,X,O,X,X,O,X,X,O
ITJSLZO,X,O,O,O,O,O,X,X
ITJSLOZ,X,X,O,X,O,O,X,X
ITJSZLO,X,O,O,O,X,O,X,X
ITJSZOL,X,O,O,O,X,O,X,X
ITJSOLZ,X,X,O,O,O,O,X,X
ITJSOZL,X,X,O,O,X,O,X,X
ITJZLSO,X,O,X,O,O,X,X,X
ITJZLOS,X,O,X,X,O,X,X,X
ITJZSLO,X,O,O,O,O,O,X,X
ITJZSOL,X,O,O,O,O,O,X,X
ITJZOLS,X,O,X,X,O,X,X,X
ITJZOSL,X,O,X,O,O,O,X,X
ITJOLSZ,X,X,X,X,O,O,X,X
ITJOLZS,X,O,X,X,O,X,X,X
ITJOSLZ,X,X,O,O,O,O,X,X
ITJOSZL,X,X,O,O,X,O,X,X
ITJOZLS,X,O,X,X,O,X,X,X
ITJOZSL,X,O,X,O,O,O,X,X
ITSLJZO,O,O,O,O,X,O,X,X
ITSLJOZ,X,O,O,X,X,O,X,O
ITSLZJO,O,O,O,X,X,O,X,X
ITSLZOJ,O,O,O,X,X,X,X,X
ITSLOJZ,O,O,O,X,X,O,X,O
ITSLOZJ,O,O,O,X,X,X,X,X
ITSJLZO,X,O,O,O,O,O,X,X
ITSJLOZ,X,O,O,X,O,O,X,X
ITSJZLO,X,O,O,O,X,O,X,X
ITSJZOL,X,O,O,O,X,O,X,X
ITSJOLZ,X,O,O,O,O,O,X,X
ITSJOZL,X,O,O,O,X,O,X,X
ITSZLJO,O,O,O,X,X,O,X,X
ITSZLOJ,O,O,O,X,X,X,X,X
ITSZJLO,O,O,O,O,O,O,X,X
ITSZJOL,O,O,O,O,O,O,X,X
ITSZOLJ,O,O,O,X,O,X,X,X
ITSZOJL,O,O,O,X,O,X,X,X
ITSOLJZ,O,O,O,O,O,O,X,X
ITSOLZJ,O,O,O,X,O,X,X,X
ITSOJLZ,X,O,O,O,O,O,X,X
ITSOJZL,O,O,O,O,X,O,X,X
ITSOZLJ,O,O,O,X,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X,X
ITZLJSO,O,O,X,O,O,X,O,X
ITZLJOS,O,O,X,X,O,X,O,O
ITZLSJO,O,O,X,X,X,O,O,X
ITZLSOJ,X,O,X,X,X,X,O,X
ITZLOJS,O,O,X,X,O,X,O,O
ITZLOSJ,O,O,X,X,O,X,O,X
ITZJLSO,O,O,O,O,O,X,O,X
ITZJLOS,O,O,X,X,O,X,O,X
ITZJSLO,X,O,O,O,O,O,O,X
ITZJSOL,X,O,O,O,O,O,O,X
ITZJOLS,O,O,X,X,O,X,O,X
ITZJOSL,O,O,O,O,O,O,O,X
ITZSLJO,X,O,O,X,X,O,O,X
ITZSLOJ,X,O,O,X,X,X,O,X
ITZSJLO,X,O,O,O,O,O,O,X
ITZSJOL,X,O,O,O,O,O,O,X
ITZSOLJ,X,O,O,X,O,X,O,X
ITZSOJL,X,O,O,X,O,X,O,X
ITZOLJS,O,O,X,X,O,X,O,X
ITZOLSJ,O,O,X,X,O,X,O,X
ITZOJLS,O,O,X,X,O,X,O,X
ITZOJSL,O,O,O,O,O,X,O,X
ITZOSLJ,O,O,O,X,O,X,O,X
ITZOSJL,O,O,O,X,O,X,O,X
ITOLJSZ,O,X,X,X,O,X,X,O
ITOLJZS,O,O,X,X,O,X,X,O
ITOLSJZ,O,X,X,X,O,O,X,O
ITOLSZJ,O,X,X,X,O,X,X,X
ITOLZJS,O,O,X,X,O,X,X,O
ITOLZSJ,O,O,X,X,O,X,X,X
ITOJLSZ,O,X,X,X,O,O,X,X
ITOJLZS,O,O,X,X,O,X,X,X
ITOJSLZ,X,X,O,O,O,O,X,X
ITOJSZL,O,X,O,O,X,O,X,X
ITOJZLS,O,O,X,X,O,X,X,X
ITOJZSL,O,O,X,O,O,O,X,X
ITOSLJZ,O,X,O,O,O,O,X,X
ITOSLZJ,O,X,O,X,O,X,X,X
ITOSJLZ,X,X,O,O,O,O,X,X
ITOSJZL,O,X,O,O,X,O,X,X
ITOSZLJ,O,X,O,X,X,X,X,X
ITOSZJL,O,X,O,X,X,X,X,X
ITOZLJS,O,O,X,X,O,X,O,X
ITOZLSJ,O,O,X,X,O,X,O,X
ITOZJLS,O,O,X,X,O,X,O,X
ITOZJSL,O,O,O,O,O,X,O,X
ITOZSLJ,O,O,O,X,O,X,O,X
ITOZSJL,O,O,O,X,O,X,O,X
ILTJSZO,O,O,X,X,X,O,X,X
ILTJSOZ,X,X,X,X,X,O,X,O
ILTJZSO,O,O,X,X,X,X,X,X
ILTJZOS,O,O,X,X,X,X,X,O
ILTJOSZ,X,X,X,X,X,O,X,O
ILTJOZS,X,O,X,X,X,X,X,O
ILTSJZO,O,O,X,X,X,O,X,X
ILTSJOZ,O,O,X,X,X,O,X,O
ILTSZJO,O,O,X,X,X,O,X,X
ILTSZOJ,O,O,X,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,O,X,O
ILTSOZJ,O,O,X,X,X,X,X,X
ILTZJSO,O,O,X,X,X,X,X,X
ILTZJOS,O,O,X,X,X,X,X,O
ILTZSJO,O,O,X,X,X,O,X,X
ILTZSOJ,O,O,X,X,X,X,X,X
ILTZOJS,O,O,X,X,X,X,X,O
ILTZOSJ,O,O,X,X,X,X,X,X
ILTOJSZ,O,X,X,X,X,X,X,O
ILTOJZS,O,O,X,X,X,X,X,O
ILTOSJZ,O,X,X,X,X,O,X,O
ILTOSZJ,O,X,X,X,X,X,X,X
ILTOZJS,O,O,X,X,X,X,X,O
ILTOZSJ,O,O,X,X,X,X,X,X
ILJTSZO,O,O,X,X,X,O,X,X
ILJTSOZ,X,X,X,X,X,O,X,O
ILJTZSO,O,O,X,X,X,X,X,X
ILJTZOS,O,O,X,X,X,X,X,O
ILJTOSZ,X,X,X,X,X,X,X,O
ILJTOZS,X,O,X,X,X,X,X,O
ILJSTZO,O,O,X,X,X,O,X,X
ILJSTOZ,O,X,X,X,X,O,X,X
ILJSZTO,O,O,X,X,X,X,X,X
ILJSZOT,O,O,X,X,X,O,X,X
ILJSOTZ,O,X,X,X,X,O,X,O
ILJSOZT,O,O,X,X,X,O,X,O
ILJZTSO,O,O,X,X,X,X,X,X
ILJZTOS,O,O,X,X,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,X,X
ILJZOTS,O,O,X,X,X,X,X,O
ILJZOST,O,O,X,X,X,X,X,O
ILJOTSZ,X,X,X,X,X,X,X,O
ILJOTZS,X,X,X,X,X,X,X,O
ILJOSTZ,X,X,X,X,X,O,X,O
ILJOSZT,X,X,X,X,X,O,X,O
ILJOZTS,X,O,X,X,X,X,X,O
ILJOZST,X,O,X,X,X,X,X,O
ILSTJZO,O,O,X,X,X,O,X,X
ILSTJOZ,O,O,X,X,X,O,X,O
ILSTZJO,O,O,X,X,X,O,X,X
ILSTZOJ,O,O,X,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,O,X,O
ILSTOZJ,O,O,X,X,X,X,X,X
ILSJTZO,O,O,X,X,X,O,X,X
ILSJTOZ,O,X,X,X,X,O,X,X
ILSJZTO,O,O,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,O,X,X
ILSJOTZ,O,X,X,X,X,O,X,O
ILSJOZT,O,O,X,X,X,O,X,O
ILSZTJO,O,O,X,X,X,O,X,X
ILSZTOJ,O,O,X,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,O,X,X
ILSZOTJ,O,O,X,X,X,X,X,X
ILSZOJT,O,O,X,X,X,X,X,X
ILSOTJZ,O,X,X,X,X,O,X,O
ILSOTZJ,O,X,X,X,X,X,X,X
ILSOJTZ,O,X,X,X,X,O,X,O
ILSOJZT,O,O,X,X,X,O,X,O
ILSOZTJ,O,O,X,X,X,X,X,X
ILSOZJT,O,O,X,X,X,X,X,X
ILZTJSO,O,O,X,X,X,X,O,X
ILZTJOS,O,O,X,X,X,X,O,O
ILZTSJO,O,O,X,X,X,O,O,X
ILZTSOJ,O,O,X,X,X,X,O,X
ILZTOJS,O,O,X,X,X,X,O,O
ILZTOSJ,X,O,X,X,X,X,O,X
ILZJTSO,O,O,X,X,X,X,X,X
ILZJTOS,O,O,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,X,X
ILZJOTS,O,O,X,X,X,X,O,O
ILZJOST,O,O,X,X,X,X,X,O
ILZSTJO,O,O,X,X,X,O,X,X
ILZSTOJ,O,O,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,O,X,X
ILZSOTJ,X,O,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,O,O
ILZOTSJ,X,O,X,X,X,X,O,X
ILZOJTS,O,O,X,X,X,X,O,O
ILZOJST,O,O,X,X,X,X,X,O
ILZOSTJ,X,O,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,X,X,O
ILOTJZS,O,O,X,X,X,X,X,O
ILOTSJZ,O,X,X,X,X,O,X,O
ILOTSZJ,O,X,X,X,X,X,X,X
ILOTZJS,O,O,X,X,X,X,X,O
ILOTZSJ,O,O,X,X,X,X,X,X
ILOJTSZ,O,X,X,X,X,X,X,O
ILOJTZS,O,X,X,X,X,X,X,O
ILOJSTZ,O,X,X,X,X,X,X,O
ILOJSZT,O,X,X,X,X,X,X,O
ILOJZTS,O,O,X,X,X,X,X,O
ILOJZST,O,O,X,X,X,X,X,O
ILOSTJZ,O,X,X,X,X,O,X,O
ILOSTZJ,O,X,X,X,X,X,X,X
ILOSJTZ,O,X,X,X,X,O,X,O
ILOSJZT,O,O,X,X,X,O,X,O
ILOSZTJ,O,O,X,X,X,X,X,X
ILOSZJT,O,O,X,X,X,X,X,X
ILOZTJS,O,O,X,X,X,X,O,O
ILOZTSJ,O,O,X,X,X,X,O,X
ILOZJTS,O,O,X,X,X,X,O,O
ILOZJST,O,O,X,X,X,X,X,O
ILOZSTJ,O,O,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X
IJTLSZO,X,O,X,X,O,O,X,X
IJTLSOZ,X,X,X,X,O,O,X,O
IJTLZSO,X,O,X,X,O,X,X,X
IJTLZOS,X,O,X,X,O,X,X,O
IJTLOSZ,X,X,X,X,O,O,X,O
IJTLOZS,X,O,X,X,O,X,X,O
IJTSLZO,X,O,X,O,O,O,X,X
IJTSLOZ,X,X,X,O,O,O,X,X
IJTSZLO,X,O,X,O,X,O,X,X
IJTSZOL,X,O,X,O,X,O,X,X
IJTSOLZ,X,X,X,O,O,O,X,X
IJTSOZL,X,X,X,O,X,O,X,X
IJTZLSO,X,O,X,O,O,X,X,X
IJTZLOS,X,O,X,X,O,X,X,X
IJTZSLO,X,O,X,O,O,O,X,X
IJTZSOL,X,O,X,O,O,O,X,X
IJTZOLS,X,O,X,X,O,X,X,X
IJTZOSL,X,O,X,O,O,O,X,X
IJTOLSZ,X,X,X,X,O,O,X,X
IJTOLZS,X,O,X,X,O,X,X,X
IJTOSLZ,X,X,X,O,O,O,X,X
IJTOSZL,X,X,X,O,X,O,X,X
IJTOZLS,X,O,X,X,O,X,X,X
IJTOZSL,X,O,X,O,O,O,X,X
IJLTSZO,X,O,X,X,O,O,X,X
IJLTSOZ,X,X,X,X,O,O,X,O
IJLTZSO,X,O,X,X,O,X,X,X
IJLTZOS,X,O,X,X,O,X,X,O
IJLTOSZ,X,X,X,X,O,X,X,O
IJLTOZS,X,O,X,X,O,X,X,O
IJLSTZO,X,O,X,O,X,O,X,X
IJLSTOZ,X,X,X,O,X,O,X,X
IJLSZTO,X,O,X,O,X,X,X,X
IJLSZOT,X,O,X,O,X,O,X,X
IJLSOTZ,X,X,X,O,X,O,X,O
IJLSOZT,X,O,X,O,X,O,X,O
IJLZTSO,X,O,X,X,O,X,X,X
IJLZTOS,X,O,X,X,O,X,X,X
IJLZSTO,X,O,X,X,O,X,X,X
IJLZSOT,X,O,X,X,O,X,X,X
IJLZOTS,X,O,X,X,O,X,X,O
IJLZOST,X,O,X,X,O,X,X,O
IJLOTSZ,X,X,X,X,X,X,X,O
IJLOTZS,X,X,X,X,X,X,X,O
IJLOSTZ,X,X,X,X,X,O,X,O
IJLOSZT,X,X,X,X,X,O,X,O
IJLOZTS,X,O,X,X,X,X,X,O
IJLOZST,X,O,X,X,X,X,X,O
IJSTLZO,X,O,X,O,X,O,X,X
IJSTLOZ,X,X,X,O,X,O,X,X
IJSTZLO,X,O,X,O,X,O,X,X
IJSTZOL,X,O,X,O,X,O,X,X
IJSTOLZ,X,X,X,O,X,O,X,X
IJSTOZL,X,X,X,O,X,O,X,X
IJSLTZO,X,O,X,O,X,O,X,X
IJSLTOZ,X,X,X,O,X,O,X,X
IJSLZTO,X,O,X,O,X,X,X,X
IJSLZOT,X,O,X,O,X,O,X,X
IJSLOTZ,X,X,X,O,X,O,X,X
IJSLOZT,X,O,X,O,X,O,X,X
IJSZTLO,X,O,X,O,X,X,X,X
IJSZTOL,X,O,X,O,X,X,X,X
IJSZLTO,X,O,X,O,X,X,X,X
IJSZLOT,X,O,X,O,X,O,X,X
IJSZOTL,X,O,X,O,X,X,X,X
IJSZOLT,X,O,X,O,X,O,X,X
IJSOTLZ,X,X,X,O,X,O,X,X
IJSOTZL,X,X,X,O,X,X,X,X
IJSOLTZ,X,X,X,O,X,O,X,X
IJSOLZT,X,O,X,O,X,O,X,X
IJSOZTL,X,O,X,O,X,X,X,X
