sequence,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nB6tBOtBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nBOtB6tBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBunB?coBFlB3qBSyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?FlB8sB+tB3qB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBSoB?FlBUoB3qBWyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?1qBGtBUqBXtB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBGjB?1qBqsB/tBUqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBFlB?GoB3qBUtBCtB
TZIOSJL,O,O,X,X,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X,X
TZLIJOS,X,X,O,X,X,X,X,X
TZLISJO,O,O,O,X,X,X,O,X
TZLISOJ,O,X,O,X,X,X,O,X
TZLIOJS,O,X,O,X,X,X,X,X
TZLIOSJ,O,X,O,X,X,X,O,X
TZLJISO,O,O,O,X,X,X,X,X
TZLJIOS,X,X,O,X,X,X,X,X
TZLJSIO,O,O,O,X,X,X,X,X
TZLJSOI,X,X,O,X,X,X,X,X
TZLJOIS,X,X,O,X,X,X,X,X
TZLJOSI,X,X,O,X,X,X,X,O
TZLSIJO,O,O,O,X,X,X,O,X
TZLSIOJ,O,X,O,X,X,X,O,X
TZLSJIO,O,O,O,X,X,X,O,X
TZLSJOI,X,X,O,X,X,X,O,X
TZLSOIJ,O,X,O,X,X,X,O,X
TZLSOJI,X,X,O,X,X,X,O,X
TZLOIJS,O,X,O,X,X,X,X,X
TZLOISJ,O,X,O,X,X,X,O,X
TZLOJIS,O,X,O,X,X,X,X,X
TZLOJSI,O,X,O,X,X,X,X,O
TZLOSIJ,O,X,O,X,X,X,O,X
TZLOSJI,O,X,O,X,X,X,O,X
TZJILSO,O,O,X,O,X,O,X,X
TZJILOS,X,X,X,O,O,O,X,X
TZJISLO,O,O,X,O,X,O,X,X
TZJISOL,X,O,X,O,X,O,X,X
TZJIOLS,X,O,X,O,O,O,X,X
TZJIOSL,X,O,X,O,X,O,X,O
TZJLISO,O,O,X,O,X,O,X,X
TZJLIOS,X,X,X,O,O,O,X,X
TZJLSIO,O,O,X,O,X,O,X,X
TZJLSOI,X,X,X,O,X,O,X,X
TZJLOIS,X,X,X,O,O,O,X,X
TZJLOSI,X,X,X,O,O,O,X,O
TZJSILO,O,O,X,O,X,O,X,O
TZJSIOL,X,O,X,O,X,O,X,O
TZJSLIO,O,O,X,O,X,O,X,O
TZJSLOI,X,X,X,O,X,O,X,O
TZJSOIL,X,O,X,O,X,O,X,O
TZJSOLI,X,X,X,O,X,O,X,O
TZJOILS,X,O,X,O,O,O,X,X
TZJOISL,X,O,X,O,X,O,X,O
TZJOLIS,X,O,X,O,O,O,X,X
TZJOLSI,X,O,X,O,O,O,X,O
TZJOSIL,X,O,X,O,X,O,X,O
TZJOSLI,X,O,X,O,X,O,X,O
TZSILJO,O,O,X,X,X,X,X,O
TZSILOJ,O,X,X,X,X,X,X,O
TZSIJLO,O,O,X,X,X,X,X,O
TZSIJOL,X,O,X,X,X,X,X,O
TZSIOLJ,O,X,X,X,X,X,X,O
TZSIOJL,X,O,X,X,X,X,X,O
TZSLIJO,O,O,X,X,X,X,X,O
TZSLIOJ,O,X,X,X,X,X,X,O
TZSLJIO,O,O,X,X,X,X,X,O
TZSLJOI,X,X,X,X,X,X,X,O
TZSLOIJ,O,X,X,X,X,X,X,O
TZSLOJI,X,X,X,X,X,X,X,O
TZSJILO,O,O,X,X,X,X,X,O
TZSJIOL,X,O,X,X,X,X,X,O
TZSJLIO,O,O,X,X,X,X,X,O
TZSJLOI,X,X,X,X,X,X,X,O
TZSJOIL,X,O,X,X,X,X,X,O
TZSJOLI,X,X,X,X,X,X,X,O
TZSOILJ,O,X,X,X,X,X,X,O
TZSOIJL,X,O,X,X,X,X,X,O
TZSOLIJ,O,X,X,X,X,X,X,O
TZSOLJI,X,X,X,X,X,X,X,O
TZSOJIL,X,O,X,X,X,X,X,O
TZSOJLI,X,X,X,X,X,X,X,O
TZOILJS,O,O,O,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,O,X
TZOIJLS,O,O,X,O,O,X,X,X
TZOIJSL,O,O,X,O,X,O,X,O
TZOISLJ,O,O,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,X
TZOLIJS,O,O,O,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,O,X
TZOLJIS,O,O,O,X,X,X,X,X
TZOLJSI,O,O,O,X,X,X,X,O
TZOLSIJ,O,O,O,X,X,X,O,X
TZOLSJI,O,O,O,X,X,X,O,X
TZOJILS,O,O,X,O,O,O,X,X
TZOJISL,O,O,X,O,X,O,X,O
TZOJLIS,O,O,X,O,O,O,X,X
TZOJLSI,O,O,X,O,O,O,X,O
TZOJSIL,O,O,X,O,X,O,X,O
TZOJSLI,O,O,X,O,X,O,X,O
TZOSILJ,O,O,X,X,X,X,X,O
TZOSIJL,O,O,X,X,X,X,X,O
TZOSLIJ,O,O,X,X,X,X,X,O
TZOSLJI,O,O,X,X,X,X,X,O
TZOSJIL,O,O,X,X,X,X,X,O
TZOSJLI,O,O,X,X,X,X,X,O
TOILJSZ,X,X,X,X,O,O,O,X
TOILJZS,O,O,O,O,O,X,X,X
TOILSJZ,X,X,X,X,X,X,O,X
TOILSZJ,O,X,O,X,X,X,O,X
TOILZJS,O,O,O,X,X,X,X,X
TOILZSJ,O,O,O,X,X,X,O,X
TOIJLSZ,X,X,X,X,O,O,O,X
TOIJLZS,O,O,O,O,O,O,X,X
TOIJSLZ,X,X,X,X,O,O,X,X
TOIJSZL,X,O,X,O,X,O,X,X
TOIJZLS,O,O,X,O,O,O,X,X
TOIJZSL,O,O,X,O,X,O,X,X
TOISLJZ,X,X,X,X,X,X,O,X
TOISLZJ,O,X,O,X,X,X,O,X
TOISJLZ,X,X,X,X,O,O,X,X
TOISJZL,X,O,X,O,X,O,X,X
TOISZLJ,O,O,X,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X,X
TOIZLJS,O,O,O,X,X,X,X,X
TOIZLSJ,O,O,O,X,X,X,O,X
TOIZJLS,O,O,X,O,O,X,X,X
TOIZJSL,O,O,X,O,X,O,X,O
TOIZSLJ,O,O,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,O,O,O,X
TOLIJZS,O,O,O,O,O,X,X,X
TOLISJZ,X,X,X,X,X,X,O,X
TOLISZJ,O,X,O,X,X,X,O,X
TOLIZJS,O,O,O,X,X,X,X,X
TOLIZSJ,O,O,O,X,X,X,O,X
TOLJISZ,X,X,X,X,O,O,O,X
TOLJIZS,O,O,O,O,O,X,X,X
TOLJSIZ,X,X,X,X,O,O,O,X
TOLJSZI,X,X,X,X,O,O,O,X
TOLJZIS,O,O,O,O,O,O,X,X
TOLJZSI,O,O,O,O,O,O,X,X
TOLSIJZ,X,X,O,X,X,X,O,X
TOLSIZJ,O,X,O,X,X,X,O,X
TOLSJIZ,X,X,O,X,X,X,O,X
TOLSJZI,X,X,O,X,X,X,O,X
TOLSZIJ,O,X,O,X,X,X,O,X
TOLSZJI,O,X,O,X,X,X,O,X
TOLZIJS,O,O,O,X,X,X,X,X
TOLZISJ,O,O,O,X,X,X,O,X
TOLZJIS,O,O,O,X,X,X,X,X
TOLZJSI,O,O,O,X,X,X,X,O
TOLZSIJ,O,O,O,X,X,X,O,X
TOLZSJI,O,O,O,X,X,X,O,X
TOJILSZ,X,X,X,X,O,O,O,X
TOJILZS,O,O,O,O,O,O,X,X
TOJISLZ,X,X,X,X,O,O,X,X
TOJISZL,X,O,X,O,X,O,X,X
TOJIZLS,O,O,X,O,O,O,X,X
TOJIZSL,O,O,X,O,X,O,X,X
TOJLISZ,X,X,X,X,O,O,O,X
TOJLIZS,O,O,O,O,O,O,X,X
TOJLSIZ,X,X,X,X,O,O,O,X
TOJLSZI,X,X,X,X,O,O,O,X
TOJLZIS,O,O,O,O,O,O,X,X
TOJLZSI,O,O,O,O,O,O,X,X
TOJSILZ,X,X,X,O,O,O,X,X
TOJSIZL,X,O,X,O,O,O,X,X
TOJSLIZ,X,X,X,O,O,O,X,X
TOJSLZI,X,X,X,O,O,O,X,X
TOJSZIL,X,O,X,O,O,O,X,X
TOJSZLI,X,O,X,O,O,O,X,X
TOJZILS,O,O,X,O,O,O,X,X
TOJZISL,O,O,X,O,X,O,X,O
TOJZLIS,O,O,X,O,O,O,X,X
TOJZLSI,O,O,X,O,O,O,X,O
TOJZSIL,O,O,X,O,X,O,X,O
TOJZSLI,O,O,X,O,X,O,X,O
TOSILJZ,X,X,O,O,O,X,O,X
TOSILZJ,O,X,O,X,X,X,O,O
TOSIJLZ,X,X,O,O,O,O,X,X
TOSIJZL,X,O,X,O,O,O,X,O
TOSIZLJ,O,O,O,X,X,X,X,O
TOSIZJL,O,O,X,O,O,X,X,O
TOSLIJZ,X,X,O,O,O,X,O,X
TOSLIZJ,O,X,O,X,X,X,O,O
TOSLJIZ,X,X,O,O,O,X,O,X
TOSLJZI,X,X,O,O,O,X,O,X
TOSLZIJ,O,X,O,X,X,X,O,O
TOSLZJI,O,X,O,X,X,X,O,O
TOSJILZ,X,X,O,O,O,O,X,X
TOSJIZL,X,O,X,O,O,O,X,O
TOSJLIZ,X,X,O,O,O,O,X,X
TOSJLZI,X,X,O,O,O,O,X,X
TOSJZIL,X,O,X,O,O,O,X,O
TOSJZLI,X,O,X,O,O,O,X,O
TOSZILJ,O,O,O,X,X,X,X,O
TOSZIJL,O,O,X,O,O,X,X,O
TOSZLIJ,O,O,O,X,X,X,X,O
TOSZLJI,O,O,O,X,X,X,X,O
TOSZJIL,O,O,X,O,O,X,X,O
TOSZJLI,O,O,X,O,O,X,X,O
TOZILJS,O,O,O,X,X,X,X,X
TOZILSJ,O,O,O,X,X,X,O,X
TOZIJLS,O,O,X,O,O,X,X,X
TOZIJSL,O,O,X,O,X,O,X,O
TOZISLJ,O,O,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,X
TOZLIJS,O,O,O,X,X,X,X,X
TOZLISJ,O,O,O,X,X,X,O,X
TOZLJIS,O,O,O,X,X,X,X,X
TOZLJSI,O,O,O,X,X,X,X,O
TOZLSIJ,O,O,O,X,X,X,O,X
TOZLSJI,O,O,O,X,X,X,O,X
TOZJILS,O,O,X,O,O,O,X,X
TOZJISL,O,O,X,O,X,O,X,O
TOZJLIS,O,O,X,O,O,O,X,X
TOZJLSI,O,O,X,O,O,O,X,O
TOZJSIL,O,O,X,O,X,O,X,O
TOZJSLI,O,O,X,O,X,O,X,O
TOZSILJ,O,O,X,X,X,X,X,O
TOZSIJL,O,O,X,X,X,X,X,O
TOZSLIJ,O,O,X,X,X,X,X,O
TOZSLJI,O,O,X,X,X,X,X,O
TOZSJIL,O,O,X,X,X,X,X,O
TOZSJLI,O,O,X,X,X,X,X,O
ITLJSZO,X,X,X,X,X,O,O,X
ITLJSOZ,X,X,X,X,O,O,O,X
ITLJZSO,O,O,O,O,X,X,X,X
ITLJZOS,X,X,O,O,O,X,X,X
ITLJOSZ,X,X,X,X,O,O,O,X
ITLJOZS,O,O,O,O,O,X,X,X
ITLSJZO,X,X,X,X,X,X,O,X
ITLSJOZ,X,X,X,X,X,X,O,X
ITLSZJO,O,X,O,X,X,X,O,X
ITLSZOJ,O,X,O,X,X,X,O,X
ITLSOJZ,X,X,X,X,X,X,O,X
ITLSOZJ,O,X,O,X,X,X,O,X
ITLZJSO,O,O,O,X,X,X,X,X
ITLZJOS,X,X,O,X,X,X,X,X
ITLZSJO,O,O,O,X,X,X,O,X
ITLZSOJ,O,X,O,X,X,X,O,X
ITLZOJS,O,X,O,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,O,X
ITLOJSZ,X,X,X,X,O,O,O,X
ITLOJZS,O,O,O,O,O,X,X,X
ITLOSJZ,X,X,X,X,X,X,O,X
ITLOSZJ,O,X,O,X,X,X,O,X
ITLOZJS,O,O,O,X,X,X,X,X
ITLOZSJ,O,O,O,X,X,X,O,X
ITJLSZO,X,X,X,X,X,O,O,X
ITJLSOZ,X,X,X,X,O,O,O,X
ITJLZSO,O,O,O,O,X,X,X,X
ITJLZOS,X,X,O,O,O,O,X,X
ITJLOSZ,X,X,X,X,O,O,O,X
ITJLOZS,O,O,O,O,O,O,X,X
ITJSLZO,X,X,X,X,X,O,X,X
ITJSLOZ,X,X,X,X,O,O,X,X
ITJSZLO,X,O,X,O,X,O,X,X
ITJSZOL,X,O,X,O,X,O,X,X
ITJSOLZ,X,X,X,X,O,O,X,X
ITJSOZL,X,O,X,O,X,O,X,X
ITJZLSO,O,O,X,O,X,O,X,X
ITJZLOS,X,X,X,O,O,O,X,X
ITJZSLO,O,O,X,O,X,O,X,X
ITJZSOL,X,O,X,O,X,O,X,X
ITJZOLS,X,O,X,O,O,O,X,X
ITJZOSL,X,O,X,O,X,O,X,X
ITJOLSZ,X,X,X,X,O,O,O,X
ITJOLZS,O,O,O,O,O,O,X,X
ITJOSLZ,X,X,X,X,O,O,X,X
ITJOSZL,X,O,X,O,X,O,X,X
ITJOZLS,O,O,X,O,O,O,X,X
ITJOZSL,O,O,X,O,X,O,X,X
ITSLJZO,X,X,X,X,X,X,O,X
ITSLJOZ,X,X,X,X,X,X,O,X
ITSLZJO,O,X,O,X,X,X,O,X
ITSLZOJ,O,X,O,X,X,X,O,X
ITSLOJZ,X,X,X,X,X,X,O,X
ITSLOZJ,O,X,O,X,X,X,O,X
ITSJLZO,X,X,X,X,X,O,X,X
ITSJLOZ,X,X,X,X,O,O,X,X
ITSJZLO,X,O,X,O,X,O,X,X
ITSJZOL,X,O,X,O,X,O,X,X
ITSJOLZ,X,X,X,X,O,O,X,X
ITSJOZL,X,O,X,O,X,O,X,X
ITSZLJO,O,O,X,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X
ITSZJOL,X,O,X,X,X,X,X,X
ITSZOLJ,O,X,X,X,X,X,X,X
ITSZOJL,X,O,X,X,X,X,X,X
ITSOLJZ,X,X,X,X,X,X,O,X
ITSOLZJ,O,X,O,X,X,X,O,X
ITSOJLZ,X,X,X,X,O,O,X,X
ITSOJZL,X,O,X,O,X,O,X,X
ITSOZLJ,O,O,X,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,O,O,O,X,X,X,X,X
ITZLJOS,X,X,O,X,X,X,X,X
ITZLSJO,O,O,O,X,X,X,O,X
ITZLSOJ,O,X,O,X,X,X,O,X
ITZLOJS,O,X,O,X,X,X,X,X
ITZLOSJ,O,X,O,X,X,X,O,X
ITZJLSO,O,O,X,O,X,X,X,X
ITZJLOS,X,X,X,O,O,X,X,X
ITZJSLO,O,O,X,O,X,O,X,X
ITZJSOL,X,O,X,O,X,O,X,X
ITZJOLS,X,O,X,O,O,X,X,X
ITZJOSL,X,O,X,O,X,O,X,O
ITZSLJO,O,O,X,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X
ITZSJOL,X,O,X,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X,X,X
ITZSOJL,X,O,X,X,X,X,X,X
ITZOLJS,O,O,O,X,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,O,X
ITZOJLS,O,O,X,O,O,X,X,X
ITZOJSL,O,O,X,O,X,O,X,O
ITZOSLJ,O,O,X,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X,X
ITOLJSZ,X,X,X,X,O,O,O,X
ITOLJZS,O,O,O,O,O,X,X,X
ITOLSJZ,X,X,X,X,X,X,O,X
ITOLSZJ,O,X,O,X,X,X,O,X
ITOLZJS,O,O,O,X,X,X,X,X
ITOLZSJ,O,O,O,X,X,X,O,X
ITOJLSZ,X,X,X,X,O,O,O,X
ITOJLZS,O,O,O,O,O,O,X,X
ITOJSLZ,X,X,X,X,O,O,X,X
ITOJSZL,X,O,X,O,X,O,X,X
ITOJZLS,O,O,X,O,O,O,X,X
ITOJZSL,O,O,X,O,X,O,X,X
ITOSLJZ,X,X,X,X,X,X,O,X
ITOSLZJ,O,X,O,X,X,X,O,X
ITOSJLZ,X,X,X,X,O,O,X,X
ITOSJZL,X,O,X,O,X,O,X,X
ITOSZLJ,O,O,X,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,O,O,O,X,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,O,X
ITOZJLS,O,O,X,O,O,X,X,X
ITOZJSL,O,O,X,O,X,O,X,O
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,X,X,X,X,X,O,O,X
ILTJSOZ,X,X,X,X,O,O,O,X
ILTJZSO,O,O,O,O,X,X,X,X
ILTJZOS,X,X,O,O,O,X,X,X
ILTJOSZ,X,X,X,X,O,O,O,X
ILTJOZS,O,O,O,O,O,X,X,X
ILTSJZO,X,X,X,X,X,X,O,X
ILTSJOZ,X,X,X,X,X,X,O,X
ILTSZJO,O,X,O,X,X,X,O,X
ILTSZOJ,O,X,O,X,X,X,O,X
ILTSOJZ,X,X,X,X,X,X,O,X
ILTSOZJ,O,X,O,X,X,X,O,X
ILTZJSO,O,O,O,X,X,X,X,X
ILTZJOS,X,X,O,X,X,X,X,X
ILTZSJO,O,O,O,X,X,X,O,X
ILTZSOJ,O,X,O,X,X,X,O,X
ILTZOJS,O,X,O,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,X,O,X
ILTOJSZ,X,X,X,X,O,O,O,X
ILTOJZS,O,O,O,O,O,X,X,X
ILTOSJZ,X,X,X,X,X,X,O,X
ILTOSZJ,O,X,O,X,X,X,O,X
ILTOZJS,O,O,O,X,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,O,X
ILJTSZO,X,X,X,X,X,O,O,X
ILJTSOZ,X,X,X,X,O,O,O,X
ILJTZSO,O,O,O,O,X,X,X,X
ILJTZOS,X,X,O,O,O,O,X,X
ILJTOSZ,X,X,X,X,O,O,O,X
ILJTOZS,O,O,O,O,O,O,X,X
ILJSTZO,X,X,X,X,X,X,O,X
ILJSTOZ,X,X,X,X,O,O,O,X
ILJSZTO,X,X,O,O,X,X,O,X
ILJSZOT,X,X,O,O,X,X,O,X
ILJSOTZ,X,X,X,X,X,O,O,X
ILJSOZT,X,X,O,O,X,X,O,X
ILJZTSO,O,O,O,O,X,X,X,X
ILJZTOS,X,X,O,O,O,O,X,X
ILJZSTO,O,O,O,O,X,X,X,X
ILJZSOT,X,X,O,O,X,X,X,X
ILJZOTS,O,O,O,O,X,O,X,X
ILJZOST,O,O,O,O,X,X,X,X
ILJOTSZ,X,X,X,X,O,O,X,X
ILJOTZS,O,O,X,X,O,O,X,X
ILJOSTZ,X,X,X,X,X,O,O,X
ILJOSZT,X,X,X,X,X,X,O,X
ILJOZTS,O,O,O,O,X,O,X,X
ILJOZST,O,O,O,O,X,X,X,X
ILSTJZO,X,X,O,X,X,X,O,X
ILSTJOZ,X,X,O,X,X,X,O,X
ILSTZJO,O,X,O,X,X,X,O,X
ILSTZOJ,O,X,O,X,X,X,O,X
ILSTOJZ,X,X,O,X,X,X,O,X
ILSTOZJ,O,X,O,X,X,X,O,X
ILSJTZO,X,X,X,X,X,X,O,X
ILSJTOZ,X,X,X,X,X,X,O,X
ILSJZTO,X,X,O,O,X,X,O,X
ILSJZOT,X,X,O,O,X,X,O,X
ILSJOTZ,X,X,X,X,X,X,O,X
ILSJOZT,X,X,O,O,X,X,O,X
ILSZTJO,O,X,O,X,X,X,O,X
ILSZTOJ,O,X,O,X,X,X,O,X
ILSZJTO,O,X,O,X,X,X,O,X
ILSZJOT,X,X,O,X,X,X,O,X
ILSZOTJ,O,X,O,X,X,X,X,X
ILSZOJT,O,X,O,X,X,X,O,X
ILSOTJZ,X,X,O,X,X,X,O,X
ILSOTZJ,O,X,O,X,X,X,O,X
ILSOJTZ,X,X,X,X,X,X,O,X
ILSOJZT,X,X,O,O,X,X,O,X
ILSOZTJ,O,X,O,X,X,X,X,X
ILSOZJT,O,X,O,X,X,X,O,X
ILZTJSO,O,O,O,X,X,X,X,X
ILZTJOS,X,X,O,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,O,X
ILZTSOJ,O,X,O,X,X,X,O,X
ILZTOJS,O,X,O,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,O,X
ILZJTSO,O,O,O,X,X,X,X,X
ILZJTOS,X,X,O,X,X,X,X,X
ILZJSTO,O,O,O,X,X,X,X,X
ILZJSOT,X,X,O,X,X,X,X,X
ILZJOTS,O,O,O,X,X,X,X,X
ILZJOST,O,O,O,X,X,X,X,X
ILZSTJO,O,O,O,X,X,X,O,X
ILZSTOJ,O,X,O,X,X,X,O,X
ILZSJTO,O,O,O,X,X,X,O,X
ILZSJOT,X,X,O,X,X,X,O,X
ILZSOTJ,O,X,O,X,X,X,X,X
ILZSOJT,O,X,O,X,X,X,O,X
ILZOTJS,O,O,O,X,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X,X
ILZOJTS,O,O,O,X,X,X,X,X
ILZOJST,O,O,O,X,X,X,X,X
ILZOSTJ,O,O,O,X,X,X,X,X
ILZOSJT,O,O,O,X,X,X,O,X
ILOTJSZ,X,X,X,X,X,X,O,X
ILOTJZS,O,O,O,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,O,X
ILOTSZJ,O,X,O,X,X,X,O,X
ILOTZJS,O,O,O,X,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,O,X
ILOJTSZ,X,X,X,X,X,O,X,X
ILOJTZS,O,O,X,X,X,O,X,X
ILOJSTZ,X,X,X,X,X,O,O,X
ILOJSZT,X,X,X,X,X,X,O,X
ILOJZTS,O,O,O,O,X,O,X,X
ILOJZST,O,O,O,O,X,X,X,X
ILOSTJZ,X,X,O,X,X,X,O,X
ILOSTZJ,O,X,O,X,X,X,O,X
ILOSJTZ,X,X,X,X,X,X,O,X
ILOSJZT,X,X,O,X,X,X,O,X
ILOSZTJ,O,X,O,X,X,X,X,X
ILOSZJT,O,X,O,X,X,X,O,X
ILOZTJS,O,O,O,X,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X,X
ILOZJTS,O,O,O,X,X,X,X,X
ILOZJST,O,O,O,X,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X,X
ILOZSJT,O,O,O,X,X,X,O,X
IJTLSZO,X,X,X,X,X,O,O,X
IJTLSOZ,X,X,X,X,O,O,O,X
IJTLZSO,O,O,O,O,X,X,X,X
IJTLZOS,X,X,O,O,O,O,X,X
IJTLOSZ,X,X,X,X,O,O,O,X
IJTLOZS,O,O,O,O,O,O,X,X
IJTSLZO,X,X,X,X,X,O,X,X
IJTSLOZ,X,X,X,X,O,O,X,X
IJTSZLO,X,O,X,O,X,O,X,X
IJTSZOL,X,O,X,O,X,O,X,X
IJTSOLZ,X,X,X,X,O,O,X,X
IJTSOZL,X,O,X,O,X,O,X,X
IJTZLSO,O,O,X,O,X,O,X,X
IJTZLOS,X,X,X,O,O,O,X,X
IJTZSLO,O,O,X,O,X,O,X,X
IJTZSOL,X,O,X,O,X,O,X,X
IJTZOLS,X,O,X,O,O,O,X,X
IJTZOSL,X,O,X,O,X,O,X,X
IJTOLSZ,X,X,X,X,O,O,O,X
IJTOLZS,O,O,O,O,O,O,X,X
IJTOSLZ,X,X,X,X,O,O,X,X
IJTOSZL,X,O,X,O,X,O,X,X
IJTOZLS,O,O,X,O,O,O,X,X
IJTOZSL,O,O,X,O,X,O,X,X
IJLTSZO,X,X,X,X,X,O,O,X
IJLTSOZ,X,X,X,X,O,O,O,X
IJLTZSO,O,O,O,O,X,O,X,X
IJLTZOS,X,X,O,O,O,O,X,X
IJLTOSZ,X,X,X,X,O,O,O,X
IJLTOZS,O,O,O,O,O,O,X,X
IJLSTZO,X,X,X,X,O,X,O,X
IJLSTOZ,X,X,X,X,O,O,O,X
IJLSZTO,X,X,O,O,X,X,O,X
IJLSZOT,X,X,O,O,X,X,O,X
IJLSOTZ,X,X,X,X,O,O,O,X
IJLSOZT,X,X,O,O,X,X,O,X
IJLZTSO,O,O,O,O,X,X,X,X
IJLZTOS,X,X,O,O,O,O,X,X
IJLZSTO,O,O,O,O,X,X,X,X
IJLZSOT,X,X,O,O,X,X,X,X
IJLZOTS,O,O,O,O,X,O,X,X
IJLZOST,O,O,O,O,X,X,X,X
IJLOTSZ,X,X,X,X,O,O,X,X
IJLOTZS,O,O,X,X,O,O,X,X
IJLOSTZ,X,X,X,X,O,O,O,X
IJLOSZT,X,X,X,X,X,X,O,X
IJLOZTS,O,O,O,O,X,O,X,X
IJLOZST,O,O,O,O,X,X,X,X
IJSTLZO,X,X,X,O,O,O,X,X
IJSTLOZ,X,X,X,O,O,O,X,X
IJSTZLO,X,O,X,O,O,O,X,X
IJSTZOL,X,O,X,O,O,O,X,X
IJSTOLZ,X,X,X,O,O,O,X,X
IJSTOZL,X,O,X,O,O,O,X,X
IJSLTZO,X,X,X,X,O,X,X,X
IJSLTOZ,X,X,X,X,O,O,X,X
IJSLZTO,X,X,O,O,X,X,X,X
IJSLZOT,X,X,O,O,X,X,X,X
IJSLOTZ,X,X,X,X,O,O,X,X
IJSLOZT,X,X,O,O,X,X,X,X
IJSZTLO,X,O,X,O,X,X,X,X
IJSZTOL,X,O,X,O,X,X,X,X
IJSZLTO,X,O,X,O,X,X,X,X
IJSZLOT,X,X,X,O,X,X,X,X
IJSZOTL,X,O,X,O,X,X,X,X
IJSZOLT,X,O,X,O,X,X,X,X
IJSOTLZ,X,X,X,O,O,X,X,X
IJSOTZL,X,O,X,O,O,X,X,X
IJSOLTZ,X,X,X,X,O,O,X,X
IJSOLZT,X,X,O,O,X,X,X,X
IJSOZTL,X,O,X,O,X,X,X,X
IJSOZLT,X,O,X,O,X,X,X,X
IJZTLSO,O,O,X,O,X,X,X,X
IJZTLOS,X,X,X,O,O,X,X,X
IJZTSLO,O,O,X,O,X,O,X,X
IJZTSOL,X,O,X,O,X,O,X,X
IJZTOLS,X,O,X,O,O,X,X,X
IJZTOSL,X,O,X,O,X,O,X,X
IJZLTSO,O,O,X,O,X,X,X,X
IJZLTOS,X,X,X,O,O,O,X,X
IJZLSTO,O,O,X,O,X,X,X,X
IJZLSOT,X,X,X,O,X,X,X,X
IJZLOTS,O,O,X,O,X,O,X,X
IJZLOST,O,O,X,O,X,X,X,X
IJZSTLO,O,O,X,O,X,X,X,X
IJZSTOL,X,O,X,O,X,X,X,X
IJZSLTO,O,O,X,O,X,X,X,X
IJZSLOT,X,X,X,O,X,X,X,X
IJZSOTL,X,O,X,O,X,X,X,X
IJZSOLT,X,O,X,O,X,X,X,X
IJZOTLS,O,O,X,O,X,X,X,X
IJZOTSL,O,O,X,O,X,X,X,X
IJZOLTS,O,O,X,O,X,O,X,X
IJZOLST,O,O,X,O,X,X,X,X
IJZOSTL,O,O,X,O,X,X,X,X
IJZOSLT,O,O,X,O,X,X,X,X
IJOTLSZ,X,X,X,X,O,O,X,X
IJOTLZS,O,O,X,O,O,O,X,X
IJOTSLZ,X,X,X,X,O,O,X,X
IJOTSZL,X,O,X,O,X,O,X,X
IJOTZLS,O,O,X,O,O,O,X,X
IJOTZSL,O,O,X,O,X,O,X,X
