sequence,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nB6tBOtBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nBOtB6tBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBunB?coBFlB3qBSyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?FlB8sB+tB3qB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBSoB?FlBUoB3qBWyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?1qBGtBUqBXtB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBGjB?1qBqsB/tBUqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBFlB?GoB3qBUtBCtB
TIZJOSL,X,O,X,O,X,O,X,O
TIZSLJO,O,O,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X
TIZOLJS,O,O,O,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,O,X
TIZOJLS,O,O,X,O,O,X,X,X
TIZOJSL,O,O,X,O,X,O,X,O
TIZOSLJ,O,O,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,O,O,X
TIOLJZS,O,O,O,O,O,X,X,X
TIOLSJZ,X,X,X,X,X,X,O,X
TIOLSZJ,O,X,O,X,X,X,O,X
TIOLZJS,O,O,O,X,X,X,X,X
TIOLZSJ,O,O,O,X,X,X,O,X
TIOJLSZ,X,X,X,X,O,O,O,X
TIOJLZS,O,O,O,O,O,O,X,X
TIOJSLZ,X,X,X,X,O,O,X,X
TIOJSZL,X,O,X,O,X,O,X,X
TIOJZLS,O,O,X,O,O,O,X,X
TIOJZSL,O,O,X,O,X,O,X,X
TIOSLJZ,X,X,X,X,X,X,O,X
TIOSLZJ,O,X,O,X,X,X,O,X
TIOSJLZ,X,X,X,X,O,O,X,X
TIOSJZL,X,O,X,O,X,O,X,X
TIOSZLJ,O,O,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X
TIOZLJS,O,O,O,X,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,O,X
TIOZJLS,O,O,X,O,O,X,X,X
TIOZJSL,O,O,X,O,X,O,X,O
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,O,O,X
TLIJSOZ,X,X,X,X,O,O,O,X
TLIJZSO,O,O,O,O,X,X,X,X
TLIJZOS,X,X,O,O,O,X,X,X
TLIJOSZ,X,X,X,X,O,O,O,X
TLIJOZS,O,O,O,O,O,X,X,X
TLISJZO,X,X,X,X,X,X,O,X
TLISJOZ,X,X,X,X,X,X,O,X
TLISZJO,O,X,O,X,X,X,O,X
TLISZOJ,O,X,O,X,X,X,O,X
TLISOJZ,X,X,X,X,X,X,O,X
TLISOZJ,O,X,O,X,X,X,O,X
TLIZJSO,O,O,O,X,X,X,X,X
TLIZJOS,X,X,O,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,O,X
TLIZSOJ,O,X,O,X,X,X,O,X
TLIZOJS,O,X,O,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,O,X
TLIOJSZ,X,X,X,X,O,O,O,X
TLIOJZS,O,O,O,O,O,X,X,X
TLIOSJZ,X,X,X,X,X,X,O,X
TLIOSZJ,O,X,O,X,X,X,O,X
TLIOZJS,O,O,O,X,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,O,X
TLJISZO,X,X,X,X,X,O,O,X
TLJISOZ,X,X,X,X,O,O,O,X
TLJIZSO,O,O,O,O,X,X,X,X
TLJIZOS,X,X,O,O,O,X,X,X
TLJIOSZ,X,X,X,X,O,O,O,X
TLJIOZS,O,O,O,O,O,X,X,X
TLJSIZO,X,X,X,X,X,O,O,X
TLJSIOZ,X,X,X,X,O,O,O,X
TLJSZIO,X,X,X,X,X,O,O,X
TLJSZOI,X,X,X,X,X,O,O,X
TLJSOIZ,X,X,X,X,O,O,O,X
TLJSOZI,X,X,X,X,O,O,O,X
TLJZISO,O,O,O,O,X,O,X,X
TLJZIOS,X,X,O,O,O,O,X,X
TLJZSIO,O,O,O,O,X,O,X,X
TLJZSOI,X,X,O,O,X,O,X,X
TLJZOIS,X,X,O,O,O,O,X,X
TLJZOSI,X,X,O,O,O,O,X,X
TLJOISZ,X,X,X,X,O,O,O,X
TLJOIZS,O,O,O,O,O,X,X,X
TLJOSIZ,X,X,X,X,O,O,O,X
TLJOSZI,X,X,X,X,O,O,O,X
TLJOZIS,O,O,O,O,O,O,X,X
TLJOZSI,O,O,O,O,O,O,X,X
TLSIJZO,X,X,O,X,X,X,O,X
TLSIJOZ,X,X,O,X,X,X,O,X
TLSIZJO,O,X,O,X,X,X,O,X
TLSIZOJ,O,X,O,X,X,X,O,X
TLSIOJZ,X,X,O,X,X,X,O,X
TLSIOZJ,O,X,O,X,X,X,O,X
TLSJIZO,X,X,O,X,X,X,O,X
TLSJIOZ,X,X,O,X,X,X,O,X
TLSJZIO,X,X,O,X,X,X,O,X
TLSJZOI,X,X,O,X,X,X,O,X
TLSJOIZ,X,X,O,X,X,X,O,X
TLSJOZI,X,X,O,X,X,X,O,X
TLSZIJO,O,X,O,X,X,X,O,X
TLSZIOJ,O,X,O,X,X,X,O,X
TLSZJIO,O,X,O,X,X,X,O,X
TLSZJOI,X,X,O,X,X,X,O,X
TLSZOIJ,O,X,O,X,X,X,O,X
TLSZOJI,X,X,O,X,X,X,O,X
TLSOIJZ,X,X,O,X,X,X,O,X
TLSOIZJ,O,X,O,X,X,X,O,X
TLSOJIZ,X,X,O,X,X,X,O,X
TLSOJZI,X,X,O,X,X,X,O,X
TLSOZIJ,O,X,O,X,X,X,O,X
TLSOZJI,O,X,O,X,X,X,O,X
TLZIJSO,O,O,O,X,X,X,X,X
TLZIJOS,X,X,O,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,O,X
TLZISOJ,O,X,O,X,X,X,O,X
TLZIOJS,O,X,O,X,X,X,X,X
TLZIOSJ,O,X,O,X,X,X,O,X
TLZJISO,O,O,O,X,X,X,X,X
TLZJIOS,X,X,O,X,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X
TLZJOIS,X,X,O,X,X,X,X,X
TLZJOSI,X,X,O,X,X,X,X,O
TLZSIJO,O,O,O,X,X,X,O,X
TLZSIOJ,O,X,O,X,X,X,O,X
TLZSJIO,O,O,O,X,X,X,O,X
TLZSJOI,X,X,O,X,X,X,O,X
TLZSOIJ,O,X,O,X,X,X,O,X
TLZSOJI,X,X,O,X,X,X,O,X
TLZOIJS,O,X,O,X,X,X,X,X
TLZOISJ,O,X,O,X,X,X,O,X
TLZOJIS,O,X,O,X,X,X,X,X
TLZOJSI,O,X,O,X,X,X,X,O
TLZOSIJ,O,X,O,X,X,X,O,X
TLZOSJI,O,X,O,X,X,X,O,X
TLOIJSZ,X,X,X,X,O,O,O,X
TLOIJZS,O,O,O,O,O,X,X,X
TLOISJZ,X,X,X,X,X,X,O,X
TLOISZJ,O,X,O,X,X,X,O,X
TLOIZJS,O,O,O,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,O,X
TLOJISZ,X,X,X,X,O,O,O,X
TLOJIZS,O,O,O,O,O,X,X,X
TLOJSIZ,X,X,X,X,O,O,O,X
TLOJSZI,X,X,X,X,O,O,O,X
TLOJZIS,O,O,O,O,O,O,X,X
TLOJZSI,O,O,O,O,O,O,X,X
TLOSIJZ,X,X,O,X,X,X,O,X
TLOSIZJ,O,X,O,X,X,X,O,X
TLOSJIZ,X,X,O,X,X,X,O,X
TLOSJZI,X,X,O,X,X,X,O,X
TLOSZIJ,O,X,O,X,X,X,O,X
TLOSZJI,O,X,O,X,X,X,O,X
TLOZIJS,O,O,O,X,X,X,X,X
TLOZISJ,O,O,O,X,X,X,O,X
TLOZJIS,O,O,O,X,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X,O
TLOZSIJ,O,O,O,X,X,X,O,X
TLOZSJI,O,O,O,X,X,X,O,X
TJILSZO,X,X,X,X,X,O,O,X
TJILSOZ,X,X,X,X,O,O,O,X
TJILZSO,O,O,O,O,X,X,X,X
TJILZOS,X,X,O,O,O,O,X,X
TJILOSZ,X,X,X,X,O,O,O,X
TJILOZS,O,O,O,O,O,O,X,X
TJISLZO,X,X,X,X,X,O,X,X
TJISLOZ,X,X,X,X,O,O,X,X
TJISZLO,X,O,X,O,X,O,X,X
TJISZOL,X,O,X,O,X,O,X,X
TJISOLZ,X,X,X,X,O,O,X,X
TJISOZL,X,O,X,O,X,O,X,X
TJIZLSO,O,O,X,O,X,O,X,X
TJIZLOS,X,X,X,O,O,O,X,X
TJIZSLO,O,O,X,O,X,O,X,X
TJIZSOL,X,O,X,O,X,O,X,X
TJIZOLS,X,O,X,O,O,O,X,X
TJIZOSL,X,O,X,O,X,O,X,X
TJIOLSZ,X,X,X,X,O,O,O,X
TJIOLZS,O,O,O,O,O,O,X,X
TJIOSLZ,X,X,X,X,O,O,X,X
TJIOSZL,X,O,X,O,X,O,X,X
TJIOZLS,O,O,X,O,O,O,X,X
TJIOZSL,O,O,X,O,X,O,X,X
TJLISZO,X,X,X,X,X,O,O,X
TJLISOZ,X,X,X,X,O,O,O,X
TJLIZSO,O,O,O,O,X,O,X,X
TJLIZOS,X,X,O,O,O,O,X,X
TJLIOSZ,X,X,X,X,O,O,O,X
TJLIOZS,O,O,O,O,O,O,X,X
TJLSIZO,X,X,X,X,O,O,O,X
TJLSIOZ,X,X,X,X,O,O,O,X
TJLSZIO,X,X,X,X,O,O,O,X
TJLSZOI,X,X,X,X,O,O,O,X
TJLSOIZ,X,X,X,X,O,O,O,X
TJLSOZI,X,X,X,X,O,O,O,X
TJLZISO,O,O,O,O,X,O,X,X
TJLZIOS,X,X,O,O,O,O,X,X
TJLZSIO,O,O,O,O,X,O,X,X
TJLZSOI,X,X,O,O,X,O,X,X
TJLZOIS,X,X,O,O,O,O,X,X
TJLZOSI,X,X,O,O,O,O,X,X
TJLOISZ,X,X,X,X,O,O,O,X
TJLOIZS,O,O,O,O,O,O,X,X
TJLOSIZ,X,X,X,X,O,O,O,X
TJLOSZI,X,X,X,X,O,O,O,X
TJLOZIS,O,O,O,O,O,O,X,X
TJLOZSI,O,O,O,O,O,O,X,X
TJSILZO,X,X,X,O,O,O,X,X
TJSILOZ,X,X,X,O,O,O,X,X
TJSIZLO,X,O,X,O,O,O,X,X
TJSIZOL,X,O,X,O,O,O,X,X
TJSIOLZ,X,X,X,O,O,O,X,X
TJSIOZL,X,O,X,O,O,O,X,X
TJSLIZO,X,X,X,O,O,O,X,X
TJSLIOZ,X,X,X,O,O,O,X,X
TJSLZIO,X,X,X,O,O,O,X,X
TJSLZOI,X,X,X,O,O,O,X,X
TJSLOIZ,X,X,X,O,O,O,X,X
TJSLOZI,X,X,X,O,O,O,X,X
TJSZILO,X,O,X,O,O,O,X,X
TJSZIOL,X,O,X,O,O,O,X,X
TJSZLIO,X,O,X,O,O,O,X,X
TJSZLOI,X,X,X,O,O,O,X,X
TJSZOIL,X,O,X,O,O,O,X,X
TJSZOLI,X,X,X,O,O,O,X,X
TJSOILZ,X,X,X,O,O,O,X,X
TJSOIZL,X,O,X,O,O,O,X,X
TJSOLIZ,X,X,X,O,O,O,X,X
TJSOLZI,X,X,X,O,O,O,X,X
TJSOZIL,X,O,X,O,O,O,X,X
TJSOZLI,X,O,X,O,O,O,X,X
TJZILSO,O,O,X,O,X,O,X,X
TJZILOS,X,X,X,O,O,O,X,X
TJZISLO,O,O,X,O,X,O,X,X
TJZISOL,X,O,X,O,X,O,X,X
TJZIOLS,X,O,X,O,O,O,X,X
TJZIOSL,X,O,X,O,X,O,X,O
TJZLISO,O,O,X,O,X,O,X,X
TJZLIOS,X,X,X,O,O,O,X,X
TJZLSIO,O,O,X,O,X,O,X,X
TJZLSOI,X,X,X,O,X,O,X,X
TJZLOIS,X,X,X,O,O,O,X,X
