sequence,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBOnBXjBStB0rBFrB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB6oBmnBxrBcrBXsB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB3hBGjBUoBxrBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBVnBUmBXoBGoBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgBRiB+oB3nB0rBirB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBUmBFnBXoBGoBywB
TIOZLSJ,O,X,O,O,X,O
TIOZJLS,O,O,O,X,X,X
TIOZJSL,X,X,O,O,O,O
TIOZSLJ,X,X,O,O,X,O
TIOZSJL,X,X,O,O,X,O
TLIJSZO,X,O,X,X,X,X
TLIJSOZ,X,O,X,X,X,X
TLIJZSO,X,O,X,X,X,X
TLIJZOS,X,O,X,X,X,X
TLIJOSZ,X,O,X,X,X,X
TLIJOZS,X,O,X,X,X,X
TLISJZO,X,O,X,X,X,X
TLISJOZ,O,O,X,X,X,X
TLISZJO,X,X,O,O,X,X
TLISZOJ,X,X,O,O,X,X
TLISOJZ,O,O,X,X,X,X
TLISOZJ,X,X,O,O,X,X
TLIZJSO,O,O,O,O,X,X
TLIZJOS,O,O,O,O,X,X
TLIZSJO,O,X,O,O,X,X
TLIZSOJ,O,X,O,O,X,X
TLIZOJS,O,O,O,O,X,X
TLIZOSJ,O,X,O,O,X,X
TLIOJSZ,X,O,X,X,X,X
TLIOJZS,X,O,X,X,X,X
TLIOSJZ,O,O,X,X,X,X
TLIOSZJ,X,X,O,O,X,X
TLIOZJS,O,O,O,O,X,X
TLIOZSJ,O,X,O,O,X,X
TLJISZO,X,O,X,X,X,X
TLJISOZ,X,O,X,X,X,X
TLJIZSO,X,O,X,X,X,X
TLJIZOS,X,O,X,X,X,X
TLJIOSZ,X,O,X,X,X,X
TLJIOZS,X,O,X,X,X,X
TLJSIZO,X,O,X,X,X,X
TLJSIOZ,X,O,X,X,O,X
TLJSZIO,X,X,X,O,O,X
TLJSZOI,X,X,X,O,O,X
TLJSOIZ,X,O,X,X,O,X
TLJSOZI,X,X,X,O,O,X
TLJZISO,X,O,X,O,X,X
TLJZIOS,X,O,X,O,X,X
TLJZSIO,X,X,X,O,O,X
TLJZSOI,X,X,X,O,O,X
TLJZOIS,X,O,X,O,X,X
TLJZOSI,X,X,X,O,O,X
TLJOISZ,X,O,X,X,X,X
TLJOIZS,X,O,X,X,X,X
TLJOSIZ,X,O,X,X,O,X
TLJOSZI,X,X,X,O,O,X
TLJOZIS,X,O,X,O,X,X
TLJOZSI,X,X,X,O,O,X
TLSIJZO,X,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,X
TLSIZJO,X,X,X,O,X,X
TLSIZOJ,X,X,X,O,X,X
TLSIOJZ,O,O,X,X,X,X
TLSIOZJ,X,X,X,O,X,X
TLSJIZO,X,O,X,X,X,X
TLSJIOZ,O,O,X,X,X,X
TLSJZIO,O,X,X,O,X,X
TLSJZOI,O,X,X,O,X,X
TLSJOIZ,O,O,X,X,X,X
TLSJOZI,O,X,X,O,X,X
TLSZIJO,O,X,X,O,X,X
TLSZIOJ,O,X,X,O,X,X
TLSZJIO,O,X,X,O,X,X
TLSZJOI,O,X,X,O,X,X
TLSZOIJ,O,X,X,O,X,X
TLSZOJI,O,X,X,O,X,X
TLSOIJZ,O,O,X,X,X,X
TLSOIZJ,X,X,X,O,X,X
TLSOJIZ,O,O,X,X,X,X
TLSOJZI,O,X,X,O,X,X
