sequence,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBOnBXjBStB0rBFrB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB6oBmnBxrBcrBXsB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB3hBGjBUoBxrBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBVnBUmBXoBGoBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgBRiB+oB3nB0rBirB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBUmBFnBXoBGoBywB
IZOLSTJ,O,X,O,O,X,O
IZOLSJT,O,X,O,X,X,X
IZOJTLS,O,O,O,X,X,X
IZOJTSL,X,X,O,O,O,O
IZOJLTS,O,O,O,X,X,X
IZOJLST,O,O,O,X,X,X
IZOJSTL,X,X,O,O,O,O
IZOJSLT,O,X,O,X,O,X
IZOSTLJ,X,X,O,O,X,O
IZOSTJL,X,X,O,O,X,O
IZOSLTJ,O,X,O,O,X,O
IZOSLJT,O,X,O,X,X,X
IZOSJTL,X,X,O,O,X,O
IZOSJLT,O,X,O,X,X,X
IOTLJSZ,X,O,X,X,X,X
IOTLJZS,X,O,X,X,X,X
IOTLSJZ,O,O,X,X,X,X
IOTLSZJ,X,X,O,X,X,X
IOTLZJS,O,O,O,X,X,X
IOTLZSJ,O,X,O,X,X,X
IOTJLSZ,X,O,X,X,X,X
IOTJLZS,X,O,X,X,X,X
IOTJSLZ,X,O,X,X,O,X
IOTJSZL,X,X,O,X,O,X
IOTJZLS,X,O,O,X,X,X
IOTJZSL,X,X,O,X,O,X
IOTSLJZ,X,O,X,X,X,X
IOTSLZJ,X,X,O,X,X,X
IOTSJLZ,X,O,X,X,X,X
IOTSJZL,X,X,O,X,X,X
IOTSZLJ,X,X,O,O,X,O
IOTSZJL,X,X,O,O,X,O
IOTZLJS,O,O,O,X,X,X
IOTZLSJ,O,X,O,O,X,O
IOTZJLS,O,O,O,X,X,X
IOTZJSL,X,X,O,O,O,O
IOTZSLJ,X,X,O,O,X,O
IOTZSJL,X,X,O,O,X,O
IOLTJSZ,X,O,X,X,X,X
IOLTJZS,X,O,X,X,X,X
IOLTSJZ,O,O,X,X,X,X
IOLTSZJ,X,X,O,O,X,X
IOLTZJS,O,O,O,O,X,X
IOLTZSJ,O,X,O,O,X,X
IOLJTSZ,X,O,X,X,X,X
IOLJTZS,X,O,X,X,X,X
IOLJSTZ,O,O,X,X,X,X
IOLJSZT,O,O,X,X,X,X
IOLJZTS,O,O,X,X,X,X
IOLJZST,O,O,X,X,X,X
IOLSTJZ,O,O,X,X,X,X
IOLSTZJ,X,X,O,O,X,X
IOLSJTZ,O,O,X,X,X,X
IOLSJZT,O,O,X,X,X,X
IOLSZTJ,O,X,O,O,X,O
IOLSZJT,O,X,O,X,X,X
IOLZTJS,O,O,O,O,X,X
IOLZTSJ,O,X,O,O,X,O
IOLZJTS,O,O,O,O,X,X
IOLZJST,O,O,O,X,X,X
IOLZSTJ,O,X,O,O,X,O
IOLZSJT,O,X,O,X,X,X
IOJTLSZ,X,O,X,X,X,X
IOJTLZS,X,O,X,X,X,X
IOJTSLZ,X,O,X,X,O,X
IOJTSZL,X,X,O,X,O,X
IOJTZLS,X,O,O,X,X,X
IOJTZSL,X,X,O,X,O,X
IOJLTSZ,X,O,X,X,X,X
IOJLTZS,X,O,X,X,X,X
IOJLSTZ,O,O,X,X,X,X
IOJLSZT,O,O,X,X,X,X
IOJLZTS,O,O,X,X,X,X
IOJLZST,O,O,X,X,X,X
IOJSTLZ,X,O,X,X,O,X
IOJSTZL,X,X,O,X,O,X
IOJSLTZ,X,O,X,X,O,X
IOJSLZT,X,O,X,X,O,X
IOJSZTL,X,X,O,O,O,O
IOJSZLT,X,X,O,X,O,X
IOJZTLS,O,O,O,X,X,X
IOJZTSL,X,X,O,O,O,O
IOJZLTS,O,O,O,X,X,X
IOJZLST,O,O,O,X,X,X
IOJZSTL,X,X,O,O,O,O
IOJZSLT,O,X,O,X,O,X
IOSTLJZ,X,O,X,X,X,X
IOSTLZJ,X,X,O,O,X,X
IOSTJLZ,X,O,X,X,X,X
IOSTJZL,X,X,O,X,X,X
IOSTZLJ,X,X,O,O,X,O
IOSTZJL,X,X,O,O,X,O
IOSLTJZ,O,O,X,X,X,X
IOSLTZJ,X,X,O,O,X,X
IOSLJTZ,O,O,X,X,X,X
IOSLJZT,O,O,X,X,X,X
IOSLZTJ,O,X,O,O,X,O
IOSLZJT,O,X,O,X,X,X
IOSJTLZ,X,O,X,X,X,X
IOSJTZL,X,X,O,X,X,X
IOSJLTZ,X,O,X,X,X,X
IOSJLZT,X,O,X,X,X,X
IOSJZTL,X,X,O,O,X,O
IOSJZLT,X,X,O,X,X,X
IOSZTLJ,X,X,O,O,X,O
IOSZTJL,X,X,O,O,X,O
IOSZLTJ,O,X,O,O,X,O
IOSZLJT,O,X,O,X,X,X
IOSZJTL,X,X,O,O,X,O
IOSZJLT,O,X,O,X,X,X
IOZTLJS,O,O,O,X,X,X
IOZTLSJ,O,X,O,O,X,O
IOZTJLS,O,O,O,X,X,X
IOZTJSL,X,X,O,O,O,O
IOZTSLJ,X,X,O,O,X,O
IOZTSJL,X,X,O,O,X,O
IOZLTJS,O,O,O,O,X,X
IOZLTSJ,O,X,O,O,X,O
IOZLJTS,O,O,O,O,X,X
IOZLJST,O,O,O,X,X,X
IOZLSTJ,O,X,O,O,X,O
IOZLSJT,O,X,O,X,X,X
IOZJTLS,O,O,O,X,X,X
IOZJTSL,X,X,O,O,O,O
IOZJLTS,O,O,O,X,X,X
IOZJLST,O,O,O,X,X,X
IOZJSTL,X,X,O,O,O,O
IOZJSLT,O,X,O,X,O,X
IOZSTLJ,X,X,O,O,X,O
IOZSTJL,X,X,O,O,X,O
IOZSLTJ,O,X,O,O,X,O
IOZSLJT,O,X,O,X,X,X
IOZSJTL,X,X,O,O,X,O
IOZSJLT,O,X,O,X,X,X
LTIJSZO,X,O,X,X,X,X
LTIJSOZ,X,O,X,X,X,X
LTIJZSO,X,O,X,X,X,X
LTIJZOS,X,O,X,X,X,X
LTIJOSZ,X,O,X,X,X,X
LTIJOZS,X,O,X,X,X,X
LTISJZO,X,O,X,X,X,X
LTISJOZ,O,O,X,X,X,X
LTISZJO,X,X,O,O,X,X
LTISZOJ,X,X,O,O,X,X
LTISOJZ,O,O,X,X,X,X
LTISOZJ,X,X,O,O,X,X
LTIZJSO,O,O,O,O,X,X
LTIZJOS,O,O,O,O,X,X
LTIZSJO,O,X,O,O,X,X
LTIZSOJ,O,X,O,O,X,X
LTIZOJS,O,O,O,O,X,X
LTIZOSJ,O,X,O,O,X,X
LTIOJSZ,X,O,X,X,X,X
LTIOJZS,X,O,X,X,X,X
LTIOSJZ,O,O,X,X,X,X
LTIOSZJ,X,X,O,O,X,X
LTIOZJS,O,O,O,O,X,X
LTIOZSJ,O,X,O,O,X,X
LTJISZO,X,O,X,X,X,X
LTJISOZ,X,O,X,X,X,X
LTJIZSO,X,O,X,X,X,X
LTJIZOS,X,O,X,X,X,X
LTJIOSZ,X,O,X,X,X,X
LTJIOZS,X,O,X,X,X,X
LTJSIZO,X,O,X,X,X,X
LTJSIOZ,X,O,X,X,O,X
LTJSZIO,X,X,X,O,O,X
LTJSZOI,X,X,X,O,O,X
LTJSOIZ,X,O,X,X,O,X
LTJSOZI,X,X,X,O,O,X
LTJZISO,X,O,X,O,X,X
LTJZIOS,X,O,X,O,X,X
LTJZSIO,X,X,X,O,O,X
LTJZSOI,X,X,X,O,O,X
LTJZOIS,X,O,X,O,X,X
LTJZOSI,X,X,X,O,O,X
LTJOISZ,X,O,X,X,X,X
LTJOIZS,X,O,X,X,X,X
LTJOSIZ,X,O,X,X,O,X
LTJOSZI,X,X,X,O,O,X
LTJOZIS,X,O,X,O,X,X
LTJOZSI,X,X,X,O,O,X
LTSIJZO,X,O,X,X,X,X
LTSIJOZ,O,O,X,X,X,X
LTSIZJO,X,X,X,O,X,X
LTSIZOJ,X,X,X,O,X,X
LTSIOJZ,O,O,X,X,X,X
LTSIOZJ,X,X,X,O,X,X
LTSJIZO,X,O,X,X,X,X
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,X,X,O,X,X
LTSJZOI,O,X,X,O,X,X
LTSJOIZ,O,O,X,X,X,X
LTSJOZI,O,X,X,O,X,X
LTSZIJO,O,X,X,O,X,X
LTSZIOJ,O,X,X,O,X,X
LTSZJIO,O,X,X,O,X,X
LTSZJOI,O,X,X,O,X,X
LTSZOIJ,O,X,X,O,X,X
LTSZOJI,O,X,X,O,X,X
LTSOIJZ,O,O,X,X,X,X
LTSOIZJ,X,X,X,O,X,X
LTSOJIZ,O,O,X,X,X,X
LTSOJZI,O,X,X,O,X,X
LTSOZIJ,O,X,X,O,X,X
LTSOZJI,O,X,X,O,X,X
LTZIJSO,O,O,O,O,X,X
LTZIJOS,O,O,O,O,X,X
LTZISJO,O,X,O,O,X,X
LTZISOJ,O,X,O,O,X,X
LTZIOJS,O,O,O,O,X,X
LTZIOSJ,O,X,O,O,X,X
LTZJISO,O,O,O,O,X,X
LTZJIOS,O,O,O,O,X,X
LTZJSIO,O,X,X,O,O,X
LTZJSOI,O,X,X,O,O,X
LTZJOIS,O,O,O,O,X,X
LTZJOSI,O,X,X,O,O,X
LTZSIJO,O,X,X,O,X,X
LTZSIOJ,O,X,X,O,X,X
LTZSJIO,O,X,X,O,X,X
LTZSJOI,O,X,X,O,X,X
LTZSOIJ,O,X,X,O,X,X
LTZSOJI,O,X,X,O,X,X
LTZOIJS,O,O,O,O,X,X
LTZOISJ,O,X,O,O,X,X
LTZOJIS,O,O,O,O,X,X
LTZOJSI,O,X,X,O,O,X
LTZOSIJ,O,X,X,O,X,X
LTZOSJI,O,X,X,O,X,X
LTOIJSZ,X,O,X,X,X,X
LTOIJZS,X,O,X,X,X,X
LTOISJZ,O,O,X,X,X,X
LTOISZJ,X,X,O,O,X,X
LTOIZJS,O,O,O,O,X,X
LTOIZSJ,O,X,O,O,X,X
LTOJISZ,X,O,X,X,X,X
LTOJIZS,X,O,X,X,X,X
LTOJSIZ,X,O,X,X,O,X
LTOJSZI,X,X,X,O,O,X
LTOJZIS,X,O,X,O,X,X
LTOJZSI,X,X,X,O,O,X
LTOSIJZ,O,O,X,X,X,X
LTOSIZJ,X,X,X,O,X,X
LTOSJIZ,O,O,X,X,X,X
LTOSJZI,O,X,X,O,X,X
LTOSZIJ,O,X,X,O,X,X
LTOSZJI,O,X,X,O,X,X
LTOZIJS,O,O,O,O,X,X
LTOZISJ,O,X,O,O,X,X
LTOZJIS,O,O,O,O,X,X
LTOZJSI,O,X,X,O,O,X
LTOZSIJ,O,X,X,O,X,X
LTOZSJI,O,X,X,O,X,X
LITJSZO,X,O,X,X,X,X
LITJSOZ,X,O,X,X,X,X
LITJZSO,X,O,X,X,X,X
LITJZOS,X,O,X,X,X,X
LITJOSZ,X,O,X,X,X,X
LITJOZS,X,O,X,X,X,X
LITSJZO,X,O,X,X,X,X
LITSJOZ,O,O,X,X,X,X
LITSZJO,X,X,O,O,X,X
LITSZOJ,X,X,O,O,X,X
LITSOJZ,O,O,X,X,X,X
LITSOZJ,X,X,O,O,X,X
LITZJSO,O,O,O,O,X,X
LITZJOS,O,O,O,O,X,X
LITZSJO,O,X,O,O,X,X
LITZSOJ,O,X,O,O,X,X
LITZOJS,O,O,O,O,X,X
LITZOSJ,O,X,O,O,X,X
LITOJSZ,X,O,X,X,X,X
LITOJZS,X,O,X,X,X,X
LITOSJZ,O,O,X,X,X,X
LITOSZJ,X,X,O,O,X,X
LITOZJS,O,O,O,O,X,X
LITOZSJ,O,X,O,O,X,X
LIJTSZO,X,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,X
LIJTZSO,X,O,X,X,X,X
LIJTZOS,X,O,X,X,X,X
LIJTOSZ,X,O,X,X,X,X
LIJTOZS,X,O,X,X,X,X
LIJSTZO,X,O,X,X,X,X
LIJSTOZ,O,O,X,X,X,X
LIJSZTO,X,O,X,X,X,X
LIJSZOT,O,O,X,X,X,X
LIJSOTZ,O,O,X,X,X,X
LIJSOZT,O,O,X,X,X,X
LIJZTSO,O,O,X,X,X,X
LIJZTOS,O,O,X,X,X,X
LIJZSTO,O,O,X,X,X,X
LIJZSOT,O,O,X,X,X,X
LIJZOTS,O,O,X,X,X,X
LIJZOST,O,O,X,X,X,X
LIJOTSZ,X,O,X,X,X,X
LIJOTZS,X,O,X,X,X,X
LIJOSTZ,O,O,X,X,X,X
LIJOSZT,O,O,X,X,X,X
LIJOZTS,O,O,X,X,X,X
LIJOZST,O,O,X,X,X,X
LISTJZO,X,O,X,X,X,X
LISTJOZ,O,O,X,X,X,X
LISTZJO,X,X,O,O,X,X
LISTZOJ,X,X,O,O,X,X
LISTOJZ,O,O,X,X,X,X
LISTOZJ,X,X,O,O,X,X
LISJTZO,X,O,X,X,X,X
LISJTOZ,O,O,X,X,X,X
LISJZTO,O,O,X,X,X,X
LISJZOT,O,O,X,X,X,X
LISJOTZ,O,O,X,X,X,X
LISJOZT,O,O,X,X,X,X
LISZTJO,O,X,O,O,X,X
LISZTOJ,O,X,O,O,X,O
LISZJTO,O,X,O,X,X,X
LISZJOT,O,X,O,X,X,X
LISZOTJ,O,X,O,O,X,O
LISZOJT,O,X,O,X,X,X
LISOTJZ,O,O,X,X,X,X
LISOTZJ,X,X,O,O,X,X
LISOJTZ,O,O,X,X,X,X
LISOJZT,O,O,X,X,X,X
LISOZTJ,O,X,O,O,X,O
LISOZJT,O,X,O,X,X,X
LIZTJSO,O,O,O,O,X,X
LIZTJOS,O,O,O,O,X,X
LIZTSJO,O,X,O,O,X,X
LIZTSOJ,O,X,O,O,X,O
LIZTOJS,O,O,O,O,X,X
LIZTOSJ,O,X,O,O,X,O
LIZJTSO,O,O,O,O,X,X
LIZJTOS,O,O,O,O,X,X
LIZJSTO,O,O,O,X,X,X
LIZJSOT,O,O,O,X,X,X
LIZJOTS,O,O,O,O,X,X
LIZJOST,O,O,O,X,X,X
LIZSTJO,O,X,O,O,X,X
LIZSTOJ,O,X,O,O,X,O
LIZSJTO,O,X,O,X,X,X
LIZSJOT,O,X,O,X,X,X
LIZSOTJ,O,X,O,O,X,O
LIZSOJT,O,X,O,X,X,X
LIZOTJS,O,O,O,O,X,X
LIZOTSJ,O,X,O,O,X,O
LIZOJTS,O,O,O,O,X,X
LIZOJST,O,O,O,X,X,X
LIZOSTJ,O,X,O,O,X,O
LIZOSJT,O,X,O,X,X,X
LIOTJSZ,X,O,X,X,X,X
LIOTJZS,X,O,X,X,X,X
LIOTSJZ,O,O,X,X,X,X
LIOTSZJ,X,X,O,O,X,X
LIOTZJS,O,O,O,O,X,X
LIOTZSJ,O,X,O,O,X,X
LIOJTSZ,X,O,X,X,X,X
LIOJTZS,X,O,X,X,X,X
LIOJSTZ,O,O,X,X,X,X
LIOJSZT,O,O,X,X,X,X
LIOJZTS,O,O,X,X,X,X
LIOJZST,O,O,X,X,X,X
LIOSTJZ,O,O,X,X,X,X
LIOSTZJ,X,X,O,O,X,X
LIOSJTZ,O,O,X,X,X,X
LIOSJZT,O,O,X,X,X,X
LIOSZTJ,O,X,O,O,X,O
LIOSZJT,O,X,O,X,X,X
LIOZTJS,O,O,O,O,X,X
LIOZTSJ,O,X,O,O,X,O
LIOZJTS,O,O,O,O,X,X
LIOZJST,O,O,O,X,X,X
LIOZSTJ,O,X,O,O,X,O
LIOZSJT,O,X,O,X,X,X
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,O,X,X,X,X
LJTIZSO,X,O,X,X,X,X
LJTIZOS,X,O,X,X,X,X
LJTIOSZ,X,O,X,X,X,X
LJTIOZS,X,O,X,X,X,X
LJTSIZO,X,O,X,X,X,X
LJTSIOZ,X,O,X,X,O,X
LJTSZIO,X,X,X,O,O,X
LJTSZOI,X,X,X,O,O,X
LJTSOIZ,X,O,X,X,O,X
LJTSOZI,X,X,X,O,O,X
LJTZISO,X,O,X,O,X,X
LJTZIOS,X,O,X,O,X,X
LJTZSIO,X,X,X,O,O,X
LJTZSOI,X,X,X,O,O,X
LJTZOIS,X,O,X,O,X,X
LJTZOSI,X,X,X,O,O,X
LJTOISZ,X,O,X,X,X,X
LJTOIZS,X,O,X,X,X,X
LJTOSIZ,X,O,X,X,O,X
LJTOSZI,X,X,X,O,O,X
LJTOZIS,X,O,X,O,X,X
LJTOZSI,X,X,X,O,O,X
LJITSZO,X,O,X,X,X,X
LJITSOZ,X,O,X,X,X,X
LJITZSO,X,O,X,X,X,X
LJITZOS,X,O,X,X,X,X
LJITOSZ,X,O,X,X,X,X
LJITOZS,X,O,X,X,X,X
LJISTZO,X,O,X,X,X,X
LJISTOZ,O,O,X,X,X,X
LJISZTO,X,O,X,X,X,X
LJISZOT,O,O,X,X,X,X
LJISOTZ,O,O,X,X,X,X
LJISOZT,O,O,X,X,X,X
LJIZTSO,O,O,X,X,X,X
LJIZTOS,O,O,X,X,X,X
LJIZSTO,O,O,X,X,X,X
LJIZSOT,O,O,X,X,X,X
LJIZOTS,O,O,X,X,X,X
LJIZOST,O,O,X,X,X,X
LJIOTSZ,X,O,X,X,X,X
LJIOTZS,X,O,X,X,X,X
LJIOSTZ,O,O,X,X,X,X
LJIOSZT,O,O,X,X,X,X
LJIOZTS,O,O,X,X,X,X
LJIOZST,O,O,X,X,X,X
LJSTIZO,X,O,X,X,X,X
LJSTIOZ,O,O,X,X,O,X
LJSTZIO,O,X,X,O,O,X
LJSTZOI,O,X,X,O,O,X
LJSTOIZ,O,O,X,X,O,X
LJSTOZI,O,X,X,O,O,X
LJSITZO,X,O,X,X,X,X
LJSITOZ,O,O,X,X,O,X
LJSIZTO,O,O,X,X,O,X
LJSIZOT,O,O,X,X,O,X
LJSIOTZ,O,O,X,X,O,X
LJSIOZT,O,O,X,X,O,X
LJSZTIO,O,X,X,O,O,X
LJSZTOI,O,X,X,O,O,X
LJSZITO,O,X,X,X,O,X
LJSZIOT,O,X,X,X,O,X
LJSZOTI,O,X,X,O,O,X
LJSZOIT,O,X,X,X,O,X
LJSOTIZ,O,O,X,X,O,X
LJSOTZI,O,X,X,O,O,X
LJSOITZ,O,O,X,X,O,X
LJSOIZT,O,O,X,X,O,X
LJSOZTI,O,X,X,O,O,X
LJSOZIT,O,X,X,X,O,X
LJZTISO,O,O,X,O,X,X
LJZTIOS,O,O,X,O,X,X
LJZTSIO,O,X,X,O,O,X
LJZTSOI,O,X,X,O,O,X
LJZTOIS,O,O,X,O,X,X
LJZTOSI,O,X,X,O,O,X
LJZITSO,O,O,X,O,X,X
LJZITOS,O,O,X,O,X,X
LJZISTO,O,O,X,X,X,X
LJZISOT,O,O,X,X,X,X
LJZIOTS,O,O,X,O,X,X
LJZIOST,O,O,X,X,X,X
LJZSTIO,O,X,X,O,O,X
LJZSTOI,O,X,X,O,O,X
LJZSITO,O,X,X,X,O,X
LJZSIOT,O,X,X,X,O,X
LJZSOTI,O,X,X,O,O,X
LJZSOIT,O,X,X,X,O,X
LJZOTIS,O,O,X,O,X,X
LJZOTSI,O,X,X,O,O,X
LJZOITS,O,O,X,O,X,X
LJZOIST,O,O,X,X,X,X
LJZOSTI,O,X,X,O,O,X
LJZOSIT,O,X,X,X,O,X
LJOTISZ,X,O,X,X,X,X
LJOTIZS,X,O,X,X,X,X
LJOTSIZ,X,O,X,X,O,X
LJOTSZI,X,X,X,O,O,X
LJOTZIS,X,O,X,O,X,X
LJOTZSI,X,X,X,O,O,X
LJOITSZ,X,O,X,X,X,X
LJOITZS,X,O,X,X,X,X
LJOISTZ,O,O,X,X,X,X
LJOISZT,O,O,X,X,X,X
LJOIZTS,O,O,X,X,X,X
LJOIZST,O,O,X,X,X,X
LJOSTIZ,O,O,X,X,O,X
LJOSTZI,O,X,X,O,O,X
LJOSITZ,O,O,X,X,O,X
LJOSIZT,O,O,X,X,O,X
LJOSZTI,O,X,X,O,O,X
LJOSZIT,O,X,X,X,O,X
LJOZTIS,O,O,X,O,X,X
LJOZTSI,O,X,X,O,O,X
LJOZITS,O,O,X,O,X,X
LJOZIST,O,O,X,X,X,X
LJOZSTI,O,X,X,O,O,X
LJOZSIT,O,X,X,X,O,X
LSTIJZO,X,O,X,X,X,X
LSTIJOZ,O,O,X,X,X,X
LSTIZJO,X,X,X,O,X,X
LSTIZOJ,X,X,X,O,X,X
LSTIOJZ,O,O,X,X,X,X
LSTIOZJ,X,X,X,O,X,X
LSTJIZO,X,O,X,X,X,X
LSTJIOZ,O,O,X,X,X,X
LSTJZIO,O,X,X,O,X,X
LSTJZOI,O,X,X,O,X,X
LSTJOIZ,O,O,X,X,X,X
LSTJOZI,O,X,X,O,X,X
LSTZIJO,O,X,X,O,X,X
LSTZIOJ,O,X,X,O,X,O
LSTZJIO,O,X,X,O,X,X
LSTZJOI,O,X,X,O,X,X
LSTZOIJ,O,X,X,O,X,O
LSTZOJI,O,X,X,O,X,O
LSTOIJZ,O,O,X,X,X,X
LSTOIZJ,X,X,X,O,X,X
LSTOJIZ,O,O,X,X,X,X
LSTOJZI,O,X,X,O,X,X
LSTOZIJ,O,X,X,O,X,O
LSTOZJI,O,X,X,O,X,O
LSITJZO,X,O,X,X,X,X
LSITJOZ,O,O,X,X,X,X
LSITZJO,X,X,X,O,X,X
LSITZOJ,X,X,X,O,X,X
LSITOJZ,O,O,X,X,X,X
LSITOZJ,X,X,X,O,X,X
LSIJTZO,X,O,X,X,X,X
LSIJTOZ,O,O,X,X,X,X
LSIJZTO,O,O,X,X,X,X
LSIJZOT,O,O,X,X,X,X
LSIJOTZ,O,O,X,X,X,X
LSIJOZT,O,O,X,X,X,X
LSIZTJO,O,X,X,O,X,X
LSIZTOJ,O,X,X,O,X,O
LSIZJTO,O,X,X,X,X,X
LSIZJOT,O,X,X,X,X,X
LSIZOTJ,O,X,X,O,X,O
LSIZOJT,O,X,X,X,X,X
LSIOTJZ,O,O,X,X,X,X
LSIOTZJ,X,X,X,O,X,X
LSIOJTZ,O,O,X,X,X,X
LSIOJZT,O,O,X,X,X,X
LSIOZTJ,O,X,X,O,X,O
LSIOZJT,O,X,X,X,X,X
LSJTIZO,X,O,X,X,X,X
LSJTIOZ,O,O,X,X,X,X
LSJTZIO,O,X,X,O,X,X
LSJTZOI,O,X,X,O,X,X
LSJTOIZ,O,O,X,X,X,X
LSJTOZI,O,X,X,O,X,X
LSJITZO,X,O,X,X,X,X
LSJITOZ,O,O,X,X,X,X
LSJIZTO,O,O,X,X,X,X
LSJIZOT,O,O,X,X,X,X
LSJIOTZ,O,O,X,X,X,X
LSJIOZT,O,O,X,X,X,X
LSJZTIO,O,X,X,O,X,X
LSJZTOI,O,X,X,O,X,X
LSJZITO,O,X,X,X,X,X
LSJZIOT,O,X,X,X,X,X
LSJZOTI,O,X,X,O,X,X
LSJZOIT,O,X,X,X,X,X
LSJOTIZ,O,O,X,X,X,X
LSJOTZI,O,X,X,O,X,X
LSJOITZ,O,O,X,X,X,X
LSJOIZT,O,O,X,X,X,X
LSJOZTI,O,X,X,O,X,X
LSJOZIT,O,X,X,X,X,X
LSZTIJO,O,X,X,O,X,X
LSZTIOJ,O,X,X,O,X,O
LSZTJIO,O,X,X,O,X,X
LSZTJOI,O,X,X,O,X,X
LSZTOIJ,O,X,X,O,X,O
LSZTOJI,O,X,X,O,X,O
LSZITJO,O,X,X,O,X,X
LSZITOJ,O,X,X,O,X,O
LSZIJTO,O,X,X,X,X,X
LSZIJOT,O,X,X,X,X,X
LSZIOTJ,O,X,X,O,X,O
LSZIOJT,O,X,X,X,X,X
LSZJTIO,O,X,X,O,X,X
LSZJTOI,O,X,X,O,X,X
LSZJITO,O,X,X,X,X,X
LSZJIOT,O,X,X,X,X,X
LSZJOTI,O,X,X,O,X,X
LSZJOIT,O,X,X,X,X,X
LSZOTIJ,O,X,X,O,X,O
LSZOTJI,O,X,X,O,X,O
LSZOITJ,O,X,X,O,X,O
LSZOIJT,O,X,X,X,X,X
LSZOJTI,O,X,X,O,X,X
LSZOJIT,O,X,X,X,X,X
LSOTIJZ,O,O,X,X,X,X
LSOTIZJ,X,X,X,O,X,X
LSOTJIZ,O,O,X,X,X,X
LSOTJZI,O,X,X,O,X,X
LSOTZIJ,O,X,X,O,X,O
LSOTZJI,O,X,X,O,X,O
LSOITJZ,O,O,X,X,X,X
LSOITZJ,X,X,X,O,X,X
LSOIJTZ,O,O,X,X,X,X
LSOIJZT,O,O,X,X,X,X
LSOIZTJ,O,X,X,O,X,O
LSOIZJT,O,X,X,X,X,X
LSOJTIZ,O,O,X,X,X,X
LSOJTZI,O,X,X,O,X,X
LSOJITZ,O,O,X,X,X,X
LSOJIZT,O,O,X,X,X,X
LSOJZTI,O,X,X,O,X,X
LSOJZIT,O,X,X,X,X,X
LSOZTIJ,O,X,X,O,X,O
LSOZTJI,O,X,X,O,X,O
LSOZITJ,O,X,X,O,X,O
LSOZIJT,O,X,X,X,X,X
LSOZJTI,O,X,X,O,X,X
LSOZJIT,O,X,X,X,X,X
LZTIJSO,O,O,O,O,X,X
LZTIJOS,O,O,O,O,X,X
LZTISJO,O,X,O,O,X,X
LZTISOJ,O,X,O,O,X,O
LZTIOJS,O,O,O,O,X,X
LZTIOSJ,O,X,O,O,X,O
LZTJISO,O,O,O,O,X,X
LZTJIOS,O,O,O,O,X,X
LZTJSIO,O,X,X,O,O,X
LZTJSOI,O,X,X,O,O,X
LZTJOIS,O,O,O,O,X,X
LZTJOSI,O,X,X,O,O,X
LZTSIJO,O,X,X,O,X,X
LZTSIOJ,O,X,X,O,X,O
LZTSJIO,O,X,X,O,X,X
LZTSJOI,O,X,X,O,X,X
LZTSOIJ,O,X,X,O,X,O
LZTSOJI,O,X,X,O,X,O
LZTOIJS,O,O,O,O,X,X
LZTOISJ,O,X,O,O,X,O
LZTOJIS,O,O,O,O,X,X
LZTOJSI,O,X,X,O,O,X
LZTOSIJ,O,X,X,O,X,O
LZTOSJI,O,X,X,O,X,O
LZITJSO,O,O,O,O,X,X
LZITJOS,O,O,O,O,X,X
LZITSJO,O,X,O,O,X,X
LZITSOJ,O,X,O,O,X,O
LZITOJS,O,O,O,O,X,X
LZITOSJ,O,X,O,O,X,O
LZIJTSO,O,O,O,O,X,X
LZIJTOS,O,O,O,O,X,X
LZIJSTO,O,O,O,X,X,X
LZIJSOT,O,O,O,X,X,X
LZIJOTS,O,O,O,O,X,X
LZIJOST,O,O,O,X,X,X
LZISTJO,O,X,O,O,X,X
LZISTOJ,O,X,O,O,X,O
LZISJTO,O,X,O,X,X,X
LZISJOT,O,X,O,X,X,X
LZISOTJ,O,X,O,O,X,O
LZISOJT,O,X,O,X,X,X
LZIOTJS,O,O,O,O,X,X
LZIOTSJ,O,X,O,O,X,O
LZIOJTS,O,O,O,O,X,X
LZIOJST,O,O,O,X,X,X
LZIOSTJ,O,X,O,O,X,O
LZIOSJT,O,X,O,X,X,X
LZJTISO,O,O,O,O,X,X
LZJTIOS,O,O,O,O,X,X
LZJTSIO,O,X,X,O,O,X
LZJTSOI,O,X,X,O,O,X
LZJTOIS,O,O,O,O,X,X
LZJTOSI,O,X,X,O,O,X
LZJITSO,O,O,O,O,X,X
LZJITOS,O,O,O,O,X,X
LZJISTO,O,O,O,X,X,X
LZJISOT,O,O,O,X,X,X
LZJIOTS,O,O,O,O,X,X
LZJIOST,O,O,O,X,X,X
LZJSTIO,O,X,X,O,O,X
LZJSTOI,O,X,X,O,O,X
LZJSITO,O,X,X,X,O,X
LZJSIOT,O,X,X,X,O,X
LZJSOTI,O,X,X,O,O,X
LZJSOIT,O,X,X,X,O,X
LZJOTIS,O,O,O,O,X,X
LZJOTSI,O,X,X,O,O,X
