sequence,v115@JhA8GeF8DeA8DeA8AeC8Jei/IvhFlhBTjBxsBfrBcs?BWvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhFlhBTjBxsB/pBcs?ByvB,v115@JhA8GeF8DeA8DeA8AeC8JeT/IvhFlgB3hBUjBOsBSt?BRvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhF1mBxiBcsBToB/p?ByvB,v115@JhA8GeF8DeA8DeA8AeC8Je0BJvhFxiBGoBisB/pBzq?BFqB,v115@JhA8GeF8DeA8DeA8AeC8JexBJvhF8nB+oBasB/pBzq?BFqB
TLIJSOZ,O,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X
TLISJZO,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X
TLIZJSO,O,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X
TLIZSJO,O,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X
TLJISZO,X,X,X,X,X,X
TLJISOZ,X,X,X,X,O,X
TLJIZSO,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X
TLJIOZS,X,X,X,X,O,X
TLJSIZO,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,O,X
TLJSZIO,X,X,X,X,X,X
TLJSZOI,X,X,O,X,X,X
TLJSOIZ,X,X,X,X,O,X
TLJSOZI,X,X,O,X,O,X
TLJZISO,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X
TLJZSOI,X,X,O,X,X,O
TLJZOIS,X,X,X,X,X,O
TLJZOSI,X,X,O,X,X,O
TLJOISZ,X,X,X,X,O,X
TLJOIZS,X,X,X,X,O,X
TLJOSIZ,X,X,X,X,O,X
TLJOSZI,X,X,O,X,O,X
TLJOZIS,X,X,X,X,O,X
TLJOZSI,X,X,O,X,O,X
TLSIJZO,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X
