sequence,v115@PhC8BeA8DeG8DeA8JeT/IvhFelBChBxiB/rB0sBFsB,v115@PhC8BeA8DeG8DeA8JefGJvhF0hBxiBlkBqsBmkBzrB,v115@PhC8BeA8DeG8DeA8Jem/IvhFzgBxiB0kBqsBlrBfsB,v115@PhC8BeA8DeG8DeA8JeT/IvhFelBfmBxiBFsB6rB0sB,v115@PhC8BeA8DeG8DeA8JeT/IvhFelBChBxrB/sB0rBFtB,v115@PhC8BeA8DeG8DeA8JeT/IvhFUiBxlBXlB2rBSxBFtB,v115@PhC8BeA8DeG8DeA8JezAJvhFCjBlkBUnBmkB3mBRxB,v115@PhC8BeA8DeG8DeA8Jei/IvhFRhBzkBUmBXsBGsBFtB,v115@PhC8BeA8DeG8DeA8JeT/IvhFmgBUiBXlB1rBCoBRxB,v115@PhC8BeA8DeG8DeA8Jem/IvhFzgB0kBFnB3mBCoBRxB
TILJSZO,X,O,X,O,X,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,X,O,X,O,X,X,X
TILJOSZ,O,O,X,O,X,X,X,X,X,X
TILJOZS,O,X,X,X,O,X,O,X,X,X
TILSJZO,X,O,X,O,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,X,O,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,X,X,X,O,X,X,X
TILZJSO,X,X,O,X,X,X,X,X,X,X
TILZJOS,X,X,O,X,X,X,O,X,X,X
TILZSJO,X,O,O,X,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,O,X,X,X
TILZOJS,X,X,O,X,X,O,O,X,X,X
TILZOSJ,X,O,O,X,X,O,O,X,X,X
TILOJSZ,X,O,X,O,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,O,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,O,X,X,X
TILOZJS,X,X,O,X,X,O,O,X,X,X
TILOZSJ,X,O,O,X,X,O,O,X,X,X
TIJLSZO,X,O,X,O,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,X,O,X,X,X,X,X
TIJLOSZ,O,O,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,X,O,X,X,X,X,X
TIJSLZO,X,O,X,O,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,X,X,X,X,X
TIJSZLO,X,X,X,O,X,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X,X,O,X
TIJSOLZ,O,X,X,O,X,X,X,X,X,X
TIJSOZL,X,X,X,O,X,X,X,X,O,X
TIJZLSO,X,X,X,X,O,X,X,X,X,X
TIJZLOS,O,X,X,X,O,X,X,X,X,X
TIJZSLO,O,X,X,O,O,X,X,X,X,X
TIJZSOL,O,X,X,O,O,X,X,X,O,X
TIJZOLS,O,X,X,X,O,X,X,X,X,X
TIJZOSL,O,X,X,O,O,X,X,X,X,X
TIJOLSZ,O,X,X,O,X,X,X,X,X,X
TIJOLZS,O,X,X,X,O,X,X,X,X,X
TIJOSLZ,O,X,X,O,X,X,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,X,X
TIJOZLS,O,X,X,X,O,X,X,X,X,X
TIJOZSL,O,X,X,O,O,X,X,X,X,X
TISLJZO,X,O,X,O,X,X,X,X,X,X
