sequence,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFRgBzhB+nB6?oBllB0rB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Jex/IvhF8lB+mB6oBl?kBTnBXsB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFFgBxhB6oBz?lBurBcsB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFRgB+nB6oB0?lBlmBzrB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFFgBxhB6oBW?rBTnB0rB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFUgBRhB+nB6?oBVrBzrB
TILJSZO,O,X,X,X,X,O
TILJSOZ,O,X,X,X,X,O
TILJZSO,O,O,X,X,X,O
TILJZOS,O,O,X,X,X,X
TILJOSZ,O,X,X,X,X,O
TILJOZS,X,O,X,X,X,X
TILSJZO,O,X,X,X,X,O
TILSJOZ,O,X,X,X,X,O
TILSZJO,O,O,X,X,X,O
TILSZOJ,O,O,X,X,X,O
TILSOJZ,O,X,X,X,X,O
TILSOZJ,O,O,X,X,X,O
TILZJSO,O,O,X,X,X,O
TILZJOS,O,O,X,X,X,X
TILZSJO,O,O,X,X,X,O
TILZSOJ,O,O,X,X,X,O
TILZOJS,X,O,X,X,X,X
TILZOSJ,X,O,X,X,X,X
TILOJSZ,X,X,X,X,X,O
TILOJZS,X,O,X,X,X,X
TILOSJZ,X,X,X,X,X,O
TILOSZJ,X,O,X,X,X,O
TILOZJS,X,O,X,X,X,X
TILOZSJ,X,O,X,X,X,X
TIJLSZO,O,X,X,X,X,O
TIJLSOZ,O,X,X,X,X,O
TIJLZSO,O,O,X,X,X,O
TIJLZOS,O,O,X,X,X,X
TIJLOSZ,O,X,X,X,X,O
TIJLOZS,X,O,X,X,X,X
TIJSLZO,O,X,X,X,X,O
TIJSLOZ,O,X,X,X,X,O
TIJSZLO,O,X,X,X,X,O
TIJSZOL,O,X,X,X,X,O
TIJSOLZ,O,X,X,X,X,O
TIJSOZL,O,X,X,X,X,O
TIJZLSO,O,O,X,X,X,O
TIJZLOS,O,O,X,X,X,X
TIJZSLO,O,O,X,X,X,O
TIJZSOL,O,O,X,X,X,O
TIJZOLS,O,O,X,X,X,X
TIJZOSL,O,O,X,X,X,X
TIJOLSZ,O,X,X,X,X,O
TIJOLZS,X,O,X,X,X,X
TIJOSLZ,O,X,X,X,X,O
TIJOSZL,O,X,X,X,X,O
TIJOZLS,X,O,X,X,X,X
TIJOZSL,X,O,X,X,X,X
TISLJZO,O,X,X,X,X,O
TISLJOZ,O,X,X,X,X,O
TISLZJO,O,O,X,X,X,O
TISLZOJ,O,O,X,X,X,O
TISLOJZ,O,X,X,X,X,O
TISLOZJ,O,O,X,X,X,O
TISJLZO,O,X,X,X,X,O
TISJLOZ,O,X,X,X,X,O
TISJZLO,O,X,X,X,X,O
TISJZOL,O,X,X,X,X,O
TISJOLZ,O,X,X,X,X,O
TISJOZL,O,X,X,X,X,O
TISZLJO,O,O,X,X,X,O
TISZLOJ,O,O,X,X,X,O
TISZJLO,O,O,X,X,X,O
TISZJOL,O,O,X,X,X,O
TISZOLJ,O,O,X,X,X,O
TISZOJL,O,O,X,X,X,O
TISOLJZ,O,X,X,X,X,O
TISOLZJ,O,O,X,X,X,O
TISOJLZ,O,X,X,X,X,O
TISOJZL,O,X,X,X,X,O
TISOZLJ,O,O,X,X,X,O
TISOZJL,O,O,X,X,X,O
TIZLJSO,O,O,X,X,X,O
TIZLJOS,O,O,X,X,X,X
TIZLSJO,O,O,X,X,X,O
TIZLSOJ,O,O,X,X,X,O
TIZLOJS,X,O,X,X,X,X
TIZLOSJ,X,O,X,X,X,X
TIZJLSO,O,O,X,X,X,O
TIZJLOS,O,O,X,X,X,X
TIZJSLO,O,O,X,X,X,O
TIZJSOL,O,O,X,X,X,O
TIZJOLS,O,O,X,X,X,X
TIZJOSL,O,O,X,X,X,X
TIZSLJO,O,O,X,X,X,O
TIZSLOJ,O,O,X,X,X,O
TIZSJLO,O,O,X,X,X,O
TIZSJOL,O,O,X,X,X,O
TIZSOLJ,O,O,X,X,X,O
TIZSOJL,O,O,X,X,X,O
TIZOLJS,X,O,X,X,X,X
