sequence,v115@FhB8HeC8HeE8DeB8Je/EJvhFRgBGiBTlB0rBlsBirB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBqlB/mB0nBFnBxwB,v115@FhB8HeC8HeE8DeB8JeT/IvhFmgBXlBSrB0nBFnBxwB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBRhBqnBfrBUsBlrB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBUhBFiBfrBRsBSxB,v115@FhB8HeC8HeE8DeB8JeT/IvhFigBGiB8rBRqB3sBFrB,v115@FhB8HeC8HeE8DeB8JeT/IvhFqnBVqBRmBmlBUsB3rB,v115@FhB8HeC8HeE8DeB8Je/EJvhFRgBTlBOrB0nBCnBVxB,v115@FhB8HeC8HeE8DeB8JeqHJvhFlkBRmBmkBzlBUsB3rB
TILJSZO,X,O,O,X,O,X,X,X,X
TILJSOZ,X,O,O,X,O,X,X,X,X
TILJZSO,X,O,O,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,O,X,O,X,X
TILJOZS,X,O,X,X,X,X,O,X,X
TILSJZO,X,O,O,X,O,X,X,X,X
TILSJOZ,X,O,O,X,O,O,X,X,X
TILSZJO,X,O,O,X,O,O,X,X,X
TILSZOJ,X,X,O,X,X,O,X,X,X
TILSOJZ,X,X,O,X,O,O,O,X,X
TILSOZJ,X,X,O,X,X,O,O,X,X
TILZJSO,X,O,O,X,X,X,X,X,O
TILZJOS,X,O,X,X,X,X,O,X,O
TILZSJO,X,O,O,X,X,X,X,X,O
TILZSOJ,X,X,O,X,X,X,O,X,O
TILZOJS,X,X,X,X,X,X,O,X,O
TILZOSJ,X,X,X,X,X,X,O,X,O
TILOJSZ,X,X,X,X,O,X,O,X,X
TILOJZS,X,X,X,X,X,X,O,X,X
TILOSJZ,X,X,X,X,O,O,O,X,X
TILOSZJ,X,X,X,X,X,O,O,X,X
TILOZJS,X,X,X,X,X,X,O,X,X
