sequence,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFCgBmhBFjBX?lBUsBTrB
TOZJSLI,O,O,X,O,O
TOZSILJ,O,O,X,X,O
TOZSIJL,O,O,X,X,O
TOZSLIJ,O,O,O,O,O
TOZSLJI,O,O,O,O,O
TOZSJIL,O,O,X,X,O
TOZSJLI,O,O,O,O,O
ITLJSZO,O,O,O,X,X
ITLJSOZ,O,O,O,O,X
ITLJZSO,O,O,X,O,X
ITLJZOS,O,O,O,O,X
ITLJOSZ,O,O,O,O,X
ITLJOZS,O,O,O,O,X
ITLSJZO,O,O,O,X,O
ITLSJOZ,O,O,O,O,X
ITLSZJO,O,X,O,O,O
ITLSZOJ,O,X,O,O,O
ITLSOJZ,O,O,O,O,X
ITLSOZJ,O,X,O,O,O
ITLZJSO,O,O,X,O,O
ITLZJOS,O,O,O,O,X
ITLZSJO,X,O,O,O,O
ITLZSOJ,X,O,O,O,O
ITLZOJS,O,O,O,O,X
ITLZOSJ,X,O,O,O,X
ITLOJSZ,O,O,O,O,X
ITLOJZS,O,O,O,O,X
ITLOSJZ,O,O,O,O,X
ITLOSZJ,O,X,O,O,X
ITLOZJS,O,O,O,O,X
ITLOZSJ,X,O,O,O,X
ITJLSZO,O,O,O,X,X
ITJLSOZ,O,O,O,O,X
ITJLZSO,O,O,X,O,X
ITJLZOS,O,O,O,O,X
ITJLOSZ,O,O,O,O,X
ITJLOZS,O,O,O,O,X
ITJSLZO,O,O,O,X,O
ITJSLOZ,O,O,O,O,X
ITJSZLO,O,O,O,X,O
ITJSZOL,X,X,X,X,O
ITJSOLZ,O,X,O,X,X
ITJSOZL,O,X,X,X,X
ITJZLSO,O,O,X,O,O
ITJZLOS,O,O,O,O,X
ITJZSLO,O,O,X,O,O
ITJZSOL,X,X,X,X,O
ITJZOLS,X,O,X,O,X
ITJZOSL,X,O,X,X,O
ITJOLSZ,O,O,O,O,X
ITJOLZS,O,O,O,O,X
ITJOSLZ,O,O,X,X,X
ITJOSZL,O,O,X,X,X
ITJOZLS,O,O,X,X,X
ITJOZSL,O,O,X,X,X
ITSLJZO,O,O,O,X,O
ITSLJOZ,O,O,O,O,X
ITSLZJO,O,X,O,O,O
ITSLZOJ,O,X,O,O,O
ITSLOJZ,O,O,O,O,X
ITSLOZJ,O,X,O,O,O
ITSJLZO,O,O,O,X,O
ITSJLOZ,O,O,O,O,X
ITSJZLO,O,O,O,X,O
ITSJZOL,X,X,X,X,O
ITSJOLZ,O,X,O,X,X
ITSJOZL,O,X,X,X,X
ITSZLJO,O,O,O,O,O
ITSZLOJ,O,O,O,O,O
ITSZJLO,O,O,O,O,O
ITSZJOL,X,X,X,X,O
ITSZOLJ,O,O,X,X,O
ITSZOJL,O,O,X,X,O
ITSOLJZ,O,O,O,X,X
ITSOLZJ,O,X,O,X,O
ITSOJLZ,O,O,O,X,X
ITSOJZL,O,O,X,X,X
ITSOZLJ,O,O,X,X,O
ITSOZJL,O,O,X,X,O
ITZLJSO,O,O,X,O,O
ITZLJOS,O,O,O,O,X
ITZLSJO,X,O,O,O,O
ITZLSOJ,X,O,O,O,O
ITZLOJS,O,O,O,O,X
ITZLOSJ,X,O,O,O,X
ITZJLSO,O,O,X,O,O
ITZJLOS,O,O,O,O,X
ITZJSLO,O,O,X,O,O
ITZJSOL,X,X,X,X,O
ITZJOLS,X,O,X,O,X
ITZJOSL,X,O,X,X,O
ITZSLJO,O,O,O,O,O
ITZSLOJ,O,O,O,O,O
ITZSJLO,O,O,O,O,O
ITZSJOL,X,X,X,X,O
ITZSOLJ,O,O,X,X,O
ITZSOJL,O,O,X,X,O
ITZOLJS,O,O,X,O,X
ITZOLSJ,X,O,X,O,X
ITZOJLS,O,O,X,O,X
ITZOJSL,O,O,X,X,O
ITZOSLJ,O,O,X,X,O
ITZOSJL,O,O,X,X,O
ITOLJSZ,O,O,O,O,X
ITOLJZS,O,O,O,O,X
ITOLSJZ,O,O,O,O,X
ITOLSZJ,O,X,O,O,X
ITOLZJS,O,O,O,O,X
ITOLZSJ,X,O,O,O,X
ITOJLSZ,O,O,O,O,X
ITOJLZS,O,O,O,O,X
ITOJSLZ,O,O,X,X,X
ITOJSZL,O,O,X,X,X
ITOJZLS,O,O,X,X,X
ITOJZSL,O,O,X,X,X
ITOSLJZ,O,O,O,X,X
ITOSLZJ,O,X,O,X,O
ITOSJLZ,O,O,O,X,X
ITOSJZL,O,O,X,X,X
ITOSZLJ,O,O,X,X,O
ITOSZJL,O,O,X,X,O
ITOZLJS,O,O,X,O,X
ITOZLSJ,X,O,X,O,X
ITOZJLS,O,O,X,O,X
ITOZJSL,O,O,X,X,O
ITOZSLJ,O,O,X,X,O
ITOZSJL,O,O,X,X,O
ILTJSZO,O,O,O,X,X
ILTJSOZ,O,O,O,O,X
ILTJZSO,O,O,X,O,X
ILTJZOS,O,O,O,O,X
ILTJOSZ,O,O,O,O,X
ILTJOZS,O,O,O,O,X
ILTSJZO,O,O,O,X,O
ILTSJOZ,O,O,O,O,X
ILTSZJO,O,X,O,O,O
ILTSZOJ,O,X,O,O,O
ILTSOJZ,O,O,O,O,X
ILTSOZJ,O,X,O,O,O
ILTZJSO,O,O,X,O,O
ILTZJOS,O,O,O,O,X
ILTZSJO,X,O,O,O,O
ILTZSOJ,X,O,O,O,O
ILTZOJS,O,O,O,O,X
ILTZOSJ,X,O,O,O,X
ILTOJSZ,O,O,O,O,X
ILTOJZS,O,O,O,O,X
ILTOSJZ,O,O,O,O,X
ILTOSZJ,O,X,O,O,X
ILTOZJS,O,O,O,O,X
ILTOZSJ,X,O,O,O,X
ILJTSZO,O,O,O,X,X
ILJTSOZ,O,O,O,O,X
ILJTZSO,O,O,X,O,X
ILJTZOS,O,O,O,O,X
ILJTOSZ,O,O,O,O,X
ILJTOZS,O,O,O,O,X
ILJSTZO,O,O,O,X,X
ILJSTOZ,O,O,O,O,X
ILJSZTO,O,X,O,X,X
ILJSZOT,X,X,O,X,X
ILJSOTZ,O,X,O,O,X
ILJSOZT,X,X,O,X,X
ILJZTSO,O,O,X,O,X
ILJZTOS,O,O,O,O,X
ILJZSTO,X,O,X,O,X
ILJZSOT,X,X,X,O,X
ILJZOTS,X,O,O,O,X
ILJZOST,X,X,X,O,X
ILJOTSZ,O,O,O,O,X
ILJOTZS,O,O,O,O,X
ILJOSTZ,O,O,O,O,X
ILJOSZT,X,X,O,X,X
ILJOZTS,O,O,O,O,X
ILJOZST,X,X,X,O,X
ILSTJZO,O,O,O,X,O
ILSTJOZ,O,O,O,O,X
ILSTZJO,O,X,O,O,O
ILSTZOJ,O,X,O,O,O
ILSTOJZ,O,O,O,O,X
ILSTOZJ,O,X,O,O,O
ILSJTZO,O,O,O,X,O
ILSJTOZ,O,O,O,O,X
ILSJZTO,O,X,O,X,O
ILSJZOT,X,X,O,X,O
ILSJOTZ,O,X,O,O,X
ILSJOZT,O,X,O,X,X
ILSZTJO,O,X,O,O,O
ILSZTOJ,O,X,O,O,O
ILSZJTO,O,X,O,O,O
ILSZJOT,X,X,O,O,O
ILSZOTJ,O,X,O,O,O
ILSZOJT,O,X,O,O,O
ILSOTJZ,O,O,O,O,X
ILSOTZJ,O,X,O,O,O
ILSOJTZ,O,O,O,O,X
ILSOJZT,O,X,O,X,X
ILSOZTJ,O,X,O,O,O
ILSOZJT,O,X,O,O,O
ILZTJSO,O,O,X,O,O
ILZTJOS,O,O,O,O,X
ILZTSJO,X,O,O,O,O
ILZTSOJ,X,O,O,O,O
ILZTOJS,O,O,O,O,X
ILZTOSJ,X,O,O,O,X
ILZJTSO,O,O,X,O,O
ILZJTOS,O,O,O,O,X
ILZJSTO,X,O,X,O,O
ILZJSOT,X,X,X,O,O
ILZJOTS,X,O,O,O,X
ILZJOST,X,O,X,O,X
ILZSTJO,X,O,O,O,O
ILZSTOJ,X,O,O,O,O
ILZSJTO,X,O,O,O,O
ILZSJOT,X,X,O,O,O
ILZSOTJ,X,O,O,O,O
ILZSOJT,X,O,O,O,O
ILZOTJS,O,O,O,O,X
ILZOTSJ,X,O,O,O,X
ILZOJTS,O,O,O,O,X
ILZOJST,X,O,X,O,X
ILZOSTJ,X,O,O,O,X
ILZOSJT,X,O,O,O,X
ILOTJSZ,O,O,O,O,X
ILOTJZS,O,O,O,O,X
ILOTSJZ,O,O,O,O,X
ILOTSZJ,O,X,O,O,X
ILOTZJS,O,O,O,O,X
ILOTZSJ,X,O,O,O,X
ILOJTSZ,O,O,O,O,X
ILOJTZS,O,O,O,O,X
ILOJSTZ,O,O,O,O,X
ILOJSZT,O,X,O,X,X
ILOJZTS,O,O,O,O,X
ILOJZST,X,O,X,O,X
ILOSTJZ,O,O,O,O,X
ILOSTZJ,O,X,O,O,X
ILOSJTZ,O,O,O,O,X
ILOSJZT,O,X,O,X,X
ILOSZTJ,O,X,O,O,X
ILOSZJT,O,X,O,O,X
ILOZTJS,O,O,O,O,X
ILOZTSJ,X,O,O,O,X
ILOZJTS,O,O,O,O,X
ILOZJST,X,O,X,O,X
ILOZSTJ,X,O,O,O,X
ILOZSJT,X,O,O,O,X
IJTLSZO,O,O,O,X,X
IJTLSOZ,O,O,O,O,X
IJTLZSO,O,O,X,O,X
IJTLZOS,O,O,O,O,X
IJTLOSZ,O,O,O,O,X
IJTLOZS,O,O,O,O,X
IJTSLZO,O,O,O,X,O
IJTSLOZ,O,O,O,O,X
IJTSZLO,O,O,O,X,O
IJTSZOL,X,X,X,X,O
IJTSOLZ,O,X,O,X,X
IJTSOZL,O,X,X,X,X
IJTZLSO,O,O,X,O,O
IJTZLOS,O,O,O,O,X
IJTZSLO,O,O,X,O,O
IJTZSOL,X,X,X,X,O
IJTZOLS,X,O,X,O,X
IJTZOSL,X,O,X,X,O
IJTOLSZ,O,O,O,O,X
IJTOLZS,O,O,O,O,X
IJTOSLZ,O,O,X,X,X
IJTOSZL,O,O,X,X,X
IJTOZLS,O,O,X,X,X
IJTOZSL,O,O,X,X,X
IJLTSZO,O,O,O,X,X
IJLTSOZ,O,O,O,O,X
IJLTZSO,O,O,X,O,X
IJLTZOS,O,O,O,O,X
IJLTOSZ,O,O,O,O,X
IJLTOZS,O,O,O,O,X
IJLSTZO,O,O,O,X,X
IJLSTOZ,O,O,O,O,X
IJLSZTO,O,X,O,X,X
IJLSZOT,X,X,O,X,X
IJLSOTZ,O,X,O,O,X
IJLSOZT,X,X,O,X,X
IJLZTSO,O,O,X,O,X
IJLZTOS,O,O,O,O,X
IJLZSTO,X,O,X,O,X
IJLZSOT,X,X,X,O,X
IJLZOTS,X,O,O,O,X
IJLZOST,X,X,X,O,X
IJLOTSZ,O,O,O,O,X
IJLOTZS,O,O,O,O,X
IJLOSTZ,O,O,O,O,X
IJLOSZT,X,X,O,X,X
IJLOZTS,O,O,O,O,X
IJLOZST,X,X,X,O,X
IJSTLZO,O,O,O,X,O
IJSTLOZ,O,O,O,O,X
IJSTZLO,O,O,O,X,O
IJSTZOL,X,X,X,X,O
IJSTOLZ,O,X,O,X,X
IJSTOZL,O,X,X,X,X
IJSLTZO,O,O,O,X,O
IJSLTOZ,O,O,O,O,X
IJSLZTO,O,X,O,X,O
IJSLZOT,X,X,O,X,O
IJSLOTZ,O,X,O,O,X
IJSLOZT,O,X,O,X,X
IJSZTLO,O,O,O,X,O
IJSZTOL,X,X,X,X,O
IJSZLTO,O,O,O,X,O
IJSZLOT,X,X,O,X,O
IJSZOTL,X,X,X,X,O
IJSZOLT,X,X,X,X,O
IJSOTLZ,O,X,O,X,X
IJSOTZL,O,X,X,X,X
IJSOLTZ,O,X,O,X,X
IJSOLZT,O,X,O,X,X
IJSOZTL,O,X,X,X,X
IJSOZLT,O,X,X,X,X
IJZTLSO,O,O,X,O,O
IJZTLOS,O,O,O,O,X
IJZTSLO,O,O,X,O,O
IJZTSOL,X,X,X,X,O
IJZTOLS,X,O,X,O,X
IJZTOSL,X,O,X,X,O
IJZLTSO,O,O,X,O,O
IJZLTOS,O,O,O,O,X
IJZLSTO,X,O,X,O,O
IJZLSOT,X,X,X,O,O
IJZLOTS,X,O,O,O,X
IJZLOST,X,O,X,O,X
IJZSTLO,O,O,X,O,O
IJZSTOL,X,X,X,X,O
IJZSLTO,O,O,X,O,O
IJZSLOT,X,X,X,O,O
IJZSOTL,X,X,X,X,O
IJZSOLT,X,X,X,X,O
IJZOTLS,X,O,X,O,X
IJZOTSL,X,O,X,X,O
IJZOLTS,X,O,X,O,X
IJZOLST,X,O,X,O,X
IJZOSTL,X,O,X,X,O
IJZOSLT,X,O,X,X,O
IJOTLSZ,O,O,O,O,X
IJOTLZS,O,O,O,O,X
IJOTSLZ,O,O,X,X,X
IJOTSZL,O,O,X,X,X
IJOTZLS,O,O,X,X,X
IJOTZSL,O,O,X,X,X
IJOLTSZ,O,O,O,O,X
IJOLTZS,O,O,O,O,X
IJOLSTZ,O,O,O,O,X
IJOLSZT,O,X,X,X,X
IJOLZTS,O,O,O,O,X
IJOLZST,X,O,X,X,X
IJOSTLZ,O,O,X,X,X
IJOSTZL,O,O,X,X,X
IJOSLTZ,O,O,X,X,X
IJOSLZT,O,X,X,X,X
IJOSZTL,O,O,X,X,X
IJOSZLT,O,O,X,X,X
IJOZTLS,O,O,X,X,X
IJOZTSL,O,O,X,X,X
IJOZLTS,O,O,X,X,X
IJOZLST,X,O,X,X,X
IJOZSTL,O,O,X,X,X
IJOZSLT,O,O,X,X,X
ISTLJZO,O,O,O,X,O
ISTLJOZ,O,O,O,O,X
ISTLZJO,O,X,O,O,O
ISTLZOJ,O,X,O,O,O
ISTLOJZ,O,O,O,O,X
ISTLOZJ,O,X,O,O,O
ISTJLZO,O,O,O,X,O
ISTJLOZ,O,O,O,O,X
ISTJZLO,O,O,O,X,O
ISTJZOL,X,X,X,X,O
ISTJOLZ,O,X,O,X,X
ISTJOZL,O,X,X,X,X
ISTZLJO,O,O,O,O,O
ISTZLOJ,O,O,O,O,O
ISTZJLO,O,O,O,O,O
ISTZJOL,X,X,X,X,O
ISTZOLJ,O,O,X,X,O
ISTZOJL,O,O,X,X,O
ISTOLJZ,O,O,O,X,X
ISTOLZJ,O,X,O,X,O
ISTOJLZ,O,O,O,X,X
ISTOJZL,O,O,X,X,X
ISTOZLJ,O,O,X,X,O
ISTOZJL,O,O,X,X,O
ISLTJZO,O,O,O,X,O
ISLTJOZ,O,O,O,O,X
ISLTZJO,O,X,O,O,O
ISLTZOJ,O,X,O,O,O
ISLTOJZ,O,O,O,O,X
ISLTOZJ,O,X,O,O,O
ISLJTZO,O,O,O,X,O
ISLJTOZ,O,O,O,O,X
ISLJZTO,O,X,O,X,O
ISLJZOT,X,X,O,X,O
ISLJOTZ,O,X,O,O,X
ISLJOZT,O,X,O,X,X
ISLZTJO,O,X,O,O,O
ISLZTOJ,O,X,O,O,O
ISLZJTO,O,X,O,O,O
ISLZJOT,X,X,O,O,O
ISLZOTJ,O,X,O,O,O
ISLZOJT,O,X,O,O,O
ISLOTJZ,O,O,O,O,X
ISLOTZJ,O,X,O,O,O
ISLOJTZ,O,O,O,O,X
ISLOJZT,O,X,O,X,X
ISLOZTJ,O,X,O,O,O
ISLOZJT,O,X,O,O,O
ISJTLZO,O,O,O,X,O
ISJTLOZ,O,O,O,O,X
ISJTZLO,O,O,O,X,O
ISJTZOL,X,X,X,X,O
ISJTOLZ,O,X,O,X,X
ISJTOZL,O,X,X,X,X
ISJLTZO,O,O,O,X,O
ISJLTOZ,O,O,O,O,X
ISJLZTO,O,X,O,X,O
ISJLZOT,X,X,O,X,O
ISJLOTZ,O,X,O,O,X
ISJLOZT,O,X,O,X,X
ISJZTLO,O,O,O,X,O
ISJZTOL,X,X,X,X,O
ISJZLTO,O,O,O,X,O
ISJZLOT,X,X,O,X,O
ISJZOTL,X,X,X,X,O
ISJZOLT,X,X,X,X,O
ISJOTLZ,O,X,O,X,X
ISJOTZL,O,X,X,X,X
ISJOLTZ,O,X,O,X,X
ISJOLZT,O,X,O,X,X
ISJOZTL,O,X,X,X,X
ISJOZLT,O,X,X,X,X
ISZTLJO,O,O,O,O,O
ISZTLOJ,O,O,O,O,O
ISZTJLO,O,O,O,O,O
ISZTJOL,X,X,X,X,O
ISZTOLJ,O,O,X,X,O
ISZTOJL,O,O,X,X,O
ISZLTJO,O,O,O,O,O
ISZLTOJ,O,O,O,O,O
ISZLJTO,O,O,O,O,O
ISZLJOT,X,X,O,O,O
ISZLOTJ,O,O,O,O,O
ISZLOJT,O,O,O,O,O
ISZJTLO,O,O,O,O,O
ISZJTOL,X,X,X,X,O
ISZJLTO,O,O,O,O,O
ISZJLOT,X,X,O,O,O
ISZJOTL,X,X,X,X,O
ISZJOLT,X,X,X,X,O
ISZOTLJ,O,O,X,X,O
ISZOTJL,O,O,X,X,O
ISZOLTJ,O,O,X,X,O
ISZOLJT,O,O,X,X,O
ISZOJTL,O,O,X,X,O
ISZOJLT,O,O,X,X,O
ISOTLJZ,O,O,O,X,X
ISOTLZJ,O,X,O,X,O
ISOTJLZ,O,O,O,X,X
ISOTJZL,O,O,X,X,X
ISOTZLJ,O,O,X,X,O
ISOTZJL,O,O,X,X,O
ISOLTJZ,O,O,O,X,X
ISOLTZJ,O,X,O,X,O
ISOLJTZ,O,O,O,X,X
ISOLJZT,O,X,O,X,X
ISOLZTJ,O,X,O,X,O
ISOLZJT,O,X,O,X,O
ISOJTLZ,O,O,O,X,X
ISOJTZL,O,O,X,X,X
ISOJLTZ,O,O,O,X,X
ISOJLZT,O,X,O,X,X
ISOJZTL,O,O,X,X,X
ISOJZLT,O,O,X,X,X
ISOZTLJ,O,O,X,X,O
ISOZTJL,O,O,X,X,O
ISOZLTJ,O,O,X,X,O
ISOZLJT,O,O,X,X,O
ISOZJTL,O,O,X,X,O
ISOZJLT,O,O,X,X,O
IZTLJSO,O,O,X,O,O
IZTLJOS,O,O,O,O,X
IZTLSJO,X,O,O,O,O
IZTLSOJ,X,O,O,O,O
IZTLOJS,O,O,O,O,X
IZTLOSJ,X,O,O,O,X
IZTJLSO,O,O,X,O,O
IZTJLOS,O,O,O,O,X
IZTJSLO,O,O,X,O,O
IZTJSOL,X,X,X,X,O
IZTJOLS,X,O,X,O,X
IZTJOSL,X,O,X,X,O
IZTSLJO,O,O,O,O,O
IZTSLOJ,O,O,O,O,O
IZTSJLO,O,O,O,O,O
IZTSJOL,X,X,X,X,O
IZTSOLJ,O,O,X,X,O
IZTSOJL,O,O,X,X,O
IZTOLJS,O,O,X,O,X
IZTOLSJ,X,O,X,O,X
IZTOJLS,O,O,X,O,X
IZTOJSL,O,O,X,X,O
IZTOSLJ,O,O,X,X,O
IZTOSJL,O,O,X,X,O
IZLTJSO,O,O,X,O,O
IZLTJOS,O,O,O,O,X
IZLTSJO,X,O,O,O,O
IZLTSOJ,X,O,O,O,O
IZLTOJS,O,O,O,O,X
IZLTOSJ,X,O,O,O,X
IZLJTSO,O,O,X,O,O
IZLJTOS,O,O,O,O,X
IZLJSTO,X,O,X,O,O
IZLJSOT,X,X,X,O,O
IZLJOTS,X,O,O,O,X
IZLJOST,X,O,X,O,X
IZLSTJO,X,O,O,O,O
IZLSTOJ,X,O,O,O,O
IZLSJTO,X,O,O,O,O
IZLSJOT,X,X,O,O,O
IZLSOTJ,X,O,O,O,O
IZLSOJT,X,O,O,O,O
IZLOTJS,O,O,O,O,X
IZLOTSJ,X,O,O,O,X
IZLOJTS,O,O,O,O,X
IZLOJST,X,O,X,O,X
IZLOSTJ,X,O,O,O,X
IZLOSJT,X,O,O,O,X
IZJTLSO,O,O,X,O,O
IZJTLOS,O,O,O,O,X
IZJTSLO,O,O,X,O,O
IZJTSOL,X,X,X,X,O
IZJTOLS,X,O,X,O,X
IZJTOSL,X,O,X,X,O
IZJLTSO,O,O,X,O,O
IZJLTOS,O,O,O,O,X
IZJLSTO,X,O,X,O,O
IZJLSOT,X,X,X,O,O
IZJLOTS,X,O,O,O,X
IZJLOST,X,O,X,O,X
IZJSTLO,O,O,X,O,O
IZJSTOL,X,X,X,X,O
IZJSLTO,O,O,X,O,O
IZJSLOT,X,X,X,O,O
IZJSOTL,X,X,X,X,O
IZJSOLT,X,X,X,X,O
IZJOTLS,X,O,X,O,X
IZJOTSL,X,O,X,X,O
IZJOLTS,X,O,X,O,X
IZJOLST,X,O,X,O,X
IZJOSTL,X,O,X,X,O
IZJOSLT,X,O,X,X,O
IZSTLJO,O,O,O,O,O
IZSTLOJ,O,O,O,O,O
IZSTJLO,O,O,O,O,O
IZSTJOL,X,X,X,X,O
IZSTOLJ,O,O,X,X,O
IZSTOJL,O,O,X,X,O
IZSLTJO,O,O,O,O,O
IZSLTOJ,O,O,O,O,O
IZSLJTO,O,O,O,O,O
IZSLJOT,X,X,O,O,O
IZSLOTJ,O,O,O,O,O
IZSLOJT,O,O,O,O,O
IZSJTLO,O,O,O,O,O
IZSJTOL,X,X,X,X,O
IZSJLTO,O,O,O,O,O
IZSJLOT,X,X,O,O,O
IZSJOTL,X,X,X,X,O
IZSJOLT,X,X,X,X,O
IZSOTLJ,O,O,X,X,O
IZSOTJL,O,O,X,X,O
IZSOLTJ,O,O,X,X,O
IZSOLJT,O,O,X,X,O
IZSOJTL,O,O,X,X,O
IZSOJLT,O,O,X,X,O
IZOTLJS,O,O,X,O,X
IZOTLSJ,X,O,X,O,X
IZOTJLS,O,O,X,O,X
IZOTJSL,O,O,X,X,O
IZOTSLJ,O,O,X,X,O
IZOTSJL,O,O,X,X,O
IZOLTJS,O,O,X,O,X
IZOLTSJ,X,O,X,O,X
IZOLJTS,O,O,X,O,X
IZOLJST,X,O,X,O,X
IZOLSTJ,X,O,X,O,X
IZOLSJT,X,O,X,O,X
IZOJTLS,O,O,X,O,X
IZOJTSL,O,O,X,X,O
IZOJLTS,O,O,X,O,X
IZOJLST,X,O,X,O,X
IZOJSTL,O,O,X,X,O
IZOJSLT,O,O,X,X,O
IZOSTLJ,O,O,X,X,O
IZOSTJL,O,O,X,X,O
IZOSLTJ,O,O,X,X,O
IZOSLJT,O,O,X,X,O
IZOSJTL,O,O,X,X,O
IZOSJLT,O,O,X,X,O
IOTLJSZ,O,O,O,O,X
IOTLJZS,O,O,O,O,X
IOTLSJZ,O,O,O,O,X
IOTLSZJ,O,X,O,O,X
IOTLZJS,O,O,O,O,X
IOTLZSJ,X,O,O,O,X
IOTJLSZ,O,O,O,O,X
IOTJLZS,O,O,O,O,X
IOTJSLZ,O,O,X,X,X
IOTJSZL,O,O,X,X,X
IOTJZLS,O,O,X,X,X
IOTJZSL,O,O,X,X,X
IOTSLJZ,O,O,O,X,X
IOTSLZJ,O,X,O,X,O
IOTSJLZ,O,O,O,X,X
IOTSJZL,O,O,X,X,X
IOTSZLJ,O,O,X,X,O
IOTSZJL,O,O,X,X,O
IOTZLJS,O,O,X,O,X
IOTZLSJ,X,O,X,O,X
IOTZJLS,O,O,X,O,X
IOTZJSL,O,O,X,X,O
IOTZSLJ,O,O,X,X,O
IOTZSJL,O,O,X,X,O
IOLTJSZ,O,O,O,O,X
IOLTJZS,O,O,O,O,X
IOLTSJZ,O,O,O,O,X
IOLTSZJ,O,X,O,O,X
IOLTZJS,O,O,O,O,X
IOLTZSJ,X,O,O,O,X
IOLJTSZ,O,O,O,O,X
IOLJTZS,O,O,O,O,X
IOLJSTZ,O,O,O,O,X
IOLJSZT,O,X,O,X,X
IOLJZTS,O,O,O,O,X
IOLJZST,X,O,X,O,X
IOLSTJZ,O,O,O,O,X
IOLSTZJ,O,X,O,O,X
IOLSJTZ,O,O,O,O,X
IOLSJZT,O,X,O,X,X
IOLSZTJ,O,X,O,O,X
IOLSZJT,O,X,O,O,X
IOLZTJS,O,O,O,O,X
IOLZTSJ,X,O,O,O,X
IOLZJTS,O,O,O,O,X
IOLZJST,X,O,X,O,X
IOLZSTJ,X,O,O,O,X
IOLZSJT,X,O,O,O,X
IOJTLSZ,O,O,O,O,X
IOJTLZS,O,O,O,O,X
IOJTSLZ,O,O,X,X,X
IOJTSZL,O,O,X,X,X
IOJTZLS,O,O,X,X,X
IOJTZSL,O,O,X,X,X
IOJLTSZ,O,O,O,O,X
IOJLTZS,O,O,O,O,X
IOJLSTZ,O,O,O,O,X
IOJLSZT,O,X,X,X,X
IOJLZTS,O,O,O,O,X
IOJLZST,X,O,X,X,X
IOJSTLZ,O,O,X,X,X
IOJSTZL,O,O,X,X,X
IOJSLTZ,O,O,X,X,X
IOJSLZT,O,X,X,X,X
IOJSZTL,O,O,X,X,X
IOJSZLT,O,O,X,X,X
IOJZTLS,O,O,X,X,X
IOJZTSL,O,O,X,X,X
IOJZLTS,O,O,X,X,X
IOJZLST,X,O,X,X,X
IOJZSTL,O,O,X,X,X
IOJZSLT,O,O,X,X,X
IOSTLJZ,O,O,O,X,X
IOSTLZJ,O,X,O,X,O
IOSTJLZ,O,O,O,X,X
IOSTJZL,O,O,X,X,X
IOSTZLJ,O,O,X,X,O
IOSTZJL,O,O,X,X,O
IOSLTJZ,O,O,O,X,X
IOSLTZJ,O,X,O,X,O
IOSLJTZ,O,O,O,X,X
IOSLJZT,O,X,O,X,X
IOSLZTJ,O,X,O,X,O
IOSLZJT,O,X,O,X,O
IOSJTLZ,O,O,O,X,X
IOSJTZL,O,O,X,X,X
IOSJLTZ,O,O,O,X,X
IOSJLZT,O,X,O,X,X
IOSJZTL,O,O,X,X,X
IOSJZLT,O,O,X,X,X
IOSZTLJ,O,O,X,X,O
IOSZTJL,O,O,X,X,O
IOSZLTJ,O,O,X,X,O
IOSZLJT,O,O,X,X,O
IOSZJTL,O,O,X,X,O
IOSZJLT,O,O,X,X,O
IOZTLJS,O,O,X,O,X
IOZTLSJ,X,O,X,O,X
IOZTJLS,O,O,X,O,X
IOZTJSL,O,O,X,X,O
IOZTSLJ,O,O,X,X,O
IOZTSJL,O,O,X,X,O
IOZLTJS,O,O,X,O,X
IOZLTSJ,X,O,X,O,X
IOZLJTS,O,O,X,O,X
IOZLJST,X,O,X,O,X
IOZLSTJ,X,O,X,O,X
IOZLSJT,X,O,X,O,X
IOZJTLS,O,O,X,O,X
IOZJTSL,O,O,X,X,O
IOZJLTS,O,O,X,O,X
IOZJLST,X,O,X,O,X
IOZJSTL,O,O,X,X,O
IOZJSLT,O,O,X,X,O
IOZSTLJ,O,O,X,X,O
IOZSTJL,O,O,X,X,O
IOZSLTJ,O,O,X,X,O
IOZSLJT,O,O,X,X,O
IOZSJTL,O,O,X,X,O
IOZSJLT,O,O,X,X,O
LTIJSZO,O,O,O,X,X
LTIJSOZ,O,O,O,O,X
LTIJZSO,O,O,X,O,X
LTIJZOS,O,O,O,O,X
LTIJOSZ,O,O,O,O,X
LTIJOZS,O,O,O,O,X
LTISJZO,O,O,O,X,O
LTISJOZ,O,O,O,O,X
LTISZJO,O,X,O,O,O
LTISZOJ,O,X,O,O,O
LTISOJZ,O,O,O,O,X
LTISOZJ,O,X,O,O,O
LTIZJSO,O,O,X,O,O
LTIZJOS,O,O,O,O,X
LTIZSJO,X,O,O,O,O
LTIZSOJ,X,O,O,O,O
LTIZOJS,O,O,O,O,X
LTIZOSJ,X,O,O,O,X
LTIOJSZ,O,O,O,O,X
LTIOJZS,O,O,O,O,X
LTIOSJZ,O,O,O,O,X
LTIOSZJ,O,X,O,O,X
LTIOZJS,O,O,O,O,X
