sequence,v115@OhB8AeA8FeB8AeD8CeC8Je/EJvhFRgBFiB6oBTlB0m?B2wB,v115@OhB8AeA8FeB8AeD8CeC8Je/EJvhFRgBcmBOnB6oBTl?B1wB,v115@OhB8AeA8FeB8AeD8CeC8JeT/IvhF2lBFiB6oBfsBRq?BUrB,v115@OhB8AeA8FeB8AeD8CeC8Jex/IvhFXiB6oB0kBllBmr?BTrB,v115@OhB8AeA8FeB8AeD8CeC8Jex/IvhFXiB6oB0kBllBOr?BzrB,v115@OhB8AeA8FeB8AeD8CeC8JeT/IvhFxhB6oB0lBmmBXl?B1wB
TIOZSJL,X,O,X,X,O,X
TLIJSZO,O,O,O,O,X,O
TLIJSOZ,O,O,O,X,X,O
TLIJZSO,X,O,X,O,X,O
TLIJZOS,X,O,X,O,X,O
TLIJOSZ,O,O,O,X,X,O
TLIJOZS,X,O,X,X,X,O
TLISJZO,O,O,O,X,X,O
TLISJOZ,O,O,O,X,X,O
TLISZJO,O,O,O,O,O,X
TLISZOJ,O,O,O,O,O,X
TLISOJZ,O,O,O,X,X,O
TLISOZJ,O,O,O,X,X,X
TLIZJSO,X,O,X,O,O,O
TLIZJOS,X,O,X,O,O,O
TLIZSJO,X,O,X,O,O,X
TLIZSOJ,X,O,X,O,O,X
TLIZOJS,X,O,X,O,O,O
TLIZOSJ,X,O,X,O,O,X
TLIOJSZ,X,O,O,X,X,O
TLIOJZS,X,O,X,X,X,O
TLIOSJZ,O,O,O,X,X,O
TLIOSZJ,O,O,O,X,O,X
TLIOZJS,X,O,X,X,O,O
TLIOZSJ,X,O,X,X,O,X
TLJISZO,O,O,X,O,X,O
TLJISOZ,O,O,X,X,X,O
TLJIZSO,X,O,X,O,X,O
TLJIZOS,X,O,X,O,X,O
TLJIOSZ,O,O,X,X,X,O
TLJIOZS,X,O,X,X,X,O
TLJSIZO,O,O,O,O,X,O
TLJSIOZ,O,O,O,X,X,O
TLJSZIO,O,O,X,O,O,O
TLJSZOI,O,O,X,O,O,O
TLJSOIZ,O,O,O,X,X,O
TLJSOZI,O,O,X,O,X,O
TLJZISO,O,O,X,O,O,O
TLJZIOS,O,O,X,O,O,O
TLJZSIO,O,O,X,O,O,O
TLJZSOI,O,O,X,O,O,O
TLJZOIS,O,O,X,O,O,O
TLJZOSI,O,O,X,O,O,O
TLJOISZ,O,O,X,X,X,O
TLJOIZS,X,O,X,X,X,O
TLJOSIZ,O,O,O,X,X,O
TLJOSZI,O,O,X,O,O,O
TLJOZIS,O,O,X,O,O,O
TLJOZSI,O,O,X,O,O,O
TLSIJZO,O,O,O,X,X,O
TLSIJOZ,O,O,O,X,X,O
TLSIZJO,O,O,O,O,O,X
TLSIZOJ,O,O,O,O,O,X
TLSIOJZ,O,O,O,X,X,O
TLSIOZJ,O,O,O,X,X,X
TLSJIZO,O,O,O,O,X,O
TLSJIOZ,O,O,O,X,X,O
TLSJZIO,O,O,X,O,O,O
TLSJZOI,O,O,X,O,O,O
TLSJOIZ,O,O,O,X,X,O
TLSJOZI,O,O,X,O,X,O
TLSZIJO,O,O,O,O,O,X
TLSZIOJ,O,O,O,O,O,X
TLSZJIO,O,O,X,O,O,O
TLSZJOI,O,O,X,O,O,O
TLSZOIJ,O,O,O,O,O,X
TLSZOJI,X,O,X,O,O,O
TLSOIJZ,O,O,O,X,X,O
TLSOIZJ,O,O,O,X,O,X
TLSOJIZ,O,O,O,X,X,O
TLSOJZI,O,O,X,X,O,O
TLSOZIJ,O,O,O,O,O,X
TLSOZJI,X,O,X,O,O,O
TLZIJSO,X,O,X,O,O,O
TLZIJOS,X,O,X,O,O,O
TLZISJO,X,O,X,O,O,X
TLZISOJ,X,O,X,O,O,X
TLZIOJS,X,O,X,O,O,O
TLZIOSJ,X,O,X,O,O,X
TLZJISO,X,O,X,O,O,O
TLZJIOS,X,O,X,O,O,O
TLZJSIO,O,O,X,O,O,O
TLZJSOI,O,O,X,O,O,O
TLZJOIS,X,O,X,O,O,O
TLZJOSI,O,O,X,O,O,O
TLZSIJO,O,O,O,O,O,X
TLZSIOJ,O,O,O,O,O,X
TLZSJIO,O,O,X,O,O,O
TLZSJOI,O,O,X,O,O,O
TLZSOIJ,O,O,O,O,O,X
TLZSOJI,X,O,X,O,O,O
TLZOIJS,X,O,X,O,O,O
TLZOISJ,X,O,X,O,O,X
TLZOJIS,X,O,X,O,O,O
TLZOJSI,X,O,X,O,O,O
TLZOSIJ,O,O,O,O,O,X
TLZOSJI,X,O,X,O,O,O
TLOIJSZ,X,O,O,X,X,O
TLOIJZS,X,O,X,X,X,O
TLOISJZ,O,O,O,X,X,O
TLOISZJ,O,O,O,X,O,X
TLOIZJS,X,O,X,X,O,O
TLOIZSJ,X,O,X,X,O,X
TLOJISZ,O,O,X,X,X,O
TLOJIZS,X,O,X,X,X,O
TLOJSIZ,O,O,O,X,X,O
TLOJSZI,O,O,X,O,O,O
TLOJZIS,O,O,X,O,O,O
TLOJZSI,O,O,X,O,O,O
TLOSIJZ,O,O,O,X,X,O
TLOSIZJ,O,O,O,X,O,X
TLOSJIZ,O,O,O,X,X,O
TLOSJZI,O,O,X,X,O,O
TLOSZIJ,O,O,O,O,O,X
TLOSZJI,X,O,X,O,O,O
TLOZIJS,X,O,X,O,O,O
TLOZISJ,X,O,X,O,O,X
TLOZJIS,X,O,X,O,O,O
TLOZJSI,X,O,X,O,O,O
TLOZSIJ,O,O,O,O,O,X
TLOZSJI,X,O,X,O,O,O
TJILSZO,O,O,X,O,X,O
TJILSOZ,O,O,X,X,X,O
TJILZSO,X,O,X,O,X,O
TJILZOS,X,O,X,O,X,O
TJILOSZ,O,O,X,X,X,O
TJILOZS,X,O,X,X,X,O
TJISLZO,O,O,X,O,X,O
TJISLOZ,O,O,X,X,X,O
TJISZLO,O,O,X,O,X,O
TJISZOL,X,O,X,O,X,O
TJISOLZ,O,O,X,X,X,O
TJISOZL,O,O,X,X,X,O
TJIZLSO,X,O,X,O,X,O
TJIZLOS,X,O,X,O,X,O
TJIZSLO,X,O,X,O,X,O
TJIZSOL,X,O,X,O,X,O
TJIZOLS,X,O,X,O,X,O
TJIZOSL,X,O,X,O,X,O
TJIOLSZ,O,O,X,X,X,O
TJIOLZS,X,O,X,X,X,O
TJIOSLZ,O,O,X,X,X,O
TJIOSZL,O,O,X,X,X,O
TJIOZLS,X,O,X,X,X,O
TJIOZSL,X,O,X,X,X,O
TJLISZO,O,O,X,O,X,O
TJLISOZ,O,O,X,X,X,O
TJLIZSO,X,O,X,O,X,O
TJLIZOS,X,O,X,O,X,O
TJLIOSZ,O,O,X,X,X,O
TJLIOZS,X,O,X,X,X,O
TJLSIZO,O,O,O,O,X,O
TJLSIOZ,O,O,O,X,X,O
TJLSZIO,O,O,X,O,O,O
TJLSZOI,O,O,X,O,O,O
TJLSOIZ,O,O,O,X,X,O
TJLSOZI,O,O,X,O,X,O
TJLZISO,O,O,X,O,O,O
TJLZIOS,O,O,X,O,O,O
TJLZSIO,O,O,X,O,O,O
TJLZSOI,O,O,X,O,O,O
TJLZOIS,O,O,X,O,O,O
TJLZOSI,O,O,X,O,O,O
TJLOISZ,O,O,X,X,X,O
TJLOIZS,X,O,X,X,X,O
TJLOSIZ,O,O,O,X,X,O
TJLOSZI,O,O,X,O,O,O
TJLOZIS,O,O,X,O,O,O
TJLOZSI,O,O,X,O,O,O
TJSILZO,O,O,O,O,X,O
TJSILOZ,O,O,O,X,X,O
TJSIZLO,O,O,O,O,X,O
TJSIZOL,O,O,O,O,X,O
TJSIOLZ,O,O,O,X,X,O
TJSIOZL,O,O,O,X,X,O
TJSLIZO,O,O,O,O,X,O
TJSLIOZ,O,O,O,X,X,O
TJSLZIO,O,O,X,O,O,O
TJSLZOI,O,O,X,O,O,O
TJSLOIZ,O,O,O,X,X,O
TJSLOZI,O,O,X,O,X,O
TJSZILO,O,O,X,O,O,O
TJSZIOL,O,O,X,O,X,O
TJSZLIO,O,O,X,O,O,O
TJSZLOI,O,O,X,O,O,O
TJSZOIL,O,O,X,O,X,O
TJSZOLI,O,O,X,O,X,O
TJSOILZ,O,O,O,X,X,O
TJSOIZL,O,O,O,X,X,O
TJSOLIZ,O,O,O,X,X,O
TJSOLZI,O,O,X,O,X,O
TJSOZIL,O,O,X,O,X,O
TJSOZLI,O,O,X,O,X,O
TJZILSO,O,O,X,O,O,O
TJZILOS,O,O,X,O,O,O
TJZISLO,O,O,X,O,O,O
TJZISOL,O,O,X,O,X,O
TJZIOLS,O,O,X,O,O,O
TJZIOSL,O,O,X,O,O,O
TJZLISO,O,O,X,O,O,O
TJZLIOS,O,O,X,O,O,O
TJZLSIO,O,O,X,O,O,O
TJZLSOI,O,O,X,O,O,O
TJZLOIS,O,O,X,O,O,O
TJZLOSI,O,O,X,O,O,O
TJZSILO,O,O,X,O,O,O
TJZSIOL,O,O,X,O,X,O
TJZSLIO,O,O,X,O,O,O
TJZSLOI,O,O,X,O,O,O
TJZSOIL,O,O,X,O,X,O
TJZSOLI,O,O,X,O,X,O
TJZOILS,O,O,X,O,O,O
TJZOISL,O,O,X,O,O,O
TJZOLIS,O,O,X,O,O,O
TJZOLSI,O,O,X,O,O,O
TJZOSIL,O,O,X,O,O,O
TJZOSLI,O,O,X,O,O,O
TJOILSZ,O,O,X,X,X,O
TJOILZS,X,O,X,X,X,O
TJOISLZ,O,O,X,X,X,O
TJOISZL,O,O,X,X,X,O
TJOIZLS,X,O,X,X,X,O
TJOIZSL,X,O,X,X,X,O
TJOLISZ,O,O,X,X,X,O
TJOLIZS,X,O,X,X,X,O
TJOLSIZ,O,O,O,X,X,O
TJOLSZI,O,O,X,O,O,O
TJOLZIS,O,O,X,O,O,O
TJOLZSI,O,O,X,O,O,O
TJOSILZ,O,O,O,X,X,O
TJOSIZL,O,O,O,X,X,O
TJOSLIZ,O,O,O,X,X,O
TJOSLZI,O,O,X,O,O,O
TJOSZIL,O,O,X,O,O,O
TJOSZLI,O,O,X,O,O,O
TJOZILS,O,O,X,O,O,O
TJOZISL,O,O,X,O,O,O
TJOZLIS,O,O,X,O,O,O
TJOZLSI,O,O,X,O,O,O
TJOZSIL,O,O,X,O,O,O
TJOZSLI,O,O,X,O,O,O
TSILJZO,O,O,O,X,X,O
TSILJOZ,O,O,O,X,X,O
TSILZJO,O,O,O,O,O,X
TSILZOJ,O,O,O,O,O,X
TSILOJZ,O,O,O,X,X,O
TSILOZJ,O,O,O,X,X,X
TSIJLZO,O,O,O,X,X,O
TSIJLOZ,O,O,O,X,X,O
TSIJZLO,O,O,O,X,X,O
TSIJZOL,O,O,O,X,X,O
TSIJOLZ,O,O,O,X,X,O
TSIJOZL,O,O,O,X,X,O
TSIZLJO,O,O,O,O,O,X
TSIZLOJ,O,O,O,O,O,X
TSIZJLO,X,O,O,O,O,X
TSIZJOL,X,O,O,X,X,X
TSIZOLJ,X,O,O,O,O,X
TSIZOJL,X,O,O,X,X,X
TSIOLJZ,O,O,O,X,X,O
TSIOLZJ,O,O,O,X,X,X
TSIOJLZ,O,O,O,X,X,O
TSIOJZL,O,O,O,X,X,O
TSIOZLJ,O,O,O,X,X,X
TSIOZJL,X,O,O,X,X,X
TSLIJZO,O,O,O,X,X,O
TSLIJOZ,O,O,O,X,X,O
TSLIZJO,O,O,O,O,O,X
TSLIZOJ,O,O,O,O,O,X
TSLIOJZ,O,O,O,X,X,O
TSLIOZJ,O,O,O,X,X,X
TSLJIZO,O,O,O,O,X,O
TSLJIOZ,O,O,O,X,X,O
TSLJZIO,O,O,X,O,O,O
TSLJZOI,O,O,X,O,O,O
TSLJOIZ,O,O,O,X,X,O
TSLJOZI,O,O,X,O,X,O
TSLZIJO,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,X
TSLZJIO,O,O,X,O,O,O
TSLZJOI,O,O,X,O,O,O
TSLZOIJ,O,O,O,O,O,X
TSLZOJI,X,O,X,O,O,O
TSLOIJZ,O,O,O,X,X,O
TSLOIZJ,O,O,O,X,O,X
TSLOJIZ,O,O,O,X,X,O
TSLOJZI,O,O,X,X,O,O
TSLOZIJ,O,O,O,O,O,X
TSLOZJI,X,O,X,O,O,O
TSJILZO,O,O,O,O,X,O
TSJILOZ,O,O,O,X,X,O
TSJIZLO,O,O,O,O,X,O
TSJIZOL,O,O,O,O,X,O
TSJIOLZ,O,O,O,X,X,O
TSJIOZL,O,O,O,X,X,O
TSJLIZO,O,O,O,O,X,O
TSJLIOZ,O,O,O,X,X,O
TSJLZIO,O,O,X,O,O,O
TSJLZOI,O,O,X,O,O,O
TSJLOIZ,O,O,O,X,X,O
TSJLOZI,O,O,X,O,X,O
TSJZILO,O,O,X,O,O,O
TSJZIOL,O,O,X,O,X,O
TSJZLIO,O,O,X,O,O,O
TSJZLOI,O,O,X,O,O,O
TSJZOIL,O,O,X,O,X,O
TSJZOLI,O,O,X,O,X,O
TSJOILZ,O,O,O,X,X,O
TSJOIZL,O,O,O,X,X,O
TSJOLIZ,O,O,O,X,X,O
TSJOLZI,O,O,X,O,X,O
TSJOZIL,O,O,X,O,X,O
TSJOZLI,O,O,X,O,X,O
TSZILJO,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,X
TSZIJLO,X,O,O,O,O,X
TSZIJOL,X,O,O,O,X,X
TSZIOLJ,X,O,O,O,O,X
TSZIOJL,X,O,O,X,O,X
TSZLIJO,O,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,X
TSZLJIO,O,O,X,O,O,O
TSZLJOI,O,O,X,O,O,O
TSZLOIJ,O,O,O,O,O,X
TSZLOJI,X,O,X,O,O,O
TSZJILO,O,O,X,O,O,O
TSZJIOL,X,O,X,O,X,O
TSZJLIO,O,O,X,O,O,O
TSZJLOI,O,O,X,O,O,O
TSZJOIL,O,O,X,O,X,O
TSZJOLI,O,O,X,O,X,O
TSZOILJ,O,O,O,O,O,X
TSZOIJL,X,O,O,X,O,X
TSZOLIJ,O,O,O,O,O,X
TSZOLJI,X,O,X,O,O,O
TSZOJIL,X,O,X,X,O,O
TSZOJLI,X,O,X,X,O,O
TSOILJZ,O,O,O,X,X,O
TSOILZJ,O,O,O,X,O,X
TSOIJLZ,O,O,O,X,X,O
TSOIJZL,O,O,O,X,X,O
TSOIZLJ,O,O,O,X,O,X
TSOIZJL,X,O,O,X,O,X
TSOLIJZ,O,O,O,X,X,O
TSOLIZJ,O,O,O,X,O,X
TSOLJIZ,O,O,O,X,X,O
TSOLJZI,O,O,X,X,O,O
TSOLZIJ,O,O,O,O,O,X
TSOLZJI,X,O,X,O,O,O
TSOJILZ,O,O,O,X,X,O
TSOJIZL,O,O,O,X,X,O
TSOJLIZ,O,O,O,X,X,O
TSOJLZI,O,O,X,X,O,O
TSOJZIL,O,O,X,X,O,O
TSOJZLI,O,O,X,X,O,O
TSOZILJ,O,O,O,O,O,X
TSOZIJL,X,O,O,X,O,X
TSOZLIJ,O,O,O,O,O,X
TSOZLJI,X,O,X,O,O,O
TSOZJIL,X,O,X,X,O,O
TSOZJLI,X,O,X,X,O,O
TZILJSO,X,O,X,O,O,O
TZILJOS,X,O,X,O,O,O
TZILSJO,X,O,X,O,O,X
TZILSOJ,X,O,X,O,O,X
TZILOJS,X,O,X,O,O,O
TZILOSJ,X,O,X,O,O,X
TZIJLSO,X,O,X,O,O,O
TZIJLOS,X,O,X,O,O,O
TZIJSLO,X,O,X,O,O,O
TZIJSOL,X,O,X,O,X,O
TZIJOLS,X,O,X,O,O,O
TZIJOSL,X,O,X,O,O,O
TZISLJO,X,O,X,O,O,X
TZISLOJ,X,O,X,O,O,X
TZISJLO,X,O,X,O,O,X
TZISJOL,X,O,X,O,X,X
TZISOLJ,X,O,X,O,O,X
TZISOJL,X,O,X,X,O,X
TZIOLJS,X,O,X,O,O,O
TZIOLSJ,X,O,X,O,O,X
TZIOJLS,X,O,X,O,O,O
TZIOJSL,X,O,X,O,O,O
TZIOSLJ,X,O,X,O,O,X
TZIOSJL,X,O,X,X,O,X
TZLIJSO,X,O,X,O,O,O
TZLIJOS,X,O,X,O,O,O
TZLISJO,X,O,X,O,O,X
TZLISOJ,X,O,X,O,O,X
TZLIOJS,X,O,X,O,O,O
TZLIOSJ,X,O,X,O,O,X
TZLJISO,X,O,X,O,O,O
TZLJIOS,X,O,X,O,O,O
TZLJSIO,O,O,X,O,O,O
TZLJSOI,O,O,X,O,O,O
TZLJOIS,X,O,X,O,O,O
TZLJOSI,O,O,X,O,O,O
TZLSIJO,O,O,O,O,O,X
TZLSIOJ,O,O,O,O,O,X
TZLSJIO,O,O,X,O,O,O
TZLSJOI,O,O,X,O,O,O
TZLSOIJ,O,O,O,O,O,X
TZLSOJI,X,O,X,O,O,O
TZLOIJS,X,O,X,O,O,O
TZLOISJ,X,O,X,O,O,X
TZLOJIS,X,O,X,O,O,O
TZLOJSI,X,O,X,O,O,O
TZLOSIJ,O,O,O,O,O,X
TZLOSJI,X,O,X,O,O,O
TZJILSO,X,O,X,O,O,O
TZJILOS,X,O,X,O,O,O
TZJISLO,X,O,X,O,O,O
TZJISOL,X,O,X,O,X,O
TZJIOLS,X,O,X,O,O,O
TZJIOSL,X,O,X,O,O,O
TZJLISO,X,O,X,O,O,O
TZJLIOS,X,O,X,O,O,O
TZJLSIO,O,O,X,O,O,O
TZJLSOI,O,O,X,O,O,O
TZJLOIS,X,O,X,O,O,O
TZJLOSI,O,O,X,O,O,O
TZJSILO,O,O,X,O,O,O
TZJSIOL,X,O,X,O,X,O
TZJSLIO,O,O,X,O,O,O
TZJSLOI,O,O,X,O,O,O
TZJSOIL,O,O,X,O,X,O
TZJSOLI,O,O,X,O,X,O
TZJOILS,X,O,X,O,O,O
TZJOISL,X,O,X,O,O,O
TZJOLIS,X,O,X,O,O,O
TZJOLSI,O,O,X,O,O,O
TZJOSIL,O,O,X,O,O,O
TZJOSLI,O,O,X,O,O,O
TZSILJO,O,O,O,O,O,X
TZSILOJ,O,O,O,O,O,X
TZSIJLO,X,O,O,O,O,X
TZSIJOL,X,O,O,O,X,X
TZSIOLJ,X,O,O,O,O,X
TZSIOJL,X,O,O,X,O,X
TZSLIJO,O,O,O,O,O,X
TZSLIOJ,O,O,O,O,O,X
TZSLJIO,O,O,X,O,O,O
TZSLJOI,O,O,X,O,O,O
TZSLOIJ,O,O,O,O,O,X
TZSLOJI,X,O,X,O,O,O
TZSJILO,O,O,X,O,O,O
TZSJIOL,X,O,X,O,X,O
TZSJLIO,O,O,X,O,O,O
TZSJLOI,O,O,X,O,O,O
TZSJOIL,O,O,X,O,X,O
TZSJOLI,O,O,X,O,X,O
TZSOILJ,O,O,O,O,O,X
TZSOIJL,X,O,O,X,O,X
TZSOLIJ,O,O,O,O,O,X
TZSOLJI,X,O,X,O,O,O
TZSOJIL,X,O,X,X,O,O
TZSOJLI,X,O,X,X,O,O
TZOILJS,X,O,X,O,O,O
TZOILSJ,X,O,X,O,O,X
TZOIJLS,X,O,X,O,O,O
TZOIJSL,X,O,X,O,O,O
TZOISLJ,X,O,X,O,O,X
TZOISJL,X,O,X,X,O,X
TZOLIJS,X,O,X,O,O,O
TZOLISJ,X,O,X,O,O,X
TZOLJIS,X,O,X,O,O,O
TZOLJSI,X,O,X,O,O,O
TZOLSIJ,O,O,O,O,O,X
TZOLSJI,X,O,X,O,O,O
TZOJILS,X,O,X,O,O,O
TZOJISL,X,O,X,O,O,O
TZOJLIS,X,O,X,O,O,O
TZOJLSI,X,O,X,O,O,O
TZOJSIL,X,O,X,O,O,O
TZOJSLI,X,O,X,O,O,O
TZOSILJ,O,O,O,O,O,X
TZOSIJL,X,O,O,X,O,X
TZOSLIJ,O,O,O,O,O,X
TZOSLJI,X,O,X,O,O,O
TZOSJIL,X,O,X,X,O,O
TZOSJLI,X,O,X,X,O,O
TOILJSZ,X,O,O,X,X,O
TOILJZS,X,O,X,X,X,O
TOILSJZ,O,O,O,X,X,O
TOILSZJ,O,O,O,X,O,X
TOILZJS,X,O,X,X,O,O
TOILZSJ,X,O,X,X,O,X
TOIJLSZ,X,O,O,X,X,O
TOIJLZS,X,O,X,X,X,O
TOIJSLZ,X,O,O,X,X,O
TOIJSZL,X,O,O,X,X,O
TOIJZLS,X,O,X,X,X,O
TOIJZSL,X,O,X,X,X,O
TOISLJZ,O,O,O,X,X,O
TOISLZJ,O,O,O,X,O,X
TOISJLZ,O,O,O,X,X,O
TOISJZL,X,O,O,X,X,O
TOISZLJ,O,O,O,X,O,X
TOISZJL,X,O,O,X,O,X
TOIZLJS,X,O,X,X,O,O
TOIZLSJ,X,O,X,X,O,X
TOIZJLS,X,O,X,X,O,O
TOIZJSL,X,O,X,X,O,O
TOIZSLJ,X,O,X,X,O,X
TOIZSJL,X,O,X,X,O,X
TOLIJSZ,X,O,O,X,X,O
TOLIJZS,X,O,X,X,X,O
TOLISJZ,O,O,O,X,X,O
TOLISZJ,O,O,O,X,O,X
TOLIZJS,X,O,X,X,O,O
TOLIZSJ,X,O,X,X,O,X
TOLJISZ,O,O,X,X,X,O
TOLJIZS,X,O,X,X,X,O
TOLJSIZ,O,O,O,X,X,O
TOLJSZI,O,O,X,O,O,O
TOLJZIS,O,O,X,O,O,O
TOLJZSI,O,O,X,O,O,O
TOLSIJZ,O,O,O,X,X,O
TOLSIZJ,O,O,O,X,O,X
TOLSJIZ,O,O,O,X,X,O
TOLSJZI,O,O,X,X,O,O
TOLSZIJ,O,O,O,O,O,X
TOLSZJI,X,O,X,O,O,O
TOLZIJS,X,O,X,O,O,O
TOLZISJ,X,O,X,O,O,X
TOLZJIS,X,O,X,O,O,O
TOLZJSI,X,O,X,O,O,O
TOLZSIJ,O,O,O,O,O,X
TOLZSJI,X,O,X,O,O,O
TOJILSZ,O,O,X,X,X,O
TOJILZS,X,O,X,X,X,O
TOJISLZ,O,O,X,X,X,O
TOJISZL,O,O,X,X,X,O
TOJIZLS,X,O,X,X,X,O
TOJIZSL,X,O,X,X,X,O
TOJLISZ,O,O,X,X,X,O
TOJLIZS,X,O,X,X,X,O
TOJLSIZ,O,O,O,X,X,O
TOJLSZI,O,O,X,O,O,O
TOJLZIS,O,O,X,O,O,O
TOJLZSI,O,O,X,O,O,O
TOJSILZ,O,O,O,X,X,O
TOJSIZL,O,O,O,X,X,O
TOJSLIZ,O,O,O,X,X,O
TOJSLZI,O,O,X,O,O,O
TOJSZIL,O,O,X,O,O,O
TOJSZLI,O,O,X,O,O,O
TOJZILS,O,O,X,O,O,O
