sequence,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhF2lBXiBTjBFmB0q?BRxB,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhFTgB0hBxiBlqB2w?BXtB,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhFUhBFiBTjBmqB/q?BRxB,v115@HhA8FeA8BeA8DeH8FeA8Je0/IvhFlgBTjBRqBXrB2x?BCsB,v115@HhA8FeA8BeA8DeH8FeA8JeCBJvhFXiBTjBUlBerBlk?BRxB,v115@HhA8FeA8BeA8DeH8FeA8Jel/IvhF3gBTjBRqBmrBSw?B0sB,v115@HhA8FeA8BeA8DeH8FeA8Je0/IvhF2mBTjBRqB6qB3r?B1xB,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhFOlBTjBRmB8qB3r?B1xB,v115@HhA8FeA8BeA8DeH8FeA8Jex/IvhFmhBzkBCmBVwBct?B3sB,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhFOlBRmBzqBctBlr?B3sB
TILJSZO,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,O,O,X,X,O,X,X,X,X
TILJZSO,X,O,O,X,X,X,X,X,X,X
TILJZOS,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,O,O,X,X,O,X,X,X,X
TILJOZS,X,O,O,X,X,X,X,O,X,X
TILSJZO,X,O,O,X,X,X,X,X,X,X
TILSJOZ,X,O,O,X,X,O,X,X,X,X
TILSZJO,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,O,O,X,X,O,X,X,X,X
TILSOZJ,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,X,X,X,X,X,X
TILZJOS,X,O,O,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,X,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,O,O,X,X,O,X,X,X,X
TILOJZS,X,O,O,X,X,X,X,O,X,X
TILOSJZ,X,O,O,X,X,O,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,O,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X
TIJLSZO,X,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,X,X,O,X,X,X,X
TIJLZSO,X,O,O,X,X,X,X,X,X,X
TIJLZOS,X,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,O,O,X,X,O,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X,O,X,X
TIJSLZO,X,X,X,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,O,X,X,X,X
TIJSZLO,X,X,X,O,X,X,X,X,X,X
TIJSZOL,X,X,X,O,X,O,X,X,X,X
TIJSOLZ,X,X,X,O,X,O,X,X,X,X
TIJSOZL,X,X,X,O,X,O,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,O,X,X,X,X,X,X
TIJZSOL,X,X,X,O,X,O,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,O,X,O,X,X,X,X
TIJOLSZ,X,O,O,X,X,O,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,O,X,X
TIJOSLZ,X,X,X,O,X,O,X,X,X,X
TIJOSZL,X,X,X,O,X,O,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,O,X,O,X,X,X,X
TISLJZO,X,O,X,O,X,X,X,X,X,X
TISLJOZ,X,O,X,O,X,O,X,X,X,X
TISLZJO,X,X,X,O,X,X,X,X,X,X
TISLZOJ,X,X,X,O,X,X,X,X,X,X
TISLOJZ,X,O,X,O,X,O,X,X,X,X
TISLOZJ,X,X,X,O,X,X,X,X,X,X
TISJLZO,X,X,X,O,X,X,X,X,X,X
TISJLOZ,X,X,X,O,X,O,X,X,X,X
TISJZLO,X,X,X,O,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,O,X,X,X,X
TISJOLZ,X,X,X,O,X,O,X,X,X,X
TISJOZL,X,X,X,O,X,O,X,X,X,X
TISZLJO,X,X,X,O,X,X,X,X,X,X
TISZLOJ,X,O,X,O,X,X,X,X,X,X
TISZJLO,X,X,X,O,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,O,X,X,X,X
TISZOLJ,X,O,X,O,X,X,X,X,X,X
TISZOJL,X,X,X,O,X,O,X,X,X,X
TISOLJZ,X,O,X,O,X,O,X,X,X,X
TISOLZJ,X,X,X,O,X,X,X,X,X,X
TISOJLZ,X,X,X,O,X,O,X,X,X,X
TISOJZL,X,X,X,O,X,O,X,X,X,X
TISOZLJ,X,O,X,O,X,X,X,X,X,X
TISOZJL,X,X,X,O,X,O,X,X,X,X
TIZLJSO,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,O,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,O,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,O,X,X,X,X,X,X
TIZJSOL,X,X,X,O,X,O,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,O,X,O,X,X,X,X
TIZSLJO,X,X,X,O,X,X,X,X,X,X
TIZSLOJ,X,O,X,O,X,X,X,X,X,X
TIZSJLO,X,X,X,O,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,O,X,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,X,X,X
TIZSOJL,X,X,X,O,X,O,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,O,X,O,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X,X,X,X
TIZOSJL,X,X,X,O,X,O,X,X,X,X
TIOLJSZ,X,O,O,X,X,O,X,X,X,X
TIOLJZS,X,O,O,X,X,X,X,O,X,X
