sequence,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeRAJvhFFiB6oBUlBz?nBXrBGrB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeWFJvhFxgBVnB/rBT?oBCoB0qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8Jez/IvhFUhBFiBXjBS?tBxqBWwB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JefFJvhFxhBTjBlmBW?tBUrB6qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeGAJvhFxhB6oBUlBz?nBXrBlrB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeRAJvhFUiBFlB6rBX?oBGoBzqB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeCAJvhFFiBTjBWtBx?qB/rB0qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JefFJvhFTjBRmBWtBC?nBUrBlqB
TILJSZO,X,X,O,X,X,O,O,X
TILJSOZ,X,X,O,X,X,X,O,X
TILJZSO,X,X,O,O,X,O,O,X
TILJZOS,X,X,O,O,X,X,O,X
TILJOSZ,X,X,O,X,X,X,O,X
TILJOZS,X,X,O,O,X,X,O,X
TILSJZO,X,X,O,X,X,O,X,X
TILSJOZ,X,X,O,X,X,X,X,X
TILSZJO,O,X,O,X,X,O,X,X
TILSZOJ,O,X,O,X,X,O,X,X
TILSOJZ,X,X,O,X,X,X,X,X
TILSOZJ,X,X,O,X,X,O,X,X
TILZJSO,O,X,O,O,X,O,X,X
TILZJOS,O,X,O,O,X,X,X,X
TILZSJO,O,X,O,O,X,O,X,X
TILZSOJ,O,X,O,X,X,O,X,X
TILZOJS,O,X,O,X,X,X,X,X
TILZOSJ,O,X,O,X,X,O,X,X
TILOJSZ,X,X,O,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X
TILOSZJ,X,X,O,X,X,O,X,X
TILOZJS,X,X,O,X,X,X,X,X
TILOZSJ,X,X,O,X,X,O,X,X
TIJLSZO,X,X,O,X,X,X,O,X
TIJLSOZ,X,X,O,X,X,X,O,X
TIJLZSO,X,X,O,O,X,X,O,X
TIJLZOS,X,X,O,O,X,X,O,X
TIJLOSZ,X,X,O,X,X,X,O,X
TIJLOZS,X,X,O,O,X,X,O,X
TIJSLZO,X,X,X,X,X,X,O,X
TIJSLOZ,X,O,X,X,X,X,O,X
TIJSZLO,X,X,X,O,X,X,O,X
TIJSZOL,X,O,X,O,X,X,O,X
TIJSOLZ,X,O,X,X,X,X,O,O
TIJSOZL,X,O,X,O,X,X,O,O
TIJZLSO,X,X,O,O,X,X,O,X
TIJZLOS,X,X,O,O,X,X,O,X
TIJZSLO,X,X,X,O,X,X,O,X
TIJZSOL,X,X,X,O,X,X,O,X
TIJZOLS,X,X,O,O,X,X,O,X
TIJZOSL,X,X,X,O,X,X,O,X
TIJOLSZ,X,X,O,X,X,X,O,X
TIJOLZS,X,X,O,O,X,X,O,X
TIJOSLZ,X,O,X,X,X,X,O,O
TIJOSZL,X,O,X,O,X,X,O,O
TIJOZLS,X,X,O,O,X,X,O,X
TIJOZSL,X,X,X,O,X,X,O,X
TISLJZO,X,X,O,X,X,O,X,X
TISLJOZ,X,O,O,X,X,X,X,X
TISLZJO,O,X,O,X,X,O,X,X
TISLZOJ,O,X,O,X,X,O,X,X
TISLOJZ,X,O,O,X,X,X,X,X
TISLOZJ,X,X,O,X,X,O,X,X
TISJLZO,X,X,X,X,X,X,O,X
TISJLOZ,X,O,X,X,X,X,O,X
TISJZLO,X,X,X,O,X,X,O,X
TISJZOL,X,O,X,O,X,X,O,X
TISJOLZ,X,O,X,X,X,X,O,O
TISJOZL,X,O,X,O,X,X,O,O
TISZLJO,O,X,O,O,X,O,X,X
TISZLOJ,O,X,O,X,X,O,X,X
TISZJLO,O,X,X,O,X,X,X,X
TISZJOL,O,O,X,O,X,X,X,X
TISZOLJ,O,X,O,X,X,X,X,X
TISZOJL,O,O,X,O,X,X,X,X
TISOLJZ,X,O,O,X,X,O,X,X
TISOLZJ,O,X,O,X,X,O,X,X
TISOJLZ,X,O,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X
TISOZLJ,O,X,O,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X
TIZLJSO,O,X,O,O,X,O,X,X
TIZLJOS,O,X,O,O,X,X,X,X
TIZLSJO,O,X,O,O,X,O,X,X
TIZLSOJ,O,X,O,X,X,O,X,X
TIZLOJS,O,X,O,X,X,X,X,X
TIZLOSJ,O,X,O,X,X,O,X,X
TIZJLSO,O,X,O,O,X,X,X,X
TIZJLOS,O,X,O,O,X,X,X,X
TIZJSLO,X,O,X,O,X,X,O,X
TIZJSOL,X,O,X,O,X,X,O,X
TIZJOLS,O,X,O,O,X,X,X,X
TIZJOSL,X,O,X,O,X,X,O,X
TIZSLJO,O,O,O,O,X,O,X,X
TIZSLOJ,O,O,O,X,X,O,X,X
TIZSJLO,O,O,X,O,X,X,X,X
TIZSJOL,O,O,X,O,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X
TIZSOJL,O,O,X,O,X,X,X,X
TIZOLJS,O,X,O,X,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,X,X
TIZOJLS,O,X,O,O,X,X,X,X
TIZOJSL,X,O,X,O,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X
TIZOSJL,O,O,X,O,X,X,X,X
TIOLJSZ,X,X,O,X,X,O,X,X
TIOLJZS,X,X,O,X,X,O,X,X
TIOLSJZ,X,X,O,X,X,O,X,X
TIOLSZJ,O,X,O,X,X,O,X,X
TIOLZJS,O,X,O,X,X,O,X,X
TIOLZSJ,O,X,O,X,X,O,X,X
TIOJLSZ,X,X,O,X,X,X,O,X
TIOJLZS,X,X,O,O,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,O,X
TIOJSZL,X,O,X,O,X,X,O,X
TIOJZLS,X,X,O,O,X,X,X,X
TIOJZSL,X,X,X,O,X,X,O,X
TIOSLJZ,X,O,O,X,X,O,X,X
TIOSLZJ,O,X,O,X,X,O,X,X
TIOSJLZ,X,O,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X
TIOZLJS,O,X,O,X,X,X,X,X
TIOZLSJ,O,X,O,X,X,X,X,X
TIOZJLS,O,X,O,O,X,X,X,X
TIOZJSL,X,O,X,O,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X
TIOZSJL,O,O,X,O,X,X,X,X
TLIJSZO,X,X,O,X,X,O,O,X
TLIJSOZ,X,X,O,X,X,X,O,X
TLIJZSO,X,X,O,O,X,O,O,X
TLIJZOS,X,X,O,O,X,X,O,X
TLIJOSZ,X,X,O,X,X,X,O,X
TLIJOZS,X,X,O,O,X,X,O,X
TLISJZO,X,X,O,X,X,O,X,X
TLISJOZ,X,X,O,X,X,X,X,X
TLISZJO,O,X,O,X,X,O,X,X
TLISZOJ,O,X,O,X,X,O,X,X
TLISOJZ,X,X,O,X,X,X,X,X
TLISOZJ,X,X,O,X,X,O,X,X
TLIZJSO,O,X,O,O,X,O,X,X
TLIZJOS,O,X,O,O,X,X,X,X
TLIZSJO,O,X,O,O,X,O,X,X
TLIZSOJ,O,X,O,X,X,O,X,X
TLIZOJS,O,X,O,X,X,X,X,X
TLIZOSJ,O,X,O,X,X,O,X,X
TLIOJSZ,X,X,O,X,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,O,X,X
TLIOZJS,X,X,O,X,X,X,X,X
TLIOZSJ,X,X,O,X,X,O,X,X
TLJISZO,X,X,O,X,X,O,O,X
TLJISOZ,X,X,O,X,X,X,O,X
TLJIZSO,X,X,O,O,X,O,O,X
TLJIZOS,X,X,O,O,X,X,O,X
TLJIOSZ,X,X,O,X,X,X,O,X
TLJIOZS,X,X,O,O,X,X,O,X
TLJSIZO,X,X,O,X,X,O,X,X
TLJSIOZ,X,O,O,X,X,X,X,X
TLJSZIO,O,X,X,X,X,O,X,X
TLJSZOI,X,X,X,X,X,O,X,X
TLJSOIZ,X,O,O,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X
TLJZISO,O,X,X,O,X,O,X,X
TLJZIOS,O,X,X,O,X,X,X,X
TLJZSIO,O,X,X,O,X,O,X,X
TLJZSOI,X,X,X,O,X,O,X,X
TLJZOIS,X,X,X,O,X,X,X,X
TLJZOSI,X,X,X,O,X,X,X,X
TLJOISZ,X,X,O,X,X,X,O,X
TLJOIZS,X,X,O,O,X,X,O,X
TLJOSIZ,X,O,O,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,X,X
TLJOZSI,X,X,X,O,X,X,X,X
TLSIJZO,X,X,O,X,X,O,X,X
TLSIJOZ,X,O,O,X,X,X,X,X
TLSIZJO,O,X,O,X,X,O,X,X
TLSIZOJ,O,X,O,X,X,O,X,X
TLSIOJZ,X,O,O,X,X,X,X,X
TLSIOZJ,X,X,O,X,X,O,X,X
TLSJIZO,X,X,O,X,X,O,X,X
TLSJIOZ,X,O,O,X,X,X,X,X
TLSJZIO,O,X,X,X,X,O,X,X
TLSJZOI,X,X,X,X,X,O,X,X
TLSJOIZ,X,O,O,X,X,X,X,X
TLSJOZI,X,O,X,X,X,X,X,X
TLSZIJO,O,X,O,X,X,O,X,X
TLSZIOJ,O,X,O,X,X,O,X,X
TLSZJIO,O,X,X,X,X,O,X,X
TLSZJOI,X,X,X,X,X,O,X,X
TLSZOIJ,O,X,O,X,X,O,X,X
TLSZOJI,O,X,X,X,X,O,X,X
TLSOIJZ,X,O,O,X,X,O,X,X
TLSOIZJ,O,X,O,X,X,O,X,X
TLSOJIZ,X,O,O,X,X,O,X,X
TLSOJZI,O,O,X,X,X,O,X,X
TLSOZIJ,O,X,O,X,X,O,X,X
TLSOZJI,O,X,X,X,X,O,X,X
TLZIJSO,O,X,O,O,X,O,X,X
TLZIJOS,O,X,O,O,X,X,X,X
TLZISJO,O,X,O,O,X,O,X,X
TLZISOJ,O,X,O,X,X,O,X,X
TLZIOJS,O,X,O,X,X,X,X,X
TLZIOSJ,O,X,O,X,X,O,X,X
TLZJISO,O,X,X,O,X,O,X,X
TLZJIOS,O,X,X,O,X,X,X,X
TLZJSIO,O,O,X,O,X,O,X,X
TLZJSOI,X,O,X,O,X,O,X,X
TLZJOIS,X,X,X,O,X,X,X,X
TLZJOSI,X,O,X,O,X,X,X,X
TLZSIJO,O,O,O,O,X,O,X,X
TLZSIOJ,O,O,O,X,X,O,X,X
TLZSJIO,O,O,X,O,X,O,X,X
TLZSJOI,X,O,X,O,X,O,X,X
TLZSOIJ,O,O,O,X,X,O,X,X
TLZSOJI,O,O,X,X,X,O,X,X
TLZOIJS,O,X,O,X,X,X,X,X
TLZOISJ,O,X,O,X,X,O,X,X
TLZOJIS,O,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,X,O,X,X
TLZOSJI,O,O,X,X,X,O,X,X
TLOIJSZ,X,X,O,X,X,O,X,X
TLOIJZS,X,X,O,X,X,O,X,X
TLOISJZ,X,X,O,X,X,O,X,X
TLOISZJ,O,X,O,X,X,O,X,X
TLOIZJS,O,X,O,X,X,O,X,X
TLOIZSJ,O,X,O,X,X,O,X,X
TLOJISZ,X,X,O,X,X,O,X,X
TLOJIZS,X,X,O,X,X,O,X,X
TLOJSIZ,X,O,O,X,X,O,X,X
TLOJSZI,O,O,X,X,X,O,X,X
TLOJZIS,O,X,X,X,X,O,X,X
TLOJZSI,O,X,X,X,X,O,X,X
TLOSIJZ,X,O,O,X,X,O,X,X
TLOSIZJ,O,X,O,X,X,O,X,X
TLOSJIZ,X,O,O,X,X,O,X,X
TLOSJZI,O,O,X,X,X,O,X,X
TLOSZIJ,O,X,O,X,X,O,X,X
TLOSZJI,O,X,X,X,X,O,X,X
TLOZIJS,O,X,O,X,X,O,X,X
TLOZISJ,O,X,O,X,X,O,X,X
TLOZJIS,O,X,X,X,X,O,X,X
TLOZJSI,O,O,X,X,X,O,X,X
TLOZSIJ,O,O,O,X,X,O,X,X
TLOZSJI,O,O,X,X,X,O,X,X
TJILSZO,X,X,O,X,X,X,O,X
TJILSOZ,X,X,O,X,X,X,O,X
TJILZSO,X,X,O,O,X,X,O,X
TJILZOS,X,X,O,O,X,X,O,X
TJILOSZ,X,X,O,X,X,X,O,X
TJILOZS,X,X,O,O,X,X,O,X
TJISLZO,X,X,X,X,X,X,O,X
TJISLOZ,X,O,X,X,X,X,O,X
TJISZLO,X,X,X,O,X,X,O,X
TJISZOL,X,O,X,O,X,X,O,X
TJISOLZ,X,O,X,X,X,X,O,O
TJISOZL,X,O,X,O,X,X,O,O
TJIZLSO,X,X,O,O,X,X,O,X
TJIZLOS,X,X,O,O,X,X,O,X
TJIZSLO,X,X,X,O,X,X,O,X
TJIZSOL,X,X,X,O,X,X,O,X
TJIZOLS,X,X,O,O,X,X,O,X
TJIZOSL,X,X,X,O,X,X,O,X
TJIOLSZ,X,X,O,X,X,X,O,X
TJIOLZS,X,X,O,O,X,X,O,X
TJIOSLZ,X,O,X,X,X,X,O,O
TJIOSZL,X,O,X,O,X,X,O,O
TJIOZLS,X,X,O,O,X,X,O,X
TJIOZSL,X,X,X,O,X,X,O,X
TJLISZO,X,X,O,X,X,O,O,X
TJLISOZ,X,X,O,X,X,X,O,X
TJLIZSO,X,X,O,O,X,O,O,X
TJLIZOS,X,X,O,O,X,X,O,X
TJLIOSZ,X,X,O,X,X,X,O,X
TJLIOZS,X,X,O,O,X,X,O,X
TJLSIZO,X,X,O,X,X,O,X,X
TJLSIOZ,X,O,O,X,X,X,X,X
TJLSZIO,O,X,X,X,X,O,X,X
TJLSZOI,X,X,X,X,X,O,X,X
TJLSOIZ,X,O,O,X,X,X,X,X
TJLSOZI,X,O,X,X,X,X,X,X
TJLZISO,O,X,X,O,X,O,X,X
TJLZIOS,O,X,X,O,X,X,X,X
TJLZSIO,O,X,X,O,X,O,X,X
TJLZSOI,X,X,X,O,X,O,X,X
TJLZOIS,X,X,X,O,X,X,X,X
TJLZOSI,X,X,X,O,X,X,X,X
TJLOISZ,X,X,O,X,X,X,O,X
TJLOIZS,X,X,O,O,X,X,O,X
TJLOSIZ,X,O,O,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,X
TJLOZIS,X,X,X,O,X,X,X,X
TJLOZSI,X,X,X,O,X,X,X,X
TJSILZO,X,X,X,X,X,X,O,X
TJSILOZ,X,O,X,X,X,X,O,X
TJSIZLO,X,X,X,O,X,X,O,X
TJSIZOL,X,O,X,O,X,X,O,X
TJSIOLZ,X,O,X,X,X,X,O,O
TJSIOZL,X,O,X,O,X,X,O,O
TJSLIZO,X,X,X,X,X,O,X,X
TJSLIOZ,X,O,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,O,X,X
TJSLZOI,X,X,X,X,X,O,X,X
TJSLOIZ,X,O,X,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X
TJSZILO,O,X,X,O,X,X,X,X
TJSZIOL,O,O,X,O,X,X,X,O
TJSZLIO,O,X,X,O,X,O,X,X
TJSZLOI,X,X,X,O,X,O,X,X
TJSZOIL,O,O,X,O,X,X,X,O
TJSZOLI,O,O,X,O,X,X,X,X
TJSOILZ,X,O,X,X,X,X,O,O
TJSOIZL,X,O,X,O,X,X,O,O
TJSOLIZ,X,O,X,X,X,O,X,X
TJSOLZI,O,O,X,X,X,O,X,X
TJSOZIL,O,O,X,O,X,X,X,O
TJSOZLI,O,O,X,O,X,X,X,X
TJZILSO,O,X,X,O,X,X,X,X
TJZILOS,O,X,X,O,X,X,X,X
TJZISLO,X,O,X,O,X,X,O,X
TJZISOL,X,O,X,O,X,X,O,O
TJZIOLS,O,X,X,O,X,X,X,X
TJZIOSL,X,O,X,O,X,X,O,O
TJZLISO,O,X,X,O,X,O,X,X
TJZLIOS,O,X,X,O,X,X,X,X
TJZLSIO,O,O,X,O,X,O,X,X
TJZLSOI,X,O,X,O,X,O,X,X
TJZLOIS,X,X,X,O,X,X,X,X
TJZLOSI,X,O,X,O,X,X,X,X
TJZSILO,O,O,X,O,X,X,X,X
TJZSIOL,O,O,X,O,X,X,X,O
TJZSLIO,O,O,X,O,X,O,X,X
TJZSLOI,X,O,X,O,X,O,X,X
TJZSOIL,O,O,X,O,X,X,X,O
TJZSOLI,O,O,X,O,X,X,X,X
TJZOILS,O,X,X,O,X,X,X,X
TJZOISL,X,O,X,O,X,X,O,O
TJZOLIS,O,X,X,O,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X
TJZOSIL,O,O,X,O,X,X,X,O
TJZOSLI,O,O,X,O,X,X,X,X
TJOILSZ,X,X,O,X,X,X,O,X
TJOILZS,X,X,O,O,X,X,O,X
TJOISLZ,X,O,X,X,X,X,O,O
TJOISZL,X,O,X,O,X,X,O,O
TJOIZLS,X,X,O,O,X,X,O,X
TJOIZSL,X,X,X,O,X,X,O,X
TJOLISZ,X,X,O,X,X,O,O,X
TJOLIZS,X,X,O,O,X,O,O,X
TJOLSIZ,X,O,O,X,X,O,X,X
