sequence,v115@GhA8IeA8AeA8GeE8BeD8JeOEJvhFXgBlhBaoBTnBxq?BUrB,v115@GhA8IeA8AeA8GeE8BeD8Jex/IvhF0hBmiBikB3lB1s?BTrB,v115@GhA8IeA8AeA8GeE8BeD8JeOEJvhFlgBRiBUlBimBzn?B3rB,v115@GhA8IeA8AeA8GeE8BeD8JeOEJvhFlgBziBUlBimBRs?B3rB
TILJSZO,O,O,X,X
TILJSOZ,O,O,X,X
TILJZSO,O,O,X,O
TILJZOS,X,O,X,O
TILJOSZ,O,O,X,X
TILJOZS,O,O,X,O
TILSJZO,O,O,X,X
TILSJOZ,O,O,X,X
TILSZJO,O,O,X,X
TILSZOJ,X,O,X,X
TILSOJZ,O,O,X,X
TILSOZJ,O,O,X,X
TILZJSO,O,O,X,O
TILZJOS,X,O,X,O
TILZSJO,O,O,X,O
TILZSOJ,X,O,X,O
TILZOJS,X,O,X,O
TILZOSJ,X,O,X,O
TILOJSZ,O,O,X,X
TILOJZS,O,O,X,O
TILOSJZ,O,O,X,X
TILOSZJ,O,O,X,X
TILOZJS,O,O,X,O
TILOZSJ,O,O,X,O
TIJLSZO,O,O,X,X
TIJLSOZ,O,O,X,X
TIJLZSO,O,O,X,O
TIJLZOS,X,O,X,O
TIJLOSZ,O,O,X,X
TIJLOZS,O,O,X,O
TIJSLZO,O,O,X,X
TIJSLOZ,O,O,X,X
TIJSZLO,O,O,X,X
TIJSZOL,O,O,X,X
TIJSOLZ,O,X,X,X
TIJSOZL,O,O,X,X
TIJZLSO,O,O,X,O
TIJZLOS,X,O,X,O
TIJZSLO,O,O,X,O
TIJZSOL,O,O,X,O
TIJZOLS,O,X,X,O
TIJZOSL,O,X,X,O
TIJOLSZ,O,O,X,X
TIJOLZS,O,O,X,O
TIJOSLZ,O,O,X,X
TIJOSZL,O,O,X,X
TIJOZLS,O,O,X,O
TIJOZSL,O,O,X,O
TISLJZO,O,O,X,X
TISLJOZ,O,O,X,X
TISLZJO,O,O,X,X
TISLZOJ,X,O,X,X
TISLOJZ,O,O,X,X
TISLOZJ,O,O,X,X
TISJLZO,O,O,X,X
TISJLOZ,O,O,X,X
TISJZLO,O,O,X,X
TISJZOL,O,O,X,X
TISJOLZ,O,X,X,X
TISJOZL,O,O,X,X
TISZLJO,O,O,X,X
TISZLOJ,X,O,X,X
TISZJLO,O,O,X,X
TISZJOL,O,O,X,X
