sequence,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBumB3iB5oB8s?BywB,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBUiB5oB+rBys?B3sB
TLOJSIZ,X,X
TLOJSZI,X,X
TLOJZIS,O,O
TLOJZSI,O,X
TLOSIJZ,X,X
TLOSIZJ,X,X
TLOSJIZ,X,X
TLOSJZI,X,X
TLOSZIJ,X,X
TLOSZJI,X,X
TLOZIJS,O,X
TLOZISJ,O,X
TLOZJIS,O,X
TLOZJSI,O,X
TLOZSIJ,O,X
TLOZSJI,O,X
TJILSZO,X,X
TJILSOZ,X,X
TJILZSO,X,X
TJILZOS,X,O
TJILOSZ,X,X
TJILOZS,X,O
TJISLZO,X,X
TJISLOZ,X,X
TJISZLO,X,X
TJISZOL,X,X
TJISOLZ,X,X
TJISOZL,X,X
TJIZLSO,X,X
TJIZLOS,X,O
TJIZSLO,X,X
TJIZSOL,X,X
TJIZOLS,X,O
TJIZOSL,X,X
TJIOLSZ,X,X
TJIOLZS,X,O
TJIOSLZ,X,X
TJIOSZL,X,X
TJIOZLS,X,O
TJIOZSL,X,X
TJLISZO,X,X
TJLISOZ,X,X
TJLIZSO,X,X
TJLIZOS,X,O
TJLIOSZ,X,X
TJLIOZS,X,O
TJLSIZO,X,X
TJLSIOZ,X,X
TJLSZIO,X,X
TJLSZOI,X,X
TJLSOIZ,X,X
TJLSOZI,X,X
TJLZISO,X,X
TJLZIOS,X,O
TJLZSIO,X,X
TJLZSOI,X,X
TJLZOIS,X,O
TJLZOSI,X,X
TJLOISZ,X,X
TJLOIZS,X,O
TJLOSIZ,X,X
TJLOSZI,X,X
TJLOZIS,X,O
TJLOZSI,X,X
TJSILZO,X,X
TJSILOZ,X,X
TJSIZLO,X,X
TJSIZOL,X,X
TJSIOLZ,X,X
TJSIOZL,X,X
TJSLIZO,X,X
TJSLIOZ,X,X
TJSLZIO,X,X
TJSLZOI,X,X
TJSLOIZ,X,X
TJSLOZI,X,X
TJSZILO,X,X
TJSZIOL,X,X
TJSZLIO,X,X
TJSZLOI,X,X
TJSZOIL,X,X
TJSZOLI,X,X
TJSOILZ,X,X
TJSOIZL,X,X
TJSOLIZ,X,X
TJSOLZI,X,X
TJSOZIL,X,X
TJSOZLI,X,X
TJZILSO,X,X
TJZILOS,X,O
TJZISLO,X,X
TJZISOL,X,X
TJZIOLS,X,O
TJZIOSL,X,X
TJZLISO,X,X
TJZLIOS,X,O
TJZLSIO,X,X
TJZLSOI,X,X
TJZLOIS,X,O
TJZLOSI,X,X
TJZSILO,X,X
TJZSIOL,X,X
TJZSLIO,X,X
TJZSLOI,X,X
TJZSOIL,X,X
