sequence,v115@GhA8IeC8EeA8AeD8DeC8JeT/IvhF0gBlhBaoB2qBXn?BRwB,v115@GhA8IeC8EeA8AeD8DeC8JeT/IvhF2lBUiBaoB1rB3l?BRwB,v115@GhA8IeC8EeA8AeD8DeC8JeT/IvhF2lBRhBaoB1rB0q?BXsB,v115@GhA8IeC8EeA8AeD8DeC8Jex/IvhF8lBaoBmkBFnBXr?BzrB,v115@GhA8IeC8EeA8AeD8DeC8JeT/IvhFRiBilBfsBmnBUr?BlqB,v115@GhA8IeC8EeA8AeD8DeC8Jei/IvhFzgBRiBUlBfsBmn?BVwB
IOTZJSL,X,O,X,X,X,X
IOTZSLJ,X,O,X,X,X,X
IOTZSJL,X,O,X,X,X,X
IOLTJSZ,O,O,X,X,X,X
IOLTJZS,O,O,X,X,X,X
IOLTSJZ,O,O,X,X,X,X
IOLTSZJ,O,O,X,X,X,X
IOLTZJS,X,O,X,X,X,X
IOLTZSJ,X,O,X,X,X,X
IOLJTSZ,O,O,X,X,X,X
IOLJTZS,O,O,X,X,X,X
IOLJSTZ,O,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X
IOLJZTS,O,O,X,X,X,X
IOLJZST,O,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,X
IOLSTZJ,O,O,X,X,X,X
IOLSJTZ,O,X,X,X,O,X
IOLSJZT,O,X,X,X,O,X
IOLSZTJ,O,O,X,X,X,X
IOLSZJT,O,X,X,X,X,X
IOLZTJS,X,O,O,X,X,X
IOLZTSJ,X,O,O,X,X,X
IOLZJTS,O,O,O,X,X,X
IOLZJST,O,X,O,X,X,X
IOLZSTJ,O,O,X,X,X,X
IOLZSJT,O,X,X,X,O,X
IOJTLSZ,O,O,X,X,X,X
IOJTLZS,O,O,X,X,X,X
IOJTSLZ,O,O,X,X,O,X
IOJTSZL,O,O,X,X,O,X
IOJTZLS,O,O,X,X,X,X
IOJTZSL,O,O,X,X,X,X
IOJLTSZ,O,O,X,X,X,X
IOJLTZS,O,O,X,X,X,X
IOJLSTZ,O,X,X,X,O,X
IOJLSZT,O,X,X,X,O,X
IOJLZTS,O,O,X,X,X,X
IOJLZST,O,X,X,X,X,X
IOJSTLZ,O,X,X,X,O,X
IOJSTZL,O,X,X,X,O,X
IOJSLTZ,O,X,X,X,O,X
IOJSLZT,O,X,X,X,O,X
IOJSZTL,O,X,X,X,O,X
IOJSZLT,O,X,X,X,O,X
IOJZTLS,O,O,X,X,X,X
IOJZTSL,O,O,X,X,X,X
IOJZLTS,O,O,X,X,X,X
IOJZLST,O,X,X,X,X,X
IOJZSTL,O,X,X,X,O,X
IOJZSLT,O,X,X,X,O,X
IOSTLJZ,O,O,X,X,X,X
IOSTLZJ,O,O,X,X,X,X
IOSTJLZ,O,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X
IOSTZLJ,O,O,X,X,X,X
IOSTZJL,O,O,X,X,X,X
IOSLTJZ,O,O,X,X,X,X
IOSLTZJ,O,O,X,X,X,X
IOSLJTZ,O,X,X,X,O,X
IOSLJZT,O,X,X,X,O,X
IOSLZTJ,O,O,X,X,X,X
IOSLZJT,O,X,X,X,X,X
IOSJTLZ,O,X,X,X,O,X
IOSJTZL,O,X,X,X,O,X
IOSJLTZ,O,X,X,X,O,X
IOSJLZT,O,X,X,X,O,X
IOSJZTL,O,X,X,X,O,X
IOSJZLT,O,X,X,X,O,X
IOSZTLJ,O,O,X,X,X,X
IOSZTJL,O,O,X,X,X,X
IOSZLTJ,O,O,X,X,X,X
IOSZLJT,O,X,X,X,O,X
IOSZJTL,O,X,X,X,O,X
IOSZJLT,O,X,X,X,O,X
IOZTLJS,X,O,O,X,X,X
IOZTLSJ,X,O,O,X,X,X
IOZTJLS,X,O,O,X,X,X
IOZTJSL,X,O,O,X,X,X
IOZTSLJ,X,O,O,X,X,X
IOZTSJL,X,O,O,X,X,X
IOZLTJS,X,O,O,X,X,X
IOZLTSJ,X,O,O,X,X,X
IOZLJTS,O,O,O,X,X,X
IOZLJST,O,X,O,X,X,X
IOZLSTJ,O,O,X,X,X,X
IOZLSJT,O,X,X,X,O,X
IOZJTLS,O,O,O,X,X,X
IOZJTSL,O,O,O,X,X,X
IOZJLTS,O,O,O,X,X,X
IOZJLST,O,X,O,X,X,X
IOZJSTL,O,X,O,X,X,X
IOZJSLT,O,X,O,X,X,X
IOZSTLJ,O,O,X,X,X,X
IOZSTJL,O,O,X,X,X,X
IOZSLTJ,O,O,X,X,X,X
IOZSLJT,O,X,X,X,O,X
IOZSJTL,O,X,X,X,O,X
IOZSJLT,O,X,X,X,O,X
LTIJSZO,O,O,X,O,X,X
LTIJSOZ,O,O,X,X,X,X
LTIJZSO,O,O,X,X,X,X
LTIJZOS,O,O,X,X,X,X
LTIJOSZ,O,O,X,X,X,X
LTIJOZS,O,O,X,X,X,X
LTISJZO,O,O,X,O,X,O
LTISJOZ,O,O,X,X,X,O
LTISZJO,O,O,X,O,X,O
LTISZOJ,O,O,X,X,X,O
LTISOJZ,O,O,X,X,X,O
LTISOZJ,O,O,X,X,X,O
LTIZJSO,X,O,X,X,X,X
LTIZJOS,X,O,X,X,X,X
LTIZSJO,X,O,X,X,X,O
LTIZSOJ,X,O,X,X,X,O
LTIZOJS,X,O,X,X,X,X
LTIZOSJ,X,O,X,X,X,O
LTIOJSZ,O,O,X,X,X,X
LTIOJZS,O,O,X,X,X,X
LTIOSJZ,O,O,X,X,X,O
LTIOSZJ,O,O,X,X,X,O
LTIOZJS,X,O,X,X,X,X
LTIOZSJ,X,O,X,X,X,X
LTJISZO,O,X,X,O,X,X
LTJISOZ,O,X,X,X,X,X
LTJIZSO,O,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X
LTJIOSZ,O,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X
LTJSIZO,O,X,X,O,X,O
LTJSIOZ,O,X,X,X,X,O
LTJSZIO,O,X,X,O,X,O
LTJSZOI,O,X,X,O,X,O
LTJSOIZ,O,X,X,X,X,O
LTJSOZI,O,X,X,O,X,O
LTJZISO,O,X,X,X,X,X
LTJZIOS,O,X,X,X,X,X
LTJZSIO,O,X,X,O,X,O
LTJZSOI,O,X,X,O,X,O
LTJZOIS,O,X,X,X,X,X
LTJZOSI,O,X,X,X,X,O
LTJOISZ,O,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X
LTJOSIZ,O,X,X,X,X,O
LTJOSZI,O,X,X,O,X,O
LTJOZIS,O,X,X,X,X,X
LTJOZSI,O,X,X,X,X,X
LTSIJZO,O,X,X,O,X,O
LTSIJOZ,O,X,X,X,X,O
LTSIZJO,X,X,X,O,X,O
LTSIZOJ,X,X,X,X,X,O
LTSIOJZ,O,X,X,X,X,O
LTSIOZJ,O,X,X,X,X,O
LTSJIZO,O,X,X,O,X,O
LTSJIOZ,O,X,X,X,O,O
LTSJZIO,O,X,X,O,X,O
LTSJZOI,O,X,X,O,X,O
LTSJOIZ,O,X,X,X,O,O
LTSJOZI,O,X,X,O,O,O
LTSZIJO,X,X,X,O,X,O
LTSZIOJ,X,X,X,X,X,O
LTSZJIO,O,X,X,O,X,O
LTSZJOI,O,X,X,O,X,O
LTSZOIJ,O,X,X,X,X,O
LTSZOJI,O,X,X,O,X,O
LTSOIJZ,O,X,X,X,X,O
LTSOIZJ,O,X,X,X,X,O
LTSOJIZ,O,X,X,X,O,O
LTSOJZI,O,X,X,O,O,O
LTSOZIJ,O,X,X,X,X,O
LTSOZJI,O,X,X,O,X,O
LTZIJSO,X,O,O,X,X,X
LTZIJOS,X,O,O,X,X,X
LTZISJO,X,O,O,X,X,O
LTZISOJ,X,O,O,X,X,O
LTZIOJS,X,O,O,X,X,X
LTZIOSJ,X,O,O,X,X,O
LTZJISO,X,X,O,X,X,X
LTZJIOS,X,X,O,X,X,X
LTZJSIO,X,X,O,O,X,O
LTZJSOI,X,X,O,O,X,O
LTZJOIS,X,X,O,X,X,X
LTZJOSI,X,X,O,X,X,O
LTZSIJO,X,X,O,O,X,O
LTZSIOJ,X,X,O,X,X,O
LTZSJIO,X,X,O,O,O,O
LTZSJOI,X,X,O,O,O,O
LTZSOIJ,X,X,O,X,X,O
LTZSOJI,X,X,O,O,O,O
LTZOIJS,X,O,O,X,X,X
LTZOISJ,X,O,O,X,X,O
LTZOJIS,X,X,O,X,X,X
LTZOJSI,X,X,O,X,X,O
LTZOSIJ,X,X,O,X,X,O
LTZOSJI,X,X,O,X,O,O
LTOIJSZ,O,O,X,X,X,X
LTOIJZS,O,O,X,X,X,X
LTOISJZ,O,O,X,X,X,O
LTOISZJ,O,O,X,X,X,O
LTOIZJS,X,O,X,X,X,X
LTOIZSJ,X,O,X,X,X,X
LTOJISZ,O,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,O
LTOJSZI,O,X,X,O,X,O
LTOJZIS,O,X,X,X,X,X
LTOJZSI,O,X,X,X,X,X
LTOSIJZ,O,X,X,X,X,O
LTOSIZJ,O,X,X,X,X,O
LTOSJIZ,O,X,X,X,O,O
LTOSJZI,O,X,X,O,O,O
LTOSZIJ,O,X,X,X,X,O
LTOSZJI,O,X,X,O,X,O
LTOZIJS,X,O,O,X,X,X
LTOZISJ,X,O,O,X,X,O
LTOZJIS,X,X,O,X,X,X
LTOZJSI,X,X,O,X,X,O
LTOZSIJ,X,X,O,X,X,O
LTOZSJI,X,X,O,X,O,O
LITJSZO,O,O,X,O,X,X
LITJSOZ,O,O,X,X,X,X
LITJZSO,O,O,X,X,X,X
LITJZOS,O,O,X,X,X,X
LITJOSZ,O,O,X,X,X,X
LITJOZS,O,O,X,X,X,X
LITSJZO,O,O,X,O,X,O
LITSJOZ,O,O,X,X,X,O
LITSZJO,O,O,X,O,X,O
LITSZOJ,O,O,X,X,X,O
LITSOJZ,O,O,X,X,X,O
LITSOZJ,O,O,X,X,X,O
LITZJSO,X,O,X,X,X,X
LITZJOS,X,O,X,X,X,X
LITZSJO,X,O,X,X,X,O
LITZSOJ,X,O,X,X,X,O
LITZOJS,X,O,X,X,X,X
LITZOSJ,X,O,X,X,X,O
LITOJSZ,O,O,X,X,X,X
LITOJZS,O,O,X,X,X,X
LITOSJZ,O,O,X,X,X,O
LITOSZJ,O,O,X,X,X,O
LITOZJS,X,O,X,X,X,X
LITOZSJ,X,O,X,X,X,X
LIJTSZO,O,O,X,O,X,X
LIJTSOZ,O,O,X,X,X,X
LIJTZSO,O,O,X,X,X,X
LIJTZOS,O,O,X,X,X,X
LIJTOSZ,O,O,X,X,X,X
LIJTOZS,O,O,X,X,X,X
LIJSTZO,O,X,X,O,X,X
LIJSTOZ,O,X,X,X,X,X
LIJSZTO,O,X,X,O,X,X
LIJSZOT,O,X,X,O,X,X
LIJSOTZ,O,X,X,X,X,X
LIJSOZT,O,X,X,X,X,X
LIJZTSO,O,O,X,X,X,X
LIJZTOS,O,O,X,X,X,X
LIJZSTO,O,X,X,X,X,X
LIJZSOT,O,X,X,X,X,X
LIJZOTS,O,O,X,X,X,X
LIJZOST,O,X,X,X,X,X
LIJOTSZ,O,O,X,X,X,X
LIJOTZS,O,O,X,X,X,X
LIJOSTZ,O,X,X,X,X,X
LIJOSZT,O,X,X,X,X,X
LIJOZTS,O,O,X,X,X,X
LIJOZST,O,X,X,X,X,X
LISTJZO,O,O,X,O,X,X
LISTJOZ,O,O,X,X,X,X
LISTZJO,O,O,X,O,X,X
LISTZOJ,O,O,X,X,X,X
LISTOJZ,O,O,X,X,X,X
LISTOZJ,O,O,X,X,X,X
LISJTZO,O,X,X,O,X,X
LISJTOZ,O,X,X,X,O,X
LISJZTO,O,X,X,O,X,X
LISJZOT,O,X,X,O,O,X
LISJOTZ,O,X,X,X,O,X
LISJOZT,O,X,X,X,O,X
LISZTJO,O,O,X,O,X,X
LISZTOJ,O,O,X,X,X,X
LISZJTO,O,X,X,O,X,X
LISZJOT,O,X,X,O,X,X
LISZOTJ,O,O,X,X,X,X
LISZOJT,O,X,X,X,X,X
LISOTJZ,O,O,X,X,X,X
LISOTZJ,O,O,X,X,X,X
LISOJTZ,O,X,X,X,O,X
LISOJZT,O,X,X,X,O,X
LISOZTJ,O,O,X,X,X,X
LISOZJT,O,X,X,X,X,X
LIZTJSO,X,O,O,X,X,X
LIZTJOS,X,O,O,X,X,X
LIZTSJO,X,O,O,X,X,O
LIZTSOJ,X,O,O,X,X,O
LIZTOJS,X,O,O,X,X,X
LIZTOSJ,X,O,O,X,X,O
LIZJTSO,O,O,O,X,X,X
LIZJTOS,O,O,O,X,X,X
LIZJSTO,O,X,X,X,X,X
LIZJSOT,O,X,O,X,X,X
LIZJOTS,O,O,O,X,X,X
LIZJOST,O,X,O,X,X,X
LIZSTJO,O,O,X,X,X,X
LIZSTOJ,O,O,X,X,X,X
LIZSJTO,O,X,X,X,O,X
LIZSJOT,O,X,X,X,O,X
LIZSOTJ,O,O,X,X,X,X
LIZSOJT,O,X,X,X,O,X
LIZOTJS,X,O,O,X,X,X
LIZOTSJ,X,O,O,X,X,O
LIZOJTS,O,O,O,X,X,X
LIZOJST,O,X,O,X,X,X
LIZOSTJ,O,O,X,X,X,X
LIZOSJT,O,X,X,X,O,X
LIOTJSZ,O,O,X,X,X,X
LIOTJZS,O,O,X,X,X,X
LIOTSJZ,O,O,X,X,X,X
LIOTSZJ,O,O,X,X,X,X
LIOTZJS,X,O,X,X,X,X
LIOTZSJ,X,O,X,X,X,X
LIOJTSZ,O,O,X,X,X,X
LIOJTZS,O,O,X,X,X,X
LIOJSTZ,O,X,X,X,X,X
LIOJSZT,O,X,X,X,X,X
LIOJZTS,O,O,X,X,X,X
LIOJZST,O,X,X,X,X,X
LIOSTJZ,O,O,X,X,X,X
LIOSTZJ,O,O,X,X,X,X
LIOSJTZ,O,X,X,X,O,X
LIOSJZT,O,X,X,X,O,X
LIOSZTJ,O,O,X,X,X,X
LIOSZJT,O,X,X,X,X,X
LIOZTJS,X,O,O,X,X,X
LIOZTSJ,X,O,O,X,X,X
LIOZJTS,O,O,O,X,X,X
LIOZJST,O,X,O,X,X,X
LIOZSTJ,O,O,X,X,X,X
LIOZSJT,O,X,X,X,O,X
LJTISZO,O,X,X,O,X,X
LJTISOZ,O,X,X,X,X,X
LJTIZSO,O,X,X,X,X,X
LJTIZOS,O,X,X,X,X,X
LJTIOSZ,O,X,X,X,X,X
LJTIOZS,O,X,X,X,X,X
LJTSIZO,O,X,X,O,X,O
LJTSIOZ,O,X,X,X,X,O
LJTSZIO,O,X,X,O,X,O
LJTSZOI,O,X,X,O,X,O
LJTSOIZ,O,X,X,X,X,O
LJTSOZI,O,X,X,O,X,O
LJTZISO,O,X,X,X,X,X
LJTZIOS,O,X,X,X,X,X
LJTZSIO,O,X,X,O,X,O
LJTZSOI,O,X,X,O,X,O
LJTZOIS,O,X,X,X,X,X
LJTZOSI,O,X,X,X,X,O
LJTOISZ,O,X,X,X,X,X
LJTOIZS,O,X,X,X,X,X
LJTOSIZ,O,X,X,X,X,O
LJTOSZI,O,X,X,O,X,O
LJTOZIS,O,X,X,X,X,X
LJTOZSI,O,X,X,X,X,X
LJITSZO,O,O,X,O,X,X
LJITSOZ,O,O,X,X,X,X
LJITZSO,O,O,X,X,X,X
LJITZOS,O,O,X,X,X,X
LJITOSZ,O,O,X,X,X,X
LJITOZS,O,O,X,X,X,X
LJISTZO,O,X,X,O,X,X
LJISTOZ,O,X,X,X,O,X
LJISZTO,O,X,X,O,O,X
LJISZOT,O,X,X,O,O,X
LJISOTZ,O,X,X,X,O,X
LJISOZT,O,X,X,X,O,X
LJIZTSO,O,O,X,X,X,X
LJIZTOS,O,O,X,X,X,X
LJIZSTO,O,X,X,X,X,X
LJIZSOT,O,X,X,X,X,X
LJIZOTS,O,O,X,X,X,X
LJIZOST,O,X,X,X,X,X
LJIOTSZ,O,O,X,X,X,X
LJIOTZS,O,O,X,X,X,X
LJIOSTZ,O,X,X,X,O,X
LJIOSZT,O,X,X,X,O,X
LJIOZTS,O,O,X,X,X,X
LJIOZST,O,X,X,X,X,X
LJSTIZO,O,X,X,O,X,X
LJSTIOZ,O,X,X,X,O,X
LJSTZIO,O,X,X,O,X,X
LJSTZOI,O,X,X,O,X,X
LJSTOIZ,O,X,X,X,O,X
LJSTOZI,O,X,X,O,O,X
LJSITZO,O,X,X,O,X,X
LJSITOZ,O,X,X,X,O,X
LJSIZTO,O,X,X,O,O,X
LJSIZOT,O,X,X,O,O,X
LJSIOTZ,O,X,X,X,O,X
LJSIOZT,O,X,X,X,O,X
LJSZTIO,O,X,X,O,O,X
LJSZTOI,O,X,X,O,O,X
LJSZITO,O,X,X,O,O,X
LJSZIOT,O,X,X,O,O,X
LJSZOTI,O,X,X,O,O,X
LJSZOIT,O,X,X,O,O,X
LJSOTIZ,O,X,X,X,O,X
LJSOTZI,O,X,X,O,O,X
LJSOITZ,O,X,X,X,O,X
LJSOIZT,O,X,X,X,O,X
LJSOZTI,O,X,X,O,O,X
LJSOZIT,O,X,X,O,O,X
LJZTISO,O,X,O,X,X,X
LJZTIOS,O,X,O,X,X,X
LJZTSIO,O,X,O,O,X,O
LJZTSOI,O,X,O,O,X,O
LJZTOIS,O,X,O,X,X,X
LJZTOSI,O,X,O,X,X,O
LJZITSO,O,O,O,X,X,X
LJZITOS,O,O,O,X,X,X
LJZISTO,O,X,X,X,X,X
LJZISOT,O,X,O,X,X,X
LJZIOTS,O,O,O,X,X,X
LJZIOST,O,X,O,X,X,X
LJZSTIO,O,X,O,O,O,X
LJZSTOI,O,X,O,O,O,X
LJZSITO,O,X,X,O,O,X
LJZSIOT,O,X,O,O,O,X
LJZSOTI,O,X,O,O,O,X
LJZSOIT,O,X,O,O,O,X
LJZOTIS,O,X,O,X,X,X
LJZOTSI,O,X,O,X,X,O
LJZOITS,O,O,O,X,X,X
LJZOIST,O,X,O,X,X,X
LJZOSTI,O,X,O,X,O,X
LJZOSIT,O,X,O,X,O,X
LJOTISZ,O,X,X,X,X,X
LJOTIZS,O,X,X,X,X,X
LJOTSIZ,O,X,X,X,X,X
LJOTSZI,O,X,X,O,X,X
LJOTZIS,O,X,X,X,X,X
LJOTZSI,O,X,X,X,X,X
LJOITSZ,O,O,X,X,X,X
LJOITZS,O,O,X,X,X,X
LJOISTZ,O,X,X,X,O,X
LJOISZT,O,X,X,X,O,X
LJOIZTS,O,O,X,X,X,X
LJOIZST,O,X,X,X,X,X
LJOSTIZ,O,X,X,X,O,X
LJOSTZI,O,X,X,O,O,X
LJOSITZ,O,X,X,X,O,X
LJOSIZT,O,X,X,X,O,X
LJOSZTI,O,X,X,O,O,X
LJOSZIT,O,X,X,O,O,X
LJOZTIS,O,X,O,X,X,X
LJOZTSI,O,X,O,X,X,X
LJOZITS,O,O,O,X,X,X
LJOZIST,O,X,O,X,X,X
LJOZSTI,O,X,O,X,O,X
LJOZSIT,O,X,O,X,O,X
LSTIJZO,O,X,X,O,X,O
LSTIJOZ,O,X,X,X,X,O
LSTIZJO,X,X,X,O,X,O
LSTIZOJ,X,X,X,X,X,O
LSTIOJZ,O,X,X,X,X,O
LSTIOZJ,O,X,X,X,X,O
LSTJIZO,O,X,X,O,X,O
LSTJIOZ,O,X,X,X,O,O
LSTJZIO,O,X,X,O,X,O
LSTJZOI,O,X,X,O,X,O
LSTJOIZ,O,X,X,X,O,O
LSTJOZI,O,X,X,O,O,O
LSTZIJO,X,X,X,O,X,O
LSTZIOJ,X,X,X,X,X,O
LSTZJIO,O,X,X,O,X,O
LSTZJOI,O,X,X,O,X,O
LSTZOIJ,O,X,X,X,X,O
LSTZOJI,O,X,X,O,X,O
LSTOIJZ,O,X,X,X,X,O
LSTOIZJ,O,X,X,X,X,O
LSTOJIZ,O,X,X,X,O,O
LSTOJZI,O,X,X,O,O,O
LSTOZIJ,O,X,X,X,X,O
LSTOZJI,O,X,X,O,X,O
LSITJZO,O,O,X,O,X,X
LSITJOZ,O,O,X,X,X,X
LSITZJO,O,O,X,O,X,X
LSITZOJ,O,O,X,X,X,X
LSITOJZ,O,O,X,X,X,X
LSITOZJ,O,O,X,X,X,X
LSIJTZO,O,X,X,O,X,X
LSIJTOZ,O,X,X,X,O,X
LSIJZTO,O,X,X,O,X,X
LSIJZOT,O,X,X,O,O,X
LSIJOTZ,O,X,X,X,O,X
LSIJOZT,O,X,X,X,O,X
LSIZTJO,O,O,X,O,X,X
LSIZTOJ,O,O,X,X,X,X
LSIZJTO,O,X,X,O,X,X
LSIZJOT,O,X,X,O,X,X
LSIZOTJ,O,O,X,X,X,X
LSIZOJT,O,X,X,X,X,X
LSIOTJZ,O,O,X,X,X,X
LSIOTZJ,O,O,X,X,X,X
LSIOJTZ,O,X,X,X,O,X
LSIOJZT,O,X,X,X,O,X
LSIOZTJ,O,O,X,X,X,X
LSIOZJT,O,X,X,X,X,X
LSJTIZO,O,X,X,O,X,X
LSJTIOZ,O,X,X,X,O,X
LSJTZIO,O,X,X,O,X,X
LSJTZOI,O,X,X,O,X,X
LSJTOIZ,O,X,X,X,O,X
LSJTOZI,O,X,X,O,O,X
LSJITZO,O,X,X,O,X,X
LSJITOZ,O,X,X,X,O,X
LSJIZTO,O,X,X,O,O,X
LSJIZOT,O,X,X,O,O,X
LSJIOTZ,O,X,X,X,O,X
LSJIOZT,O,X,X,X,O,X
LSJZTIO,O,X,X,O,O,X
LSJZTOI,O,X,X,O,O,X
LSJZITO,O,X,X,O,O,X
LSJZIOT,O,X,X,O,O,X
LSJZOTI,O,X,X,O,O,X
LSJZOIT,O,X,X,O,O,X
LSJOTIZ,O,X,X,X,O,X
LSJOTZI,O,X,X,O,O,X
LSJOITZ,O,X,X,X,O,X
LSJOIZT,O,X,X,X,O,X
LSJOZTI,O,X,X,O,O,X
LSJOZIT,O,X,X,O,O,X
LSZTIJO,X,X,O,O,X,O
LSZTIOJ,X,X,O,X,X,O
LSZTJIO,O,X,O,O,O,O
LSZTJOI,O,X,O,O,O,O
LSZTOIJ,O,X,O,X,X,O
LSZTOJI,O,X,O,O,O,O
LSZITJO,X,O,X,O,X,X
LSZITOJ,X,O,X,X,X,X
LSZIJTO,X,X,X,O,O,X
LSZIJOT,X,X,X,O,O,X
LSZIOTJ,X,O,X,X,X,X
LSZIOJT,X,X,X,X,O,X
LSZJTIO,O,X,O,O,O,X
LSZJTOI,O,X,O,O,O,X
LSZJITO,O,X,X,O,O,X
LSZJIOT,O,X,O,O,O,X
LSZJOTI,O,X,O,O,O,X
LSZJOIT,O,X,O,O,O,X
LSZOTIJ,O,X,O,X,X,O
LSZOTJI,O,X,O,O,O,O
LSZOITJ,O,O,X,X,X,X
LSZOIJT,O,X,X,X,O,X
LSZOJTI,O,X,O,O,O,X
LSZOJIT,O,X,O,O,O,X
LSOTIJZ,O,X,X,X,X,X
LSOTIZJ,O,X,X,X,X,X
LSOTJIZ,O,X,X,X,O,X
LSOTJZI,O,X,X,O,O,X
LSOTZIJ,O,X,X,X,X,X
LSOTZJI,O,X,X,O,X,X
LSOITJZ,O,O,X,X,X,X
LSOITZJ,O,O,X,X,X,X
LSOIJTZ,O,X,X,X,O,X
LSOIJZT,O,X,X,X,O,X
LSOIZTJ,O,O,X,X,X,X
LSOIZJT,O,X,X,X,X,X
LSOJTIZ,O,X,X,X,O,X
LSOJTZI,O,X,X,O,O,X
LSOJITZ,O,X,X,X,O,X
LSOJIZT,O,X,X,X,O,X
LSOJZTI,O,X,X,O,O,X
LSOJZIT,O,X,X,O,O,X
LSOZTIJ,O,X,O,X,X,X
LSOZTJI,O,X,O,O,O,X
LSOZITJ,O,O,X,X,X,X
LSOZIJT,O,X,X,X,O,X
LSOZJTI,O,X,O,O,O,X
LSOZJIT,O,X,O,O,O,X
LZTIJSO,X,O,O,X,X,X
LZTIJOS,X,O,O,X,X,X
LZTISJO,X,O,O,X,X,O
LZTISOJ,X,O,O,X,X,O
LZTIOJS,X,O,O,X,X,X
LZTIOSJ,X,O,O,X,X,O
LZTJISO,X,X,O,X,X,X
LZTJIOS,X,X,O,X,X,X
LZTJSIO,X,X,O,O,X,O
LZTJSOI,X,X,O,O,X,O
LZTJOIS,X,X,O,X,X,X
LZTJOSI,X,X,O,X,X,O
LZTSIJO,X,X,O,O,X,O
LZTSIOJ,X,X,O,X,X,O
LZTSJIO,X,X,O,O,O,O
LZTSJOI,X,X,O,O,O,O
LZTSOIJ,X,X,O,X,X,O
LZTSOJI,X,X,O,O,O,O
LZTOIJS,X,O,O,X,X,X
LZTOISJ,X,O,O,X,X,O
LZTOJIS,X,X,O,X,X,X
LZTOJSI,X,X,O,X,X,O
LZTOSIJ,X,X,O,X,X,O
LZTOSJI,X,X,O,X,O,O
LZITJSO,X,O,O,X,X,X
LZITJOS,X,O,O,X,X,X
LZITSJO,X,O,O,X,X,O
LZITSOJ,X,O,O,X,X,O
LZITOJS,X,O,O,X,X,X
LZITOSJ,X,O,O,X,X,O
LZIJTSO,O,O,O,X,X,X
LZIJTOS,O,O,O,X,X,X
LZIJSTO,O,X,X,X,X,X
LZIJSOT,O,X,O,X,X,X
LZIJOTS,O,O,O,X,X,X
LZIJOST,O,X,O,X,X,X
LZISTJO,O,O,X,X,X,X
LZISTOJ,O,O,X,X,X,X
LZISJTO,O,X,X,X,O,X
LZISJOT,O,X,X,X,O,X
LZISOTJ,O,O,X,X,X,X
LZISOJT,O,X,X,X,O,X
LZIOTJS,X,O,O,X,X,X
LZIOTSJ,X,O,O,X,X,O
LZIOJTS,O,O,O,X,X,X
LZIOJST,O,X,O,X,X,X
LZIOSTJ,O,O,X,X,X,X
LZIOSJT,O,X,X,X,O,X
LZJTISO,O,X,O,X,X,X
LZJTIOS,O,X,O,X,X,X
LZJTSIO,O,X,O,O,X,O
LZJTSOI,O,X,O,O,X,O
LZJTOIS,O,X,O,X,X,X
LZJTOSI,O,X,O,X,X,O
LZJITSO,O,O,O,X,X,X
LZJITOS,O,O,O,X,X,X
LZJISTO,O,X,X,X,X,X
LZJISOT,O,X,O,X,X,X
LZJIOTS,O,O,O,X,X,X
LZJIOST,O,X,O,X,X,X
LZJSTIO,O,X,O,O,O,X
LZJSTOI,O,X,O,O,O,X
LZJSITO,O,X,X,O,O,X
LZJSIOT,O,X,O,O,O,X
LZJSOTI,O,X,O,O,O,X
LZJSOIT,O,X,O,O,O,X
LZJOTIS,O,X,O,X,X,X
LZJOTSI,O,X,O,X,X,O
LZJOITS,O,O,O,X,X,X
LZJOIST,O,X,O,X,X,X
LZJOSTI,O,X,O,X,O,X
LZJOSIT,O,X,O,X,O,X
LZSTIJO,X,X,O,O,X,O
LZSTIOJ,X,X,O,X,X,O
LZSTJIO,O,X,O,O,O,O
LZSTJOI,O,X,O,O,O,O
LZSTOIJ,O,X,O,X,X,O
LZSTOJI,O,X,O,O,O,O
LZSITJO,X,O,X,O,X,X
LZSITOJ,X,O,X,X,X,X
LZSIJTO,X,X,X,O,O,X
LZSIJOT,X,X,X,O,O,X
LZSIOTJ,X,O,X,X,X,X
LZSIOJT,X,X,X,X,O,X
LZSJTIO,O,X,O,O,O,X
LZSJTOI,O,X,O,O,O,X
LZSJITO,O,X,X,O,O,X
LZSJIOT,O,X,O,O,O,X
LZSJOTI,O,X,O,O,O,X
LZSJOIT,O,X,O,O,O,X
LZSOTIJ,O,X,O,X,X,O
LZSOTJI,O,X,O,O,O,O
LZSOITJ,O,O,X,X,X,X
LZSOIJT,O,X,X,X,O,X
LZSOJTI,O,X,O,O,O,X
LZSOJIT,O,X,O,O,O,X
LZOTIJS,X,O,O,X,X,X
LZOTISJ,X,O,O,X,X,O
LZOTJIS,X,X,O,X,X,X
LZOTJSI,X,X,O,X,X,O
LZOTSIJ,X,X,O,X,X,O
LZOTSJI,X,X,O,X,O,O
