sequence,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBRiBcoBOrB6sBzrB,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBRiBcoBKrBzmB+sB,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBanBunBcoBTmBxwB
TLOIJSZ,X,X,X
TLOIJZS,X,X,X
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,X,X,X
TLOIZSJ,X,X,X
TLOJISZ,X,X,X
TLOJIZS,X,X,X
TLOJSIZ,X,X,X
TLOJSZI,O,O,X
TLOJZIS,O,O,X
TLOJZSI,O,O,X
TLOSIJZ,X,X,X
TLOSIZJ,X,X,X
TLOSJIZ,X,X,X
TLOSJZI,X,O,X
TLOSZIJ,O,X,X
TLOSZJI,X,X,X
TLOZIJS,X,X,X
TLOZISJ,O,X,X
TLOZJIS,O,X,X
TLOZJSI,O,X,X
TLOZSIJ,O,X,X
TLOZSJI,X,X,X
TJILSZO,X,X,X
TJILSOZ,X,X,X
TJILZSO,X,X,X
TJILZOS,X,X,X
TJILOSZ,X,X,X
TJILOZS,X,X,X
TJISLZO,X,X,X
TJISLOZ,X,X,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,X,X
TJISOZL,X,X,X
TJIZLSO,X,X,X
TJIZLOS,X,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,X,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,X,X
TJIOLZS,X,X,X
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,X,X,X
TJIOZSL,X,X,X
TJLISZO,X,X,X
TJLISOZ,X,X,X
TJLIZSO,X,X,X
TJLIZOS,X,X,X
TJLIOSZ,X,X,X
TJLIOZS,X,X,X
TJLSIZO,X,X,X
TJLSIOZ,X,X,X
TJLSZIO,O,O,X
TJLSZOI,O,O,X
TJLSOIZ,X,X,X
TJLSOZI,X,O,X
TJLZISO,O,O,X
TJLZIOS,X,X,X
TJLZSIO,O,O,X
TJLZSOI,O,O,X
TJLZOIS,X,O,X
TJLZOSI,X,O,X
TJLOISZ,X,X,X
TJLOIZS,X,X,X
TJLOSIZ,X,X,X
TJLOSZI,X,O,X
TJLOZIS,X,O,X
TJLOZSI,X,O,X
TJSILZO,X,X,X
TJSILOZ,X,X,X
TJSIZLO,X,X,X
TJSIZOL,X,X,X
TJSIOLZ,X,X,X
TJSIOZL,X,X,X
TJSLIZO,X,X,X
TJSLIOZ,X,X,X
TJSLZIO,O,O,X
TJSLZOI,O,O,X
TJSLOIZ,X,X,X
TJSLOZI,X,O,X
TJSZILO,O,O,X
TJSZIOL,O,X,X
TJSZLIO,O,O,X
TJSZLOI,O,O,X
TJSZOIL,O,X,X
TJSZOLI,O,X,X
TJSOILZ,X,X,X
TJSOIZL,X,X,X
TJSOLIZ,X,X,X
TJSOLZI,O,X,X
TJSOZIL,O,X,X
TJSOZLI,O,X,X
TJZILSO,X,O,X
TJZILOS,X,X,X
TJZISLO,O,O,X
TJZISOL,O,X,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,O,O,X
TJZLIOS,X,X,X
TJZLSIO,O,O,X
TJZLSOI,O,O,X
TJZLOIS,X,O,X
TJZLOSI,X,O,X
TJZSILO,O,O,X
TJZSIOL,O,X,X
TJZSLIO,O,O,X
TJZSLOI,O,O,X
TJZSOIL,O,X,X
TJZSOLI,O,X,X
TJZOILS,X,O,X
TJZOISL,O,X,X
TJZOLIS,O,O,X
TJZOLSI,O,O,X
TJZOSIL,O,X,X
TJZOSLI,O,X,X
TJOILSZ,X,X,X
TJOILZS,X,X,X
TJOISLZ,X,X,X
TJOISZL,X,X,X
TJOIZLS,X,X,X
TJOIZSL,X,X,X
TJOLISZ,X,X,X
TJOLIZS,X,X,X
TJOLSIZ,X,X,X
TJOLSZI,O,O,X
TJOLZIS,O,O,X
TJOLZSI,O,O,X
TJOSILZ,X,X,X
TJOSIZL,X,X,X
TJOSLIZ,X,X,X
TJOSLZI,O,X,X
TJOSZIL,O,X,X
TJOSZLI,O,X,X
TJOZILS,X,O,X
