sequence,v115@EhC8IeA8CeA8EeE8DeB8Jex/IvhFlhBTkBilBXnB8s?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gBUiB2pBTmBys?BxwB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gB2pBxmB8sBas?BTrB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBxmB8sBzm?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhFRhB1pBmlBznBUs?B3rB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBTmBmnBUn?BxwB,v115@EhC8IeA8CeA8EeE8DeB8JeT/IvhFxgB2nBypB1rB3s?BUrB
TILJSZO,X,O,X,O,O,X,X
TILJSOZ,X,O,X,X,O,O,X
TILJZSO,X,O,X,O,O,X,X
TILJZOS,X,O,X,O,O,O,X
TILJOSZ,X,O,X,X,O,O,X
TILJOZS,X,O,X,X,O,O,X
TILSJZO,X,O,X,O,X,X,X
TILSJOZ,X,O,X,X,X,O,X
TILSZJO,X,O,X,O,X,X,X
TILSZOJ,X,O,X,O,X,O,X
TILSOJZ,X,X,X,X,X,O,X
TILSOZJ,X,O,X,X,X,O,X
TILZJSO,X,O,X,O,X,X,X
TILZJOS,X,O,X,O,X,O,X
TILZSJO,X,O,X,O,X,X,X
TILZSOJ,X,O,X,O,X,O,X
TILZOJS,X,X,X,X,X,O,X
TILZOSJ,X,X,X,O,X,O,X
TILOJSZ,X,O,X,X,O,O,X
TILOJZS,X,O,X,X,O,O,X
TILOSJZ,X,O,X,X,X,O,X
TILOSZJ,X,O,X,X,X,O,X
TILOZJS,X,O,X,X,X,O,X
TILOZSJ,X,O,X,X,X,O,X
TIJLSZO,X,O,X,O,O,X,X
TIJLSOZ,X,O,X,X,O,O,X
TIJLZSO,X,O,X,O,O,X,X
TIJLZOS,X,O,X,O,O,O,X
TIJLOSZ,X,O,X,X,O,O,X
TIJLOZS,X,O,X,X,O,O,X
TIJSLZO,X,O,X,O,O,X,X
TIJSLOZ,X,O,X,X,O,O,X
TIJSZLO,X,O,X,O,X,X,X
TIJSZOL,X,O,X,O,X,X,X
TIJSOLZ,X,O,X,X,X,O,X
TIJSOZL,X,O,X,X,X,O,X
TIJZLSO,X,O,X,O,O,X,X
TIJZLOS,X,O,X,O,O,O,X
TIJZSLO,X,O,X,O,O,X,X
TIJZSOL,X,O,X,O,X,X,X
TIJZOLS,X,O,X,O,O,O,X
TIJZOSL,X,O,X,O,X,O,X
TIJOLSZ,X,O,X,X,O,O,X
TIJOLZS,X,O,X,X,O,O,X
TIJOSLZ,X,O,X,X,O,O,X
TIJOSZL,X,O,X,X,X,O,X
TIJOZLS,X,O,X,X,O,O,X
TIJOZSL,X,O,X,X,O,O,X
TISLJZO,X,O,X,O,X,X,X
TISLJOZ,X,O,X,X,X,O,X
TISLZJO,X,O,X,O,X,X,X
TISLZOJ,X,O,X,O,X,O,X
TISLOJZ,X,O,X,X,X,O,X
TISLOZJ,X,O,X,X,X,O,X
TISJLZO,X,O,X,O,X,X,X
TISJLOZ,X,O,X,X,X,O,X
TISJZLO,X,O,X,O,X,X,X
TISJZOL,X,O,X,O,X,X,X
TISJOLZ,X,O,X,X,X,O,X
TISJOZL,X,O,X,X,X,O,X
TISZLJO,X,O,X,O,X,X,X
TISZLOJ,X,O,X,O,X,O,X
TISZJLO,X,X,X,O,X,X,X
TISZJOL,X,X,X,O,X,X,X
TISZOLJ,X,O,X,O,X,O,X
TISZOJL,X,O,X,X,X,O,X
TISOLJZ,X,O,X,X,X,O,X
TISOLZJ,X,O,X,X,X,O,X
TISOJLZ,X,O,X,X,X,O,X
TISOJZL,X,O,X,X,X,O,X
TISOZLJ,X,O,X,X,X,O,X
TISOZJL,X,O,X,X,X,O,X
TIZLJSO,X,X,X,O,X,X,X
TIZLJOS,X,X,X,O,X,O,X
TIZLSJO,X,X,X,O,X,X,X
TIZLSOJ,X,X,X,O,X,O,X
TIZLOJS,X,X,X,X,X,O,X
TIZLOSJ,X,X,X,O,X,O,X
TIZJLSO,X,X,X,O,O,X,X
TIZJLOS,X,X,X,O,O,O,X
TIZJSLO,X,X,X,O,O,X,X
TIZJSOL,X,X,X,O,X,X,X
TIZJOLS,X,X,X,O,O,O,X
TIZJOSL,X,X,X,O,X,O,X
TIZSLJO,X,X,X,O,X,X,X
TIZSLOJ,X,X,X,O,X,O,X
TIZSJLO,X,X,X,O,X,X,X
TIZSJOL,X,X,X,O,X,X,X
TIZSOLJ,X,X,X,O,X,O,X
TIZSOJL,X,X,X,X,X,O,X
TIZOLJS,X,X,X,X,X,O,X
TIZOLSJ,X,X,X,O,X,O,X
TIZOJLS,X,X,X,X,X,O,X
TIZOJSL,X,X,X,X,X,O,X
TIZOSLJ,X,X,X,O,X,O,X
TIZOSJL,X,X,X,X,X,O,X
TIOLJSZ,X,O,X,X,O,O,X
TIOLJZS,X,O,X,X,O,O,X
TIOLSJZ,X,O,X,X,X,O,X
TIOLSZJ,X,O,X,X,X,O,X
TIOLZJS,X,O,X,X,X,O,X
TIOLZSJ,X,O,X,X,X,O,X
TIOJLSZ,X,O,X,X,O,O,X
TIOJLZS,X,O,X,X,O,O,X
TIOJSLZ,X,O,X,X,O,O,X
TIOJSZL,X,O,X,X,X,O,X
TIOJZLS,X,O,X,X,O,O,X
TIOJZSL,X,O,X,X,O,O,X
TIOSLJZ,X,O,X,X,X,O,X
TIOSLZJ,X,O,X,X,X,O,X
TIOSJLZ,X,O,X,X,X,O,X
TIOSJZL,X,O,X,X,X,O,X
TIOSZLJ,X,O,X,X,X,O,X
TIOSZJL,X,O,X,X,X,O,X
TIOZLJS,X,X,X,X,X,O,X
TIOZLSJ,X,X,X,X,X,O,X
TIOZJLS,X,O,X,X,O,O,X
TIOZJSL,X,O,X,X,O,O,X
TIOZSLJ,X,O,X,X,X,O,X
TIOZSJL,X,O,X,X,X,O,X
TLIJSZO,O,X,X,O,O,X,X
TLIJSOZ,O,X,X,X,O,O,X
TLIJZSO,O,X,X,O,O,X,X
TLIJZOS,O,X,X,O,O,O,X
TLIJOSZ,O,X,X,X,O,O,X
TLIJOZS,O,X,X,X,O,O,X
TLISJZO,O,X,X,O,X,X,X
TLISJOZ,O,X,X,X,X,O,X
TLISZJO,O,X,X,O,X,X,X
