sequence,v115@LhC8HeB8BeB8DeE8JeT/IvhF/lBRhBunBcoBlpByvB,v115@LhC8HeB8BeB8DeE8Jel/IvhFRhBqnBTjB/pB0lB2vB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBGjBfrBznBlpBUqB,v115@LhC8HeB8BeB8DeE8Jel/IvhFRhBunBcoB/pBTlByvB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBWoBFlBXoB0pBzqB,v115@LhC8HeB8BeB8DeE8Jei/IvhFRhBunBcoB1pBzqBXqB,v115@LhC8HeB8BeB8DeE8JeWIJvhFxkBTkB0lBXoBVvBirB
TILJSZO,X,O,O,X,X,X,O
TILJSOZ,X,O,O,X,X,X,O
TILJZSO,X,X,O,X,X,X,O
TILJZOS,X,X,O,X,X,X,O
TILJOSZ,X,O,O,X,X,X,O
TILJOZS,X,X,O,X,X,X,O
TILSJZO,O,X,O,O,X,X,X
TILSJOZ,O,O,O,X,X,X,X
TILSZJO,O,X,X,O,X,X,X
TILSZOJ,O,O,X,O,X,X,X
TILSOJZ,O,O,O,X,X,X,X
TILSOZJ,O,O,X,O,X,X,X
TILZJSO,O,X,O,O,X,X,X
TILZJOS,X,X,O,O,X,X,X
TILZSJO,O,X,X,O,X,X,X
TILZSOJ,O,X,X,O,X,X,X
TILZOJS,X,X,O,O,X,X,X
TILZOSJ,X,X,X,O,X,X,X
TILOJSZ,X,O,O,X,X,X,X
TILOJZS,X,X,O,X,X,X,X
TILOSJZ,X,O,O,O,X,X,X
TILOSZJ,X,O,X,O,X,X,X
TILOZJS,X,X,O,O,X,X,X
TILOZSJ,X,X,X,O,X,X,X
TIJLSZO,X,O,O,X,X,X,O
TIJLSOZ,X,O,O,X,X,X,O
TIJLZSO,X,X,O,X,X,X,O
TIJLZOS,X,X,O,X,X,X,O
TIJLOSZ,X,O,O,X,X,X,O
TIJLOZS,X,X,O,X,X,X,O
TIJSLZO,X,O,O,X,X,X,O
TIJSLOZ,X,O,O,X,X,X,O
TIJSZLO,X,O,O,X,X,X,O
TIJSZOL,X,X,X,X,X,X,O
TIJSOLZ,X,O,O,X,X,X,O
TIJSOZL,X,X,X,X,X,X,O
TIJZLSO,X,X,O,X,O,X,O
TIJZLOS,X,X,O,X,O,X,O
TIJZSLO,X,X,X,X,O,X,O
TIJZSOL,X,X,X,X,X,X,O
TIJZOLS,X,X,X,X,O,X,O
