sequence,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFUgBliB?3mBTqBarBWxB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFFgB3iB?UmBTqBWxBirB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFUgBzhB?yqB1wBusB3qB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgBliB?3mB0qBaqBWxB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFFgBihB?cqBXrBusBzrB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgB3iB?+rBlqBaqBUsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgBUiB?+rBlqBaqB3sB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFVmBUiB?KqBGlBTrB3sB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFVmB3iB?KqBGlBTrBUsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhF3gBzhB?yqB1wBusBUqB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgB+mB?0qBaqBXsBlsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFymBTlB?XrBusBFqB0rB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFWnB3lB?0rBaqBzqBlsB
TILJSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
TILJSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TILJZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
TILJZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
TILJOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
TILJOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
TILSJZO,X,X,O,X,X,X,X,X,X,O,X,X,X
TILSJOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
TILSZJO,X,X,O,O,X,X,X,X,X,O,X,X,X
TILSZOJ,X,X,O,O,X,X,X,X,X,O,X,X,X
TILSOJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
TILSOZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
TILZJSO,X,X,O,X,X,X,X,X,X,O,X,X,X
TILZJOS,X,X,O,X,X,X,X,X,X,O,X,X,X
TILZSJO,X,X,O,O,O,X,X,X,X,O,X,X,X
TILZSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X
TILZOJS,X,X,O,X,X,X,X,O,X,O,X,X,X
TILZOSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
TILOJSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
TILOJZS,X,X,O,X,X,O,O,O,X,O,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
TILOSZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
