sequence,v115@MhA8EeA8BeB8EeA8AeG8JeZEJvhFzfBFhBOnBXjBcq?BSyB,v115@MhA8EeA8BeB8EeA8AeG8JeZEJvhFXhBOnB6oBUlBzn?BFqB,v115@MhA8EeA8BeB8EeA8AeG8JeZEJvhFzfBFhBiiB+oBcq?B3sB
TLZOSJI,O,X,X
TLOIJSZ,X,X,X
TLOIJZS,X,X,X
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,X,X,X
TLOIZSJ,X,X,X
TLOJISZ,X,X,X
TLOJIZS,X,X,X
TLOJSIZ,X,X,X
TLOJSZI,X,X,X
TLOJZIS,X,X,X
TLOJZSI,X,X,X
TLOSIJZ,X,X,X
TLOSIZJ,X,X,X
TLOSJIZ,X,X,X
TLOSJZI,X,X,X
TLOSZIJ,X,X,X
TLOSZJI,X,X,X
TLOZIJS,X,X,X
TLOZISJ,X,X,X
TLOZJIS,X,X,X
TLOZJSI,X,X,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,O,X,X
TJILSOZ,X,X,X
TJILZSO,O,X,X
TJILZOS,O,X,X
TJILOSZ,X,X,X
TJILOZS,X,X,X
TJISLZO,X,X,O
TJISLOZ,X,X,X
TJISZLO,X,X,O
TJISZOL,X,X,O
TJISOLZ,X,X,X
TJISOZL,X,X,X
TJIZLSO,O,X,X
TJIZLOS,O,X,X
TJIZSLO,X,X,O
TJIZSOL,X,X,O
TJIZOLS,O,X,X
TJIZOSL,X,X,O
TJIOLSZ,X,X,X
TJIOLZS,X,X,X
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,X,X,X
TJIOZSL,X,X,X
TJLISZO,O,X,X
TJLISOZ,X,X,X
TJLIZSO,O,X,X
TJLIZOS,O,X,X
TJLIOSZ,X,X,X
TJLIOZS,X,X,X
TJLSIZO,O,X,X
TJLSIOZ,X,X,X
TJLSZIO,O,X,X
TJLSZOI,O,X,X
TJLSOIZ,X,X,X
TJLSOZI,X,X,X
TJLZISO,O,X,X
TJLZIOS,O,X,X
TJLZSIO,O,X,X
TJLZSOI,O,X,X
TJLZOIS,O,X,X
TJLZOSI,O,X,X
TJLOISZ,X,X,X
TJLOIZS,X,X,X
TJLOSIZ,X,X,X
TJLOSZI,X,X,X
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,X,X,O
TJSILOZ,X,X,X
TJSIZLO,X,X,O
TJSIZOL,X,X,O
TJSIOLZ,X,X,X
TJSIOZL,X,X,X
TJSLIZO,X,X,O
TJSLIOZ,X,X,X
TJSLZIO,X,X,O
TJSLZOI,X,X,O
TJSLOIZ,X,X,X
TJSLOZI,X,X,X
TJSZILO,X,X,O
TJSZIOL,X,X,O
TJSZLIO,X,X,O
TJSZLOI,X,X,O
TJSZOIL,X,X,O
TJSZOLI,X,X,O
TJSOILZ,X,X,X
TJSOIZL,X,X,X
TJSOLIZ,X,X,X
TJSOLZI,X,X,X
TJSOZIL,X,X,X
TJSOZLI,X,X,X
TJZILSO,O,X,X
TJZILOS,O,X,X
TJZISLO,X,X,O
TJZISOL,X,X,O
TJZIOLS,O,X,X
TJZIOSL,X,X,O
TJZLISO,O,X,X
TJZLIOS,O,X,X
TJZLSIO,O,X,X
TJZLSOI,O,X,X
TJZLOIS,O,X,X
