sequence,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhFukB1lB0hB6?nBXqBzrB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je0/IvhFxgBTiBKpBG?mBFqBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jei/IvhF1lBxhBcpBG?nBXqBzrB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF6mBTiB0kBl?lB2uBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhF3gBFiBWqB6?rBcsBzpB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF0hBOpBllBS?sBzpBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeT/IvhFxhBllBurBc?sBipBXqB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhF3gBWqBlmBc?sBzpBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je/EJvhFRgBTlBlmBc?sB2uBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je0/IvhFxgBKpBGmBT?nBFqBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF0hBllBSsBm?pBTpBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je3AJvhFlmBcsBxpBT?pBmpBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je3AJvhF+nBlmBxpB0?pBipBzrB
TILJSZO,O,X,X,O,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,O,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,O,O,O,X,X,X,X,O,X,X
TILJOSZ,O,X,X,O,X,X,X,X,X,X,O,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,O,X,X
TILSJZO,O,X,X,O,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,X,O,X,X,X,X,X,X,X,X
TILSZOJ,O,X,O,O,O,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,O,X,O,X,X,X,X,X,X
TILZJOS,O,X,O,X,O,O,O,X,X,X,O,X,X
TILZSJO,O,X,O,X,O,X,X,X,X,X,X,X,X
TILZSOJ,O,X,O,O,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,X,O,O,O,X,X,X,X,X,X
TILZOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,O,X,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
