sequence,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBzgBfnB0iBKq?BFrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBChB0iBmmBFq?BXrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFCgBOmB0iBXlBzm?B1vB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFFgBXhB0iBWqBzm?ByvB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukB3gB1mB0iBTq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBFhB0iBKqBfr?BzrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBulB3hB1nBUq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFGgBKmBfnB0iBzk?B1vB
TILJSZO,O,O,O,O,O,O,O,O
TILJSOZ,O,O,O,O,O,O,O,O
TILJZSO,O,O,O,O,O,O,O,O
TILJZOS,O,O,X,O,O,O,O,X
TILJOSZ,O,O,X,O,O,O,X,O
TILJOZS,O,O,X,O,O,O,X,O
TILSJZO,O,O,O,O,O,O,O,O
TILSJOZ,O,O,O,O,O,O,O,O
TILSZJO,O,O,O,O,O,O,O,O
TILSZOJ,O,O,O,O,O,O,O,O
TILSOJZ,O,O,O,X,O,O,O,O
TILSOZJ,O,O,O,O,O,O,O,O
TILZJSO,O,O,O,O,O,O,O,O
TILZJOS,O,O,X,O,O,O,O,X
TILZSJO,O,O,O,O,O,O,O,O
TILZSOJ,O,O,O,O,O,O,O,O
TILZOJS,O,O,O,X,O,O,O,O
TILZOSJ,O,O,O,X,O,O,O,O
TILOJSZ,O,O,O,O,O,O,X,O
TILOJZS,O,O,O,O,O,O,X,O
TILOSJZ,O,O,O,O,O,O,O,O
TILOSZJ,O,O,O,O,O,O,O,O
TILOZJS,O,O,O,O,O,O,O,O
TILOZSJ,O,O,O,O,O,O,O,O
TIJLSZO,O,O,O,O,O,O,O,O
TIJLSOZ,O,O,O,O,O,O,O,O
TIJLZSO,O,O,O,O,O,O,O,O
TIJLZOS,O,O,X,O,O,O,O,X
TIJLOSZ,O,O,X,O,O,O,X,O
TIJLOZS,O,O,X,O,O,O,X,O
TIJSLZO,O,O,O,O,X,X,O,O
TIJSLOZ,O,O,O,X,X,X,O,O
TIJSZLO,O,O,O,O,X,X,O,O
TIJSZOL,O,O,O,O,X,X,O,O
TIJSOLZ,O,O,O,O,X,X,X,O
TIJSOZL,O,O,O,O,X,X,O,O
TIJZLSO,O,O,O,O,O,O,O,O
TIJZLOS,X,O,X,O,O,O,O,X
TIJZSLO,O,O,O,O,X,X,O,O
TIJZSOL,X,O,O,O,X,X,O,O
TIJZOLS,X,O,O,O,O,O,O,X
TIJZOSL,X,O,O,O,X,X,O,O
TIJOLSZ,O,O,O,O,O,O,X,O
TIJOLZS,O,O,O,O,O,O,X,O
TIJOSLZ,O,O,O,O,O,X,X,O
TIJOSZL,O,O,O,O,X,X,X,O
TIJOZLS,X,O,O,O,O,O,X,O
TIJOZSL,X,O,O,O,X,X,X,O
TISLJZO,O,O,O,X,X,O,O,O
TISLJOZ,O,O,O,X,X,O,O,O
TISLZJO,O,O,O,X,X,O,O,O
TISLZOJ,O,O,O,X,X,O,O,O
TISLOJZ,O,O,O,X,X,O,O,O
TISLOZJ,O,O,O,X,X,O,O,O
TISJLZO,O,O,O,X,X,O,O,O
TISJLOZ,O,O,O,X,X,O,O,O
TISJZLO,O,O,O,X,X,O,O,O
TISJZOL,O,O,O,X,X,X,O,O
TISJOLZ,O,O,O,X,X,X,X,O
TISJOZL,O,O,O,X,X,X,O,O
TISZLJO,O,O,O,X,X,O,O,O
TISZLOJ,O,O,O,X,X,O,O,O
TISZJLO,O,O,O,X,X,O,O,O
TISZJOL,O,O,O,X,X,X,O,O
TISZOLJ,O,O,O,X,X,O,O,O
TISZOJL,O,O,O,X,X,X,O,O
TISOLJZ,O,O,O,X,X,O,O,O
TISOLZJ,O,O,O,X,X,O,O,O
TISOJLZ,O,O,O,X,X,O,X,O
TISOJZL,O,O,O,X,X,O,O,O
TISOZLJ,O,O,O,X,X,O,O,O
TISOZJL,O,O,O,X,X,O,O,O
TIZLJSO,O,O,O,O,O,O,O,O
TIZLJOS,O,O,X,O,O,O,O,X
TIZLSJO,O,O,O,O,O,O,O,O
TIZLSOJ,O,O,O,O,O,O,O,O
TIZLOJS,O,O,O,X,O,O,O,O
TIZLOSJ,O,O,O,X,O,O,O,O
TIZJLSO,O,O,O,O,O,O,O,O
TIZJLOS,X,O,X,O,O,O,O,X
TIZJSLO,O,O,O,O,X,X,O,O
TIZJSOL,X,O,O,O,X,X,O,O
TIZJOLS,X,O,O,O,O,O,O,X
TIZJOSL,X,O,O,O,X,X,O,O
TIZSLJO,O,O,O,X,X,O,O,O
TIZSLOJ,O,O,O,X,X,O,O,O
TIZSJLO,O,O,O,X,X,O,O,O
TIZSJOL,O,O,O,X,X,X,O,O
TIZSOLJ,O,O,O,X,X,O,O,O
TIZSOJL,O,O,O,X,X,X,O,O
TIZOLJS,O,O,O,O,O,O,O,O
TIZOLSJ,O,O,O,O,O,O,O,O
TIZOJLS,X,O,O,O,O,O,O,O
TIZOJSL,X,O,O,O,X,O,O,O
TIZOSLJ,O,O,O,O,X,O,O,O
TIZOSJL,O,O,O,O,X,O,O,O
TIOLJSZ,O,O,O,O,O,O,X,O
TIOLJZS,O,O,O,O,O,O,X,O
TIOLSJZ,O,O,O,O,O,O,O,O
TIOLSZJ,O,O,O,O,O,O,O,O
TIOLZJS,O,O,O,O,O,O,O,O
TIOLZSJ,O,O,O,O,O,O,O,O
TIOJLSZ,O,O,O,O,O,O,X,O
TIOJLZS,O,O,O,O,O,O,X,O
TIOJSLZ,O,O,O,O,O,O,X,O
TIOJSZL,O,O,O,O,X,O,X,O
TIOJZLS,X,O,O,O,O,O,X,O
TIOJZSL,X,O,O,O,X,O,X,O
TIOSLJZ,O,O,O,O,O,O,O,O
TIOSLZJ,O,O,O,O,O,O,O,O
TIOSJLZ,O,O,O,O,O,O,X,O
TIOSJZL,O,O,O,O,X,O,O,O
TIOSZLJ,O,O,O,O,X,O,O,O
TIOSZJL,O,O,O,O,X,O,O,O
TIOZLJS,O,O,O,O,O,O,O,O
TIOZLSJ,O,O,O,O,O,O,O,O
TIOZJLS,X,O,O,O,O,O,O,O
TIOZJSL,X,O,O,O,X,O,O,O
TIOZSLJ,O,O,O,O,X,O,O,O
TIOZSJL,O,O,O,O,X,O,O,O
TLIJSZO,O,O,O,O,O,O,O,O
TLIJSOZ,O,O,O,O,O,O,O,O
TLIJZSO,O,O,O,O,O,O,O,O
TLIJZOS,O,O,X,O,O,O,O,X
TLIJOSZ,O,O,X,O,O,O,X,O
TLIJOZS,O,O,X,O,O,O,X,O
TLISJZO,O,O,O,O,O,O,O,O
TLISJOZ,O,O,O,O,O,O,O,O
