sequence,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBXjB9tB0sBOsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFUhBXjByrB9tBGnBRxB,v115@/gA8IeB8FeD8FeE8OeT/IvhFGhBaoB5oB/rB0sBNsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rB3sBCsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rBUtBCsB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBNnBGtBctB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhBtnBmmB0rBXtB6tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBisBGsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBasBUtBusB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamBRiBurBcsBXtB9tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBGjB/tB0sBNsB
TILJSZO,X,O,X,X,X,O,X,X,X,X,X
TILJSOZ,X,O,X,X,X,O,X,X,X,X,X
TILJZSO,O,O,X,X,X,O,X,X,X,X,X
TILJZOS,O,O,X,X,X,O,X,X,X,X,X
TILJOSZ,X,O,X,X,X,O,X,X,X,X,X
TILJOZS,O,O,X,X,X,O,X,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,X,O
TILSZOJ,O,O,X,X,X,X,X,X,X,X,O
TILSOJZ,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X,X,O
TILZJSO,O,O,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,X,O
TILZSOJ,O,O,X,X,X,X,X,X,X,X,O
TILZOJS,O,O,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X,X,X,O
TILOJSZ,X,O,X,X,X,O,X,X,X,X,X
TILOJZS,O,O,X,X,X,O,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X,X,X,O
TILOZJS,O,O,X,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X,X,X,X,O
TIJLSZO,X,O,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,O,X,X,X,X,X
TIJLZSO,O,O,X,X,X,O,X,X,X,X,X
TIJLZOS,O,O,X,X,X,O,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,O,X,X,X,X,X
TIJLOZS,O,O,X,X,X,O,X,X,X,X,X
TIJSLZO,X,O,X,O,X,O,X,X,X,X,X
TIJSLOZ,X,O,X,O,X,O,X,X,X,X,X
TIJSZLO,X,O,X,O,X,X,X,X,X,X,X
TIJSZOL,X,O,X,O,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,O,X,X,X,X,X
TIJSOZL,X,O,X,O,X,X,X,X,X,X,X
TIJZLSO,O,O,X,X,O,O,X,X,X,X,X
TIJZLOS,O,O,X,X,O,O,X,X,X,X,X
TIJZSLO,O,O,X,X,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,X,X,X,X
TIJZOLS,O,O,X,X,O,O,X,X,X,X,X
TIJZOSL,O,O,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,O,X,X,X,O,X,X,X,X,X
TIJOLZS,O,O,X,X,X,O,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,O,X,X,X,X,X
TIJOSZL,X,O,X,O,X,X,X,X,X,X,X
TIJOZLS,O,O,X,X,O,O,X,X,X,X,X
TIJOZSL,O,O,X,X,O,X,X,X,X,X,X
TISLJZO,X,O,X,X,X,X,X,O,X,X,X
TISLJOZ,X,O,X,X,X,X,X,O,X,X,X
TISLZJO,O,O,X,X,X,X,X,O,O,X,O
