sequence,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeRAJvhFUiBGjBzkBf?rB6rBVyB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeuEJvhF3gBUiBFjBS?tBxqBTrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeFAJvhFxhB6oBWqB3?mBznBUrB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeRAJvhF8nB+oBzkBf?rBlmBCsB,v115@9gA8IeA8IeA8EeA8CeD8BeD8JeuEJvhFclBxmBToBV?rBCoB3rB,v115@9gA8IeA8IeA8EeA8CeD8BeD8Je/GJvhFFlBxnBClBG?nBToBUrB
LZOTJIS,O,O,X,X,X,X
LZOTJSI,O,X,X,X,X,X
LZOTSIJ,O,X,X,X,X,X
LZOTSJI,O,X,X,X,X,X
LZOITJS,O,O,X,X,X,X
LZOITSJ,O,O,X,X,X,X
LZOIJTS,X,O,X,X,O,X
LZOIJST,X,O,X,X,O,X
LZOISTJ,O,O,X,X,X,X
LZOISJT,O,O,X,X,X,X
LZOJTIS,O,O,X,X,X,X
LZOJTSI,O,X,X,X,X,X
LZOJITS,X,O,X,X,O,X
LZOJIST,X,O,X,X,O,X
LZOJSTI,O,X,X,X,X,X
LZOJSIT,O,X,X,X,X,X
LZOSTIJ,O,X,X,X,X,X
LZOSTJI,O,X,X,X,X,X
LZOSITJ,O,X,X,X,X,X
LZOSIJT,O,X,X,X,X,X
LZOSJTI,O,X,X,X,X,X
LZOSJIT,O,X,X,X,X,X
LOTIJSZ,O,O,O,X,X,X
LOTIJZS,O,O,O,X,X,X
LOTISJZ,O,O,O,X,X,X
LOTISZJ,O,O,X,X,X,X
LOTIZJS,O,O,X,X,X,X
LOTIZSJ,O,O,X,X,X,X
LOTJISZ,O,O,O,X,X,X
LOTJIZS,O,O,O,X,X,X
LOTJSIZ,O,X,O,X,X,X
LOTJSZI,O,X,O,X,X,X
LOTJZIS,O,O,O,X,X,X
LOTJZSI,O,X,O,X,X,X
LOTSIJZ,O,X,O,X,X,X
LOTSIZJ,O,X,X,X,X,X
LOTSJIZ,O,X,O,X,X,X
LOTSJZI,O,X,O,X,X,X
LOTSZIJ,O,X,X,X,X,X
LOTSZJI,O,X,X,X,X,X
LOTZIJS,O,O,X,X,X,X
LOTZISJ,O,O,X,X,X,X
LOTZJIS,O,O,X,X,X,X
LOTZJSI,O,X,X,X,X,X
LOTZSIJ,O,X,X,X,X,X
LOTZSJI,O,X,X,X,X,X
LOITJSZ,O,O,O,X,X,X
LOITJZS,O,O,O,X,X,X
LOITSJZ,O,O,O,X,X,X
LOITSZJ,O,O,X,X,X,X
LOITZJS,O,O,X,X,X,X
LOITZSJ,O,O,X,X,X,X
LOIJTSZ,X,O,O,X,X,X
LOIJTZS,X,O,O,X,X,X
LOIJSTZ,X,O,O,O,X,X
LOIJSZT,X,O,O,O,X,X
LOIJZTS,X,O,O,X,O,X
LOIJZST,X,O,X,O,O,X
LOISTJZ,O,O,O,O,X,X
LOISTZJ,O,O,X,X,X,X
LOISJTZ,X,O,O,O,X,X
LOISJZT,X,O,O,O,X,X
LOISZTJ,O,O,X,X,X,X
LOISZJT,X,O,O,X,X,X
LOIZTJS,O,O,X,X,X,X
LOIZTSJ,O,O,X,X,X,X
LOIZJTS,X,O,O,X,O,X
LOIZJST,X,O,X,X,O,X
LOIZSTJ,O,O,X,X,X,X
LOIZSJT,O,O,O,X,X,X
LOJTISZ,X,O,O,X,X,X
LOJTIZS,O,O,O,X,X,X
LOJTSIZ,X,X,O,X,X,X
LOJTSZI,O,X,O,X,X,X
LOJTZIS,O,O,O,X,X,X
LOJTZSI,O,X,O,X,X,X
LOJITSZ,X,O,O,X,X,X
LOJITZS,X,O,O,X,X,X
LOJISTZ,X,O,O,O,X,X
LOJISZT,X,O,O,O,X,X
LOJIZTS,X,O,O,X,O,X
LOJIZST,X,O,X,O,O,X
LOJSTIZ,X,X,O,O,X,X
LOJSTZI,X,X,O,O,X,X
LOJSITZ,X,X,O,O,X,X
LOJSIZT,X,X,O,O,X,X
LOJSZTI,X,X,O,O,X,X
LOJSZIT,X,X,O,O,X,X
LOJZTIS,O,O,O,X,X,X
LOJZTSI,O,X,O,X,X,X
LOJZITS,X,O,O,X,O,X
LOJZIST,X,O,X,O,O,X
LOJZSTI,O,X,O,O,X,X
LOJZSIT,O,X,O,O,X,X
LOSTIJZ,O,X,O,O,X,X
LOSTIZJ,O,X,X,X,X,X
LOSTJIZ,O,X,O,O,X,X
LOSTJZI,O,X,O,O,X,X
LOSTZIJ,O,X,X,X,X,X
LOSTZJI,O,X,X,X,X,X
LOSITJZ,O,X,O,O,X,X
LOSITZJ,O,X,X,X,X,X
LOSIJTZ,O,X,O,O,X,X
LOSIJZT,O,X,O,O,X,X
LOSIZTJ,O,X,X,X,X,X
LOSIZJT,O,X,O,X,X,X
LOSJTIZ,O,X,O,O,X,X
LOSJTZI,O,X,O,O,X,X
LOSJITZ,O,X,O,O,X,X
LOSJIZT,O,X,O,O,X,X
LOSJZTI,O,X,O,O,X,X
LOSJZIT,O,X,O,O,X,X
LOSZTIJ,O,X,X,X,X,X
LOSZTJI,O,X,X,X,X,X
LOSZITJ,O,X,X,X,X,X
LOSZIJT,O,X,O,X,X,X
LOSZJTI,O,X,O,X,X,X
LOSZJIT,O,X,O,X,X,X
LOZTIJS,O,O,X,X,X,X
LOZTISJ,O,O,X,X,X,X
LOZTJIS,O,O,X,X,X,X
LOZTJSI,O,X,X,X,X,X
LOZTSIJ,O,X,X,X,X,X
LOZTSJI,O,X,X,X,X,X
LOZITJS,O,O,X,X,X,X
LOZITSJ,O,O,X,X,X,X
LOZIJTS,X,O,O,X,O,X
LOZIJST,X,O,X,X,O,X
LOZISTJ,O,O,X,X,X,X
LOZISJT,O,O,O,X,X,X
LOZJTIS,O,O,O,X,X,X
LOZJTSI,O,X,O,X,X,X
LOZJITS,X,O,O,X,O,X
LOZJIST,X,O,X,X,O,X
LOZJSTI,O,X,O,X,X,X
LOZJSIT,O,X,O,X,X,X
LOZSTIJ,O,X,X,X,X,X
LOZSTJI,O,X,X,X,X,X
LOZSITJ,O,X,X,X,X,X
LOZSIJT,O,X,O,X,X,X
LOZSJTI,O,X,O,X,X,X
LOZSJIT,O,X,O,X,X,X
JTILSZO,X,O,O,X,X,X
JTILSOZ,X,O,O,X,X,X
JTILZSO,O,O,X,X,X,X
JTILZOS,O,O,X,X,X,X
JTILOSZ,X,O,X,X,X,X
JTILOZS,O,O,X,X,X,X
JTISLZO,O,O,O,X,X,X
JTISLOZ,O,O,O,X,X,X
JTISZLO,O,O,O,X,X,X
JTISZOL,O,O,O,X,X,X
JTISOLZ,O,X,O,X,X,X
JTISOZL,O,X,O,X,X,X
JTIZLSO,O,O,X,X,X,X
JTIZLOS,O,O,X,X,X,X
JTIZSLO,O,O,X,X,X,O
JTIZSOL,O,O,X,X,X,O
JTIZOLS,O,X,X,X,O,X
JTIZOSL,O,O,X,X,O,X
JTIOLSZ,O,X,O,X,X,X
JTIOLZS,O,X,O,X,X,X
JTIOSLZ,O,X,O,X,X,X
JTIOSZL,O,X,O,X,X,X
JTIOZLS,O,X,O,X,O,X
JTIOZSL,O,X,X,X,O,X
JTLISZO,X,O,O,X,X,X
JTLISOZ,X,O,O,X,X,X
JTLIZSO,O,O,X,X,X,X
JTLIZOS,O,O,X,X,X,X
JTLIOSZ,X,O,X,X,X,X
JTLIOZS,O,O,X,X,X,X
JTLSIZO,O,O,O,X,X,X
JTLSIOZ,O,O,O,X,X,X
JTLSZIO,O,O,O,X,X,X
JTLSZOI,O,X,X,X,X,X
JTLSOIZ,O,X,O,X,X,X
JTLSOZI,O,X,O,X,X,X
JTLZISO,O,O,X,X,X,X
JTLZIOS,O,O,X,X,X,X
JTLZSIO,O,O,O,X,X,X
JTLZSOI,O,X,X,X,X,X
JTLZOIS,O,O,X,X,X,X
JTLZOSI,O,X,X,X,X,X
JTLOISZ,O,O,O,X,X,X
JTLOIZS,O,O,O,X,X,X
JTLOSIZ,O,X,O,X,X,X
JTLOSZI,O,X,O,X,X,X
JTLOZIS,O,O,O,X,X,X
JTLOZSI,O,X,O,X,X,X
JTSILZO,O,X,O,X,X,X
JTSILOZ,O,X,O,X,X,X
JTSIZLO,O,X,O,X,X,X
JTSIZOL,O,X,O,O,X,X
JTSIOLZ,O,X,O,O,X,X
JTSIOZL,O,X,O,O,X,X
JTSLIZO,O,X,O,X,X,X
JTSLIOZ,O,X,O,X,X,X
JTSLZIO,O,X,O,X,X,X
JTSLZOI,O,X,X,O,X,X
JTSLOIZ,O,X,O,O,X,X
JTSLOZI,O,X,O,O,X,X
JTSZILO,O,X,O,X,X,X
JTSZIOL,O,X,O,O,X,X
JTSZLIO,O,X,O,X,X,X
JTSZLOI,O,X,X,O,X,X
JTSZOIL,O,X,O,O,X,X
JTSZOLI,O,X,O,O,X,X
JTSOILZ,O,X,O,O,X,X
JTSOIZL,O,X,O,O,X,X
JTSOLIZ,O,X,O,O,X,X
JTSOLZI,O,X,O,O,X,X
JTSOZIL,O,X,O,O,X,X
JTSOZLI,O,X,O,O,X,X
JTZILSO,O,O,X,X,X,X
JTZILOS,O,O,X,X,X,X
JTZISLO,O,O,X,X,X,O
JTZISOL,O,O,X,X,X,O
JTZIOLS,O,X,X,X,O,X
JTZIOSL,O,O,X,X,O,X
JTZLISO,O,O,X,X,X,X
JTZLIOS,O,O,X,X,X,X
JTZLSIO,O,O,O,X,X,X
JTZLSOI,O,X,X,X,X,X
JTZLOIS,O,O,X,X,X,X
JTZLOSI,O,X,X,X,X,X
JTZSILO,O,O,O,X,X,O
JTZSIOL,O,O,O,O,X,O
JTZSLIO,O,X,O,X,X,X
JTZSLOI,O,X,X,O,X,X
JTZSOIL,O,X,O,O,X,X
JTZSOLI,O,X,O,O,X,X
JTZOILS,O,X,O,X,O,X
JTZOISL,O,O,X,O,O,X
JTZOLIS,O,X,O,X,X,X
JTZOLSI,O,X,O,X,X,X
JTZOSIL,O,X,O,O,X,X
JTZOSLI,O,X,O,O,X,X
JTOILSZ,O,X,O,X,X,X
JTOILZS,O,X,O,X,X,X
JTOISLZ,O,X,O,O,X,X
JTOISZL,O,X,O,O,X,X
JTOIZLS,O,X,O,X,O,X
JTOIZSL,O,X,X,O,O,X
JTOLISZ,O,X,O,X,X,X
JTOLIZS,O,X,O,X,X,X
JTOLSIZ,O,X,O,X,X,X
JTOLSZI,O,X,O,X,X,X
JTOLZIS,O,X,O,X,X,X
JTOLZSI,O,X,O,X,X,X
JTOSILZ,O,X,O,O,X,X
JTOSIZL,O,X,O,O,X,X
JTOSLIZ,O,X,O,O,X,X
JTOSLZI,O,X,O,O,X,X
JTOSZIL,O,X,O,O,X,X
JTOSZLI,O,X,O,O,X,X
JTOZILS,O,X,O,X,O,X
JTOZISL,O,X,X,O,O,X
JTOZLIS,O,X,O,X,X,X
JTOZLSI,O,X,O,X,X,X
JTOZSIL,O,X,O,O,X,X
JTOZSLI,O,X,O,O,X,X
JITLSZO,X,O,O,X,X,X
JITLSOZ,X,O,O,X,X,X
JITLZSO,X,O,X,X,X,X
JITLZOS,X,O,X,X,X,X
JITLOSZ,X,O,X,X,X,X
JITLOZS,X,O,X,X,X,X
JITSLZO,X,O,O,X,X,X
JITSLOZ,X,O,O,X,X,X
JITSZLO,X,O,O,X,X,X
JITSZOL,X,O,O,X,X,X
JITSOLZ,X,X,O,X,X,X
JITSOZL,X,X,O,X,X,X
JITZLSO,X,O,X,X,X,X
JITZLOS,X,O,X,X,X,X
JITZSLO,X,O,X,X,X,O
JITZSOL,X,O,X,X,X,O
JITZOLS,X,X,X,X,O,X
JITZOSL,X,O,X,X,O,X
JITOLSZ,X,X,O,X,X,X
JITOLZS,X,X,O,X,X,X
JITOSLZ,X,X,O,X,X,X
JITOSZL,X,X,O,X,X,X
JITOZLS,X,X,O,X,O,X
JITOZSL,X,X,X,X,O,X
JILTSZO,X,O,O,X,X,X
JILTSOZ,X,O,O,X,X,X
JILTZSO,X,O,X,X,X,X
JILTZOS,X,O,X,X,X,X
JILTOSZ,X,O,X,X,X,X
JILTOZS,X,O,X,X,X,X
JILSTZO,X,O,O,X,X,X
JILSTOZ,X,O,O,X,X,X
JILSZTO,X,O,O,X,X,X
JILSZOT,X,O,X,X,X,X
JILSOTZ,X,O,O,X,X,X
JILSOZT,X,O,X,X,X,X
JILZTSO,X,O,X,X,X,X
JILZTOS,X,O,X,X,X,X
JILZSTO,X,O,X,X,X,X
JILZSOT,X,O,X,X,X,X
JILZOTS,X,O,X,X,O,X
JILZOST,X,O,X,X,O,X
JILOTSZ,X,O,X,X,X,X
JILOTZS,X,O,X,X,X,X
JILOSTZ,X,O,X,X,X,X
JILOSZT,X,O,X,X,X,X
JILOZTS,X,O,X,X,O,X
JILOZST,X,O,X,X,O,X
JISTLZO,X,O,O,X,X,X
JISTLOZ,X,O,O,X,X,X
JISTZLO,X,O,O,X,X,X
JISTZOL,X,O,O,O,X,X
JISTOLZ,X,X,O,O,X,X
JISTOZL,X,X,O,O,X,X
JISLTZO,X,O,O,X,X,X
JISLTOZ,X,O,O,X,X,X
JISLZTO,X,O,O,X,X,X
JISLZOT,X,O,X,X,X,X
JISLOTZ,X,O,O,X,X,X
JISLOZT,X,O,O,X,X,X
JISZTLO,X,O,O,X,X,X
JISZTOL,X,O,O,O,X,X
JISZLTO,X,O,O,X,X,X
JISZLOT,X,O,X,X,X,X
JISZOTL,X,O,O,O,O,X
JISZOLT,X,O,O,O,O,X
JISOTLZ,X,X,O,O,X,X
JISOTZL,X,X,O,O,X,X
JISOLTZ,X,O,O,O,X,X
JISOLZT,X,O,O,O,X,X
JISOZTL,X,O,O,O,O,X
JISOZLT,X,O,O,O,O,X
JIZTLSO,X,O,X,X,X,X
JIZTLOS,X,O,X,X,X,X
JIZTSLO,X,O,X,X,X,O
JIZTSOL,X,O,X,X,X,O
JIZTOLS,X,X,X,X,O,X
JIZTOSL,X,O,X,X,O,X
JIZLTSO,X,O,X,X,X,X
JIZLTOS,X,O,X,X,X,X
JIZLSTO,X,O,X,X,X,X
JIZLSOT,X,O,X,X,X,X
JIZLOTS,X,O,X,X,O,X
JIZLOST,X,O,X,X,O,X
JIZSTLO,X,O,X,X,X,O
JIZSTOL,X,O,X,O,X,O
JIZSLTO,X,O,X,X,X,X
JIZSLOT,X,O,X,X,X,X
JIZSOTL,X,O,X,O,O,X
JIZSOLT,X,O,X,O,O,X
JIZOTLS,X,X,X,X,O,X
JIZOTSL,X,O,X,O,O,X
JIZOLTS,X,O,X,X,O,X
JIZOLST,X,O,X,O,O,X
JIZOSTL,X,O,X,O,O,X
JIZOSLT,X,O,X,O,O,X
JIOTLSZ,X,X,O,X,X,X
JIOTLZS,X,X,O,X,X,X
JIOTSLZ,X,X,O,O,X,X
JIOTSZL,X,X,O,O,X,X
JIOTZLS,X,X,O,X,O,X
JIOTZSL,X,X,X,O,O,X
JIOLTSZ,X,O,O,X,X,X
JIOLTZS,X,O,O,X,X,X
JIOLSTZ,X,O,O,O,X,X
JIOLSZT,X,O,O,O,X,X
JIOLZTS,X,O,O,X,O,X
JIOLZST,X,O,X,O,O,X
JIOSTLZ,X,X,O,O,X,X
JIOSTZL,X,X,O,O,X,X
JIOSLTZ,X,O,O,O,X,X
JIOSLZT,X,O,O,O,X,X
JIOSZTL,X,O,O,O,O,X
JIOSZLT,X,O,O,O,O,X
JIOZTLS,X,X,O,X,O,X
JIOZTSL,X,O,X,O,O,X
JIOZLTS,X,O,O,X,O,X
JIOZLST,X,O,X,O,O,X
JIOZSTL,X,O,X,O,O,X
JIOZSLT,X,O,X,O,O,X
JLTISZO,X,O,O,X,X,X
JLTISOZ,X,O,O,X,X,X
JLTIZSO,O,O,X,X,X,X
JLTIZOS,O,O,X,X,X,X
JLTIOSZ,X,O,X,X,X,X
JLTIOZS,O,O,X,X,X,X
JLTSIZO,X,O,O,X,X,X
JLTSIOZ,X,O,O,X,X,X
JLTSZIO,O,O,O,X,X,X
JLTSZOI,O,X,X,X,X,X
JLTSOIZ,X,X,O,X,X,X
JLTSOZI,O,X,O,X,X,X
JLTZISO,O,O,X,X,X,X
JLTZIOS,O,O,X,X,X,X
JLTZSIO,O,O,O,X,X,X
JLTZSOI,O,X,X,X,X,X
JLTZOIS,O,O,X,X,X,X
JLTZOSI,O,X,X,X,X,X
JLTOISZ,X,O,O,X,X,X
JLTOIZS,O,O,O,X,X,X
JLTOSIZ,X,X,O,X,X,X
JLTOSZI,O,X,O,X,X,X
JLTOZIS,O,O,O,X,X,X
JLTOZSI,O,X,O,X,X,X
JLITSZO,X,O,O,X,X,X
JLITSOZ,X,O,O,X,X,X
JLITZSO,X,O,X,X,X,X
JLITZOS,X,O,X,X,X,X
JLITOSZ,X,O,X,X,X,X
JLITOZS,X,O,X,X,X,X
JLISTZO,X,O,O,X,X,X
JLISTOZ,X,O,O,X,X,X
JLISZTO,X,O,O,X,X,X
JLISZOT,X,O,X,X,X,X
JLISOTZ,X,O,O,X,X,X
JLISOZT,X,O,X,X,X,X
JLIZTSO,X,O,X,X,X,X
JLIZTOS,X,O,X,X,X,X
JLIZSTO,X,O,X,X,X,X
JLIZSOT,X,O,X,X,X,X
JLIZOTS,X,O,X,X,O,X
JLIZOST,X,O,X,X,O,X
JLIOTSZ,X,O,X,X,X,X
JLIOTZS,X,O,X,X,X,X
JLIOSTZ,X,O,X,X,X,X
JLIOSZT,X,O,X,X,X,X
JLIOZTS,X,O,X,X,O,X
JLIOZST,X,O,X,X,O,X
JLSTIZO,X,O,O,X,X,X
JLSTIOZ,X,O,O,X,X,X
JLSTZIO,X,O,O,X,X,X
JLSTZOI,X,X,X,O,X,X
JLSTOIZ,X,X,O,O,X,X
JLSTOZI,X,X,O,O,X,X
JLSITZO,X,O,O,X,X,X
JLSITOZ,X,O,O,X,X,X
JLSIZTO,X,O,O,X,X,X
JLSIZOT,X,O,X,X,X,X
JLSIOTZ,X,O,O,X,X,X
JLSIOZT,X,O,O,X,X,X
JLSZTIO,X,O,O,X,X,X
JLSZTOI,X,X,X,O,X,X
JLSZITO,X,O,O,X,X,X
JLSZIOT,X,O,X,X,X,X
JLSZOTI,X,X,X,O,X,X
JLSZOIT,X,X,X,O,X,X
JLSOTIZ,X,X,O,O,X,X
JLSOTZI,X,X,O,O,X,X
JLSOITZ,X,X,O,O,X,X
JLSOIZT,X,X,O,O,X,X
JLSOZTI,X,X,O,O,X,X
JLSOZIT,X,X,O,O,X,X
JLZTISO,O,O,X,X,X,X
JLZTIOS,O,O,X,X,X,X
JLZTSIO,O,O,O,X,X,X
JLZTSOI,O,X,X,X,X,X
JLZTOIS,O,O,X,X,X,X
JLZTOSI,O,X,X,X,X,X
JLZITSO,X,O,X,X,X,X
JLZITOS,X,O,X,X,X,X
JLZISTO,X,O,X,X,X,X
JLZISOT,X,O,X,X,X,X
JLZIOTS,X,O,X,X,O,X
JLZIOST,X,O,X,X,O,X
JLZSTIO,O,O,O,X,X,X
JLZSTOI,O,X,X,O,X,X
JLZSITO,O,O,O,X,X,X
JLZSIOT,X,O,X,X,X,X
JLZSOTI,O,X,X,O,X,X
JLZSOIT,O,X,X,O,X,X
JLZOTIS,O,O,X,X,X,X
JLZOTSI,O,X,X,X,X,X
JLZOITS,X,O,X,X,O,X
JLZOIST,X,O,X,O,O,X
JLZOSTI,O,X,X,O,X,X
JLZOSIT,O,X,X,O,X,X
JLOTISZ,X,O,O,X,X,X
JLOTIZS,O,O,O,X,X,X
JLOTSIZ,X,X,O,X,X,X
JLOTSZI,O,X,O,X,X,X
JLOTZIS,O,O,O,X,X,X
JLOTZSI,O,X,O,X,X,X
JLOITSZ,X,O,O,X,X,X
JLOITZS,X,O,O,X,X,X
JLOISTZ,X,O,O,O,X,X
JLOISZT,X,O,O,O,X,X
JLOIZTS,X,O,O,X,O,X
JLOIZST,X,O,X,O,O,X
JLOSTIZ,X,X,O,O,X,X
JLOSTZI,X,X,O,O,X,X
JLOSITZ,X,X,O,O,X,X
JLOSIZT,X,X,O,O,X,X
JLOSZTI,X,X,O,O,X,X
JLOSZIT,X,X,O,O,X,X
JLOZTIS,O,O,O,X,X,X
JLOZTSI,O,X,O,X,X,X
JLOZITS,X,O,O,X,O,X
JLOZIST,X,O,X,O,O,X
JLOZSTI,O,X,O,O,X,X
JLOZSIT,O,X,O,O,X,X
JSTILZO,O,X,O,X,X,X
JSTILOZ,O,X,O,X,X,X
JSTIZLO,O,X,O,X,X,X
JSTIZOL,O,X,O,O,X,X
JSTIOLZ,O,X,O,O,X,X
JSTIOZL,O,X,O,O,X,X
JSTLIZO,O,X,O,X,X,X
JSTLIOZ,O,X,O,X,X,X
JSTLZIO,O,X,O,X,X,X
JSTLZOI,O,X,X,O,X,X
JSTLOIZ,O,X,O,O,X,X
JSTLOZI,O,X,O,O,X,X
JSTZILO,O,X,O,X,X,X
JSTZIOL,O,X,O,O,X,X
JSTZLIO,O,X,O,X,X,X
JSTZLOI,O,X,X,O,X,X
JSTZOIL,O,X,O,O,X,X
JSTZOLI,O,X,O,O,X,X
JSTOILZ,O,X,O,O,X,X
JSTOIZL,O,X,O,O,X,X
JSTOLIZ,O,X,O,O,X,X
JSTOLZI,O,X,O,O,X,X
JSTOZIL,O,X,O,O,X,X
JSTOZLI,O,X,O,O,X,X
JSITLZO,O,O,O,X,X,X
JSITLOZ,X,O,O,X,X,X
JSITZLO,O,O,O,X,X,X
JSITZOL,O,O,O,O,X,X
JSITOLZ,X,X,O,O,X,X
JSITOZL,O,X,O,O,X,X
JSILTZO,X,O,O,X,X,X
JSILTOZ,X,O,O,X,X,X
JSILZTO,X,O,O,X,X,X
JSILZOT,X,O,X,X,X,X
JSILOTZ,X,O,O,X,X,X
JSILOZT,X,O,O,X,X,X
JSIZTLO,O,O,O,X,X,X
JSIZTOL,O,O,O,O,X,X
JSIZLTO,X,O,O,X,X,X
JSIZLOT,X,O,X,X,X,X
JSIZOTL,X,O,O,O,O,X
JSIZOLT,X,O,O,O,O,X
JSIOTLZ,X,X,O,O,X,X
JSIOTZL,X,X,O,O,X,X
JSIOLTZ,X,O,O,O,X,X
JSIOLZT,X,O,O,O,X,X
JSIOZTL,X,O,O,O,O,X
JSIOZLT,X,O,O,O,O,X
JSLTIZO,O,O,O,X,X,X
JSLTIOZ,O,O,O,X,X,X
JSLTZIO,O,O,O,X,X,X
JSLTZOI,O,X,X,O,X,X
JSLTOIZ,O,X,O,O,X,X
JSLTOZI,O,X,O,O,X,X
JSLITZO,O,O,O,X,X,X
JSLITOZ,O,O,O,X,X,X
JSLIZTO,O,O,O,X,X,X
JSLIZOT,X,O,X,X,X,X
JSLIOTZ,X,O,O,X,X,X
JSLIOZT,X,O,O,X,X,X
JSLZTIO,O,O,O,X,X,X
JSLZTOI,O,X,X,O,X,X
JSLZITO,O,O,O,X,X,X
JSLZIOT,X,O,X,X,X,X
JSLZOTI,O,X,X,O,X,X
JSLZOIT,O,X,X,O,X,X
JSLOTIZ,O,X,O,O,X,X
JSLOTZI,O,X,O,O,X,X
JSLOITZ,O,X,O,O,X,X
JSLOIZT,O,X,O,O,X,X
JSLOZTI,O,X,O,O,X,X
JSLOZIT,O,X,O,O,X,X
JSZTILO,O,O,O,X,X,X
JSZTIOL,O,O,O,O,X,X
JSZTLIO,O,X,O,X,X,X
JSZTLOI,O,X,X,O,X,X
JSZTOIL,O,X,O,O,X,X
JSZTOLI,O,X,O,O,X,X
JSZITLO,O,O,O,X,X,X
JSZITOL,O,O,O,O,X,X
JSZILTO,X,O,O,X,X,X
JSZILOT,X,O,X,X,X,X
JSZIOTL,X,O,O,O,O,X
JSZIOLT,X,O,O,O,O,X
JSZLTIO,X,O,O,X,X,X
JSZLTOI,X,X,X,O,X,X
JSZLITO,X,O,O,X,X,X
JSZLIOT,X,O,X,X,X,X
JSZLOTI,X,X,X,O,X,X
JSZLOIT,X,X,X,O,X,X
JSZOTIL,O,X,O,O,X,X
JSZOTLI,O,X,O,O,X,X
JSZOITL,O,X,O,O,O,X
JSZOILT,X,X,O,O,O,X
JSZOLTI,X,X,O,O,X,X
JSZOLIT,X,X,O,O,X,X
JSOTILZ,O,X,O,O,X,X
JSOTIZL,O,X,O,O,X,X
JSOTLIZ,O,X,O,O,X,X
JSOTLZI,O,X,O,O,X,X
JSOTZIL,O,X,O,O,X,X
JSOTZLI,O,X,O,O,X,X
JSOITLZ,O,X,O,O,X,X
JSOITZL,O,X,O,O,X,X
JSOILTZ,X,X,O,O,X,X
JSOILZT,X,X,O,O,X,X
JSOIZTL,O,X,O,O,O,X
JSOIZLT,X,X,O,O,O,X
JSOLTIZ,O,X,O,O,X,X
JSOLTZI,O,X,O,O,X,X
JSOLITZ,O,X,O,O,X,X
JSOLIZT,O,X,O,O,X,X
JSOLZTI,O,X,O,O,X,X
JSOLZIT,O,X,O,O,X,X
JSOZTIL,O,X,O,O,X,X
JSOZTLI,O,X,O,O,X,X
JSOZITL,O,X,O,O,O,X
JSOZILT,X,X,O,O,O,X
JSOZLTI,X,X,O,O,X,X
JSOZLIT,X,X,O,O,X,X
JZTILSO,O,O,X,X,X,X
JZTILOS,O,O,X,X,X,X
JZTISLO,O,O,X,X,X,O
JZTISOL,O,O,X,X,X,O
JZTIOLS,O,X,X,X,O,X
JZTIOSL,O,O,X,X,O,X
JZTLISO,O,O,X,X,X,X
JZTLIOS,O,O,X,X,X,X
JZTLSIO,O,O,O,X,X,X
JZTLSOI,O,X,X,X,X,X
JZTLOIS,O,O,X,X,X,X
JZTLOSI,O,X,X,X,X,X
JZTSILO,O,O,O,X,X,O
JZTSIOL,O,O,O,O,X,O
JZTSLIO,O,X,O,X,X,X
JZTSLOI,O,X,X,O,X,X
JZTSOIL,O,X,O,O,X,X
JZTSOLI,O,X,O,O,X,X
JZTOILS,O,X,O,X,O,X
JZTOISL,O,O,X,O,O,X
JZTOLIS,O,X,O,X,X,X
JZTOLSI,O,X,O,X,X,X
JZTOSIL,O,X,O,O,X,X
JZTOSLI,O,X,O,O,X,X
JZITLSO,X,O,X,X,X,X
JZITLOS,X,O,X,X,X,X
JZITSLO,X,O,X,X,X,O
JZITSOL,X,O,X,X,X,O
JZITOLS,X,X,X,X,O,X
JZITOSL,X,O,X,X,O,X
JZILTSO,X,O,X,X,X,X
JZILTOS,X,O,X,X,X,X
JZILSTO,X,O,X,X,X,X
JZILSOT,X,O,X,X,X,X
JZILOTS,X,O,X,X,O,X
JZILOST,X,O,X,X,O,X
JZISTLO,X,O,X,X,X,O
JZISTOL,X,O,X,O,X,O
JZISLTO,X,O,X,X,X,X
JZISLOT,X,O,X,X,X,X
JZISOTL,X,O,X,O,O,X
JZISOLT,X,O,X,O,O,X
JZIOTLS,X,X,X,X,O,X
JZIOTSL,X,O,X,O,O,X
JZIOLTS,X,O,X,X,O,X
JZIOLST,X,O,X,O,O,X
JZIOSTL,X,O,X,O,O,X
JZIOSLT,X,O,X,O,O,X
JZLTISO,O,O,X,X,X,X
JZLTIOS,O,O,X,X,X,X
JZLTSIO,O,O,O,X,X,X
JZLTSOI,O,X,X,X,X,X
JZLTOIS,O,O,X,X,X,X
JZLTOSI,O,X,X,X,X,X
JZLITSO,X,O,X,X,X,X
JZLITOS,X,O,X,X,X,X
JZLISTO,X,O,X,X,X,X
JZLISOT,X,O,X,X,X,X
JZLIOTS,X,O,X,X,O,X
JZLIOST,X,O,X,X,O,X
JZLSTIO,O,O,O,X,X,X
JZLSTOI,O,X,X,O,X,X
JZLSITO,O,O,O,X,X,X
JZLSIOT,X,O,X,X,X,X
JZLSOTI,O,X,X,O,X,X
JZLSOIT,O,X,X,O,X,X
JZLOTIS,O,O,X,X,X,X
