sequence,v115@OhA8IeC8AeE8AeC8JeZEJvhFqkB/lBUhBFiBTjBmrB,v115@OhA8IeC8AeE8AeC8JeZEJvhFUgBamBFiBTjBWqBfsB,v115@OhA8IeC8AeE8AeC8JeZEJvhFqkBmgBFiBTjB0lBfsB,v115@OhA8IeC8AeE8AeC8JeZEJvhFCgB0hBTjBXlBVrBOsB
TLSOIZJ,O,X,X,X
TLSOJIZ,X,X,X,X
TLSOJZI,X,X,X,X
TLSOZIJ,O,X,X,X
TLSOZJI,X,X,X,X
TLZIJSO,X,X,X,X
TLZIJOS,X,X,X,X
TLZISJO,X,X,X,X
TLZISOJ,X,X,X,X
TLZIOJS,X,X,X,X
TLZIOSJ,X,X,X,X
TLZJISO,X,X,X,X
TLZJIOS,X,X,X,X
TLZJSIO,X,X,X,X
TLZJSOI,X,X,X,X
TLZJOIS,X,X,X,X
TLZJOSI,X,X,X,X
TLZSIJO,X,X,X,X
TLZSIOJ,X,X,X,X
TLZSJIO,X,X,X,X
TLZSJOI,X,X,X,X
TLZSOIJ,X,X,X,X
TLZSOJI,X,X,X,X
TLZOIJS,X,X,X,X
TLZOISJ,X,X,X,X
TLZOJIS,X,X,X,X
TLZOJSI,X,X,X,X
TLZOSIJ,X,X,X,X
TLZOSJI,X,X,X,X
TLOIJSZ,O,X,X,X
TLOIJZS,X,X,X,X
TLOISJZ,X,X,X,X
TLOISZJ,O,X,X,X
TLOIZJS,X,X,X,X
TLOIZSJ,X,X,X,X
TLOJISZ,O,X,X,X
TLOJIZS,X,X,X,X
TLOJSIZ,O,X,X,X
TLOJSZI,O,X,X,X
TLOJZIS,X,X,X,X
TLOJZSI,X,X,X,X
TLOSIJZ,X,X,X,X
TLOSIZJ,O,X,X,X
TLOSJIZ,X,X,X,X
TLOSJZI,X,X,X,X
TLOSZIJ,O,X,X,X
TLOSZJI,X,X,X,X
TLOZIJS,X,X,X,X
TLOZISJ,X,X,X,X
TLOZJIS,X,X,X,X
TLOZJSI,X,X,X,X
TLOZSIJ,X,X,X,X
TLOZSJI,X,X,X,X
TJILSZO,O,X,X,X
TJILSOZ,O,X,X,X
TJILZSO,X,X,X,X
TJILZOS,X,X,X,X
TJILOSZ,O,X,X,X
TJILOZS,X,X,X,X
TJISLZO,X,X,X,X
TJISLOZ,X,X,X,X
TJISZLO,X,X,X,X
TJISZOL,X,X,X,X
TJISOLZ,X,X,X,X
TJISOZL,X,X,X,X
TJIZLSO,X,X,X,X
TJIZLOS,X,X,X,X
TJIZSLO,X,X,X,X
TJIZSOL,X,X,X,X
TJIZOLS,X,X,X,X
TJIZOSL,X,X,X,X
TJIOLSZ,O,X,X,X
TJIOLZS,X,X,X,X
TJIOSLZ,X,X,X,X
TJIOSZL,X,X,X,X
TJIOZLS,X,X,X,X
TJIOZSL,X,X,X,X
TJLISZO,O,X,X,X
TJLISOZ,O,X,X,X
TJLIZSO,X,X,X,X
TJLIZOS,X,X,X,X
TJLIOSZ,O,X,X,X
TJLIOZS,X,X,X,X
TJLSIZO,O,X,X,X
TJLSIOZ,O,X,X,X
TJLSZIO,O,X,X,X
TJLSZOI,O,X,X,X
TJLSOIZ,O,X,X,X
TJLSOZI,O,X,X,X
TJLZISO,X,X,X,X
TJLZIOS,X,X,X,X
TJLZSIO,X,X,X,X
TJLZSOI,X,X,X,X
TJLZOIS,X,X,X,X
TJLZOSI,X,X,X,X
TJLOISZ,O,X,X,X
TJLOIZS,X,X,X,X
TJLOSIZ,O,X,X,X
TJLOSZI,O,X,X,X
TJLOZIS,X,X,X,X
TJLOZSI,X,X,X,X
TJSILZO,X,X,X,X
TJSILOZ,X,X,X,X
TJSIZLO,X,X,X,X
TJSIZOL,X,X,X,X
TJSIOLZ,X,X,X,X
TJSIOZL,X,X,X,X
TJSLIZO,O,X,X,X
TJSLIOZ,O,X,X,X
TJSLZIO,O,X,X,X
TJSLZOI,O,X,X,X
TJSLOIZ,O,X,X,X
TJSLOZI,O,X,X,X
TJSZILO,X,X,X,X
TJSZIOL,X,X,X,X
TJSZLIO,O,X,X,X
TJSZLOI,O,X,X,X
TJSZOIL,X,X,X,X
TJSZOLI,O,X,X,X
TJSOILZ,X,X,X,X
TJSOIZL,X,X,X,X
TJSOLIZ,O,X,X,X
TJSOLZI,O,X,X,X
TJSOZIL,X,X,X,X
TJSOZLI,O,X,X,X
TJZILSO,X,X,X,X
TJZILOS,X,X,X,X
TJZISLO,X,X,X,X
TJZISOL,X,X,X,X
TJZIOLS,X,X,X,X
TJZIOSL,X,X,X,X
TJZLISO,X,X,X,X
TJZLIOS,X,X,X,X
TJZLSIO,X,X,X,X
TJZLSOI,X,X,X,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,X,X,X
TJZSIOL,X,X,X,X
TJZSLIO,O,X,X,X
TJZSLOI,O,X,X,X
TJZSOIL,X,X,X,X
TJZSOLI,O,X,X,X
TJZOILS,X,X,X,X
TJZOISL,X,X,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,X,X
TJZOSLI,O,X,X,X
TJOILSZ,O,X,X,X
TJOILZS,X,X,X,X
TJOISLZ,X,X,X,X
TJOISZL,X,X,X,X
TJOIZLS,X,X,X,X
TJOIZSL,X,X,X,X
TJOLISZ,O,X,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,O,X,X,X
TJOLSZI,O,X,X,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,X,X,X,X
TJOSIZL,X,X,X,X
TJOSLIZ,O,X,X,X
TJOSLZI,O,X,X,X
TJOSZIL,X,X,X,X
TJOSZLI,O,X,X,X
TJOZILS,X,X,X,X
TJOZISL,X,X,X,X
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,X
TJOZSLI,O,X,X,X
TSILJZO,X,X,X,X
TSILJOZ,X,X,X,X
TSILZJO,X,X,X,X
TSILZOJ,X,X,X,O
TSILOJZ,X,X,X,X
TSILOZJ,X,X,X,O
TSIJLZO,X,X,X,X
TSIJLOZ,X,X,X,X
TSIJZLO,X,X,X,X
TSIJZOL,X,X,X,X
TSIJOLZ,X,X,X,X
TSIJOZL,X,X,X,X
TSIZLJO,X,X,X,X
TSIZLOJ,X,X,X,O
TSIZJLO,X,X,X,X
TSIZJOL,X,X,X,X
TSIZOLJ,X,X,X,O
TSIZOJL,X,X,X,X
TSIOLJZ,X,X,X,X
TSIOLZJ,X,X,X,O
TSIOJLZ,X,X,X,X
TSIOJZL,X,X,X,X
TSIOZLJ,X,X,X,O
TSIOZJL,X,X,X,X
